Entity,COR,INC,PAR,SPU,MIS,IGN
"AXE",0,1,0,0,0,0
"Rolf Soderlind LONGYEAR",0,0,0,0,0,1
"BREATHALYSER",0,0,0,0,0,1
"Livingston 2 Stenhousemuir 1 Stranraer",0,0,0,0,0,1
"Rowson 55",0,0,0,0,0,1
"Bobby Rahal U. S. 507 4",0,0,0,0,0,1
"Jackson 41",0,0,0,0,0,1
"F 16",0,0,0,0,0,1
"DOCSTART Foreign planes",0,0,0,0,0,1
"Holsteins",0,0,0,0,0,1
"GB Haitai 64 2 43",0,0,0,0,0,1
"Titanic",0,1,0,0,0,0
"Plymouth 4 Exeter 1 DOCSTART SOCCER BLINKER BAN LIFTED",0,0,0,0,0,1
"CONTRACT PREVIOUS CLOSE PM CLOSE PM CLOSING RANGE DATE PM CLOSE FIXED MINIMUM AT 1230",0,0,0,0,0,1
"McCoist 71 74",0,0,0,0,0,1
"Pernilla",0,0,0,0,0,1
"Vicenza 1",0,0,0,0,0,1
"EASTERN DIVISION W L PCT GB NEW YORK 74 59",0,0,0,0,0,1
"SCOTTISH PREMIER DIVISION SCORERS",0,0,0,0,0,1
"AC Milan 9 v Udinese 11 1330",0,0,0,0,0,1
"ZYWIEC SEES NO BIG 97",0,0,0,0,0,1
"Windass 78",0,0,0,0,0,1
"Dirty",0,0,0,0,0,1
"DOCSTART MOTOR RACING LEADING QUALIFIERS FOR VANCOUVER INDYCAR RACE",0,0,0,0,0,1
"DOCSTART SOCCER IRISH ERASE PAINFUL MEMORIES WITH 5 0",0,0,0,0,0,1
"DOCSTART Bootleg",0,0,0,0,0,1
"Horii",0,0,0,0,0,1
"Air Cargo",0,0,0,0,0,1
"dtp 11/1/07 NIC DELIVERY : 45 days",0,0,0,0,0,1
"Sinton 75",0,0,0,0,0,1
"Atalanta",0,1,0,0,0,0
"The Carl Vinson",0,0,0,0,0,1
"Woolmer",0,1,0,0,0,0
"F 14",0,0,0,0,0,1
"the Learjet 36",0,0,0,0,0,1
"CAMPESE FAREWELL",0,0,0,0,0,1
"Rotor",0,1,0,0,0,0
"Dunfermline 2 Aberdeen 3 Hearts",0,0,0,0,0,1
"Mesipia 77",0,0,0,0,0,1
"WEST INDIES 172 ALL OUT IN 49",0,0,0,0,0,1
"Estes 3 4",0,0,0,0,0,1
"LG 2 OB",0,0,0,0,0,1
"Reynard Ford Cosworth",0,1,0,0,0,0
"Fleming 8 1 26 3",0,0,0,0,0,1
"Doberman",0,1,0,0,0,0
"DOCSTART Five",0,0,0,0,0,1
"Frater",0,1,0,0,0,0
"U. S.",0,0,0,0,0,1
"Brighton 1 Scunthorpe 1 Cambridge United 0 Cardiff 2 Colchester 1 Hereford 1 Doncaster 3 Darlington 2 Fulham 1 Carlisle",0,0,0,0,0,1
"GLASGOW 1996 12 07 Summaries",0,0,0,0,0,1
"Colts",0,1,0,0,0,0
"Fiorentina 10 v Perugia 8 1330 Fiorentina",0,0,0,0,0,1
"Moody 10 1 25 2",0,0,0,0,0,1
"RUGBY UNION RETIRING CAMPESE WEIGHS UP",0,0,0,0,0,1
"CRICKET AUSTRALIA V WEST INDIES WORLD SERIES SCOREBOARD",0,0,0,0,0,1
"Car",0,0,0,0,0,1
"Brechin 1 Division three Ross County 4 Montrose 4 Postponed : Forfar v Alloa",0,0,0,0,0,1
"S MX",0,0,0,0,0,1
"Schalke 2 Hansa Rostock",0,0,0,0,0,1
"Dundee United 2",0,0,0,0,0,1
"Shrs",0,0,0,0,0,1
"312 408 8787 DOCSTART NYMEX",0,0,0,0,0,1
"the 158 F / A 18",0,0,0,0,0,1
"DOCSTART Assault",0,0,0,0,0,1
"British Columbia 1996 12 06 World Cup",0,0,0,0,0,1
"GB",0,0,0,0,0,1
"Kent 244 C. Hooper 58",0,0,0,0,0,1
"DOCSTART Half",0,0,0,0,0,1
"Kristie",0,0,0,0,0,1
"McGinlay 86",0,0,0,0,0,1
"Czech Republic 6 0 7 6 7 5 6 2 Add",0,0,0,0,0,1
"Choice 2 3 1250 1450",0,0,0,0,0,1
"Laudrup 83 Hibernian 3",0,0,0,0,0,1
"AK 47s",0,0,0,0,0,1
"Steer",0,0,0,0,0,1
"Halftime 2 0 . Attendance 33,000 Schalke 2 Mulder 2nd",0,0,0,0,0,1
"Flight 150",0,1,0,0,0,0
"Kalashnikov",0,1,0,0,0,0
"Compared Thursdays Close Slaughter",0,0,0,0,0,1
"Arsenal 2 Adams 45",0,0,0,0,0,1
"Sampdoria 6 v Juventus 3 1330",0,0,0,0,0,1
"Gillespie 6 0 27 0",0,0,0,0,0,1
*TOTAL*,0,11,0,0,0,71
