Entity,COR,INC,PAR,SPU,MIS,IGN
"SEATTLE CAROLINA",0,0,0,0,0,1
"KANSAS",0,0,0,0,0,1
"Chicago",0,1,0,0,0,0
"BUCHAREST",0,1,0,0,0,0
"ESTONIA",0,1,0,0,0,0
"Warsaw",0,1,0,0,0,0
"UKRAINE",0,1,0,0,0,0
"Berlin",0,1,0,0,0,0
"Kansas City",0,1,0,0,0,0
"Nantes",0,1,0,0,0,0
"D. Bicknell",0,1,0,0,0,0
"Sheffield",0,0,0,0,0,1
"HONG KONG",0,1,0,0,0,0
"ORLANDO",0,1,0,0,0,0
"Darlington",0,1,0,0,0,0
"Aberdeen",0,1,0,0,0,0
"Rotherham",0,1,0,0,0,0
"Mahala",0,1,0,0,0,0
"Israel",0,1,0,0,0,0
"EDMONTON",0,1,0,0,0,0
"Yangon",0,1,0,0,0,0
"Pinas",0,1,0,0,0,0
"Venezuela",0,1,0,0,0,0
"Hangzhou",0,1,0,0,0,0
"Sunderland",0,1,0,0,0,0
"Ankara",0,1,0,0,0,0
"Paramaribo",0,1,0,0,0,0
"Urus Martan",0,0,0,0,0,1
"Vietnam",0,1,0,0,0,0
"Paris",0,1,0,0,0,0
"Queens",0,0,0,0,0,1
"East Timor",0,1,0,0,0,0
"Santiago de Cuba",0,1,0,0,0,0
"Alloa",0,1,0,0,0,0
"Hobart",0,1,0,0,0,0
"Baltimore",0,1,0,0,0,0
"Cincinnati",0,1,0,0,0,0
"Norilsk",0,1,0,0,0,0
"LOS ANGELES",0,1,0,0,0,0
"Sussex",0,1,0,0,0,0
""" Republic of Padania",0,0,0,0,0,1
"Prestwick",0,1,0,0,0,0
"MILWAUKEE",0,1,0,0,0,0
"Pittsburgh",0,1,0,0,0,0
"Uzbekistan",0,1,0,0,0,0
"Melbourne",0,1,0,0,0,0
"ATALANTA",0,1,0,0,0,0
"Somerset",0,1,0,0,0,0
"Wuhan",0,1,0,0,0,0
"Brighton",0,1,0,0,0,0
"Pontypridd",0,1,0,0,0,0
"Macedonia",0,1,0,0,0,0
"Azerbaijan",0,1,0,0,0,0
"TUNIS",0,1,0,0,0,0
"Lillehammer",0,1,0,0,0,0
"Hapoel",0,0,0,0,0,1
"Argentina",0,1,0,0,0,0
"Phoenix",0,1,0,0,0,0
"Kisangani",0,1,0,0,0,0
"Ottawa",0,1,0,0,0,0
"GRONINGEN",0,1,0,0,0,0
"GOLDEN",0,0,0,0,0,1
"Moldova",0,1,0,0,0,0
"Barentsburg",0,1,0,0,0,0
"Yugoslavia",0,1,0,0,0,0
"TEMBAU",0,0,0,0,0,1
"CALGARY",0,1,0,0,0,0
"Rapid Vienna",0,1,0,0,0,0
"TAMPA BAY",0,1,0,0,0,0
"Slovakia",0,1,0,0,0,0
"Kecskemet",0,1,0,0,0,0
"CAIRO",0,1,0,0,0,0
"Swindon",0,1,0,0,0,0
"PANAMA",0,1,0,0,0,0
"Newport",0,1,0,0,0,0
"PORTUGAL",0,1,0,0,0,0
"Northamptonshire",0,1,0,0,0,0
"Timisoara",0,1,0,0,0,0
"RIO DE JANEIRO",0,1,0,0,0,0
"Canada",0,1,0,0,0,0
"Portsmouth",0,1,0,0,0,0
"Ohio State",0,1,0,0,0,0
"Poland",0,1,0,0,0,0
"Munich",0,0,0,0,0,1
"Rangoon",0,1,0,0,0,0
"HELSINKI",0,1,0,0,0,0
"JOHANNESBURG",0,1,0,0,0,0
"Jordan",0,1,0,0,0,0
"Cuba",0,1,0,0,0,0
"Chester",0,1,0,0,0,0
"Chatelet",0,1,0,0,0,0
"Guangxi",0,1,0,0,0,0
"Uruguay",0,1,0,0,0,0
"MEXICO CITY",0,1,0,0,0,0
"TEXAS",0,1,0,0,0,0
"ARIZONA",0,1,0,0,0,0
"JACKSONVILLE",0,1,0,0,0,0
"Villeurbanne",0,1,0,0,0,0
"Budapest",0,1,0,0,0,0
"Volendam",0,1,0,0,0,0
"Wisconsin",0,1,0,0,0,0
"U.",0,0,0,0,0,1
"Britain",0,1,0,0,0,0
"O'BRIEN",0,1,0,0,0,0
"EDWARDS",0,1,0,0,0,0
"TORONTO",0,1,0,0,0,0
"West Bank",0,1,0,0,0,0
"AUSTRALIA",0,1,0,0,0,0
"Australia",0,1,0,0,0,0
"Gama'a",0,1,0,0,0,0
"Herzliya",0,0,0,0,0,1
"Armenia",0,1,0,0,0,0
"Chandana 6",0,0,0,0,0,1
"Jacksonville",0,1,0,0,0,0
"Venice",0,1,0,0,0,0
"Dallas",0,1,0,0,0,0
"VAIL",0,1,0,0,0,0
"ALBANIA",0,1,0,0,0,0
"AC Milan",0,1,0,0,0,0
"JERUSALEM",0,1,0,0,0,0
"Nandrin",0,1,0,0,0,0
"Tripoli",0,1,0,0,0,0
"Mali",0,1,0,0,0,0
"Clarke",0,1,0,0,0,0
"U",0,0,0,0,0,1
"Partick",0,1,0,0,0,0
"Torquay",0,1,0,0,0,0
"Sibiu",0,1,0,0,0,0
"AMSTERDAM",0,1,0,0,0,0
"INDIANAPOLIS",0,1,0,0,0,0
"KANPUR",0,1,0,0,0,0
"Sikhin village",0,0,0,0,0,1
"Alsace",0,1,0,0,0,0
"Czech Republic",0,1,0,0,0,0
"Wales",0,1,0,0,0,0
"ISRAEL",0,1,0,0,0,0
"Durham",0,1,0,0,0,0
"CINCINNATI",0,1,0,0,0,0
"Wellington",0,1,0,0,0,0
"Old Trafford",0,1,0,0,0,0
"Karachi",0,1,0,0,0,0
"PORT LOUIS",0,1,0,0,0,0
"the United States",0,0,0,0,0,1
"Nablus",0,1,0,0,0,0
"Washington",0,1,0,0,0,0
"Neunkirchen",0,0,0,0,0,1
"Dale McIntosh",0,1,0,0,0,0
"New Mexico",0,1,0,0,0,0
"DOCSTART SOCCER",0,0,0,0,0,1
"Orlando",0,1,0,0,0,0
"BRAZIL",0,1,0,0,0,0
"al Aqsa",0,0,0,0,0,1
"Napoli",0,1,0,0,0,0
"CONNECTICUT",0,1,0,0,0,0
"New York '",0,0,0,0,0,1
"Manila",0,1,0,0,0,0
"Las Vegas",0,1,0,0,0,0
"The Federal Republic of Yugoslavia",0,0,0,0,0,1
"MANTUA",0,0,0,0,0,1
"Southampton",0,1,0,0,0,0
"MANILA",0,1,0,0,0,0
"Tia Juana",0,1,0,0,0,0
"LOUIS",0,0,0,0,0,1
"OHIO",0,0,0,0,0,1
"Kuala Lumpur",0,1,0,0,0,0
"the Republic of Ireland",0,0,0,0,0,1
"Pretoria",0,1,0,0,0,0
"Barvikha",0,1,0,0,0,0
"Hebron",0,1,0,0,0,0
"BAGHDAD",0,1,0,0,0,0
"Bosnia",0,1,0,0,0,0
"DURBAN",0,1,0,0,0,0
"Auckland",0,1,0,0,0,0
"Romania",0,1,0,0,0,0
"Feyenoord",0,1,0,0,0,0
"Bournemouth",0,1,0,0,0,0
"Belgium",0,1,0,0,0,0
"Zhejiang",0,1,0,0,0,0
"Warwickshire",0,1,0,0,0,0
"Saint Bernard",0,0,0,0,0,1
"OAKLAND",0,1,0,0,0,0
"Bucharest",0,1,0,0,0,0
"The Republic of Ireland '",0,0,0,0,0,1
"Hainan",0,1,0,0,0,0
"UK",0,1,0,0,0,0
"Rome",0,1,0,0,0,0
"POLAND",0,1,0,0,0,0
"Missouri",0,1,0,0,0,0
"MADRID",0,1,0,0,0,0
"Gaza",0,1,0,0,0,0
"Germay",0,0,0,0,0,1
"Indonesia",0,1,0,0,0,0
"Tampico",0,1,0,0,0,0
"BELFAST",0,1,0,0,0,0
"VANCOUVER",0,1,0,0,0,0
"Benin",0,1,0,0,0,0
"Dublin",0,1,0,0,0,0
"DIYARBAKIR",0,1,0,0,0,0
"IRELAND",0,1,0,0,0,0
"Northern Ireland",0,1,0,0,0,0
"Genoa",0,1,0,0,0,0
"Panama",0,1,0,0,0,0
"SC Freiburg",0,1,0,0,0,0
"LA",0,0,0,0,0,1
"Watford",0,1,0,0,0,0
"El Hassane",0,0,0,0,0,1
"Faroe Islands",0,1,0,0,0,0
"LATVIA",0,1,0,0,0,0
"Zywcu SA",0,0,0,0,0,1
"Patasse",0,1,0,0,0,0
"Leicestershire",0,1,0,0,0,0
"DOCSTART Bonn",0,0,0,0,0,1
"Toronto",0,1,0,0,0,0
"Dhaka",0,1,0,0,0,0
"Libya",0,1,0,0,0,0
"Tokyo",0,1,0,0,0,0
"Morocco",0,1,0,0,0,0
"al Daih village",0,0,0,0,0,1
"Mansfield",0,1,0,0,0,0
"Wis",0,1,0,0,0,0
"South Africa",0,1,0,0,0,0
"der Merwe Namibia",0,0,0,0,0,1
"British Columbia",0,1,0,0,0,0
"Tavildara",0,1,0,0,0,0
"Mongolia",0,1,0,0,0,0
"Ethiopia",0,1,0,0,0,0
"East Jerusalem",0,1,0,0,0,0
"St Albans",0,1,0,0,0,0
"Huize county",0,0,0,0,0,1
"SPAIN",0,1,0,0,0,0
"the Czech Republic",0,0,0,0,0,1
"Stevenage",0,1,0,0,0,0
"SINGAPORE",0,1,0,0,0,0
"Switzerland",0,1,0,0,0,0
"Quintana Roo",0,1,0,0,0,0
"Ukraine",0,1,0,0,0,0
"New South Wales",0,1,0,0,0,0
"Chatelineaux",0,1,0,0,0,0
"Forfar",0,1,0,0,0,0
"Shrewsbury",0,1,0,0,0,0
"Doetinchem",0,1,0,0,0,0
"London",0,1,0,0,0,0
"Lebanon",0,1,0,0,0,0
"Guatemala",0,1,0,0,0,0
"Amsterdam",0,1,0,0,0,0
"UAE",0,1,0,0,0,0
"TRIPOLI",0,1,0,0,0,0
"Headingley",0,1,0,0,0,0
"SAN JOSE",0,1,0,0,0,0
"Ipswich",0,1,0,0,0,0
"West Bromwich",0,1,0,0,0,0
"Kinshasa",0,1,0,0,0,0
"Goma",0,1,0,0,0,0
"BALTIMORE",0,1,0,0,0,0
"Chile",0,1,0,0,0,0
"BOGOTA",0,1,0,0,0,0
"NORTHAMPTON",0,1,0,0,0,0
"Perugia",0,1,0,0,0,0
"Mantua",0,1,0,0,0,0
"Netherlands",0,1,0,0,0,0
"SACRAMENTO",0,1,0,0,0,0
"Exeter",0,1,0,0,0,0
"WHISTLER",0,1,0,0,0,0
"Kampala",0,1,0,0,0,0
"Tasmania",0,1,0,0,0,0
"New Hampshire",0,1,0,0,0,0
