Entity,COR,INC,PAR,SPU,MIS,IGN
"11.",0,0,0,0,0,1
"nearly 1,000",0,0,0,0,0,1
"2026",0,0,0,0,0,1
"19,672",0,0,0,0,0,1
"23:58",0,0,0,0,0,1
"47 78",0,0,0,0,0,1
"481",0,0,0,0,0,1
"hundreds of thousands",0,0,0,0,0,1
"Darlington",0,1,0,0,0,0
"34",0,0,0,0,0,1
"818 million",0,0,0,0,0,1
"11,589",0,0,0,0,0,1
"72",0,0,0,0,0,1
"127",0,0,0,0,0,1
"over 7",0,0,0,0,0,1
"5 10",0,0,0,0,0,1
"42,442",0,0,0,0,0,1
"185",0,0,0,0,0,1
"19,306",0,0,0,0,0,1
"387",0,0,0,0,0,1
"08 2",0,0,0,0,0,1
"95 6",0,0,0,0,0,1
"More than 960",0,0,0,0,0,1
"48 22",0,0,0,0,0,1
"70,000",0,0,0,0,0,1
"214",0,0,0,0,0,1
"651",0,0,0,0,0,1
"5. 50",0,0,0,0,0,1
"467",0,0,0,0,0,1
"441 17",0,0,0,0,0,1
"275 million",0,0,0,0,0,1
"16",0,0,0,0,0,1
"156",0,0,0,0,0,1
"519",0,0,0,0,0,1
"57th",0,0,0,0,0,1
"650 million",0,0,0,0,0,1
"15 / 12 23",0,0,0,0,0,1
"133",0,0,0,0,0,1
"18,661",0,0,0,0,0,1
"SIX",0,0,0,0,0,1
"Thousands",0,0,0,0,0,1
"6. 9 billion",0,0,0,0,0,1
"38",0,0,0,0,0,1
"289",0,0,0,0,0,1
"69,100",0,0,0,0,0,1
"only one",0,0,0,0,0,1
"11. 2 million",0,0,0,0,0,1
"15",0,0,0,0,0,1
"13050",0,0,0,0,0,1
"1203",0,0,0,0,0,1
"115",0,0,0,0,0,1
"03 18",0,0,0,0,0,1
"7. 66 million",0,0,0,0,0,1
"about 80",0,0,0,0,0,1
"629",0,0,0,0,0,1
"75 10",0,0,0,0,0,1
"5 / 143",0,0,0,0,0,1
"1,967",0,0,0,0,0,1
"2531",0,0,0,0,0,1
"462",0,0,0,0,0,1
"10 / 32",0,0,0,0,0,1
"6 million",0,0,0,0,0,1
"37",0,0,0,0,0,1
"two",0,0,0,0,0,1
"471",0,0,0,0,0,1
"zero",0,0,0,0,0,1
"At least four",0,0,0,0,0,1
"250,000",0,0,0,0,0,1
"25,000",0,0,0,0,0,1
"321 million",0,0,0,0,0,1
"542",0,0,0,0,0,1
"1nb",0,0,0,0,0,1
"32",0,0,0,0,0,1
"31 million",0,0,0,0,0,1
"506",0,0,0,0,0,1
"80 3",0,0,0,0,0,1
"about 120",0,0,0,0,0,1
"37 76",0,0,0,0,0,1
"158",0,0,0,0,0,1
"06",0,0,0,0,0,1
"Half",0,0,0,0,0,1
"2730",0,0,0,0,0,1
"3,885",0,0,0,0,0,1
"6",0,0,0,0,0,1
"121",0,0,0,0,0,1
"20 6",0,0,0,0,0,1
"About 112",0,0,0,0,0,1
"45.",0,0,0,0,0,1
"4,605 5,110 30,589 29,328",0,0,0,0,0,1
"137",0,0,0,0,0,1
"18 69",0,0,0,0,0,1
"16 5",0,0,0,0,0,1
"1168",0,0,0,0,0,1
"15 1",0,0,0,0,0,1
"3. 80.",0,0,0,0,0,1
"33,000",0,0,0,0,0,1
"3",0,0,0,0,0,1
"358",0,0,0,0,0,1
"1 million",0,0,0,0,0,1
"07 72",0,0,0,0,0,1
"204",0,0,0,0,0,1
"Two",0,0,0,0,0,1
"109 5",0,0,0,0,0,1
"15 10",0,0,0,0,0,1
"20",0,0,0,0,0,1
"05.",0,0,0,0,0,1
"182",0,0,0,0,0,1
"42 13",0,0,0,0,0,1
"5,778",0,0,0,0,0,1
"22.",0,0,0,0,0,1
"678 billion",0,0,0,0,0,1
"42 2",0,0,0,0,0,1
"205",0,0,0,0,0,1
"9. 54",0,0,0,0,0,1
"53 11",0,0,0,0,0,1
"483 3",0,0,0,0,0,1
"Seventy seven",0,0,0,0,0,1
"3,333",0,0,0,0,0,1
"125",0,0,0,0,0,1
"Hamilton",0,1,0,0,0,0
"Chester",0,1,0,0,0,0
"42",0,0,0,0,0,1
"421",0,0,0,0,0,1
"80 5",0,0,0,0,0,1
"211",0,0,0,0,0,1
"2021",0,0,0,0,0,1
"one",0,0,0,0,0,1
"30,000",0,0,0,0,0,1
"260",0,0,0,0,0,1
"183",0,0,0,0,0,1
"17",0,0,0,0,0,1
"20 1",0,0,0,0,0,1
"67",0,0,0,0,0,1
"145",0,0,0,0,0,1
"51 10",0,0,0,0,0,1
"24:15.",0,0,0,0,0,1
"20.",0,0,0,0,0,1
"1,445",0,0,0,0,0,1
"about 40",0,0,0,0,0,1
"03",0,0,0,0,0,1
"39 76",0,0,0,0,0,1
"0. 20",0,0,0,0,0,1
"78th",0,0,0,0,0,1
"39",0,0,0,0,0,1
"24.",0,0,0,0,0,1
"561 million",0,0,0,0,0,1
"about 20",0,0,0,0,0,1
"470",0,0,0,0,0,1
"350",0,0,0,0,0,1
"80",0,0,0,0,0,1
"4 126 / 130",0,0,0,0,0,1
"up to a million",0,0,0,0,0,1
"31st",0,0,0,0,0,1
"958",0,0,0,0,0,1
"15,838",0,0,0,0,0,1
"203",0,0,0,0,0,1
"1 1",0,0,0,0,0,1
"48",0,0,0,0,0,1
"2147",0,0,0,0,0,1
"97 74",0,0,0,0,0,1
"988",0,0,0,0,0,1
"395",0,0,0,0,0,1
"824",0,0,0,0,0,1
"13.",0,0,0,0,0,1
"43 70",0,0,0,0,0,1
"143",0,0,0,0,0,1
"36 4",0,0,0,0,0,1
"61",0,0,0,0,0,1
"Bevan",0,1,0,0,0,0
"17 6",0,0,0,0,0,1
"41 72",0,0,0,0,0,1
"218",0,0,0,0,0,1
"0 0",0,0,0,0,0,1
"3,550",0,0,0,0,0,1
"9,000",0,0,0,0,0,1
"ninth",0,0,0,0,0,1
"647",0,0,0,0,0,1
"20 million",0,0,0,0,0,1
"75.",0,0,0,0,0,1
"109",0,0,0,0,0,1
"15 5",0,0,0,0,0,1
"1 1135",0,0,0,0,0,1
"646",0,0,0,0,0,1
"more than 3,000",0,0,0,0,0,1
"45 billion",0,0,0,0,0,1
"Hollioake",0,1,0,0,0,0
"76 / 53",0,0,0,0,0,1
"474",0,0,0,0,0,1
"4.",0,0,0,0,0,1
"6.",0,0,0,0,0,1
"about 100",0,0,0,0,0,1
"941",0,0,0,0,0,1
"10 1",0,0,0,0,0,1
"52",0,0,0,0,0,1
"98",0,0,0,0,0,1
"9.",0,0,0,0,0,1
"15,150",0,0,0,0,0,1
"at least 61",0,0,0,0,0,1
"18",0,0,0,0,0,1
"89 / 53",0,0,0,0,0,1
"1812",0,0,0,0,0,1
"10",0,0,0,0,0,1
"660",0,0,0,0,0,1
"01 3",0,0,0,0,0,1
"870",0,0,0,0,0,1
"4. 58",0,0,0,0,0,1
"the estimated 727,000",0,0,0,0,0,1
"5 160",0,0,0,0,0,1
"889",0,0,0,0,0,1
"784,000",0,0,0,0,0,1
"24 4",0,0,0,0,0,1
"63 8",0,0,0,0,0,1
"468",0,0,0,0,0,1
"55",0,0,0,0,0,1
"25. 58",0,0,0,0,0,1
"855",0,0,0,0,0,1
"937",0,0,0,0,0,1
"43,955",0,0,0,0,0,1
"297,157",0,0,0,0,0,1
"about 165,000",0,0,0,0,0,1
"19 7",0,0,0,0,0,1
"1:49",0,0,0,0,0,1
"496",0,0,0,0,0,1
"944",0,0,0,0,0,1
"372",0,0,0,0,0,1
"95",0,0,0,0,0,1
"3. 5 million",0,0,0,0,0,1
"3. 35",0,0,0,0,0,1
"3. 50.",0,0,0,0,0,1
"5647",0,0,0,0,0,1
"At least 17",0,0,0,0,0,1
"9 1220",0,0,0,0,0,1
"1 5",0,0,0,0,0,1
"149",0,0,0,0,0,1
"5",0,0,0,0,0,1
"61 71",0,0,0,0,0,1
"83 57",0,0,0,0,0,1
"190",0,0,0,0,0,1
"538",0,0,0,0,0,1
"62nd",0,0,0,0,0,1
"6 / 110",0,0,0,0,0,1
"07 29",0,0,0,0,0,1
"26 / 32",0,0,0,0,0,1
"24,602",0,0,0,0,0,1
"316",0,0,0,0,0,1
"14,000",0,0,0,0,0,1
"123",0,0,0,0,0,1
"10 3",0,0,0,0,0,1
"Five",0,0,0,0,0,1
"08 30",0,0,0,0,0,1
"5,647",0,0,0,0,0,1
"130 3",0,0,0,0,0,1
"1 0. 96",0,0,0,0,0,1
"277",0,0,0,0,0,1
"3 1",0,0,0,0,0,1
"74 8",0,0,0,0,0,1
"26 6",0,0,0,0,0,1
"More than 300",0,0,0,0,0,1
"5 0",0,0,0,0,0,1
"only 10",0,0,0,0,0,1
"255",0,0,0,0,0,1
"1.",0,0,0,0,0,1
"2,000",0,0,0,0,0,1
"180,000",0,0,0,0,0,1
"26 52",0,0,0,0,0,1
"7 17 15 14 15",0,0,0,0,0,1
"1. 1 million",0,0,0,0,0,1
"Mansfield",0,1,0,0,0,0
"7",0,0,0,0,0,1
"2 1",0,0,0,0,0,1
"about 25 million",0,0,0,0,0,1
"112",0,0,0,0,0,1
"201",0,0,0,0,0,1
"004",0,0,0,0,0,1
"188",0,0,0,0,0,1
"about 120 million",0,0,0,0,0,1
"more than 125,000",0,0,0,0,0,1
"475 million",0,0,0,0,0,1
"5,300",0,0,0,0,0,1
"2686",0,0,0,0,0,1
"49.",0,0,0,0,0,1
"2 1039",0,0,0,0,0,1
"About 350",0,0,0,0,0,1
"13 30",0,0,0,0,0,1
"68",0,0,0,0,0,1
"25,000,000",0,0,0,0,0,1
"18,000",0,0,0,0,0,1
"half",0,0,0,0,0,1
"194",0,0,0,0,0,1
"1860",0,0,0,0,0,1
"nearly 600,000",0,0,0,0,0,1
"07",0,0,0,0,0,1
"273",0,0,0,0,0,1
"3,000",0,0,0,0,0,1
"seven",0,0,0,0,0,1
"327",0,0,0,0,0,1
"181",0,0,0,0,0,1
"34. 475",0,0,0,0,0,1
"Preston",0,1,0,0,0,0
"5 6278",0,0,0,0,0,1
"59",0,0,0,0,0,1
"26,000",0,0,0,0,0,1
"24 65",0,0,0,0,0,1
"172",0,0,0,0,0,1
"about 13 million",0,0,0,0,0,1
"4 0",0,0,0,0,0,1
"238",0,0,0,0,0,1
"35,000",0,0,0,0,0,1
