Entity,COR,INC,PAR,SPU,MIS,IGN
"SEATTLE CAROLINA",0,0,0,0,0,1
"Chicago",0,1,0,0,0,0
"BUCHAREST",0,1,0,0,0,0
"ESTONIA",0,1,0,0,0,0
"Warsaw",0,1,0,0,0,0
"Berlin",0,1,0,0,0,0
"Kansas City",0,1,0,0,0,0
"Nantes",0,1,0,0,0,0
"Sheffield",0,0,0,0,0,1
"HONG KONG",0,1,0,0,0,0
"ORLANDO",0,1,0,0,0,0
"Aberdeen",0,1,0,0,0,0
"Rotherham",0,1,0,0,0,0
"Mahala",0,1,0,0,0,0
"Israel",0,1,0,0,0,0
"EDMONTON",0,1,0,0,0,0
"Yangon",0,1,0,0,0,0
"Venezuela",0,1,0,0,0,0
"Hangzhou",0,1,0,0,0,0
"Sunderland",0,1,0,0,0,0
"Tottenham",0,1,0,0,0,0
"Ankara",0,1,0,0,0,0
"Maccabi",0,0,0,0,0,1
"Urus Martan",0,0,0,0,0,1
"Vietnam",0,1,0,0,0,0
"Paris",0,1,0,0,0,0
"Paramaribo",0,1,0,0,0,0
"East Timor",0,1,0,0,0,0
"Santiago de Cuba",0,1,0,0,0,0
"Alloa",0,1,0,0,0,0
"Juventus",0,1,0,0,0,0
"Hobart",0,1,0,0,0,0
"Baltimore",0,1,0,0,0,0
"Cincinnati",0,1,0,0,0,0
"Norilsk",0,1,0,0,0,0
"LOS ANGELES",0,1,0,0,0,0
"Sussex",0,1,0,0,0,0
""" Republic of Padania",0,0,0,0,0,1
"Prestwick",0,1,0,0,0,0
"DOCSTART Italy '",0,0,0,0,0,1
"MILWAUKEE",0,1,0,0,0,0
"Pittsburgh",0,1,0,0,0,0
"Uzbekistan",0,1,0,0,0,0
"Melbourne",0,1,0,0,0,0
"ATALANTA",0,1,0,0,0,0
"Somerset",0,1,0,0,0,0
"Wuhan",0,1,0,0,0,0
"Brighton",0,1,0,0,0,0
"Pontypridd",0,1,0,0,0,0
"Stansted",0,1,0,0,0,0
"Grimsby",0,1,0,0,0,0
"Macedonia",0,1,0,0,0,0
"Hapoel Jerusalem",0,1,0,0,0,0
"Azerbaijan",0,1,0,0,0,0
"N. J.",0,0,0,0,0,1
"Hapoel",0,0,0,0,0,1
"Argentina",0,1,0,0,0,0
"Kisangani",0,1,0,0,0,0
"Ottawa",0,1,0,0,0,0
"GRONINGEN",0,1,0,0,0,0
"Moldova",0,1,0,0,0,0
"Barentsburg",0,1,0,0,0,0
"Yugoslavia",0,1,0,0,0,0
"Rapid Vienna",0,1,0,0,0,0
"TAMPA BAY",0,1,0,0,0,0
"AL RAM",0,0,0,0,0,1
"Slovakia",0,1,0,0,0,0
"Kecskemet",0,1,0,0,0,0
"Maracaibo",0,1,0,0,0,0
"CAIRO",0,1,0,0,0,0
"Swindon",0,1,0,0,0,0
"Northamptonshire",0,1,0,0,0,0
"PORTUGAL",0,1,0,0,0,0
"RIO DE JANEIRO",0,1,0,0,0,0
"Timisoara",0,1,0,0,0,0
"Ashford Town",0,1,0,0,0,0
"Canada",0,1,0,0,0,0
"Portsmouth",0,1,0,0,0,0
"Poland",0,1,0,0,0,0
"Baltimore 6",0,0,0,0,0,1
"Elgin City",0,1,0,0,0,0
"Munich",0,0,0,0,0,1
"Rangoon",0,1,0,0,0,0
"Shannon , Ireland",0,0,0,0,0,1
"JOHANNESBURG",0,1,0,0,0,0
"Jordan",0,1,0,0,0,0
"S ZULU PROVINCE",0,0,0,0,0,1
"Betar Jerusalem",0,1,0,0,0,0
"Cuba",0,1,0,0,0,0
"Chatelet",0,1,0,0,0,0
"Guangxi",0,1,0,0,0,0
"Uruguay",0,1,0,0,0,0
"MEXICO CITY",0,1,0,0,0,0
"TEXAS",0,1,0,0,0,0
"ARIZONA",0,1,0,0,0,0
"JACKSONVILLE",0,1,0,0,0,0
