Entity,COR,INC,PAR,SPU,MIS,IGN
"PMI",0,0,0,1,0,0
"the Agriculture Department '",0,0,1,0,0,0
"Mariners",1,0,0,0,0,0
"VICTORIA",0,0,0,0,1,0
"OPECNA",1,0,0,0,0,0
"LM Ericsson AB",1,0,0,0,0,0
"Mobil",1,0,0,0,0,0
"KENNY K SHEETS",0,0,0,1,0,0
"Wigan 42 Bradford Bulls 36",0,0,1,0,0,0
"GPTA",0,0,0,0,1,0
"Zemun",0,0,0,0,1,0
"Herri Batasuna",0,0,0,0,1,0
"KPD",1,0,0,0,0,0
"Wycombe",0,0,0,0,1,0
"Juventus",1,0,0,0,0,0
"Pirelli",1,0,0,0,0,0
"NYMEX",1,0,0,0,0,0
"Minnesota 4",0,0,1,0,0,0
"Verona",0,0,0,0,1,0
"Haitham Haddadin",0,0,0,0,1,0
"WBC",1,0,0,0,0,0
"ETA",1,0,0,0,0,0
"COLORADO 3",0,0,1,0,0,0
"Glenavon",0,0,0,0,1,0
"OIC",1,0,0,0,0,0
"Prague Newsroom",0,0,0,0,1,0
"Gazzetta dello Sport",1,0,0,0,0,0
"Dumbarton",0,0,0,0,1,0
"PAP",0,0,0,0,1,0
"Proleter ( Z )",0,0,0,0,1,0
"CONCACAF",1,0,0,0,0,0
"the New York Jets",0,0,1,0,0,0
"the Rubber Board of India",0,0,1,0,0,0
"Linfield 1 Glentoran",0,0,1,0,0,0
"Stevenage",0,0,0,0,1,0
"Carlsberg",1,0,0,0,0,0
"RIO DE JANEIRO",0,1,0,0,0,0
"Florida Supreme Court",0,0,0,0,1,0
"Port Vale",0,0,0,0,1,0
"12 06 Leeds ' England",0,0,1,0,0,0
"Interrosimpex",1,0,0,0,0,0
"the Federal Reserve",0,0,1,0,0,0
"Preston",0,0,0,0,1,0
"Ipswich",0,0,0,0,1,0
"ILO",1,0,0,0,0,0
"the General Administration of Customs",0,0,1,0,0,0
"EASTERN CONFERENCE ATLANTIC DIVISION W L PCT GB MIAMI",0,0,1,0,0,0
"Intelligence",0,0,0,1,0,0
"the High Court",0,0,1,0,0,0
"Wolverhampton",0,0,0,0,1,0
"Nottingham Forest",0,0,0,0,1,0
"Wall Street",0,1,0,0,0,0
"DOCSTART SOCCER IRELAND",0,0,1,0,0,0
"First of Michigan Corp",0,0,1,0,0,0
"the Budapest Stock Exchange BSE",0,0,1,0,0,0
"Orioles",1,0,0,0,0,0
"DOCSTART Multinational",0,0,0,1,0,0
"Movement for a Democratic Slovakia",1,0,0,0,0,0
"Philadelphia 10 DOCSTART NCAA AMERICAN FOOTBALL OHIO STATE '",0,0,1,0,0,0
"Cofinec",1,0,0,0,0,0
"Motorsport Traditions Ltd",1,0,0,0,0,0
"NEC Nijmegen",0,0,0,0,1,0
"Ards",0,0,0,0,1,0
"the Burj al Laqlaq Society",0,0,0,1,0,0
"the National Highway Traffic Safety Administration",0,0,1,0,0,0
"Bre X",0,0,0,1,0,0
"Pusan",0,0,0,0,1,0
"Sloboda",0,0,0,0,1,0
"the Mines and Energy Ministry",0,0,1,0,0,0
"The Rally for the Return of Refugees and Democracy in Rwanda RDR",0,0,1,0,0,0
"the South Lebanon Army SLA",0,0,1,0,0,0
"Wallabies",1,0,0,0,0,0
"Air France",1,0,0,0,0,0
"the Tokyo Stock Exchange",0,0,1,0,0,0
"Aberdeen",0,0,0,0,1,0
"St Mirren",0,0,0,0,1,0
"Cannes",0,0,0,0,1,0
"the National Hockey League",0,0,1,0,0,0
"DOCSTART SOCCER FRENCH LEAGUE",0,0,0,1,0,0
"PKK",1,0,0,0,0,0
"the Dhaka Stock Exchange DSE",0,0,1,0,0,0
"International Finance Bureau",1,0,0,0,0,0
"The American Stock Exchange",0,0,1,0,0,0
"RKC Waalwijk",1,0,0,0,0,0
"New York Commodities",0,0,0,0,1,0
"Kia",1,0,0,0,0,0
"OPEC",1,0,0,0,0,0
"DOCSTART SOCCER SILVA '",0,0,0,1,0,0
"Real Madrid 1 DOCSTART SOCCER BELGIUM",0,0,1,0,0,0
"Schroder Wertheim Co",0,0,0,1,0,0
"Edward D. Jones Co",0,0,1,0,0,0
"Group C",0,0,0,1,0,0
"Warsaw Newsroom",0,0,0,0,1,0
"Kurdistan Workers Party",1,0,0,0,0,0
"the Social Democratic Union",0,0,1,0,0,0
"SLORC",1,0,0,0,0,0
"Federal Reserve",1,0,0,0,0,0
"Pontypridd",0,0,0,0,1,0
"Phillies",1,0,0,0,0,0
"First Bank System Inc.",1,0,0,0,0,0
"Athletic Bilbao",0,0,0,0,1,0
"Kia Motor Corp",1,0,0,0,0,0
"NSW Treasury",1,0,0,0,0,0
"Raith",0,0,0,0,1,0
"6 2",0,0,0,1,0,0
"Rapid Vienna",0,0,0,0,1,0
"Israeli Guardians of the Cedars",0,0,1,0,0,0
"Reform Party",1,0,0,0,0,0
"Parliament",0,0,0,1,0,0
"Huntly",0,0,0,0,1,0
"Hansenne",0,0,0,1,0,0
"Minor Counties XI",0,0,0,0,1,0
"League",1,0,0,0,0,0
"BOJ",1,0,0,0,0,0
"World Trade Organisation",1,0,0,0,0,0
"N. General Assembly",0,0,1,0,0,0
"Multico",1,0,0,0,0,0
"DOCSTART Nato",0,0,0,1,0,0
"Volendam",0,0,0,0,1,0
"The Democratic Convention",0,0,0,1,0,0
"Lens",0,0,0,0,1,0
"Atalanta",1,0,0,0,0,0
"FOMC",1,0,0,0,0,0
"BRE",1,0,0,0,0,0
"S. Agriculture Department",0,0,1,0,0,0
"the Palestinian Authority",0,0,1,0,0,0
"DOCSTART Russia",0,0,0,1,0,0
"London Irish",0,0,0,0,1,0
"Commerce",1,0,0,0,0,0
"First Bank",1,0,0,0,0,0
"the United Nations",0,0,1,0,0,0
"Economic Planning Agency",1,0,0,0,0,0
"CNBC",1,0,0,0,0,0
"JCPENNEY",0,0,0,1,0,0
"the State Law and Order Restoration Council",0,0,1,0,0,0
"Champions ' League",0,1,0,0,0,0
"Crewe",0,0,0,0,1,0
"Pohang",0,0,0,0,1,0
"DOCSTART CRICKET AUSTRALIA",0,0,0,1,0,0
"IRA",1,0,0,0,0,0
"National Automobile Occupant Protection Campaign",0,0,0,0,1,0
"DOCSTART IPO FILING Homegate Hospitality Inc",0,0,1,0,0,0
"Socialist CFDT",0,0,1,0,0,0
"Canada I",0,0,0,0,1,0
"Agriculture",0,0,1,0,0,0
"Moscow Newsroom",1,0,0,0,0,0
"MARLINS",1,0,0,0,0,0
"Genoa",0,0,0,0,1,0
"Bristol City",0,0,0,0,1,0
"SC Freiburg",0,0,0,0,1,0
"FC St. Pauli",0,0,0,0,1,0
"United Arab Emirates",0,1,0,0,0,0
"the Blue Jays",0,0,1,0,0,0
"Brewers",1,0,0,0,0,0
"Ranji Trophy",0,1,0,0,0,0
"DSE",1,0,0,0,0,0
"AZ Alkmaar",0,0,0,0,1,0
"Peterborough",0,0,0,0,1,0
"Santa Fe Pacific Gold Corp",0,0,0,0,1,0
"Amnesty International",1,0,0,0,0,0
"The Canadian Wheat Board",0,0,1,0,0,0
"New York Energy Desk 212 859 1620 DOCSTART Dole",0,0,1,0,0,0
"Department of Corrections",1,0,0,0,0,0
"Central Jakarta District Court",0,0,0,0,1,0
"Santander",0,1,0,0,0,0
"Hartlepool",0,0,0,0,1,0
"Borussia Dortmund",0,0,0,0,1,0
"DOCSTART CRICKET SRI LANKA",0,0,1,0,0,0
"Congress",0,0,1,0,0,0
"KANSAS CITY",0,0,0,0,1,0
"World Boxing Council",1,0,0,0,0,0
"Gloucester",0,0,0,0,1,0
"DOCSTART PRESALE Bay Co Bldg Auth",0,0,1,0,0,0
"SAfrican",0,1,0,0,0,0
"Tanjug",1,0,0,0,0,0
"Cukaricki",0,0,0,0,1,0
"NBA BASKETBALL FRIDAY '",0,0,1,0,0,0
"Bre-X Minerals Ltd",0,0,0,0,1,0
"Interfax news agency",0,0,1,0,0,0
"the Baltimore Orioles",0,0,1,0,0,0
"Mets",1,0,0,0,0,0
"ANAHEIM",0,0,0,0,1,0
"European Union",1,0,0,0,0,0
"South African Breweries Ltd",0,0,0,0,1,0
"Huddersfield",0,0,0,0,1,0
"the Cleveland Indians 5 3",0,0,1,0,0,0
"DOT",1,0,0,0,0,0
"John Lewis UK",1,0,0,0,0,0
"Atlanta",1,0,0,0,0,0
"DES MOINES",0,1,0,0,0,0
"Chonan",0,0,0,0,1,0
"Santa Fe",1,0,0,0,0,0
"Southend",0,0,0,0,1,0
"Llanelli",0,0,0,0,1,0
"N / A Business : Company '",0,0,0,1,0,0
"Arminia Bielefeld",0,0,0,0,1,0
"DOCSTART School",0,0,0,1,0,0
"Sumitomo Bank",1,0,0,0,0,0
"Scarborough",0,0,0,0,1,0
"Khmer Nation Party",1,0,0,0,0,0
"Budapest Bank '",0,0,0,1,0,0
"Goldman , Sachs",1,0,0,0,0,0
"the Yangon Institute of Technology YIT",0,0,1,0,0,0
"MSV Duisburg",0,0,0,0,1,0
"BENETTON",0,0,0,0,1,0
"the the Palestinian U",0,0,0,1,0,0
"Goias",0,0,0,0,1,0
"NationsBank Corp",0,0,1,0,0,0
"Al Akhbar",0,0,0,1,0,0
"DOCSTART Cofinec",0,0,1,0,0,0
"EU",1,0,0,0,0,0
"Sidek",1,0,0,0,0,0
"A.G. Edwards & Sons",0,0,0,0,1,0
"Intelligent Network",0,1,0,0,0,0
"the Lay Volunteers ' International Organisation",0,0,1,0,0,0
"NYMEX Alberta",0,0,1,0,0,0
"JCPenney Classic",0,1,0,0,0,0
"Stranraer",0,0,0,0,1,0
"Frater",0,1,0,0,0,0
"Xinhua news agency",0,0,1,0,0,0
"Bharatiya Janata Party",1,0,0,0,0,0
"ST LOUIS DOCSTART BASEBALL",0,0,1,0,0,0
"British Airways '",0,0,1,0,0,0
"SK Rapid '",0,0,1,0,0,0
"British Universities",1,0,0,0,0,0
"Fulham",0,0,0,0,1,0
"Norwich City",0,0,0,0,1,0
"Stockport",0,0,0,0,1,0
"Parma",1,0,0,0,0,0
"Atlanta Games",0,1,0,0,0,0
"The Party of Democratic Action SDA",0,0,1,0,0,0
"AS Roma",0,0,0,0,1,0
"U. S. Interfax",0,0,1,0,0,0
"27 Nation '",0,0,0,1,0,0
"USA",0,1,0,0,0,0
"Bayer Leverkusen",0,0,0,0,1,0
"McDonald ' s",0,0,0,1,0,0
"National Association of Purchasing Management NAPM",0,0,1,0,0,0
"Anyang",0,0,0,0,1,0
"LA PRESSE",1,0,0,0,0,0
"Blackpool",0,0,0,0,1,0
"the Cincinnati Reds",0,0,1,0,0,0
"FSA",0,0,0,0,1,0
"Steaua Bucharest",0,0,0,0,1,0
"Glencoe Animal Hospital",0,0,0,0,1,0
"06 Canada '",0,0,0,1,0,0
"the Institute of Policy Studies ISEAS",0,0,1,0,0,0
"Minsk Group",1,0,0,0,0,0
"Ruch",1,0,0,0,0,0
"the Palestinian Liberation Organisation",0,0,1,0,0,0
"Reuters",1,0,0,0,0,0
"Hizbollah",1,0,0,0,0,0
"Portadown",0,0,0,0,1,0
"the Sant ' Egidio Community",0,0,1,0,0,0
"the Organisation of the Islamic Conference OIC",0,0,1,0,0,0
"Major",0,1,0,0,0,0
"the Seattle Mariners",0,0,1,0,0,0
"Scottish Cup",0,1,0,0,0,0
"Whitehill",0,0,0,0,1,0
"Lotte",0,0,0,0,1,0
"KeyCorp",1,0,0,0,0,0
"New York Power Desk",0,0,0,0,1,0
"Cleveland 3 New York 6",0,0,1,0,0,0
"Foreign Office",1,0,0,0,0,0
"Zywiec",1,0,0,0,0,0
"Radiometer H1",0,0,1,0,0,0
"McDonald 's",0,0,0,0,1,0
"Horinouchi",0,1,0,0,0,0
"AECO",0,0,0,0,1,0
"Melrose",0,0,0,0,1,0
"REAL",0,0,0,0,1,0
"County Cricket Board",0,0,1,0,0,0
"the University of Yangon",0,0,1,0,0,0
"U. S.",0,0,0,1,0,0
"Panionios",0,0,0,0,1,0
"DOCSTART Burma '",0,0,0,1,0,0
"International Boxing Federation",1,0,0,0,0,0
"Interfax",1,0,0,0,0,0
"the Hong Kong Standard",0,0,1,0,0,0
"SDA",1,0,0,0,0,0
"Labor",0,0,0,1,0,0
"Mahindra International",0,1,0,0,0,0
"OSCE",1,0,0,0,0,0
"Radical Democrats FDP",0,0,1,0,0,0
"NATIONAL LEAGUE EASTERN DIVISION W L PCT GB ATLANTA",0,0,1,0,0,0
"The Super Peasants """,0,0,1,0,0,0
"Buffalo",0,0,0,0,1,0
"The National Bank of Poland",0,0,1,0,0,0
"12 06 Senegal '",0,0,0,1,0,0
"the League of Women Voters",0,0,1,0,0,0
"TOKYO",0,1,0,0,0,0
"Munich Re",1,0,0,0,0,0
"Sumitomo",1,0,0,0,0,0
"London Newsroom",1,0,0,0,0,0
"DOCSTART Cricket Pakistan",0,0,0,1,0,0
"Human Rights in China",1,0,0,0,0,0
"DOCSTART",0,0,0,1,0,0
"Fortuna Sittard",0,0,0,0,1,0
"Arsenal",1,0,0,0,0,0
"Springbok",1,0,0,0,0,0
"the Kurdistan Democratic Party KDP",0,0,1,0,0,0
"Enfield",0,0,0,0,1,0
"Ross County 1",0,0,1,0,0,0
"Hindustan Copper Ltd",1,0,0,0,0,0
"Bangladesh Lamps",0,0,0,0,1,0
"Honda",1,0,0,0,0,0
"Camaras Arbitrales",0,0,0,1,0,0
"Outagmie County Circuit Court",0,0,0,1,0,0
"Longyear",0,1,0,0,0,0
"Le Matin",1,0,0,0,0,0
"N. Council",0,0,1,0,0,0
"Udinese",1,0,0,0,0,0
"Banc One",1,0,0,0,0,0
"NationsBank",1,0,0,0,0,0
"the All Blacks",0,0,1,0,0,0
"Enterprise",0,1,0,0,0,0
"National Hockey League",1,0,0,0,0,0
"Durham",0,0,0,0,1,0
"The Gazzetta dello Sport",0,0,1,0,0,0
"INA",1,0,0,0,0,0
"Telephone Corp NTT",0,0,1,0,0,0
"Vinson",0,1,0,0,0,0
"Harlequins",1,0,0,0,0,0
"ODS",1,0,0,0,0,0
"The Humane Society",0,0,0,1,0,0
"Colorado 4",0,0,1,0,0,0
"EuroLeague",0,1,0,0,0,0
"PT Telekomunikasi Indonesia Telkom",0,0,1,0,0,0
"McDonald & Co",0,0,0,0,1,0
"NWS",1,0,0,0,0,0
"Galatasaray",0,0,0,0,1,0
"Televisa",1,0,0,0,0,0
"Norilsk",1,0,0,0,0,0
"Ulan Bator",0,1,0,0,0,0
"NYMEX Permian",0,0,1,0,0,0
"Puchon",0,0,0,0,1,0
"DOCSTART SOCCER SWEDEN",0,0,0,1,0,0
"Ahold",1,0,0,0,0,0
"American League DETROIT 4 Kansas City 1",0,0,1,0,0,0
"Fortuna Dusseldorf",0,0,0,0,1,0
"Riga Newsroom",1,0,0,0,0,0
"Aston Villa",0,0,0,0,1,0
"Somerset",1,0,0,0,0,0
"Collstrop",0,0,0,0,1,0
"Bristol Rovers",0,0,0,0,1,0
"Johnson Controls Inc",0,0,0,0,1,0
"DOCSTART Reuters",0,0,1,0,0,0
"British Labour Party",1,0,0,0,0,0
"Bolton Division",0,0,1,0,0,0
"the Agriculture Department",0,0,1,0,0,0
"Chicago 4",0,0,1,0,0,0
"Chonbuk",0,0,0,0,1,0
"Mansfield",0,0,0,0,1,0
"Dunfermline 2",0,0,1,0,0,0
"UNIFIL",1,0,0,0,0,0
"the Central Narcotics Bureau CNB",0,0,1,0,0,0
"McLean",0,1,0,0,0,0
"Doetinchem",0,0,0,0,1,0
"Antwerp",0,0,0,0,1,0
"Sudbury Town",0,0,0,0,1,0
"Hizbollah Party of God",0,0,1,0,0,0
"Benetton Italy 92",0,0,1,0,0,0
"Suwan",0,0,0,0,1,0
"the Miami Dolphins",0,0,1,0,0,0
"SACRAMENTO",0,0,0,0,1,0
"Tass",1,0,0,0,0,0
"Bull",0,0,1,0,0,0
"the Professional Squash Association",0,0,1,0,0,0
"Estudiantes Madrid Spain",0,0,1,0,0,0
"DOCSTART Munich Re",0,0,1,0,0,0
"Split",0,0,0,0,1,0
"BBC",1,0,0,0,0,0
"the Civil Aviation Administration of China",0,0,1,0,0,0
"MCI Communications Corporation",1,0,0,0,0,0
"Mercedes",0,1,0,0,0,0
"Loznica",0,0,0,0,1,0
"Britain I",0,0,0,0,1,0
"the White House",0,0,0,1,0,0
"National Alliance",1,0,0,0,0,0
"DOCSTART SOCCER LEEDS '",0,0,1,0,0,0
