Entity,COR,INC,PAR,SPU,MIS,IGN
"51 minute",0,0,0,0,0,1
"12",0,0,0,0,0,1
"79th minute",0,0,0,0,0,1
"19. 97 seconds",0,0,0,0,0,1
"23 seconds 2",0,0,0,0,0,1
"morning",0,0,0,0,0,1
"12 07",0,0,0,0,0,1
"15:09",0,0,0,0,0,1
"only 40 minutes",0,0,0,0,0,1
"0800 GMT",0,0,0,0,0,1
"4 PM",0,0,0,0,0,1
"five seconds",0,0,0,0,0,1
"26:24. 9",0,0,0,0,0,1
"hours",0,0,0,0,0,1
"night",0,0,0,0,0,1
"3rd minute",0,0,0,0,0,1
"late afternoon",0,0,0,0,0,1
"midday",0,0,0,0,0,1
"as many minutes",0,0,0,0,0,1
"the top of the ninth",0,0,0,0,0,1
"dawn",0,0,0,0,0,1
"1000 local / 1600 GMT",0,0,0,0,0,1
"10 minutes",0,0,0,0,0,1
"91 seconds 52",0,0,0,0,0,1
"Wednesday night",0,0,0,0,0,1
"this morning",0,0,0,0,0,1
"the 55th minute",0,0,0,0,0,1
"2nd minute",0,0,0,0,0,1
"3:54",0,0,0,0,0,1
"1800 GMT",0,0,0,0,0,1
"1:30",0,0,0,0,0,1
"later in the day",0,0,0,0,0,1
"last minute",0,0,0,0,0,1
"10. 08 seconds",0,0,0,0,0,1
"the opening morning",0,0,0,0,0,1
"late Friday afternoon",0,0,0,0,0,1
"2317 GMT",0,0,0,0,0,1
"three minutes",0,0,0,0,0,1
"0931 GMT",0,0,0,0,0,1
"the last six minutes",0,0,0,0,0,1
"one minute 45",0,0,0,0,0,1
"3:53",0,0,0,0,0,1
"minutes",0,0,0,0,0,1
"26:17. 8",0,0,0,0,0,1
"the 63rd minute",0,0,0,0,0,1
"LAST MINUTE",0,0,0,0,0,1
"Earlier in the day",0,0,0,0,0,1
"the first 30 minutes",0,0,0,0,0,1
"13:06",0,0,0,0,0,1
"24 hours",0,0,0,0,0,1
"2 seconds 2",0,0,0,0,0,1
"2321 GMT",0,0,0,0,0,1
"0930 GMT",0,0,0,0,0,1
"1400 EDT",0,0,0,0,0,1
"3:52",0,0,0,0,0,1
"1:43",0,0,0,0,0,1
"129 minutes",0,0,0,0,0,1
"the 25th minute",0,0,0,0,0,1
"20:36:54",0,0,0,0,0,1
"the early hours",0,0,0,0,0,1
"6",0,0,0,0,0,1
"after hours",0,0,0,0,0,1
"14 1 / 2",0,0,0,0,0,1
"13 1 / 2",0,0,0,0,0,1
"08 30 U",0,0,0,0,0,1
"3:43",0,0,0,0,0,1
"the coming hours",0,0,0,0,0,1
"10. 13.",0,0,0,0,0,1
"2 0 seven minutes",0,0,0,0,0,1
"8 seconds 5",0,0,0,0,0,1
"11 hour",0,0,0,0,0,1
"5 seconds",0,0,0,0,0,1
"Late on Friday",0,0,0,0,0,1
"4 / second",0,0,0,0,0,1
"weekly hours",0,0,0,0,0,1
"36 minute",0,0,0,0,0,1
"09 seconds 2",0,0,0,0,0,1
"4:08",0,0,0,0,0,1
"less than one hour",0,0,0,0,0,1
"3:41",0,0,0,0,0,1
"2 seconds",0,0,0,0,0,1
"Thursday night",0,0,0,0,0,1
"7:13",0,0,0,0,0,1
"3 A",0,0,0,0,0,1
"a couple of moments",0,0,0,0,0,1
"the bottom of the ninth",0,0,0,0,0,1
"5:17",0,0,0,0,0,1
"five minutes later",0,0,0,0,0,1
"1 a. m.",0,0,0,0,0,1
"1:50",0,0,0,0,0,1
"24 minute",0,0,0,0,0,1
"Saturday morning",0,0,0,0,0,1
"62 seconds 2",0,0,0,0,0,1
"the 53rd minute",0,0,0,0,0,1
"65 minutes",0,0,0,0,0,1
"1:48",0,0,0,0,0,1
"3:45",0,0,0,0,0,1
"1:45",0,0,0,0,0,1
"the start of the second half",0,0,0,0,0,1
"two minutes",0,0,0,0,0,1
"the night",0,0,0,0,0,1
"81st minute",0,0,0,0,0,1
"20 minutes",0,0,0,0,0,1
"1:46",0,0,0,0,0,1
"the seventh minute",0,0,0,0,0,1
"30 minutes",0,0,0,0,0,1
"50 minutes",0,0,0,0,0,1
"89 seconds 2",0,0,0,0,0,1
"04. 95 seconds 2",0,0,0,0,0,1
"four hours",0,0,0,0,0,1
"the bottom of the 12th",0,0,0,0,0,1
"The next morning",0,0,0,0,0,1
"90 seconds",0,0,0,0,0,1
"15 minutes",0,0,0,0,0,1
"just minutes",0,0,0,0,0,1
"26:33",0,0,0,0,0,1
"3:40",0,0,0,0,0,1
"3 a. m.",0,0,0,0,0,1
"last night",0,0,0,0,0,1
"34. 3 hours",0,0,0,0,0,1
"the top of the 12th",0,0,0,0,0,1
"the 16th minute",0,0,0,0,0,1
"1350 GMT",0,0,0,0,0,1
"1:44",0,0,0,0,0,1
"120 hours",0,0,0,0,0,1
"48 mins",0,0,0,0,0,1
"Friday afternoon",0,0,0,0,0,1
"one hundredth of a second",0,0,0,0,0,1
"22nd minute",0,0,0,0,0,1
"the first 40 minutes",0,0,0,0,0,1
"at dawn",0,0,0,0,0,1
"evening",0,0,0,0,0,1
