Entity,COR,INC,PAR,SPU,MIS,IGN
"JCPENNEY CLASSIC",1,0,0,0,0,0
"Washington-based",0,0,0,0,1,0
"A$",0,0,0,0,1,0
"Palestinian",1,0,0,0,0,0
"DOCSTART Rwandan",0,0,1,0,0,0
"DOCSTART Bootleg",0,0,0,1,0,0
"Mesipia",0,0,0,0,1,0
"Seagramd",0,0,0,0,1,0
"Scots",1,0,0,0,0,0
"Premier league",0,0,0,0,1,0
"Tia Juana",0,0,0,0,1,0
"Vinson",1,0,0,0,0,0
"Nation 's Cup",0,0,0,0,1,0
"Tong Shun",0,0,0,0,1,0
"American Catholics",1,0,0,0,0,0
"Yakomas",0,0,0,0,1,0
"S. Open",0,0,1,0,0,0
"EuroLeague",1,0,0,0,0,0
"Tasmanian",0,0,0,0,1,0
"X-DENVER",0,0,0,0,1,0
"French",1,0,0,0,0,0
"Australian",1,0,0,0,0,0
"African Nations Cup",1,0,0,0,0,0
"Belgian",1,0,0,0,0,0
"S. Amateur Championship",0,0,1,0,0,0
"EUROPEAN TOUR",1,0,0,0,0,0
"Hutu",1,0,0,0,0,0
"DOCSTART Cambodian",0,0,1,0,0,0
"Permian",0,0,0,0,1,0
"Sleeping Bread",1,0,0,0,0,0
"Indonesians",1,0,0,0,0,0
"Swede",1,0,0,0,0,0
"Arctic",1,0,0,0,0,0
"EUROLEAGUE",0,0,0,0,1,0
"DOCSTART Skinheads",0,0,0,1,0,0
"1998 WORLD CUP",1,0,0,0,0,0
"Labour Day",1,0,0,0,0,0
"Iraqi",1,0,0,0,0,0
"Singer",1,0,0,0,0,0
"Roman derby",0,0,1,0,0,0
"European",1,0,0,0,0,0
"Romanian",1,0,0,0,0,0
"Arabian Light",0,0,0,0,1,0
"DOCSTART Canadian",0,0,1,0,0,0
"Boxer",1,0,0,0,0,0
"Iranian",1,0,0,0,0,0
"Ukrainians",1,0,0,0,0,0
"Newmont-Santa Fe",0,0,0,0,1,0
"Polish",1,0,0,0,0,0
"Americans",1,0,0,0,0,0
"1997 Fed Cup",1,0,0,0,0,0
"War of Spanish Succession",1,0,0,0,0,0
"French-owned",0,0,0,0,1,0
"Hebrew",1,0,0,0,0,0
"Serbs",1,0,0,0,0,0
"DOCSTART GOLF",0,0,0,1,0,0
"Treaty of Baden",1,0,0,0,0,0
"Trofej Beograd 96",1,0,0,0,0,0
"Heifer Cow",0,0,0,1,0,0
"Soviet",1,0,0,0,0,0
"Maritime Queen",0,0,0,0,1,0
"Nikkei",1,0,0,0,0,0
"German shepherds",0,0,0,0,1,0
"S. DOCSTART",0,0,0,1,0,0
"Syrians",1,0,0,0,0,0
"The Knot",1,0,0,0,0,0
"ENGLISH",1,0,0,0,0,0
"DOCSTART SQUASH",0,0,0,1,0,0
"Frenchman",1,0,0,0,0,0
"GERMAN",1,0,0,0,0,0
"Conservatives",0,0,1,0,0,0
"Afrikaners",1,0,0,0,0,0
"division",1,0,0,0,0,0
"France-registered",0,0,0,0,1,0
"Islamic",1,0,0,0,0,0
"1966-76 Cultural Revolution",0,0,0,0,1,0
"Kenda",0,0,0,0,1,0
"New Year",0,0,0,1,0,0
"BRITISH",0,0,1,0,0,0
"European Cup",1,0,0,0,0,0
"Conservative",1,0,0,0,0,0
"Vienna-based",0,0,0,0,1,0
"1993 BellSouth Classic",1,0,0,0,0,0
"World Group II",0,0,0,1,0,0
"F-14",0,0,0,0,1,0
"sales-USDA",0,0,0,0,1,0
"Texas Open",1,0,0,0,0,0
"Moscow-backed",0,0,0,0,1,0
"Tutsi",1,0,0,0,0,0
"Tajik",1,0,0,0,0,0
"DOCSTART Indian",0,0,1,0,0,0
"mid-Mississippi",0,0,0,0,1,0
"Kurdish",1,0,0,0,0,0
"Peking Protocol",1,0,0,0,0,0
"Y-GREEN BAY",0,0,0,0,1,0
"Hindus",1,0,0,0,0,0
"Asian Cup",1,0,0,0,0,0
"Yugoslav",1,0,0,0,0,0
"Brazilians",1,0,0,0,0,0
"Gama'a",1,0,0,0,0,0
"1993 World Cup",0,0,0,0,1,0
"Boxer Rising",1,0,0,0,0,0
"F-15",0,0,0,0,1,0
"Mexican",1,0,0,0,0,0
"Strike Hard",1,0,0,0,0,0
"The Collapse",1,0,0,0,0,0
"DOCSTART Nigerian",0,0,1,0,0,0
"Hindu-Moslem",0,0,0,0,1,0
"MAJOR LEAGUE",1,0,0,0,0,0
"Artisans for Peace",1,0,0,0,0,0
"Dalmatians",1,0,0,0,0,0
"IRISH",1,0,0,0,0,0
"Tour",0,0,1,0,0,0
"EASTERN CONFERENCE",0,0,0,1,0,0
"IPC",1,0,0,0,0,0
"Ice Cold in Alex",1,0,0,0,0,0
"Pro Bowl",1,0,0,0,0,0
"MEDITERRANEAN",0,0,0,0,1,0
"Italian",1,0,0,0,0,0
"Christian",1,0,0,0,0,0
"EASTERN DIVISION",1,0,0,0,0,0
"Portuguese",1,0,0,0,0,0
"But",0,0,0,0,1,0
"Russians",1,0,0,0,0,0
"Olympics",1,0,0,0,0,0
"African Cup Winners ' Cup",1,0,0,0,0,0
"DOCSTART BASKETBALL",0,0,0,1,0,0
"Lula I",0,0,0,0,1,0
"Western",1,0,0,0,0,0
"Russian",1,0,0,0,0,0
"Islam",1,0,0,0,0,0
"Indonesian-origin",0,0,0,0,1,0
"DOCSTART TENNIS",0,0,0,1,0,0
"DOCSTART NFL",0,0,0,1,0,0
"A. CUP",0,0,1,0,0,0
"Trades Disputes Act",1,0,0,0,0,0
"IndyCar",1,0,0,0,0,0
"Transylvanian",0,0,0,0,1,0
"European Under 21",0,0,1,0,0,0
"Democratic",1,0,0,0,0,0
"ARAB",1,0,0,0,0,0
"Christian-Shi'ite",0,0,0,0,1,0
"Asian",1,0,0,0,0,0
"Hindu Moslem",0,0,1,0,0,0
"Eurodollars",1,0,0,0,0,0
"World War Two",1,0,0,0,0,0
"Azeris",1,0,0,0,0,0
"Canadians",1,0,0,0,0,0
"St. Louis-based",0,0,0,0,1,0
"Group C",0,0,0,1,0,0
"African Nations ' Cup",1,0,0,0,0,0
"Codos",0,0,0,0,1,0
"DOCSTART NORDIC",0,0,0,1,0,0
"Flight 150",1,0,0,0,0,0
"Czech",0,1,0,0,0,0
"Euro 96",1,0,0,0,0,0
"Communist",1,0,0,0,0,0
"Dubai",0,0,0,0,1,0
"Flax 165",0,0,0,1,0,0
"SWISS",1,0,0,0,0,0
"Cambodian",1,0,0,0,0,0
"Armenian",1,0,0,0,0,0
"DUTCH",1,0,0,0,0,0
"Fal",1,0,0,0,0,0
"Rottweilers",1,0,0,0,0,0
"Uzi",1,0,0,0,0,0
"British Airways-American",0,0,0,0,1,0
"Marines",1,0,0,0,0,0
"Euro",1,0,0,0,0,0
"Berne Convention",1,0,0,0,0,0
"Communist-led",0,0,0,0,1,0
"Iraqi Kurds",1,0,0,0,0,0
"Chapter Seven",0,0,0,1,0,0
"Guinean",1,0,0,0,0,0
"SCOTTISH",1,0,0,0,0,0
"Social Democrats",1,0,0,0,0,0
"Japanese",1,0,0,0,0,0
"Roman Catholic",1,0,0,0,0,0
"Venice Film Festival",1,0,0,0,0,0
"Slovak",1,0,0,0,0,0
"Pilkington Cup",1,0,0,0,0,0
"Greater Milwaukee Open",1,0,0,0,0,0
"BSE",1,0,0,0,0,0
"Republicans",1,0,0,0,0,0
"Titanic",1,0,0,0,0,0
"Golden Four",1,0,0,0,0,0
"RMS Titanic",0,0,0,0,1,0
"Thai",1,0,0,0,0,0
"Euro-sceptic",0,0,0,0,1,0
"Algerian",1,0,0,0,0,0
"African",1,0,0,0,0,0
"Pakistani",1,0,0,0,0,0
"Montenegrin",1,0,0,0,0,0
"Saudi",1,0,0,0,0,0
"Israeli-held",0,0,0,0,1,0
"WESTERN DIVISION",1,0,0,0,0,0
"Ontario-based",0,0,0,0,1,0
"Hog Price Range",0,0,0,1,0,0
"German",1,0,0,0,0,0
"SCOTTISH PREMIER DIVISION",0,0,0,0,1,0
"DOCSTART Albanian",0,0,1,0,0,0
"asset-St .",0,0,0,0,1,0
"Nobel",1,0,0,0,0,0
"INDYCAR",1,0,0,0,0,0
"F-16",0,0,0,0,1,0
"Return of the Legend",1,0,0,0,0,0
"DOCSTART BADMINTON WORLD GRAND PRIX",0,0,1,0,0,0
"DOCSTART Chechens",0,0,1,0,0,0
"Arabic",1,0,0,0,0,0
"Hong Kong-based",0,0,0,0,1,0
"Roman",1,0,0,0,0,0
"Serbian",1,0,0,0,0,0
"Soviet-led",0,0,0,0,1,0
"Schindler 's List",0,0,0,0,1,0
"Fair Play",0,0,0,1,0,0
"1966 World Cup",0,0,0,0,1,0
"ITALIAN",1,0,0,0,0,0
"Brazilian",1,0,0,0,0,0
"European Tour",1,0,0,0,0,0
"DOCSTART Polish",0,0,1,0,0,0
"mainly-Moslem",0,0,0,0,1,0
"British",1,0,0,0,0,0
"A World of Things",1,0,0,0,0,0
"TROFEJ BEOGRAD TOURNAMENT",1,0,0,0,0,0
"London-based",0,0,0,0,1,0
"National",0,1,0,0,0,0
"Italian Grand Prix",0,0,0,0,1,0
"ACCESS",0,0,0,0,1,0
"Grand Slam Cup",1,0,0,0,0,0
"North Africans",1,0,0,0,0,0
"Fed Cup",1,0,0,0,0,0
"GMT",1,0,0,0,0,0
"Syrian",1,0,0,0,0,0
"DOCSTART NHL",0,0,0,1,0,0
"Bosnian",1,0,0,0,0,0
"DOCSTART Thai",0,0,1,0,0,0
"Italians",1,0,0,0,0,0
"Arabs",1,0,0,0,0,0
"ex-Milan",0,0,0,0,1,0
"DOCSTART RUGBY LEAGUE",0,0,1,0,0,0
"CENTRAL DIVISION",0,0,0,0,1,0
"EUROBONDS",1,0,0,0,0,0
"DOCSTART Dirty",0,0,0,1,0,0
"ex-England",0,0,0,0,1,0
"Grand Prix",0,0,0,0,1,0
"Libyan",1,0,0,0,0,0
"Chinese",1,0,0,0,0,0
"Englishman",1,0,0,0,0,0
"Sheffield Shield",0,0,0,0,1,0
"ENGLISHMAN",0,0,0,0,1,0
"Zulu",1,0,0,0,0,0
"Colombian",1,0,0,0,0,0
"Moroccan",1,0,0,0,0,0
"Iraqis",1,0,0,0,0,0
"DOCSTART Tajik",0,0,1,0,0,0
"Latin American",1,0,0,0,0,0
"English National League",1,0,0,0,0,0
"ERA",1,0,0,0,0,0
"West Indian",1,0,0,0,0,0
"Champions ' League",1,0,0,0,0,0
"DOCSTART Mexican",0,0,1,0,0,0
"Princess of Loine",0,0,0,0,1,0
"Asian Games",1,0,0,0,0,0
"Jamaican",1,0,0,0,0,0
"pro-Israeli",0,0,0,0,1,0
"The Decaying Mansion",1,0,0,0,0,0
"NATIONAL LEAGUE",1,0,0,0,0,0
"Southeast Asian",1,0,0,0,0,0
"WEST INDIES",0,1,0,0,0,0
"DOCSTART LUXEMBOURG",0,0,0,1,0,0
"In the Year of January",1,0,0,0,0,0
"Afrikaans",1,0,0,0,0,0
"Surinamese-born",0,0,0,0,1,0
"Portuguese Open",1,0,0,0,0,0
"Major League Baseball",1,0,0,0,0,0
"Serie A",1,0,0,0,0,0
"Europoean Cup",1,0,0,0,0,0
"DOCSTART BASKETBALLSOCCER",0,0,0,1,0,0
"Soviet-imposed",0,0,0,0,1,0
"Boxing-Bruno",0,0,0,0,1,0
"BRAZILIAN",1,0,0,0,0,0
"Europeans",1,0,0,0,0,0
"Nasdaq",1,0,0,0,0,0
"DOCSTART ATHLETICS",0,0,0,1,0,0
"Labor Day",1,0,0,0,0,0
"YUGOSLAV",1,0,0,0,0,0
"A Woman",1,0,0,0,0,0
"Alpine",1,0,0,0,0,0
"GERMAN CUP",1,0,0,0,0,0
"Super G",1,0,0,0,0,0
"Dow Jones",1,0,0,0,0,0
"Israeli",1,0,0,0,0,0
"Downhill Standings",0,0,1,0,0,0
"DOCSTART BOBSLEIGH WORLD CUP",0,0,1,0,0,0
"Chechen",1,0,0,0,0,0
"DOCSTART Two",0,0,0,1,0,0
"Briton",1,0,0,0,0,0
"S.",0,0,1,0,0,0
"Ohio-based",0,0,0,0,1,0
"AMERICAN FOOTBALL",0,0,1,0,0,0
"Myos Yang",0,0,0,0,1,0
"Ottoman Turkish",0,0,1,0,0,0
"NY Dow",1,0,0,0,0,0
"Bonny Light",0,0,0,0,1,0
"Ranji Trophy",1,0,0,0,0,0
"Zairean",1,0,0,0,0,0
"FTSE",1,0,0,0,0,0
"Saturday'sWorld Cup",1,0,0,0,0,0
"Spetses",0,0,0,0,1,0
"S. OPEN",0,0,1,0,0,0
"Boston-based",0,0,0,0,1,0
"TOUR OF NETHERLANDS",1,0,0,0,0,0
"Soveit",0,0,1,0,0,0
"Pro-Moscow",0,0,0,0,1,0
"US$",0,0,0,0,1,0
"Spanish",1,0,0,0,0,0
"Algerians",1,0,0,0,0,0
"Hong Kong Open",1,0,0,0,0,0
"European Champions ' League",1,0,0,0,0,0
"ENGLISH LEAGUE AND CUP",0,0,1,0,0,0
"Wimbledon",1,0,0,0,0,0
"EUROPEAN",1,0,0,0,0,0
"Kalashnikov",1,0,0,0,0,0
"AMERICAN LEAGUE",1,0,0,0,0,0
"BALKAN",0,1,0,0,0,0
"United Nations-sponsored",0,0,0,0,1,0
"Pro-European",0,0,0,0,1,0
"BOBSLEIGH-SHIMER",0,0,0,0,1,0
"Rose Bowl",1,0,0,0,0,0
"Warsaw Pact",0,0,0,0,1,0
"Indonesian",1,0,0,0,0,0
"Sangthai Glory",0,0,0,0,1,0
"Bratislava Rabbi",0,0,0,1,0,0
"Soul Alone",1,0,0,0,0,0
"World Series of Golf",1,0,0,0,0,0
"Levoxyl",1,0,0,0,0,0
"East Timorese",1,0,0,0,0,0
"serie A",1,0,0,0,0,0
"AXE",1,0,0,0,0,0
"Texan",1,0,0,0,0,0
"Libyans",1,0,0,0,0,0
"ASIAN CUP",1,0,0,0,0,0
"Nazi",1,0,0,0,0,0
"Cuban",1,0,0,0,0,0
"DOCSTART Armenians",0,0,1,0,0,0
"Austrians",1,0,0,0,0,0
"SAfrican",1,0,0,0,0,0
"1998 World Cup",1,0,0,0,0,0
"Open",1,0,0,0,0,0
"Australia-West Indies",0,0,0,0,1,0
"Jewish",1,0,0,0,0,0
"German Cup",1,0,0,0,0,0
"AUSTRALIAN TOUR",0,0,0,1,0,0
"WORLD SERIES",0,0,0,0,1,0
"Tattersalls Breeders",0,0,0,0,1,0
"pro-European",0,0,0,0,1,0
"Danish",1,0,0,0,0,0
"A. Challenge Cup",0,0,1,0,0,0
"Hindu",1,0,0,0,0,0
"AK-47s",0,0,0,0,1,0
"SKIING-GLADISHIVA",0,0,0,0,1,0
"UK-US",0,0,0,0,1,0
"BILO",0,0,0,0,1,0
"Honda RV",0,0,0,0,1,0
"Canadian",1,0,0,0,0,0
"BRITISH MASTERS",1,0,0,0,0,0
"Isthmus",0,0,0,0,1,0
"Million Man March",1,0,0,0,0,0
"NFC East",0,0,0,1,0,0
"King Ace",0,0,0,0,1,0
"Brazilian-born",0,0,0,0,1,0
"Bertillon 166",0,0,0,0,1,0
"Steer",0,0,0,1,0,0
"DOCSTART Moslem",0,0,1,0,0,0
"Democratic Convention",1,0,0,0,0,0
"Surinamese",1,0,0,0,0,0
"London-to-Boston",0,0,0,0,1,0
"Carl Vinson",1,0,0,0,0,0
"Minas",0,0,0,0,1,0
"Japanese Goverment Bonds",1,0,0,0,0,0
"IRISHMAN",0,0,0,0,1,0
"WELSH",1,0,0,0,0,0
"Algoa Day",0,0,0,0,1,0
"Tour of the Netherlands",1,0,0,0,0,0
"Christians",1,0,0,0,0,0
"DOCSTART CRICKET",0,0,0,1,0,0
"Royal Clipper",0,0,0,0,1,0
"ASHES",0,0,0,0,1,0
"CUP",1,0,0,0,0,0
"Basque",1,0,0,0,0,0
"Red Shirts",1,0,0,0,0,0
"1994 Lillehammer Winter Olympics",0,0,1,0,0,0
"Turkish",1,0,0,0,0,0
"Anne of a Thousand Days",1,0,0,0,0,0
"BOBSLEIGH-WORLD CUP",0,0,0,0,1,0
"The Super Peasants",0,1,0,0,0,0
"Stars and Stripes",1,0,0,0,0,0
"Daniella",0,0,0,0,1,0
"Greek",1,0,0,0,0,0
"Uruguayan",0,0,0,0,1,0
"Lombardi Award",1,0,0,0,0,0
"DOCSTART NCAA",0,0,0,1,0,0
"World cup",1,0,0,0,0,0
"C$",0,0,0,0,1,0
"DOCSTART ALPINE",0,0,1,0,0,0
"Croatian",1,0,0,0,0,0
"Cultural Revolution",1,0,0,0,0,0
"S. Labour Day",0,0,1,0,0,0
"Hong Kong-listed",0,0,0,0,1,0
"Azeri",1,0,0,0,0,0
"GREATER MILWAUKEE OPEN",1,0,0,0,0,0
"Manitoba Government Price Index",0,0,0,1,0,0
"Argentine",1,0,0,0,0,0
"ZIMBABWE OPEN",1,0,0,0,0,0
"DOCSTART Belgian",0,0,1,0,0,0
"DAX",1,0,0,0,0,0
"Jews",1,0,0,0,0,0
"Solidarity Meeting for Sarajevo",0,0,0,0,1,0
"Rwandan",1,0,0,0,0,0
"Hutus",1,0,0,0,0,0
"Arab",1,0,0,0,0,0
"Michael Collins",1,0,0,0,0,0
"Major League",0,0,0,0,1,0
"Christian Shi'ite",0,0,1,0,0,0
"Intelligent Network",1,0,0,0,0,0
"Burmese",1,0,0,0,0,0
"DOCSTART BASEBALL",0,0,0,1,0,0
"Euronotes",1,0,0,0,0,0
"Doberman",1,0,0,0,0,0
"Viorel Moldovan",0,1,0,0,0,0
"Zaireans",1,0,0,0,0,0
"Tunisian",1,0,0,0,0,0
"JCPenney Classic",1,0,0,0,0,0
"English",1,0,0,0,0,0
"Grand Slam",1,0,0,0,0,0
"Czechs",1,0,0,0,0,0
"Islamists",1,0,0,0,0,0
"ENGLISH COUNTY CHAMPIONSHIP",1,0,0,0,0,0
"Democrat",1,0,0,0,0,0
"DOCSTART Australian",0,0,1,0,0,0
"Scottish",1,0,0,0,0,0
"Mahindra International",0,0,0,0,1,0
"Afrikaner",1,0,0,0,0,0
"WESTERN CONFERENCE",0,0,0,1,0,0
"AIDS",1,0,0,0,0,0
"German-Israeli",0,0,0,0,1,0
"Med",0,0,1,0,0,0
"Arab-Israeli",0,0,0,0,1,0
"Atlanta Games",1,0,0,0,0,0
"Blitz",1,0,0,0,0,0
"Republican",1,0,0,0,0,0
"Ukrainian",1,0,0,0,0,0
"Swedish",1,0,0,0,0,0
"New York-based",0,0,0,0,1,0
