Entity,COR,INC,PAR,SPU,MIS,IGN
"Soveit",0,0,0,0,0,1
"Chicago",0,1,0,0,0,0
"Westhuizen",0,0,0,0,0,1
"Berlin",0,1,0,0,0,0
"Nantes",0,1,0,0,0,0
"Boatmen",0,0,0,0,0,1
"Townsend",0,1,0,0,0,0
"Port",0,0,0,0,0,1
"Mahala",0,1,0,0,0,0
"Palestinian",0,1,0,0,0,0
"Israel",0,1,0,0,0,0
"Palestinian Authority",0,1,0,0,0,0
"Yangon",0,1,0,0,0,0
"Hangzhou",0,1,0,0,0,0
"Padania",0,0,0,0,0,1
"Sunderland",0,1,0,0,0,0
"Puerto Rico",0,1,0,0,0,0
"Ankara",0,1,0,0,0,0
"Urus Martan",0,0,0,0,0,1
"Vietnam",0,1,0,0,0,0
"Paris",0,1,0,0,0,0
"East Timor",0,1,0,0,0,0
"Juventus",0,1,0,0,0,0
"French",0,1,0,0,0,0
"Cincinnati",0,1,0,0,0,0
"Pirelli",0,1,0,0,0,0
"Norilsk",0,1,0,0,0,0
"Australian",0,1,0,0,0,0
"Belgian",0,1,0,0,0,0
"Saracens",0,1,0,0,0,0
"Pittsburgh",0,1,0,0,0,0
"Uzbekistan",0,1,0,0,0,0
"Arctic",0,1,0,0,0,0
"Wuhan",0,1,0,0,0,0
"Iraqi",0,1,0,0,0,0
"Germon",0,1,0,0,0,0
"Macedonia",0,1,0,0,0,0
"Ottawa",0,1,0,0,0,0
"Middle East",0,1,0,0,0,0
"Moldova",0,1,0,0,0,0
"Barentsburg",0,1,0,0,0,0
"Yugoslavia",0,1,0,0,0,0
"Crofts",0,1,0,0,0,0
"Greatest",0,0,0,0,0,1
"European",0,1,0,0,0,0
"Romanian",0,1,0,0,0,0
"Slovakia",0,1,0,0,0,0
"Kecskemet",0,1,0,0,0,0
"Fraser",0,1,0,0,0,0
"Ukrainians",0,1,0,0,0,0
"Americans",0,1,0,0,0,0
"Iranian",0,1,0,0,0,0
"Timisoara",0,1,0,0,0,0
"Hebrew",0,1,0,0,0,0
"Canada",0,1,0,0,0,0
"Portsmouth",0,1,0,0,0,0
"Lebanon UNIFIL",0,0,0,0,0,1
"Polish",0,1,0,0,0,0
"Poland",0,1,0,0,0,0
"Soviet",0,1,0,0,0,0
"Transport",0,0,0,0,0,1
"Rangoon",0,1,0,0,0,0
"Lebed",0,1,0,0,0,0
"Jordan",0,1,0,0,0,0
"Thunder Bay",0,1,0,0,0,0
"Cuba",0,1,0,0,0,0
"Jasper",0,1,0,0,0,0
"Guangxi",0,1,0,0,0,0
"Uruguay",0,1,0,0,0,0
"Alania",0,1,0,0,0,0
"Budapest",0,1,0,0,0,0
"Britain",0,1,0,0,0,0
"Kurdish",0,1,0,0,0,0
"Naina",0,1,0,0,0,0
"Hindus",0,1,0,0,0,0
"Yugoslav",0,1,0,0,0,0
"Australia",0,1,0,0,0,0
"Brazilians",0,1,0,0,0,0
"Armenia",0,1,0,0,0,0
"United Arab",0,0,0,0,0,1
"Mexican",0,1,0,0,0,0
"South",0,1,0,0,0,0
"Cape",0,0,0,0,0,1
"Jacksonville",0,1,0,0,0,0
"Northeastern",0,0,0,0,0,1
"Technology",0,0,0,0,0,1
"Venice",0,1,0,0,0,0
"Dallas",0,1,0,0,0,0
"Nandrin",0,1,0,0,0,0
"South America",0,1,0,0,0,0
"Balkan",0,1,0,0,0,0
"Edberg",0,1,0,0,0,0
"Greenock",0,0,0,0,0,1
"Italian",0,1,0,0,0,0
"Defense",0,0,0,0,0,1
"Chechen Republic",0,1,0,0,0,0
"Karbacher",0,1,0,0,0,0
"Karachi",0,1,0,0,0,0
"Portuguese",0,1,0,0,0,0
"Florian",0,0,0,0,0,1
"Nablus",0,1,0,0,0,0
"Washington",0,1,0,0,0,0
"Castro",0,0,0,0,0,1
"Western",0,1,0,0,0,0
"Russian",0,1,0,0,0,0
"Lahd",0,1,0,0,0,0
"Manila",0,1,0,0,0,0
"Islam",0,1,0,0,0,0
"Las Vegas",0,1,0,0,0,0
"Sudiriman",0,1,0,0,0,0
"Kurdistan",0,0,0,0,0,1
"Pretoria",0,1,0,0,0,0
"Thatcher",0,1,0,0,0,0
"Hebron",0,1,0,0,0,0
