Entity,COR,INC,PAR,SPU,MIS,IGN
"U.S",0,0,0,0,1,0
"Italia",0,0,0,0,1,0
"KHASAVYURT",0,0,0,0,1,0
"Blida",0,0,0,0,1,0
"Surcin",0,0,0,0,1,0
"Worthing",0,0,0,0,1,0
"Ivory Coast",0,0,0,0,1,0
"Las Vegas",0,0,0,0,1,0
"NZ",0,0,0,0,1,0
"Landgraaf",0,0,0,0,1,0
"MONTE CARLO",0,0,0,0,1,0
"Guangzhou",0,0,0,0,1,0
"Kuala Lumpur",0,0,0,0,1,0
"Freiburg",0,0,0,0,1,0
"Pretoria",0,0,0,0,1,0
"BAGHDAD",0,0,0,0,1,0
"Barvikha",0,0,0,0,1,0
"South Lebanon Army",0,1,0,0,0,0
"Bosnia",0,0,0,0,1,0
"Arbil",0,0,0,0,1,0
"Jerusalem",0,0,0,0,1,0
"Zhejiang",0,0,0,0,1,0
"Central Africa",0,0,0,0,1,0
"Kosevo",0,0,0,0,1,0
"Missouri",0,0,0,0,1,0
"ARLINGTON",0,0,0,0,1,0
"Gaza",0,0,0,0,1,0
"Panhandle",0,0,0,0,1,0
"BELFAST",0,0,0,0,1,0
"Benin",0,0,0,0,1,0
"Dublin",0,0,0,0,1,0
"Uyo",0,0,0,0,1,0
"DAKAR",0,0,0,0,1,0
"Libya",0,0,0,0,1,0
"Sinaloa",0,0,0,0,1,0
"Caribs",0,0,0,0,1,0
"Wis",0,0,0,0,1,0
"Zaire",0,0,0,0,1,0
"British Columbia",0,0,0,0,1,0
"AUSTRIA",0,0,0,0,1,0
"East Jerusalem",0,0,0,0,1,0
"GREECE",0,0,0,0,1,0
"Tehran",0,0,0,0,1,0
"Dallas-Fort Worth",0,0,0,0,1,0
"Sidi Kreir",0,0,0,0,1,0
"Chatelineaux",0,0,0,0,1,0
"RANGOON",0,0,0,0,1,0
"Guatemala",0,0,0,0,1,0
"Caribbean",0,0,0,0,1,0
"Bistrita",0,0,0,0,1,0
"TOFTIR",0,0,0,0,1,0
"Tanzania",0,0,0,0,1,0
"Tennessee",0,0,0,0,1,0
"Kampala",0,0,0,0,1,0
"Brussels",0,0,0,0,1,0
"Volgograd",0,0,0,0,1,0
"Mindanao",0,0,0,0,1,0
"WARSAW",0,0,0,0,1,0
"STOCKHOLM",0,0,0,0,1,0
"Longyear",0,0,0,0,1,0
"LITHUANIA",0,0,0,0,1,0
"West Bank",1,0,0,0,0,0
"Benghazi",0,0,0,0,1,0
"Borodino",0,0,0,0,1,0
"Sharqiyah",0,0,0,0,1,0
"Tajikistan",0,0,0,0,1,0
"Bajaia",0,0,0,0,1,0
"Balkans",0,0,0,0,1,0
"Seoul",0,0,0,0,1,0
"NAIROBI",0,0,0,0,1,0
"South",1,0,0,0,0,0
"LONDON",0,0,0,0,1,0
"WELLINGTON",0,0,0,0,1,0
"Wuxi",0,0,0,0,1,0
"Bombay",0,0,0,0,1,0
"Bellerive Oval",0,0,0,0,1,0
"IGLS",0,0,0,0,1,0
"Walikale",0,0,0,0,1,0
"FAROES",0,0,0,0,1,0
"Surinam",0,0,0,0,1,0
"Liechtenstein",0,0,0,0,1,0
"Sudan",0,0,0,0,1,0
"Beirut",0,0,0,0,1,0
"Milwaukee",0,0,0,0,1,0
"Sonora",0,0,0,0,1,0
"Tignes",0,0,0,0,1,0
"Murrayfield",0,0,0,0,1,0
"Bogota",0,0,0,0,1,0
"Iowa-S",0,0,0,0,1,0
"Whitewater",0,0,0,0,1,0
"Jakarta",0,0,0,0,1,0
"NJ",0,0,0,0,1,0
"Edgbaston",0,0,0,0,1,0
"Guangdong",0,0,0,0,1,0
"TIRANA",0,0,0,0,1,0
"Conn",0,0,0,0,1,0
"Copenhagen",0,0,0,0,1,0
"La Plagne",0,0,0,0,1,0
"Mexico City",0,0,0,0,1,0
"BUCHAREST",0,0,0,0,1,0
"Ohio",0,0,0,0,1,0
"Warsaw",0,0,0,0,1,0
"RIGA",0,0,0,0,1,0
"North West",0,0,0,0,1,0
"Western",0,1,0,0,0,0
"Sydney Cricket Ground",0,0,0,0,1,0
"ARMENIA",0,0,0,0,1,0
"Puerto Rico",0,0,0,0,1,0
"Ankara",0,0,0,0,1,0
"Baghdad",0,0,0,0,1,0
"Paramaribo",0,0,0,0,1,0
"Vietnam",0,0,0,0,1,0
"ISTANBUL",0,0,0,0,1,0
"SEOUL",0,0,0,0,1,0
"U.S. Gulf",0,0,0,0,1,0
"Ulan Bator",0,0,0,0,1,0
"Prestwick",0,0,0,0,1,0
"MOSCOW",0,0,0,0,1,0
"Hubei",0,0,0,0,1,0
"N. Ireland",0,0,0,0,1,0
"Salzburg",0,0,0,0,1,0
"Staoueli",0,0,0,0,1,0
"Wuhan",0,0,0,0,1,0
"N.M.",0,0,0,0,1,0
"Stansted",0,0,0,0,1,0
"Beijing",0,0,0,0,1,0
"Macedonia",0,0,0,0,1,0
"Azerbaijan",0,0,0,0,1,0
"TUNIS",0,0,0,0,1,0
"NOUAKCHOTT",0,0,0,0,1,0
"Kisangani",0,0,0,0,1,0
"BANGUI",0,0,0,0,1,0
"GRONINGEN",0,0,0,0,1,0
"Tiananmen Square",1,0,0,0,0,0
"Middle East",0,0,0,0,1,0
"Cochabamba",0,0,0,0,1,0
"Aerodrom Beograd",0,0,0,0,1,0
"South Africa",1,0,0,0,0,0
"North Caucasus",0,0,0,0,1,0
"ROME",0,0,0,0,1,0
"Maracaibo",0,0,0,0,1,0
"DAMASCUS",0,0,0,0,1,0
"Wembley",0,0,0,0,1,0
"Innisbrook Hilton Resort",0,0,0,0,1,0
"Kazakhstan",0,0,0,0,1,0
"PANAMA",0,0,0,0,1,0
"Timisoara",0,0,0,0,1,0
"Lebanon",1,0,0,0,0,0
"West Bromwich",0,1,0,0,0,0
"Twickenham",0,0,0,0,1,0
"Thunder Bay",0,0,0,0,1,0
"Zurich",0,0,0,0,1,0
"al-Daih",0,0,0,0,1,0
"OESTERSUND",0,0,0,0,1,0
"Mauritania",0,0,0,0,1,0
"Guangxi",0,0,0,0,1,0
"HARARE",0,0,0,0,1,0
"Arad",0,0,0,0,1,0
"Kazanluk",0,0,0,0,1,0
"Geneva",0,0,0,0,1,0
"TURKEY",0,0,0,0,1,0
"HERZLIYA",0,0,0,0,1,0
"Shannon",0,0,0,0,1,0
"Onarheim",0,0,0,0,1,0
"Green Square",0,0,0,0,1,0
"Tuzla",0,0,0,0,1,0
"Jacksonville",0,0,0,0,1,0
"Venice",0,0,0,0,1,0
"Trent Bridge",0,0,0,0,1,0
"Ocean",0,0,1,0,0,0
"Hanover",0,0,0,0,1,0
"HK",0,0,0,0,1,0
"Great Lakes",0,0,0,0,1,0
"Gulf of Mexico",0,0,0,0,1,0
"Balkan",0,0,0,0,1,0
"Mali",0,0,0,0,1,0
"Kremlin",0,0,0,0,1,0
"AMSTERDAM",0,0,0,0,1,0
"APPLETON",0,0,0,0,1,0
"Red Sea",0,0,0,0,1,0
"Alsace",0,0,0,0,1,0
"Russian Federation",0,0,0,0,1,0
"ISRAEL",0,0,0,0,1,0
"Chechen Republic",0,0,0,0,1,0
"Karachi",0,0,0,0,1,0
"HOBART",0,0,0,0,1,0
"Washington",0,0,0,0,1,0
"Ecuador",0,0,0,0,1,0
"DES MOINES",0,0,0,0,1,0
"BRAZIL",0,0,0,0,1,0
"LIECHTENSTEIN",0,0,0,0,1,0
"Birmingham",0,0,0,0,1,0
"Staouelli",0,0,0,0,1,0
"Korean Red Cross",0,0,0,1,0,0
"Tamaulipas",0,0,0,0,1,0
"West Indian",0,1,0,0,0,0
"West",1,0,0,0,0,0
"Lockerbie",0,0,0,0,1,0
"Liege",0,0,0,0,1,0
"Pacific Coast",0,0,0,0,1,0
"Chesterfield",0,0,0,0,1,0
"Hebron",0,0,0,0,1,0
"Southeast Asian",0,1,0,0,0,0
"Auckland",0,0,0,0,1,0
"BRUSSELS",0,0,0,0,1,0
"Bucharest",0,0,0,0,1,0
"South China",1,0,0,0,0,0
"Hainan",0,0,0,0,1,0
"Rome",0,0,0,0,1,0
"MADRID",0,0,0,0,1,0
"MANAMA",0,0,0,0,1,0
"Tampico",0,0,0,0,1,0
"DIYARBAKIR",0,0,0,0,1,0
"Umkomaas",0,0,0,0,1,0
"SOFIA",0,0,0,0,1,0
"Hove",0,0,0,0,1,0
"Northern Cape",1,0,0,0,0,0
"Hartford",0,0,0,0,1,0
"Midwest",0,0,0,0,1,0
"YEREVAN",0,0,0,0,1,0
"Tokyo",0,0,0,0,1,0
"West Hartlepool",0,1,0,0,0,0
"Sikhin",0,0,0,0,1,0
"Shwe Dagon",0,0,0,0,1,0
"Qalandia",0,0,0,0,1,0
"Kanpur",0,0,0,0,1,0
"Tavildara",0,0,0,0,1,0
"Latin America",0,0,0,0,1,0
"CANADA",0,0,0,0,1,0
"Rochester",0,0,0,0,1,0
"North Atlantic",0,0,1,0,0,0
"DHAKA",0,0,0,0,1,0
"SPAIN",0,0,0,0,1,0
"Michoacan",0,0,0,0,1,0
"Wenchang",0,0,0,0,1,0
"Quintana Roo",0,0,0,0,1,0
"Hungary",0,0,0,0,1,0
"Grace Road",0,0,0,0,1,0
"Seattle",0,0,0,0,1,0
"Latvia",0,0,0,0,1,0
"Pyramiden",0,0,0,0,1,0
"Amsterdam",0,0,0,0,1,0
"MEXICO",0,0,0,0,1,0
"TRIPOLI",0,0,0,0,1,0
"Nairobi",0,0,0,0,1,0
"Headingley",0,0,0,0,1,0
"Prince Rupert",0,0,0,0,1,0
"Kinshasa",0,0,0,0,1,0
"Ariz",0,0,0,0,1,0
"Toledo",0,0,0,0,1,0
"Lisbon",0,0,0,0,1,0
"BOGOTA",0,0,0,0,1,0
"CANBERRA",0,0,0,0,1,0
"Ramallah",0,0,0,0,1,0
"Mantua",0,0,0,0,1,0
"Soviet Union",0,0,0,0,1,0
"WHISTLER",0,0,0,0,1,0
"USA",0,0,0,0,1,0
"Tasmania",0,0,0,0,1,0
"Jiangsu",0,0,0,0,1,0
"Calcutta",0,0,0,0,1,0
"N.J.",0,0,0,0,1,0
"Nevada",0,0,0,0,1,0
"Luxembourg",0,0,0,0,1,0
"ST LOUIS",0,0,0,0,1,0
"Indianapolis",0,0,0,0,1,0
"Qinglan",0,0,0,0,1,0
"Wall St",0,0,0,0,1,0
"Amman",0,0,0,0,1,0
"Prague",0,0,0,0,1,0
"Bali",0,0,0,0,1,0
"Madagascar",0,0,0,0,1,0
"COPENHAGEN",0,0,0,0,1,0
"BAKU",0,0,0,0,1,0
"Chuman",0,0,0,0,1,0
"Manchester",0,0,0,0,1,0
"SARAJEVO",0,0,0,0,1,0
"Singapore",0,0,0,0,1,0
"Thailand",0,0,0,0,1,0
"Waha",0,0,0,0,1,0
"HANOVER",0,0,0,0,1,0
"ROMANIA",0,0,0,0,1,0
"Oradea",0,0,0,0,1,0
"Flachau",0,0,0,0,1,0
"Vatican",0,0,0,0,1,0
"PARAMARIBO",0,0,0,0,1,0
"Fos",0,0,0,0,1,0
"BEIRUT",0,0,0,0,1,0
"Stockholm",0,0,0,0,1,0
"Gulf",0,0,0,0,1,0
"Italy",1,0,0,0,0,0
"Garamba",0,0,0,0,1,0
"OTTAWA",0,0,0,0,1,0
"Izingolweni",0,0,0,0,1,0
"DODGE CITY",0,0,0,0,1,0
"Panama City",0,0,0,0,1,0
"Pamir",0,0,0,0,1,0
"ST. LOUIS",0,0,0,0,1,0
"Afghanistan",0,0,0,0,1,0
"BEIJING",0,0,0,0,1,0
"SYDNEY",0,0,0,0,1,0
"Grozny",0,0,0,0,1,0
"National stadium",0,0,0,0,1,0
"al-Ram",0,0,0,0,1,0
"Cambodia",0,0,0,0,1,0
"West Coast",0,0,1,0,0,0
"Far East",1,0,0,0,0,0
"DUBLIN",0,0,0,0,1,0
"Orleans",0,0,0,0,1,0
"SWEDEN",0,0,0,0,1,0
"Malysia",0,0,0,0,1,0
"Damascus",0,0,0,0,1,0
"Philippine",0,0,0,0,1,0
"Oakland",0,0,0,0,1,0
"WEST INDIES",0,0,0,0,1,0
"Kehl",0,0,0,0,1,0
"Bou Haroun",0,0,0,0,1,0
"Vienna",0,0,0,0,1,0
"Layron",0,0,0,0,1,0
"ZAANDAM",0,0,0,0,1,0
"COLOMBO",0,0,0,0,1,0
"CHONJU",0,0,0,0,1,0
"KwaZulu-Natal",0,0,0,0,1,0
"Huize",0,0,0,0,1,0
"East Kalimantan",0,0,0,0,1,0
"Tianjin",0,0,0,0,1,0
"California",0,0,0,0,1,0
"Republic of Ireland",0,0,0,0,1,0
"IRVINE",0,0,0,0,1,0
"Spitzbergen",0,0,0,0,1,0
"Dampier",0,0,0,0,1,0
"Cardiff",0,0,0,0,1,0
"ABIDJAN",0,0,0,0,1,0
"Rotterdam",0,0,0,0,1,0
"SYRIA",0,0,0,0,1,0
"Transvaal",0,0,0,0,1,0
"Bangui",0,0,0,0,1,0
"Belfast",0,0,0,0,1,0
"South Carolina",0,0,0,0,1,0
"Strasbourg",0,0,0,0,1,0
"Nottingham",0,0,0,0,1,0
"Shanghai",0,0,0,0,1,0
"Asia",0,0,0,0,1,0
"Tirana",0,0,0,0,1,0
"ROCHESTER",0,0,0,0,1,0
"East Coast",1,0,0,0,0,0
"Brno",0,0,0,0,1,0
"BENIN",0,0,0,0,1,0
"Tel Aviv",0,0,0,0,1,0
"LUXEMBOURG",0,0,0,0,1,0
"Saladdin",0,0,0,0,1,0
"STEPHENVILLE",0,0,0,0,1,0
"Northeastern",0,0,1,0,0,0
"Cairo",0,0,0,0,1,0
"KUUSAMO",0,0,0,0,1,0
"Arundel",0,0,0,0,1,0
"PANAMA CITY",0,0,0,0,1,0
"FRANKFURT",0,0,0,0,1,0
"TOKYO",0,0,0,0,1,0
"Athens",0,0,0,0,1,0
"Algiers",0,0,0,0,1,0
"GENEVA",0,0,0,0,1,0
"Velten",0,0,0,0,1,0
"Ghana",0,0,0,0,1,0
"Colombia",0,0,0,0,1,0
"Turin",0,0,0,0,1,0
"PARIS",0,0,0,0,1,0
"90",0,0,0,0,1,0
"MINSK",0,0,0,0,1,0
"Bolivia",0,0,0,0,1,0
"BERLIN",0,0,0,0,1,0
"Cyprus",0,0,0,0,1,0
"Krasnoyarsk",0,0,0,0,1,0
"Minneapolis",0,0,0,0,1,0
"Fla.",0,0,0,0,1,0
"BULGARIA",0,0,0,0,1,0
"BONN",0,0,0,0,1,0
"Winnipeg",0,0,0,0,1,0
"Okla",0,0,0,0,1,0
"SLOVAKIA",0,0,0,0,1,0
"ANKARA",0,0,0,0,1,0
"Johannesburg",0,0,0,0,1,0
"Honduras",0,0,0,0,1,0
"Tacambaro",0,0,0,0,1,0
"Hay Point",0,0,0,0,1,0
"N'DJAMENA",0,0,0,0,1,0
"Kaohsiung",0,0,0,0,1,0
"Korean",0,1,0,0,0,0
"Troy",0,0,0,0,1,0
"Brunei",0,0,0,0,1,0
"Conakry",0,0,0,0,1,0
"Galanta",0,0,0,0,1,0
"Yunnan",0,0,0,0,1,0
"Chisinau",0,0,0,0,1,0
"Baja California",0,0,0,0,1,0
"St Louis",0,0,0,0,1,0
"Guinea",0,0,0,0,1,0
"CHISINAU",0,0,0,0,1,0
"Victoria",0,0,0,0,1,0
"PRAGUE",0,0,0,0,1,0
"Senegal",0,0,0,0,1,0
"WIGAN",0,0,0,0,1,0
"Khartoum",0,0,0,0,1,0
"N.H.",0,0,0,0,1,0
"MAURITANIA",0,0,0,0,1,0
"Nagorno-Karabakh",0,0,0,0,1,0
"Milan",0,0,0,0,1,0
"Tanjung Priok",0,0,0,0,1,0
"Illinois",0,0,0,0,1,0
"Philippines",0,0,0,0,1,0
"T3",0,0,0,0,1,0
"CARDIFF",0,0,0,0,1,0
"CIS",0,0,0,0,1,0
"Dili",0,0,0,0,1,0
"Dushanbe",0,0,0,0,1,0
"Lanarkshire",0,0,0,0,1,0
"Arab East Jerusalem",0,0,0,0,1,0
"Pamplona",0,0,0,0,1,0
"Korean War",0,0,0,1,0,0
"SHANGHAI",0,0,0,0,1,0
"TIGNES",0,0,0,0,1,0
"BELGIUM",0,0,0,0,1,0
"Shul'ala",0,0,0,0,1,0
"RAI",0,0,0,0,1,0
"Insein",0,0,0,0,1,0
"Mediterranean",0,1,0,0,0,0
"Karlsruhe",0,0,0,0,1,0
"Nagoya",0,0,0,0,1,0
"ESTONIA",0,0,0,0,1,0
