Entity,COR,INC,PAR,SPU,MIS,IGN
"Soveit",0,0,0,0,0,1
"SEATTLE CAROLINA",0,0,0,0,0,1
"KANSAS",0,0,0,0,0,1
"Chicago",0,1,0,0,0,0
"BUCHAREST",0,1,0,0,0,0
"ESTONIA",0,1,0,0,0,0
"Warsaw",0,1,0,0,0,0
"UKRAINE",0,1,0,0,0,0
"Berlin",0,1,0,0,0,0
"Kansas City",0,1,0,0,0,0
"Nantes",0,1,0,0,0,0
"Sheffield",0,0,0,0,0,1
"HONG KONG",0,1,0,0,0,0
"ORLANDO",0,1,0,0,0,0
"Darlington",0,1,0,0,0,0
"Aberdeen",0,1,0,0,0,0
"Efes Pilsen",0,1,0,0,0,0
"Rotherham",0,1,0,0,0,0
"Mahala",0,1,0,0,0,0
"Cannes",0,1,0,0,0,0
"Israel",0,1,0,0,0,0
"Harlequins",0,1,0,0,0,0
"EDMONTON",0,1,0,0,0,0
"Pinas",0,1,0,0,0,0
"Venezuela",0,1,0,0,0,0
"Hangzhou",0,1,0,0,0,0
"Tottenham",0,1,0,0,0,0
"Ankara",0,1,0,0,0,0
"Maccabi",0,0,0,0,0,1
"Paramaribo",0,1,0,0,0,0
"Vietnam",0,1,0,0,0,0
"Paris",0,1,0,0,0,0
"East Timor",0,1,0,0,0,0
"Santiago de Cuba",0,1,0,0,0,0
"Baltimore",0,1,0,0,0,0
"Cincinnati",0,1,0,0,0,0
"BUENOS",0,0,0,0,0,1
"AIRES",0,0,0,0,0,1
"LOS ANGELES",0,1,0,0,0,0
"Sussex",0,1,0,0,0,0
"S. municipality",0,0,0,0,0,1
"Prestwick",0,1,0,0,0,0
"west Japan",0,0,0,0,0,1
"MILWAUKEE",0,1,0,0,0,0
"Pittsburgh",0,1,0,0,0,0
"U. S. Treasuries",0,0,0,0,0,1
"Israel strip",0,0,0,0,0,1
"Uzbekistan",0,1,0,0,0,0
"Charleroi Belgium",0,0,0,0,0,1
"Melbourne",0,1,0,0,0,0
"Colchester",0,1,0,0,0,0
"Dharmasena",0,1,0,0,0,0
"Somerset",0,1,0,0,0,0
"Wuhan",0,1,0,0,0,0
"Brighton",0,1,0,0,0,0
"Macedonia",0,1,0,0,0,0
"Hapoel Jerusalem",0,1,0,0,0,0
"Azerbaijan",0,1,0,0,0,0
"TUNIS",0,1,0,0,0,0
"Delphis Hanover",0,1,0,0,0,0
"Ottawa",0,1,0,0,0,0
"GRONINGEN",0,1,0,0,0,0
"+46",0,0,0,0,0,1
"Korneilus Hole",0,1,0,0,0,0
"Moldova",0,1,0,0,0,0
"Barentsburg",0,1,0,0,0,0
"Yugoslavia",0,1,0,0,0,0
"Lille",0,1,0,0,0,0
"CALGARY",0,1,0,0,0,0
"Valencia",0,1,0,0,0,0
"Slovakia",0,1,0,0,0,0
"Kecskemet",0,1,0,0,0,0
"Maracaibo",0,1,0,0,0,0
"CAIRO",0,1,0,0,0,0
"Boroughmuir",0,1,0,0,0,0
"The U. S.",0,0,0,0,0,1
"Dinamo",0,1,0,0,0,0
"VOLGOGRAD",0,1,0,0,0,0
"U. S. Maggie McNeil",0,0,0,0,0,1
"PANAMA",0,1,0,0,0,0
"Newport",0,1,0,0,0,0
"PORTUGAL",0,1,0,0,0,0
"Northamptonshire",0,1,0,0,0,0
"Timisoara",0,1,0,0,0,0
"Valladolid",0,1,0,0,0,0
"Canada",0,1,0,0,0,0
"Portsmouth",0,1,0,0,0,0
"Doncaster",0,1,0,0,0,0
"Poland",0,1,0,0,0,0
"Elgin City",0,1,0,0,0,0
"Munich",0,0,0,0,0,1
"Rangoon",0,1,0,0,0,0
"HELSINKI",0,1,0,0,0,0
"Mich.",0,0,0,0,0,1
"JOHANNESBURG",0,1,0,0,0,0
"Lebed",0,1,0,0,0,0
"Yalcin",0,1,0,0,0,0
"Jordan",0,1,0,0,0,0
"Betar Jerusalem",0,1,0,0,0,0
"Cuba",0,1,0,0,0,0
"Chester",0,1,0,0,0,0
"Montpellier",0,1,0,0,0,0
"Guangxi",0,1,0,0,0,0
"Uruguay",0,1,0,0,0,0
"Alania",0,1,0,0,0,0
"MEXICO CITY",0,1,0,0,0,0
"Salamanca",0,1,0,0,0,0
"TEXAS",0,1,0,0,0,0
"ARIZONA",0,1,0,0,0,0
"JACKSONVILLE",0,1,0,0,0,0
"GLASGOW",0,1,0,0,0,0
"Budapest",0,1,0,0,0,0
"Sparta",0,0,0,0,0,1
"Volendam",0,1,0,0,0,0
"Wisconsin",0,1,0,0,0,0
"LAGOS",0,1,0,0,0,0
"Springboks",0,1,0,0,0,0
"Britain",0,1,0,0,0,0
"TORONTO",0,1,0,0,0,0
"West Bank",0,1,0,0,0,0
"AUSTRALIA",0,1,0,0,0,0
"Olympiakos",0,1,0,0,0,0
"Australia",0,1,0,0,0,0
"Armenia",0,1,0,0,0,0
"Roma",0,1,0,0,0,0
"Suu Kyi 's",0,0,0,0,0,1
"Jacksonville",0,1,0,0,0,0
"New York city",0,0,0,0,0,1
"Venice",0,1,0,0,0,0
"Dallas",0,1,0,0,0,0
"VAIL",0,1,0,0,0,0
"ALBANIA",0,1,0,0,0,0
"JERUSALEM",0,1,0,0,0,0
"Nandrin",0,1,0,0,0,0
"Tripoli",0,1,0,0,0,0
"Mali",0,1,0,0,0,0
"Partick",0,1,0,0,0,0
"Torquay",0,1,0,0,0,0
"Sibiu",0,1,0,0,0,0
"AMSTERDAM",0,1,0,0,0,0
"INDIANAPOLIS",0,1,0,0,0,0
"BARCELONA",0,1,0,0,0,0
"Alsace",0,1,0,0,0,0
"Czech Republic",0,1,0,0,0,0
"Wales",0,1,0,0,0,0
"ISRAEL",0,1,0,0,0,0
"Breda",0,0,0,0,0,1
"Durham",0,1,0,0,0,0
"CINCINNATI",0,1,0,0,0,0
"Wellington",0,1,0,0,0,0
"Pelham",0,1,0,0,0,0
"Karachi",0,1,0,0,0,0
"Jonas",0,0,0,0,0,1
"the United States",0,0,0,0,0,1
"Nablus",0,1,0,0,0,0
"Washington",0,1,0,0,0,0
"cheats",0,0,0,0,0,1
"New Mexico",0,1,0,0,0,0
"Orlando",0,1,0,0,0,0
"BRAZIL",0,1,0,0,0,0
"CONNECTICUT",0,1,0,0,0,0
"Manila",0,1,0,0,0,0
"Las Vegas",0,1,0,0,0,0
"The Federal Republic of Yugoslavia",0,0,0,0,0,1
"Southampton",0,1,0,0,0,0
"Manchester United",0,1,0,0,0,0
"Cairns",0,1,0,0,0,0
"Glamorgan 259",0,0,0,0,0,1
"Kuala Lumpur",0,1,0,0,0,0
"the Republic of Ireland",0,0,0,0,0,1
"Pretoria",0,1,0,0,0,0
"Barvikha",0,1,0,0,0,0
"Hebron",0,1,0,0,0,0
"BAGHDAD",0,1,0,0,0,0
"Bosnia",0,1,0,0,0,0
"DURBAN",0,1,0,0,0,0
"Auckland",0,1,0,0,0,0
"Romania",0,1,0,0,0,0
"Bournemouth",0,1,0,0,0,0
"Belgium",0,1,0,0,0,0
"Zhejiang",0,1,0,0,0,0
"Casa de Narino",0,1,0,0,0,0
"Warwickshire",0,1,0,0,0,0
"OAKLAND",0,1,0,0,0,0
"West Hartlepool 20",0,0,0,0,0,1
"Hainan",0,1,0,0,0,0
"UK",0,1,0,0,0,0
"Rome",0,1,0,0,0,0
"St Louis 4",0,0,0,0,0,1
"POLAND",0,1,0,0,0,0
"Missouri",0,1,0,0,0,0
"MADRID",0,1,0,0,0,0
"Gaza",0,1,0,0,0,0
"Indonesia",0,1,0,0,0,0
"MANAMA",0,1,0,0,0,0
"Tampico",0,1,0,0,0,0
"BELFAST",0,1,0,0,0,0
"VANCOUVER",0,1,0,0,0,0
"Benin",0,1,0,0,0,0
"East Dries",0,1,0,0,0,0
"Dublin",0,1,0,0,0,0
"DIYARBAKIR",0,1,0,0,0,0
"Sevilla Spain",0,0,0,0,0,1
"Northern Ireland",0,1,0,0,0,0
