Entity,COR,INC,PAR,SPU,MIS,IGN
"3 1",0,0,0,0,0,1
"up to 200 miles per hour",0,0,0,0,0,1
"60 metres 2",0,0,0,0,0,1
"11 to 17 miles per hour",0,0,0,0,0,1
"578,000 tonnes",0,0,0,0,0,1
"several inches",0,0,0,0,0,1
"about 3 a. m.",0,0,0,0,0,1
"3 2",0,0,0,0,0,1
"4 billion lei",0,0,0,0,0,1
"389 7",0,0,0,0,0,1
"08 2",0,0,0,0,0,1
"2 1",0,0,0,0,0,1
"Seven",0,0,0,0,0,1
"4,000 metres",0,0,0,0,0,1
"4 2 1 1 3 3",0,0,0,0,0,1
"10 and walked",0,0,0,0,0,1
"65 80 litre",0,0,0,0,0,1
"220 million dinars",0,0,0,0,0,1
"containing 13 kg 29 lb",0,0,0,0,0,1
"90 km",0,0,0,0,0,1
"Up to 165,000 tonnes",0,0,0,0,0,1
"eight metres",0,0,0,0,0,1
"319,000 tonnes",0,0,0,0,0,1
"1 1 0 3 0 4 St Mirren",0,0,0,0,0,1
"145,000 tonnes",0,0,0,0,0,1
"8 pounds",0,0,0,0,0,1
"0 1 1",0,0,0,0,0,1
"44 yards",0,0,0,0,0,1
"547,000 tonnes",0,0,0,0,0,1
"110 metres",0,0,0,0,0,1
"some 100 km 60 miles",0,0,0,0,0,1
"tonne",0,0,0,0,0,1
"570 km 310 miles",0,0,0,0,0,1
"1,500 metres 1",0,0,0,0,0,1
"2 1 1 0 1 0 4",0,0,0,0,0,1
"12 footer",0,0,0,0,0,1
"up to six feet",0,0,0,0,0,1
"up to 695,000 tonnes",0,0,0,0,0,1
"five million riels 2,000",0,0,0,0,0,1
"40 metre",0,0,0,0,0,1
"5 million pounds",0,0,0,0,0,1
"50 a tonne",0,0,0,0,0,1
"3,000 metres",0,0,0,0,0,1
"1 2 1",0,0,0,0,0,1
"4 1",0,0,0,0,0,1
"about three km two miles",0,0,0,0,0,1
"2 kg",0,0,0,0,0,1
"2 bln",0,0,0,0,0,1
"2,684 tonnes",0,0,0,0,0,1
"9 4",0,0,0,0,0,1
"10 w",0,0,0,0,0,1
"400,000 tonnes",0,0,0,0,0,1
"778 kph",0,0,0,0,0,1
"12 feet",0,0,0,0,0,1
"3 1 1 1 3 3",0,0,0,0,0,1
"30 metre",0,0,0,0,0,1
"6",0,0,0,0,0,1
"hundredths",0,0,0,0,0,1
"0 3 1 2",0,0,0,0,0,1
"418 380",0,0,0,0,0,1
"25 kg 55 pounds",0,0,0,0,0,1
"400 metres",0,0,0,0,0,1
"2 2",0,0,0,0,0,1
"8 Nihad al Boushi",0,0,0,0,0,1
"57 million ounces",0,0,0,0,0,1
"510,258 pounds sterling",0,0,0,0,0,1
"54 per cwt",0,0,0,0,0,1
"0 1 3",0,0,0,0,0,1
"1 1 2",0,0,0,0,0,1
"3 1 1 1 5",0,0,0,0,0,1
"4 1 3",0,0,0,0,0,1
"3 288",0,0,0,0,0,1
"5,000 metres 1",0,0,0,0,0,1
"50 stg",0,0,0,0,0,1
"dozens of kilos",0,0,0,0,0,1
"158 2",0,0,0,0,0,1
"6 million zlotys",0,0,0,0,0,1
"4 / second",0,0,0,0,0,1
"70 km 45 miles",0,0,0,0,0,1
"205",0,0,0,0,0,1
"2 billion crowns",0,0,0,0,0,1
"70 miles",0,0,0,0,0,1
"10 to 15 knots 19 to 28 kilometers / 11 to 17 miles per hour",0,0,0,0,0,1
"1 1 0 0",0,0,0,0,0,1
"4,482 yards",0,0,0,0,0,1
"around 40 litres",0,0,0,0,0,1
"746,000 tonnes",0,0,0,0,0,1
"5 kms",0,0,0,0,0,1
"3 581",0,0,0,0,0,1
"about 914,000 tonnes",0,0,0,0,0,1
"175 pounds",0,0,0,0,0,1
"70,000 tonnes",0,0,0,0,0,1
"some 500 miles 800 km",0,0,0,0,0,1
"800 metres 1",0,0,0,0,0,1
"five metres",0,0,0,0,0,1
"220,000 hectares",0,0,0,0,0,1
"200 metres 1",0,0,0,0,0,1
"1 1 0",0,0,0,0,0,1
"5,000 deadweight tonne",0,0,0,0,0,1
"6 million ounces",0,0,0,0,0,1
"the 100 metres",0,0,0,0,0,1
"20 kg",0,0,0,0,0,1
"215 stg",0,0,0,0,0,1
"40 km 25 miles",0,0,0,0,0,1
"6 0",0,0,0,0,0,1
"tonnes",0,0,0,0,0,1
"five km three miles",0,0,0,0,0,1
"30 grams",0,0,0,0,0,1
"1350 GMT",0,0,0,0,0,1
"eight kg",0,0,0,0,0,1
"51,000 tonnes",0,0,0,0,0,1
"4 126 / 130",0,0,0,0,0,1
"4 2 1 1 2 1",0,0,0,0,0,1
"about 65 km 40 miles",0,0,0,0,0,1
"four miles",0,0,0,0,0,1
"50 million stg",0,0,0,0,0,1
"850M 4",0,0,0,0,0,1
"9 Marc Degryse",0,0,0,0,0,1
"as much as 500 meters yards",0,0,0,0,0,1
"18 oz",0,0,0,0,0,1
"about 3 A. M.",0,0,0,0,0,1
"89 metres 2",0,0,0,0,0,1
"36 4",0,0,0,0,0,1
"about 10 miles 16 km",0,0,0,0,0,1
"06 6",0,0,0,0,0,1
"three to five feet",0,0,0,0,0,1
"cubic",0,0,0,0,0,1
"33 yards",0,0,0,0,0,1
"19 to 28 kilometers",0,0,0,0,0,1
"22,877 yards",0,0,0,0,0,1
"100 metres 1",0,0,0,0,0,1
"1 3 0",0,0,0,0,0,1
"20 million dinars",0,0,0,0,0,1
"77,000 tonnes",0,0,0,0,0,1
"144 yards",0,0,0,0,0,1
"56 miles",0,0,0,0,0,1
"42 kg",0,0,0,0,0,1
"40 metres",0,0,0,0,0,1
"500 metres",0,0,0,0,0,1
"1,135 3",0,0,0,0,0,1
"20 ton",0,0,0,0,0,1
"233 million tonnes",0,0,0,0,0,1
"1 178",0,0,0,0,0,1
"1 0 0",0,0,0,0,0,1
"4 1 0 3 4 8 3",0,0,0,0,0,1
"75 yards",0,0,0,0,0,1
"200 km 120 miles",0,0,0,0,0,1
"65 km 40 miles",0,0,0,0,0,1
"50,000 tonnes",0,0,0,0,0,1
"11 2",0,0,0,0,0,1
"a low 10 metre",0,0,0,0,0,1
"1100 1200 lbs 112",0,0,0,0,0,1
"0 2 1 2",0,0,0,0,0,1
"up to 75 km an hour",0,0,0,0,0,1
"0 42 0",0,0,0,0,0,1
"6 0 3.",0,0,0,0,0,1
"0 1 1 1",0,0,0,0,0,1
"80 km 50 miles",0,0,0,0,0,1
"3 3",0,0,0,0,0,1
"1450 lbs",0,0,0,0,0,1
"3 1 0 2",0,0,0,0,0,1
"9 14",0,0,0,0,0,1
"15 km nine mile",0,0,0,0,0,1
"about six km four miles",0,0,0,0,0,1
"31,000 tonnes",0,0,0,0,0,1
"about 70 metres",0,0,0,0,0,1
"515 6",0,0,0,0,0,1
"about 200 feet",0,0,0,0,0,1
"4 1 0 3",0,0,0,0,0,1
"101 yards",0,0,0,0,0,1
"3 1 2",0,0,0,0,0,1
"10 km six miles",0,0,0,0,0,1
"6 6",0,0,0,0,0,1
"120 metre",0,0,0,0,0,1
"18 lb",0,0,0,0,0,1
"100 metres",0,0,0,0,0,1
"morphine or 500 grams",0,0,0,0,0,1
"25 km 12 miles",0,0,0,0,0,1
"9 2 4",0,0,0,0,0,1
"4,378 tonnes",0,0,0,0,0,1
"thousands of tonnes",0,0,0,0,0,1
"one hundredth",0,0,0,0,0,1
"3 1 0 2 2 3 3",0,0,0,0,0,1
"9 lb 3 w",0,0,0,0,0,1
"2 1 0 1 1 3",0,0,0,0,0,1
"576 mph",0,0,0,0,0,1
"five tonnes",0,0,0,0,0,1
*TOTAL*,0,0,0,0,0,187
