Entity,COR,INC,PAR,SPU,MIS,IGN
"26 minutes",0,0,0,0,0,1
"97 seconds",0,0,0,0,0,1
"51 minute",0,0,0,0,0,1
"79th minute",0,0,0,0,0,1
"the middle of the night",0,0,0,0,0,1
"24 seconds 2",0,0,0,0,0,1
"23 seconds 2",0,0,0,0,0,1
"morning",0,0,0,0,0,1
"2 1 halftime",0,0,0,0,0,1
"2 1 1 8 5",0,0,0,0,0,1
"only 40 minutes",0,0,0,0,0,1
"4 PM",0,0,0,0,0,1
"hours",0,0,0,0,0,1
"night",0,0,0,0,0,1
"3rd minute",0,0,0,0,0,1
"late afternoon",0,0,0,0,0,1
"midday",0,0,0,0,0,1
"as many minutes",0,0,0,0,0,1
"an unusually quiet",0,0,0,0,0,1
"the final five seconds",0,0,0,0,0,1
"dawn",0,0,0,0,0,1
"hourly",0,0,0,0,0,1
"10 minutes",0,0,0,0,0,1
"41st min",0,0,0,0,0,1
"Wednesday night",0,0,0,0,0,1
"this morning",0,0,0,0,0,1
"16 1 Roberto Carlos",0,0,0,0,0,1
"2nd minute , 75th",0,0,0,0,0,1
"the 88th minute",0,0,0,0,0,1
"Jackson 41",0,0,0,0,0,1
"90 29",0,0,0,0,0,1
"51",0,0,0,0,0,1
"3:54",0,0,0,0,0,1
"later in the day",0,0,0,0,0,1
"last minute",0,0,0,0,0,1
"13 minutes 2",0,0,0,0,0,1
"the opening morning",0,0,0,0,0,1
"Semifinal",0,0,0,0,0,1
"daytime",0,0,0,0,0,1
"1400 EDT / 1800 GMT",0,0,0,0,0,1
"8 Roh Sang Rae 7 Sin Tae Yong 33",0,0,0,0,0,1
"three minutes",0,0,0,0,0,1
"the last six minutes",0,0,0,0,0,1
"one minute 45",0,0,0,0,0,1
"the 78th minute",0,0,0,0,0,1
"eight km an hour four",0,0,0,0,0,1
"France 3:30.",0,0,0,0,0,1
"48 mins 2 seconds",0,0,0,0,0,1
"LAST MINUTE",0,0,0,0,0,1
"five minutes",0,0,0,0,0,1
"Earlier in the day",0,0,0,0,0,1
"67 14",0,0,0,0,0,1
"earlier in the day",0,0,0,0,0,1
