Entity,COR,INC,PAR,SPU,MIS,IGN
"Soveit",0,0,0,0,0,1
"SEATTLE CAROLINA",0,0,0,0,0,1
"KANSAS",0,0,0,0,0,1
"Chicago",0,1,0,0,0,0
"BUCHAREST",0,1,0,0,0,0
"ESTONIA",0,1,0,0,0,0
"Warsaw",0,1,0,0,0,0
"UKRAINE",0,1,0,0,0,0
"Berlin",0,1,0,0,0,0
"Kansas City",0,1,0,0,0,0
"Nantes",0,1,0,0,0,0
"Sheffield",0,0,0,0,0,1
"HONG KONG",0,1,0,0,0,0
"us",0,0,0,0,0,1
"ORLANDO",0,1,0,0,0,0
"Darlington",0,1,0,0,0,0
"Townsend",0,1,0,0,0,0
"Aberdeen",0,1,0,0,0,0
"PT Timor",0,0,0,0,0,1
"Rotherham",0,1,0,0,0,0
"Mahala",0,1,0,0,0,0
"Israel",0,1,0,0,0,0
"N. M. 1996",0,0,0,0,0,1
"EDMONTON",0,1,0,0,0,0
"Yangon",0,1,0,0,0,0
"Venezuela",0,1,0,0,0,0
"Hangzhou",0,1,0,0,0,0
"Ankara",0,1,0,0,0,0
"Bohdan Ulihrach",0,1,0,0,0,0
"Maccabi",0,0,0,0,0,1
"Vietnam",0,1,0,0,0,0
"Paris",0,1,0,0,0,0
"Paramaribo",0,1,0,0,0,0
"East Timor",0,1,0,0,0,0
"Cincinnati",0,1,0,0,0,0
"LOS ANGELES",0,1,0,0,0,0
"Sussex",0,1,0,0,0,0
"Prestwick",0,1,0,0,0,0
"Paramygina",0,1,0,0,0,0
"west Japan",0,0,0,0,0,1
"Televisa",0,1,0,0,0,0
"Svetlana",0,1,0,0,0,0
"MILWAUKEE",0,1,0,0,0,0
"Pittsburgh",0,1,0,0,0,0
"Uzbekistan",0,1,0,0,0,0
"Colchester",0,1,0,0,0,0
"Melbourne",0,1,0,0,0,0
"Somerset",0,1,0,0,0,0
"Wuhan",0,1,0,0,0,0
"Brighton",0,1,0,0,0,0
"Macedonia",0,1,0,0,0,0
"Azerbaijan",0,1,0,0,0,0
"Hapoel",0,0,0,0,0,1
"Argentina",0,1,0,0,0,0
"Phoenix",0,1,0,0,0,0
"Kisangani",0,1,0,0,0,0
"Ottawa",0,1,0,0,0,0
"GRONINGEN",0,1,0,0,0,0
"Ottoman",0,0,0,0,0,1
"Moldova",0,1,0,0,0,0
"Barentsburg",0,1,0,0,0,0
"Yugoslavia",0,1,0,0,0,0
"Lille",0,1,0,0,0,0
"CALGARY",0,1,0,0,0,0
"Valencia",0,1,0,0,0,0
"Slovakia",0,1,0,0,0,0
"UNIFIL",0,1,0,0,0,0
"Kecskemet",0,1,0,0,0,0
"Maracaibo",0,1,0,0,0,0
"Lebed Chechnya",0,0,0,0,0,1
"CAIRO",0,1,0,0,0,0
"Betar",0,0,0,0,0,1
"Boroughmuir",0,1,0,0,0,0
"Dinamo",0,1,0,0,0,0
"Regina",0,0,0,0,0,1
"Swindon",0,1,0,0,0,0
"PANAMA",0,1,0,0,0,0
"PORTUGAL",0,1,0,0,0,0
"Valladolid",0,1,0,0,0,0
"Timisoara",0,1,0,0,0,0
"Doncaster",0,1,0,0,0,0
"Canada",0,1,0,0,0,0
"Portsmouth",0,1,0,0,0,0
"Poland",0,1,0,0,0,0
"Munich",0,0,0,0,0,1
"Rangoon",0,1,0,0,0,0
"HELSINKI",0,1,0,0,0,0
"Mich.",0,0,0,0,0,1
"JOHANNESBURG",0,1,0,0,0,0
"Jordan",0,1,0,0,0,0
"Cuba",0,1,0,0,0,0
"Chester",0,1,0,0,0,0
"Nir Sivilia",0,1,0,0,0,0
"airforce",0,0,0,0,0,1
"Graf Germany",0,0,0,0,0,1
"Chatelet",0,1,0,0,0,0
"Montpellier",0,1,0,0,0,0
"GREEN BAY JACKSONVILLE",0,0,0,0,0,1
"Guangxi",0,1,0,0,0,0
"Uruguay",0,1,0,0,0,0
"MEXICO CITY",0,1,0,0,0,0
"TEXAS",0,1,0,0,0,0
"ARIZONA",0,1,0,0,0,0
"JACKSONVILLE",0,1,0,0,0,0
"Budapest",0,1,0,0,0,0
"Sparta",0,0,0,0,0,1
"Volendam",0,1,0,0,0,0
"Wisconsin",0,1,0,0,0,0
"U.",0,0,0,0,0,1
"Britain",0,1,0,0,0,0
"Naina",0,1,0,0,0,0
"Blanc",0,1,0,0,0,0
"TORONTO",0,1,0,0,0,0
"West Bank",0,1,0,0,0,0
"AUSTRALIA",0,1,0,0,0,0
"Olympiakos",0,1,0,0,0,0
"Australia",0,1,0,0,0,0
"Armenia",0,1,0,0,0,0
"AZ",0,0,0,0,0,1
"Jacksonville",0,1,0,0,0,0
"New York city",0,0,0,0,0,1
"Venice",0,1,0,0,0,0
"Dallas",0,1,0,0,0,0
"VAIL",0,1,0,0,0,0
"Nandrin",0,1,0,0,0,0
"JERUSALEM",0,1,0,0,0,0
"Tripoli",0,1,0,0,0,0
"Dawie",0,0,0,0,0,1
"Kremlin",0,1,0,0,0,0
"Torquay",0,1,0,0,0,0
"Sibiu",0,1,0,0,0,0
"Sikhin village",0,0,0,0,0,1
"INDIANAPOLIS",0,1,0,0,0,0
"Alsace",0,1,0,0,0,0
"Czech Republic",0,1,0,0,0,0
"Wales",0,1,0,0,0,0
"ISRAEL",0,1,0,0,0,0
"Durham",0,1,0,0,0,0
"CINCINNATI",0,1,0,0,0,0
"Wellington",0,1,0,0,0,0
"Karachi",0,1,0,0,0,0
"the United States",0,0,0,0,0,1
"Nablus",0,1,0,0,0,0
"Washington",0,1,0,0,0,0
"New Mexico",0,1,0,0,0,0
"Orlando",0,1,0,0,0,0
"BRAZIL",0,1,0,0,0,0
"Vojvodina",0,1,0,0,0,0
"Napoli",0,1,0,0,0,0
"CONNECTICUT",0,1,0,0,0,0
"Manila",0,1,0,0,0,0
"LA LAKERS",0,1,0,0,0,0
"Las Vegas",0,1,0,0,0,0
"The Federal Republic of Yugoslavia",0,0,0,0,0,1
"Gheorghe",0,1,0,0,0,0
"Southampton",0,1,0,0,0,0
"MANILA",0,1,0,0,0,0
"Lech",0,1,0,0,0,0
"Buran Czech Republic",0,0,0,0,0,1
"Cairns",0,1,0,0,0,0
"Pohang",0,1,0,0,0,0
"Frederick",0,1,0,0,0,0
"Kurdistan",0,0,0,0,0,1
"Kuala Lumpur",0,1,0,0,0,0
"the Republic of Ireland",0,0,0,0,0,1
"Pretoria",0,1,0,0,0,0
"BAGHDAD",0,1,0,0,0,0
"Hebron",0,1,0,0,0,0
"DINAMO",0,1,0,0,0,0
"Quinn",0,1,0,0,0,0
"Bosnia",0,1,0,0,0,0
"Auckland",0,1,0,0,0,0
"Romania",0,1,0,0,0,0
"Feyenoord",0,1,0,0,0,0
"Bournemouth",0,1,0,0,0,0
"Belgium",0,1,0,0,0,0
"Zhejiang",0,1,0,0,0,0
"Warwickshire",0,1,0,0,0,0
"Saint Bernard",0,0,0,0,0,1
"OAKLAND",0,1,0,0,0,0
"Hainan",0,1,0,0,0,0
"UK",0,1,0,0,0,0
"Rome",0,1,0,0,0,0
"Missouri",0,1,0,0,0,0
"MADRID",0,1,0,0,0,0
"Gaza",0,1,0,0,0,0
"Indonesia",0,1,0,0,0,0
"MANAMA",0,1,0,0,0,0
"Tampico",0,1,0,0,0,0
"BELFAST",0,1,0,0,0,0
"VANCOUVER",0,1,0,0,0,0
"Benin",0,1,0,0,0,0
"Dublin",0,1,0,0,0,0
"Sevilla Spain",0,0,0,0,0,1
"Northern Ireland",0,1,0,0,0,0
"Genoa",0,1,0,0,0,0
"Panama",0,1,0,0,0,0
"Bristol City",0,1,0,0,0,0
"Rennes",0,1,0,0,0,0
"Watford",0,1,0,0,0,0
"LA",0,0,0,0,0,1
"Niger , Guinea",0,0,0,0,0,1
"Falkirk",0,1,0,0,0,0
"LATVIA",0,1,0,0,0,0
"East Timor 1996",0,0,0,0,0,1
"Patasse",0,1,0,0,0,0
