Entity,COR,INC,PAR,SPU,MIS,IGN
"PMI",0,0,0,1,0,0
"Parliament Tony Marlow",0,0,0,1,0,0
"Mariners",1,0,0,0,0,0
"VICTORIA",0,0,0,0,1,0
"Napoli",0,0,0,0,1,0
"LM Ericsson AB",1,0,0,0,0,0
"Mobil",1,0,0,0,0,0
"wk Chg",0,0,0,1,0,0
"Lech",0,0,0,0,1,0
"GPTA",0,0,0,0,1,0
"Zemun",0,0,0,0,1,0
"Herri Batasuna",0,0,0,0,1,0
"Juventus",1,0,0,0,0,0
"Men 's singles Group",0,0,0,1,0,0
"DOCSTART NORDIC SKIING WORLD CUP BIATHLON",0,0,0,1,0,0
"Pirelli",1,0,0,0,0,0
"NYMEX",1,0,0,0,0,0
"Estudiantes Madrid",0,0,0,0,1,0
"Haitham Haddadin",0,0,0,0,1,0
"WBC",1,0,0,0,0,0
"Tychy",0,0,0,0,1,0
"ETA",1,0,0,0,0,0
"DOCSTART CRICKET WOOLMER",0,0,1,0,0,0
"Charleroi",0,0,0,0,1,0
"national congress of the ruling",0,0,0,1,0,0
"ATALANTA",1,0,0,0,0,0
"Bradford 1 Tranmere",0,0,1,0,0,0
"Paulo Bento Oviedo",0,0,1,0,0,0
"Dumbarton",0,0,0,0,1,0
"PAP",0,0,0,0,1,0
"Proleter ( Z )",0,0,0,0,1,0
"DOCSTART World Markets",0,0,0,1,0,0
"SK Rapid 's",0,0,1,0,0,0
"CUSIP",0,0,0,1,0,0
"Human Rights in China",0,0,0,0,1,0
"CONCACAF",1,0,0,0,0,0
"New Zealand First party",0,0,1,0,0,0
"the Rubber Board of India",0,0,1,0,0,0
"Stevenage",0,0,0,0,1,0
"Carlsberg",1,0,0,0,0,0
"Florida Supreme Court",0,0,0,0,1,0
"Port Vale",0,0,0,0,1,0
"Mladost BJ 4",0,0,0,1,0,0
"Urus Martan",0,0,0,1,0,0
"the Federal Reserve",0,0,1,0,0,0
"ILO",1,0,0,0,0,0
"the General Administration of Customs",0,0,1,0,0,0
"the High Court",0,0,1,0,0,0
"USA I",0,0,0,0,1,0
"Svetlana Masterkova",0,1,0,0,0,0
"Claudia Riegler",0,1,0,0,0,0
"DOCSTART SOCCER IRELAND",0,0,1,0,0,0
"Alania",1,0,0,0,0,0
"DOCSTART Half",0,0,0,1,0,0
"Warner Bros.",0,0,1,0,0,0
"ORE IMC",0,0,0,1,0,0
"Air France 's",0,0,1,0,0,0
"Orioles",1,0,0,0,0,0
"Vicenza",0,0,0,0,1,0
"DOCSTART Multinational",0,0,0,1,0,0
"Movement for a Democratic Slovakia",1,0,0,0,0,0
"Cofinec",1,0,0,0,0,0
"Erdmann",0,1,0,0,0,0
"Buffalo Sabres",0,0,0,0,1,0
"DOCSTART SOCCER SHOWCASE BETTING ON",0,0,0,1,0,0
"Mehrtens",0,1,0,0,0,0
"DOCSTART Manitoba Pork",0,0,1,0,0,0
"Rios",0,1,0,0,0,0
"Red Star",1,0,0,0,0,0
"UWP-Hachette",0,0,0,0,1,0
"DOCSTART Dow Chemical",0,0,1,0,0,0
"DOCSTART Plastic",0,0,0,1,0,0
"ALBANIA",0,1,0,0,0,0
"Vancouver IndyCar",0,0,1,0,0,0
"the Burj al Laqlaq Society",0,0,0,1,0,0
"DOCSTART SOCCER LEADING SCOTTISH PREMIER",0,0,0,1,0,0
"the National Highway Traffic Safety Administration",0,0,1,0,0,0
"KANPUR",0,1,0,0,0,0
"U. S. Agriculture Department",0,0,1,0,0,0
"Milwaukee",0,0,0,0,1,0
"N'DJAMENA 1996",0,0,0,1,0,0
"the Chilean Congress",0,0,0,1,0,0
"Durham",1,0,0,0,0,0
"Sloboda",0,0,0,0,1,0
"the Mines and Energy Ministry",0,0,1,0,0,0
"Globo",0,0,1,0,0,0
"the South Lebanon Army SLA",0,0,1,0,0,0
"Wallabies",1,0,0,0,0,0
"Air France",1,0,0,0,0,0
"the Tokyo Stock Exchange",0,0,1,0,0,0
"St Mirren",0,0,0,0,1,0
"Urska Horvat",0,1,0,0,0,0
"Okla fed",0,0,0,1,0,0
"Cannes",0,0,0,0,1,0
"NZ",0,1,0,0,0,0
"the National Hockey League",0,0,1,0,0,0
"DOCSTART SOCCER FRENCH LEAGUE",0,0,0,1,0,0
"DOCSTART SOCCER KLINSMANN",0,0,1,0,0,0
"PKK",1,0,0,0,0,0
"the Dhaka Stock Exchange DSE",0,0,1,0,0,0
"May. London Newsroom",0,0,1,0,0,0
"International Finance Bureau",1,0,0,0,0,0
"The American Stock Exchange",0,0,1,0,0,0
"Kia",1,0,0,0,0,0
"OPEC",1,0,0,0,0,0
"Group C",0,0,0,1,0,0
"U. S. Senate Banking Committee",0,0,1,0,0,0
"the Social Democratic Union",0,0,1,0,0,0
"Federal Reserve",1,0,0,0,0,0
"SLORC",1,0,0,0,0,0
"Clinton",0,1,0,0,0,0
"Bristol Rovers",1,0,0,0,0,0
"Paolo Di Canio Celtic",0,0,1,0,0,0
"EDMONTON DOCSTART NHL ICE HOCKEY THURSDAY 'S",0,0,1,0,0,0
"Ulsan",0,0,0,0,1,0
"Phillies",1,0,0,0,0,0
"Patasse",0,1,0,0,0,0
"First Bank System Inc.",1,0,0,0,0,0
"Homestake",0,0,0,0,1,0
"Cornwell",0,1,0,0,0,0
"NSW Treasury",1,0,0,0,0,0
"Chonbuk",1,0,0,0,0,0
"Boroughmuir",0,0,0,0,1,0
"DOCSTART East Dries",0,0,1,0,0,0
"W L T PF PA DALLAS",0,0,1,0,0,0
"South African Breweries Ltd SAB",0,0,1,0,0,0
"Parliament",0,0,0,1,0,0
"UAE",0,1,0,0,0,0
"Kinshasa",0,1,0,0,0,0
"Conservative Party 's",0,0,1,0,0,0
"Hamilton",0,0,0,0,1,0
"League",1,0,0,0,0,0
"BOJ",1,0,0,0,0,0
"World Trade Organisation",1,0,0,0,0,0
"LA CLIPPERS",1,0,0,0,0,0
"DOCSTART Nato",0,0,0,1,0,0
"DOCSTART Iraqi",0,0,0,1,0,0
"the St. Louis Merchants Exchange",0,0,0,1,0,0
"FC Hansa Rostock",1,0,0,0,0,0
"DOCSTART RUGBY UNION SOUTH AFRICA",0,0,1,0,0,0
"Volendam",0,0,0,0,1,0
"The Democratic Convention",0,0,0,1,0,0
"Ross 89 Celtic 1 Hay",0,0,1,0,0,0
"Chris Walker England",0,0,0,1,0,0
"BILO",0,1,0,0,0,0
"Atalanta",1,0,0,0,0,0
"WESTERN DIVISION W L T PF PA",0,0,1,0,0,0
"FOMC",1,0,0,0,0,0
"Klaus",0,1,0,0,0,0
"Suharto",0,1,0,0,0,0
"DOCSTART U. S.",0,0,0,1,0,0
"the Palestinian Authority",0,0,1,0,0,0
"Presidential Debates",0,0,1,0,0,0
"DOCSTART CRICKET ENGLAND V",0,0,1,0,0,0
"London Irish",0,0,0,0,1,0
"Commerce",1,0,0,0,0,0
"First Bank",1,0,0,0,0,0
"the United Nations",0,0,1,0,0,0
"Hilde Gerg",0,1,0,0,0,0
"Orlando",0,0,0,0,1,0
"Economic Planning Agency",1,0,0,0,0,0
"CNBC",1,0,0,0,0,0
"Champions ' League",0,1,0,0,0,0
"Crewe",0,0,0,0,1,0
"Pohang",0,0,0,0,1,0
"Bochum 2",0,0,1,0,0,0
