Entity,COR,INC,PAR,SPU,MIS,IGN
"Oleg",0,0,1,0,0,0
"Tim Guldimann",1,0,0,0,0,0
"Gough",1,0,0,0,0,0
"Nadim Ladki AL AIN",0,0,1,0,0,0
"van Boxmeer",0,0,1,0,0,0
"LITTLE",0,0,0,0,1,0
"Marvin Benard",0,0,0,0,1,0
"De Wilde",1,0,0,0,0,0
"Agassi",1,0,0,0,0,0
"Orlando Pace",1,0,0,0,0,0
"Umar Said",1,0,0,0,0,0
"Dole",1,0,0,0,0,0
"Saimir Malko",1,0,0,0,0,0
"Richard Hannon",1,0,0,0,0,0
"Cornell Brown",0,0,0,0,1,0
"Paul Keating",1,0,0,0,0,0
"Marie Korbelova",1,0,0,0,0,0
"Per Zetterquist",1,0,0,0,0,0
"Tim Stimpson",1,0,0,0,0,0
"Felix Mantilla",1,0,0,0,0,0
"Scots",0,1,0,0,0,0
"Jin Hua",1,0,0,0,0,0
"Naroff",1,0,0,0,0,0
"Compostela",0,1,0,0,0,0
"Ricky Watters",1,0,0,0,0,0
"Voeks",1,0,0,0,0,0
"Jonas Bjorkman",1,0,0,0,0,0
"Harte",1,0,0,0,0,0
"Aung San",1,0,0,0,0,0
"Foucras",1,0,0,0,0,0
"Robert Samuels",1,0,0,0,0,0
"Samer Ammar Soliman",1,0,0,0,0,0
"Oliver Bierhoff",1,0,0,0,0,0
"Mark Hughes",1,0,0,0,0,0
"Donna Weinbrecht",0,0,0,0,1,0
"Peter Mitchell",1,0,0,0,0,0
"Christian Karembeu",1,0,0,0,0,0
"Tono Eitel",1,0,0,0,0,0
"Chen",1,0,0,0,0,0
"Marcello Goncalves",1,0,0,0,0,0
"Alexander Volkov",1,0,0,0,0,0
"Rosenborg",0,1,0,0,0,0
"Hosni Mubarak",1,0,0,0,0,0
"M. Butcher 70",0,0,1,0,0,0
"Alena Koroleva",1,0,0,0,0,0
"Li Song-ho",0,0,0,0,1,0
"Vaclav Klaus",1,0,0,0,0,0
"Peters",1,0,0,0,0,0
"Mitchell",1,0,0,0,0,0
"Regine Cavagnoud",1,0,0,0,0,0
"Shaun Young 86",0,0,1,0,0,0
"John Robinson",1,0,0,0,0,0
"Duilio Davino Becerril 46th",0,0,1,0,0,0
"Buza",1,0,0,0,0,0
"Rachel Legeard",1,0,0,0,0,0
"Andreas Thom",0,0,0,0,1,0
"Evelyn Leopold UNITED NATIONS",0,0,1,0,0,0
"Bruce Dyer",0,0,0,0,1,0
"Grete Stroem",1,0,0,0,0,0
"John Geraghty",1,0,0,0,0,0
"Madlen Brigger Summermatter",0,0,0,1,0,0
"Korneilus Hole",1,0,0,0,0,0
"Poul-Erik Hoyer-Larsen",0,0,0,0,1,0
"Johann Gregoire",1,0,0,0,0,0
"Blewett",1,0,0,0,0,0
"Kobus Wiese",1,0,0,0,0,0
"Kim Byung",1,0,0,0,0,0
"Oats Rye Flaxseed",0,0,0,1,0,0
"Steve Jurgenson",1,0,0,0,0,0
"RIBALTA",0,0,0,0,1,0
"David Elleray",1,0,0,0,0,0
"Wasim Akram b Harris",0,0,1,0,0,0
"Lars Riedel",1,0,0,0,0,0
"Elia Kazanjoglus",1,0,0,0,0,0
"C. Ambrose",1,0,0,0,0,0
"Michael Cornwell",0,0,0,0,1,0
"Paul Broadhurst",1,0,0,0,0,0
"Phil Babb",1,0,0,0,0,0
"Alen Boksic",1,0,0,0,0,0
"Urus Martan",0,0,0,1,0,0
"Chris Aspin",1,0,0,0,0,0
"de Silva",0,0,0,0,1,0
"Venuste Niyongabo",1,0,0,0,0,0
"Tony Adams",1,0,0,0,0,0
"Aravinda de Silva",1,0,0,0,0,0
"Jasper",1,0,0,0,0,0
"John Mills Jr.",0,0,1,0,0,0
"Kaczmarek",0,0,0,0,1,0
"Enrique Alfaro",1,0,0,0,0,0
"DOCSTART Ericsson",0,0,0,1,0,0
"Kraft",0,0,0,0,1,0
"Marc Degryse",1,0,0,0,0,0
"Andreas Goldberger Austria",0,0,1,0,0,0
"Talabani",1,0,0,0,0,0
"Frank Bruno",1,0,0,0,0,0
"GLASGOW",0,1,0,0,0,0
"Cuttitta",1,0,0,0,0,0
"Saddam",0,0,0,0,1,0
"Basarab Panduru",1,0,0,0,0,0
"Al Unser Jr U. S.",0,0,1,0,0,0
"Middlesex 199",0,0,0,1,0,0
"Mustafa Hoshiyeh",1,0,0,0,0,0
"Beth Daniel",1,0,0,0,0,0
"Tom Lehman",1,0,0,0,0,0
"Luis Enrique",0,0,1,0,0,0
"Julie Baumann",1,0,0,0,0,0
"Matthew",1,0,0,0,0,0
"Berry",1,0,0,0,0,0
"Duffy Waldorf",1,0,0,0,0,0
"Andreas Herzog",1,0,0,0,0,0
"Constantinescu",1,0,0,0,0,0
"Pauline Konga",1,0,0,0,0,0
"Miss Stamper",0,0,0,0,1,0
"Keith O'Neill",1,0,0,0,0,0
"Boutros Boutros Ghali",0,0,0,1,0,0
"Paddy Lad",1,0,0,0,0,0
"David Snow",1,0,0,0,0,0
"Inger Miller U. 11",0,0,1,0,0,0
"Chris Lewis",1,0,0,0,0,0
"Dini",1,0,0,0,0,0
"Hermann Goering",1,0,0,0,0,0
"Bre X",0,0,0,1,0,0
"Abdullah Ercan",1,0,0,0,0,0
"Donovan Bailey Canada",0,0,1,0,0,0
"Wales",0,1,0,0,0,0
"Diego Dominguez",1,0,0,0,0,0
"Karbacher",1,0,0,0,0,0
"Yasser Arafat",1,0,0,0,0,0
"Ki Tae",0,0,1,0,0,0
"Shane Warne",1,0,0,0,0,0
"Judith Wiesner",1,0,0,0,0,0
"Eric Bergoust U. S",0,0,1,0,0,0
"Ricco Gross",1,0,0,0,0,0
"Adem Hacini",1,0,0,0,0,0
"Ovidiu Stinga",1,0,0,0,0,0
"Miller",1,0,0,0,0,0
"Stephen Nisbet",1,0,0,0,0,0
"Gong Zichao",0,0,0,0,1,0
"Yeltsin",1,0,0,0,0,0
"David Kiptoo",1,0,0,0,0,0
"Luebke",0,0,1,0,0,0
"Ronnie Irani",1,0,0,0,0,0
"Mary Onyali Nigeria",0,0,1,0,0,0
"Yakomas",0,1,0,0,0,0
"Mario Stanic",1,0,0,0,0,0
"Adam Hunter",1,0,0,0,0,0
"Alexandra Meissnitzer",1,0,0,0,0,0
"Ijaz Ahmed b Croft",0,0,1,0,0,0
"Craig Dowd",0,0,0,0,1,0
"Katja Seizinger",1,0,0,0,0,0
"Sashurin",1,0,0,0,0,0
"Dzhokhar Dudayev",1,0,0,0,0,0
"Brigitte Obermoser",1,0,0,0,0,0
"Tarek Jabban",1,0,0,0,0,0
"Marcin Grajewski",1,0,0,0,0,0
"Nic Henning",0,0,0,0,1,0
"Benin",0,1,0,0,0,0
"Carlo Checchinato",1,0,0,0,0,0
"Torrance Zellner U.",0,0,1,0,0,0
"Mariano Duncan",1,0,0,0,0,0
"Andre Venter",1,0,0,0,0,0
"Dofora",0,0,0,0,1,0
"H McCulloch",0,0,0,0,1,0
"Klara Gajduskova",1,0,0,0,0,0
"Andrew Blades",1,0,0,0,0,0
"Ari-Pekka Nikkola",0,0,0,0,1,0
"Andrei Ivanov",1,0,0,0,0,0
"Armen Martirosyan",1,0,0,0,0,0
"Robert Pires",1,0,0,0,0,0
"J. KENNY K SHEETS",0,0,0,1,0,0
"Alan Mullally",1,0,0,0,0,0
"Bogdan Stelea",1,0,0,0,0,0
"Metz",0,1,0,0,0,0
"Mark Murless",1,0,0,0,0,0
"Miguel Angel Martin",1,0,0,0,0,0
"Michael Andersson",1,0,0,0,0,0
"Bert Lauwers",1,0,0,0,0,0
"Bala Naidoo",1,0,0,0,0,0
"Robbie Fowler Liverpool",0,0,1,0,0,0
"Dean Jones",1,0,0,0,0,0
"Ricardo Pelaez",1,0,0,0,0,0
"Rama",1,0,0,0,0,0
"Xiao Qiang",1,0,0,0,0,0
"Budi Santoso",1,0,0,0,0,0
"Hen Vipheak",1,0,0,0,0,0
"Barbara Rittner",1,0,0,0,0,0
