Entity,COR,INC,PAR,SPU,MIS,IGN
"Sheffield Shield",0,1,0,0,0,0
"Spetses 139",0,0,0,0,0,1
"Canola",0,0,0,0,0,1
"BellSouth",0,0,0,0,0,1
"Dale 69",0,0,0,0,0,1
"horoscope",0,0,0,0,0,1
"Choice 2 3",0,0,0,0,0,1
"35,000 / 28,000",0,0,0,0,0,1
"M3",0,0,0,0,0,1
"Elf",0,1,0,0,0,0
"Kent 108 3",0,0,0,0,0,1
"jeeps",0,0,0,0,0,1
"Royal Clipper",0,1,0,0,0,0
"Kent 244 C. Hooper 58",0,0,0,0,0,1
"Classic",0,0,0,0,0,1
"MATIF",0,0,0,0,0,1
"Factory",0,0,0,0,0,1
"Hollioake 6",0,0,0,0,0,1
"Rinaco Plus",0,1,0,0,0,0
"Intelligent Network",0,1,0,0,0,0
"Fax +32",0,0,0,0,0,1
"31,000",0,0,0,0,0,1
"Yorkshire 290",0,0,0,0,0,1
"Okabe 146 5",0,0,0,0,0,1
"C. Tolley",0,1,0,0,0,0
"Orient 21 6 6 9 16 19",0,0,0,0,0,1
"Zywiec Full Light",0,0,0,0,0,1
"EuroLeague",0,1,0,0,0,0
"F 16",0,0,0,0,0,1
"Surgeon Renat Akchurin",0,0,0,0,0,1
"MX",0,0,0,0,0,1
"Colts",0,1,0,0,0,0
"Radiometer H1",0,0,0,0,0,1
"N. Knight 113",0,0,0,0,0,1
"Plastic",0,0,0,0,0,1
"Blinker",0,1,0,0,0,0
"Titanic",0,1,0,0,0,0
"Flight 150",0,1,0,0,0,0
"Notes",0,0,0,0,0,1
"F / A 18",0,0,0,0,0,1
"Surrey 429 7 C. Lewis 80",0,0,0,0,0,1
"Kalashnikov",0,1,0,0,0,0
"Ebbw Vale",0,1,0,0,0,0
"Wallaby",0,1,0,0,0,0
"O'Brien",0,1,0,0,0,0
"504",0,0,0,0,0,1
"C. Tolley 64",0,0,0,0,0,1
"482",0,0,0,0,0,1
"Fal",0,1,0,0,0,0
"USDA",0,1,0,0,0,0
"A. Hollioake",0,1,0,0,0,0
"Kenda",0,1,0,0,0,0
"S MX",0,0,0,0,0,1
"Revs 476",0,0,0,0,0,1
*TOTAL*,0,19,0,0,0,35
