Entity,COR,INC,PAR,SPU,MIS,IGN
"up to 200 miles per hour",0,0,0,0,0,1
"650 million 680 million 600 million",0,0,0,0,0,1
"578,000 tonnes",0,0,0,0,0,1
"several inches",0,0,0,0,0,1
"2 1",0,0,0,0,0,1
"4,000 metres",0,0,0,0,0,1
"65 80 litre",0,0,0,0,0,1
"82 84 28",0,0,0,0,0,1
"20 504 5000",0,0,0,0,0,1
"386 389",0,0,0,0,0,1
"eight metres",0,0,0,0,0,1
"145,000 tonnes",0,0,0,0,0,1
"20 kg 44 lbs",0,0,0,0,0,1
"89 metres",0,0,0,0,0,1
"44 yards",0,0,0,0,0,1
"547,000 tonnes",0,0,0,0,0,1
"110 metres",0,0,0,0,0,1
"60 metres",0,0,0,0,0,1
"some 100 km 60 miles",0,0,0,0,0,1
"13 kg 29 lb",0,0,0,0,0,1
"570 km 310 miles",0,0,0,0,0,1
"1,500 metres 1",0,0,0,0,0,1
"up to six feet",0,0,0,0,0,1
"up to 695,000 tonnes",0,0,0,0,0,1
"500 grams",0,0,0,0,0,1
"40 metre",0,0,0,0,0,1
"3,000 metres",0,0,0,0,0,1
"about three km two miles",0,0,0,0,0,1
"2,684 tonnes",0,0,0,0,0,1
"400,000 tonnes",0,0,0,0,0,1
"778 kph",0,0,0,0,0,1
"12 feet",0,0,0,0,0,1
"30 metre",0,0,0,0,0,1
"about 3",0,0,0,0,0,1
"12 06 Grain",0,0,0,0,0,1
"25 kg 55 pounds",0,0,0,0,0,1
"000 's tonnes",0,0,0,0,0,1
"400 metres",0,0,0,0,0,1
"2 2",0,0,0,0,0,1
"9 lb 3",0,0,0,0,0,1
"1 0",0,0,0,0,0,1
"510,258 pounds sterling",0,0,0,0,0,1
"17 miles",0,0,0,0,0,1
"dozens of kilos",0,0,0,0,0,1
"70 km 45 miles",0,0,0,0,0,1
"1 178 2 225 3 240 4 247 5 252",0,0,0,0,0,1
"12 06 Mana 50,000 tonnes",0,0,0,0,0,1
"1 21 2 52 3",0,0,0,0,0,1
"56 miles 90 km",0,0,0,0,0,1
"4,482 yards",0,0,0,0,0,1
"around 40 litres",0,0,0,0,0,1
"746,000 tonnes",0,0,0,0,0,1
"about 914,000 tonnes",0,0,0,0,0,1
"175 pounds",0,0,0,0,0,1
"70,000 tonnes",0,0,0,0,0,1
"some 500 miles 800 km",0,0,0,0,0,1
"five metres",0,0,0,0,0,1
"10 to 15 knots",0,0,0,0,0,1
"220,000 hectares",0,0,0,0,0,1
"1150 lbs 67",0,0,0,0,0,1
"5 million pounds 5",0,0,0,0,0,1
"5,000 deadweight tonne",0,0,0,0,0,1
"6 million ounces",0,0,0,0,0,1
"the 100 metres",0,0,0,0,0,1
"40 km 25 miles",0,0,0,0,0,1
"70 12/15/2007 850M 4",0,0,0,0,0,1
"1 1 2 6 3 54 4 104 5 137 6 164 7 164 8 168 9 177",0,0,0,0,0,1
"five km three miles",0,0,0,0,0,1
"30 grams",0,0,0,0,0,1
"1350 GMT",0,0,0,0,0,1
"eight kg",0,0,0,0,0,1
"165,000 tonnes",0,0,0,0,0,1
"about 65 km 40 miles",0,0,0,0,0,1
"as much as 500 meters yards",0,0,0,0,0,1
"08 30 Eight",0,0,0,0,0,1
"18 oz",0,0,0,0,0,1
"10 to 15 knots 19 to 28 kilometers",0,0,0,0,0,1
"3 Extras lb",0,0,0,0,0,1
"about 10 miles 16 km",0,0,0,0,0,1
"212 859 1650",0,0,0,0,0,1
"three to five feet",0,0,0,0,0,1
"232 Fall",0,0,0,0,0,1
"5,000 metres",0,0,0,0,0,1
"246 334",0,0,0,0,0,1
"33 yards",0,0,0,0,0,1
"15 12/15/2011",0,0,0,0,0,1
"22,877 yards",0,0,0,0,0,1
"six RBI",0,0,0,0,0,1
"144 yards",0,0,0,0,0,1
"40 metres",0,0,0,0,0,1
"500 metres",0,0,0,0,0,1
"20 ton",0,0,0,0,0,1
"233 million tonnes",0,0,0,0,0,1
"75 yards",0,0,0,0,0,1
"200 km 120 miles",0,0,0,0,0,1
"65 km 40 miles",0,0,0,0,0,1
"51,000 tonnes and 319,000 tonnes",0,0,0,0,0,1
"14 1",0,0,0,0,0,1
"50 M2 389",0,0,0,0,0,1
"11 2",0,0,0,0,0,1
"a low 10 metre",0,0,0,0,0,1
"1100 1200 lbs 112",0,0,0,0,0,1
"up to 75 km an hour",0,0,0,0,0,1
"20 12/15/2003 265M 4",0,0,0,0,0,1
"80 km 50 miles",0,0,0,0,0,1
"more than 15 grams half an ounce",0,0,0,0,0,1
"1450 lbs",0,0,0,0,0,1
"15 km nine mile",0,0,0,0,0,1
"about six km four miles",0,0,0,0,0,1
"31,000 tonnes",0,0,0,0,0,1
"12 Ali Dib",0,0,0,0,0,1
"101 yards",0,0,0,0,0,1
"50 stg a tonne",0,0,0,0,0,1
"10 km six miles",0,0,0,0,0,1
"17 miles per hour",0,0,0,0,0,1
"5 2",0,0,0,0,0,1
"120 metre",0,0,0,0,0,1
"about 200 feet about 70 metres",0,0,0,0,0,1
"18 lb",0,0,0,0,0,1
"six km four miles",0,0,0,0,0,1
"12 06",0,0,0,0,0,1
"100 metres",0,0,0,0,0,1
"42 kg 92 pounds",0,0,0,0,0,1
"4,378 tonnes",0,0,0,0,0,1
"132,000 6,000 336,000",0,0,0,0,0,1
"thousands of tonnes",0,0,0,0,0,1
"818 million 979 million 882 million",0,0,0,0,0,1
"the 205 km sixth",0,0,0,0,0,1
"13 yard",0,0,0,0,0,1
"576 mph",0,0,0,0,0,1
"five tonnes",0,0,0,0,0,1
