Entity,COR,INC,PAR,SPU,MIS,IGN
"Choice 2",0,0,0,0,0,1
"Tiananmen Square",0,1,0,0,0,0
"the National Tennis Centre",0,0,0,0,0,1
"Rinaco Plus",0,1,0,0,0,0
"Shannon",0,1,0,0,0,0
"Insein Prison",0,1,0,0,0,0
"Santiago de Cuba",0,1,0,0,0,0
"Chester le Street",0,0,0,0,0,1
"al Ram",0,0,0,0,0,1
"Latvia 2",0,0,0,0,0,1
"Scoreboard",0,0,0,0,0,1
"Whistler Mountain",0,1,0,0,0,0
"the Golden Four",0,0,0,0,0,1
"Titanic",0,1,0,0,0,0
"Guilin",0,1,0,0,0,0
"All Black",0,1,0,0,0,0
"Hibernian 15",0,0,0,0,0,1
"Nikkola 101",0,0,0,0,0,1
"Javier Pertile",0,1,0,0,0,0
"Belgium 75",0,0,0,0,0,1
"Gazzetta dello Sport",0,1,0,0,0,0
"Hearts 15",0,0,0,0,0,1
"England 15",0,0,0,0,0,1
"Gillingham 22",0,0,0,0,0,1
"Croatia Switzerland",0,0,0,0,0,1
"Alloa 16",0,0,0,0,0,1
"Tajikistan",0,1,0,0,0,0
"London Heathrow",0,1,0,0,0,0
"Interstate 5",0,1,0,0,0,0
"Pavel Bure",0,1,0,0,0,0
"Shrewsbury 22",0,0,0,0,0,1
"N. Knight",0,1,0,0,0,0
"Naseem Hamed",0,1,0,0,0,0
"C 1",0,0,0,0,0,1
"Bellerive Oval",0,1,0,0,0,0
"Norwich 20",0,0,0,0,0,1
"the Brown Deer Park Golf Course",0,0,0,0,0,1
"Tottenham 16",0,0,0,0,0,1
"the New York Jets",0,0,0,0,0,1
"PITTSBURGH SAN FRANCISCO",0,0,0,0,0,1
"Walsall 21",0,0,0,0,0,1
"GREEN BAY JACKSONVILLE",0,0,0,0,0,1
"Berlin grand",0,0,0,0,0,1
"Jeff Bean",0,1,0,0,0,0
"Vancouver Canucks",0,1,0,0,0,0
"Hartlepool 21",0,0,0,0,0,1
"Japan 5",0,0,0,0,0,1
"Guingamp 2 1",0,0,0,0,0,1
"ST LOUIS DOCSTART BASEBALL",0,0,0,0,0,1
"Munich Re",0,1,0,0,0,0
"Finland 15:06",0,0,0,0,0,1
"London Newsroom",0,1,0,0,0,0
"Paris Saint Germain",0,0,0,0,0,1
"Green Square",0,1,0,0,0,0
"Brighton 22",0,0,0,0,0,1
"mosque",0,0,0,0,0,1
"Crystal Palace",0,1,0,0,0,0
"Dampier / Kaohsiung",0,0,0,0,0,1
"Vancouver 105",0,0,0,0,0,1
"Interstate 95",0,1,0,0,0,0
"AZ Alkmaar",0,1,0,0,0,0
"Grand Slam",0,1,0,0,0,0
"Trent Bridge",0,1,0,0,0,0
"Cleveland 81",0,0,0,0,0,1
"Forwards Antonio Folha Porto",0,0,0,0,0,1
"Charles de Gaulle",0,1,0,0,0,0
"Colts",0,1,0,0,0,0
"Grace Road",0,1,0,0,0,0
"Paul Peschisolido",0,1,0,0,0,0
"the U. S. Open",0,0,0,0,0,1
"Alsace",0,1,0,0,0,0
"Kristian Brenden",0,1,0,0,0,0
"Lancashire 197 8",0,0,0,0,0,1
"Changi Prison",0,1,0,0,0,0
"Mexico 2 0",0,0,0,0,0,1
"CINCINNATI SAN DIEGO",0,0,0,0,0,1
"SAN ANTONIO",0,1,0,0,0,0
"Carlisle 22",0,0,0,0,0,1
"VANCOUVER DOCSTART",0,0,0,0,0,1
"Clyde 15",0,0,0,0,0,1
"Roda JC",0,0,0,0,0,1
"Nancy 21",0,0,0,0,0,1
"Swansea 22",0,0,0,0,0,1
"Pohang",0,1,0,0,0,0
"Guingamp 20",0,0,0,0,0,1
"Glentoran",0,1,0,0,0,0
"Amnesty International",0,1,0,0,0,0
"Lithuania 3",0,0,0,0,0,1
"Vatican",0,1,0,0,0,0
"DOCSTART SOCCER ROMANIA BEAT LITHUANIA",0,0,0,0,0,1
"PHILADELPHIA SAN DIEGO",0,0,0,0,0,1
"Andre Ribeiro Brazil",0,0,0,0,0,1
"Rangoon 's",0,0,0,0,0,1
"Grunde Njos",0,1,0,0,0,0
*TOTAL*,0,41,0,0,0,53
