Entity,COR,INC,PAR,SPU,MIS,IGN
"Chicago",0,1,0,0,0,0
"Warsaw",0,1,0,0,0,0
"Berlin",0,1,0,0,0,0
"Kansas City",0,1,0,0,0,0
"Sheffield",0,0,0,0,0,1
"HONG KONG",0,1,0,0,0,0
"us",0,0,0,0,0,1
"Darlington",0,1,0,0,0,0
"Townsend",0,1,0,0,0,0
"Mahala",0,1,0,0,0,0
"Takagi",0,1,0,0,0,0
"Israel",0,1,0,0,0,0
"Virgilijus",0,0,0,0,0,1
"U. S. market",0,0,0,0,0,1
"Venezuela",0,1,0,0,0,0
"Hangzhou",0,1,0,0,0,0
"Bohdan Ulihrach Czech Republic 6",0,0,0,0,0,1
"Sunderland",0,1,0,0,0,0
"Ankara",0,1,0,0,0,0
"Maccabi",0,0,0,0,0,1
"Paramaribo",0,1,0,0,0,0
"Vietnam",0,1,0,0,0,0
"Paris",0,1,0,0,0,0
"Harte",0,1,0,0,0,0
"EuroLeague",0,1,0,0,0,0
"East Timor",0,1,0,0,0,0
"Baltimore",0,1,0,0,0,0
"Cincinnati",0,1,0,0,0,0
"LOS ANGELES",0,1,0,0,0,0
"Sussex",0,1,0,0,0,0
"Prestwick",0,1,0,0,0,0
"Televisa",0,1,0,0,0,0
"MILWAUKEE",0,1,0,0,0,0
"Pittsburgh",0,1,0,0,0,0
"U. S. Treasuries",0,0,0,0,0,1
"Uzbekistan",0,1,0,0,0,0
"Dharmasena",0,1,0,0,0,0
"Wuhan",0,1,0,0,0,0
"Macedonia",0,1,0,0,0,0
"Hapoel Jerusalem",0,1,0,0,0,0
"Azerbaijan",0,1,0,0,0,0
"Ottawa",0,1,0,0,0,0
"Korneilus Hole",0,1,0,0,0,0
"Moldova",0,1,0,0,0,0
"Barentsburg",0,1,0,0,0,0
"Yugoslavia",0,1,0,0,0,0
"Lille",0,1,0,0,0,0
"Valencia",0,1,0,0,0,0
"Slovakia",0,1,0,0,0,0
"Kecskemet",0,1,0,0,0,0
"Maracaibo",0,1,0,0,0,0
"The U. S.",0,0,0,0,0,1
"Dinamo",0,1,0,0,0,0
"Seelig",0,0,0,0,0,1
"Timisoara",0,1,0,0,0,0
"Hebrew",0,1,0,0,0,0
"Canada",0,1,0,0,0,0
"Poland",0,1,0,0,0,0
"Valentina",0,0,0,0,0,1
"Rangoon",0,1,0,0,0,0
"Jordan",0,1,0,0,0,0
"Cuba",0,1,0,0,0,0
"Helena Sukova",0,1,0,0,0,0
"Guangxi",0,1,0,0,0,0
"Uruguay",0,1,0,0,0,0
"Natalya",0,0,0,0,0,1
"Alania",0,1,0,0,0,0
"MEXICO CITY",0,1,0,0,0,0
"Cuttitta",0,1,0,0,0,0
"TEXAS",0,1,0,0,0,0
