Entity,COR,INC,PAR,SPU,MIS,IGN
"141",0,0,0,0,0,1
"10 20 cents",0,0,0,0,0,1
"7 cents",0,0,0,0,0,1
"1 cent",0,0,0,0,0,1
"112 yen",0,0,0,0,0,1
"78 cents",0,0,0,0,0,1
"3,710 marks",0,0,0,0,0,1
"5607 marks",0,0,0,0,0,1
"five marks",0,0,0,0,0,1
"460,000 francs",0,0,0,0,0,1
"hundreds of millions",0,0,0,0,0,1
"some 40 million Swiss francs",0,0,0,0,0,1
"115 yen",0,0,0,0,0,1
"95 cent",0,0,0,0,0,1
"20 cents",0,0,0,0,0,1
"billions of yen",0,0,0,0,0,1
"67 cents",0,0,0,0,0,1
"about 16,000 francs",0,0,0,0,0,1
"37 million French franc",0,0,0,0,0,1
"40 yen",0,0,0,0,0,1
"25 cents",0,0,0,0,0,1
"34 million yuan",0,0,0,0,0,1
"almost 15 cents",0,0,0,0,0,1
"5 cents",0,0,0,0,0,1
"5338 marks",0,0,0,0,0,1
"130,000 6,000",0,0,0,0,0,1
"420 billion",0,0,0,0,0,1
"2,555 lire",0,0,0,0,0,1
"678 billion",0,0,0,0,0,1
"548 billion",0,0,0,0,0,1
"14 Belgian Franc DOCSTART Port",0,0,0,0,0,1
"more than 15 cents",0,0,0,0,0,1
"02 cents",0,0,0,0,0,1
"2 cents",0,0,0,0,0,1
"between 25 45 cents",0,0,0,0,0,1
"08 Canadian dollar",0,0,0,0,0,1
"eight to quarter",0,0,0,0,0,1
"92 yen",0,0,0,0,0,1
"Five barges",0,0,0,0,0,1
"8 million French francs",0,0,0,0,0,1
"85 cents",0,0,0,0,0,1
"22 cents",0,0,0,0,0,1
"32,970,000 1,305,000 88,800,000 Percent",0,0,0,0,0,1
"56 yen",0,0,0,0,0,1
"415 million 490 million",0,0,0,0,0,1
"eight cents",0,0,0,0,0,1
"15 billion second quarter",0,0,0,0,0,1
"1 million French francs",0,0,0,0,0,1
"billions of dollars",0,0,0,0,0,1
"3 cents",0,0,0,0,0,1
"13 trillion roubles",0,0,0,0,0,1
"688,000 31,000 1,810,000",0,0,0,0,0,1
"one cent",0,0,0,0,0,1
"63 cents",0,0,0,0,0,1
"75,000 Swiss francs",0,0,0,0,0,1
"601,000 26,000 1,547,000",0,0,0,0,0,1
"7 billion zlotys",0,0,0,0,0,1
"460,000 Swiss francs",0,0,0,0,0,1
"out millions of dollars",0,0,0,0,0,1
"39 cents",0,0,0,0,0,1
"3 yuan",0,0,0,0,0,1
"87 cent",0,0,0,0,0,1
"2,000 U. S.",0,0,0,0,0,1
"75 cents",0,0,0,0,0,1
"7 centavos 1 cent",0,0,0,0,0,1
"more than 10 cents",0,0,0,0,0,1
"seven dollars",0,0,0,0,0,1
"64 yen",0,0,0,0,0,1
"25,000 Swiss francs",0,0,0,0,0,1
"80 cents",0,0,0,0,0,1
"about 53 million francs",0,0,0,0,0,1
"06 cents",0,0,0,0,0,1
"about 10 cents",0,0,0,0,0,1
"12 cents",0,0,0,0,0,1
"10 cents",0,0,0,0,0,1
"50 yen",0,0,0,0,0,1
"818 million 979 million 882 million",0,0,0,0,0,1
"00 yen",0,0,0,0,0,1
"09 cents",0,0,0,0,0,1
*TOTAL*,0,0,0,0,0,79
