Entity,COR,INC,PAR,SPU,MIS,IGN
"Orient 21",0,0,0,0,0,1
"Y GREEN BAY",0,0,0,0,0,1
"Canola",0,0,0,0,0,1
"Sheffield",0,0,0,0,0,1
"380",0,0,0,0,0,1
"287",0,0,0,0,0,1
"Blackburn 16",0,0,0,0,0,1
"Woods",0,1,0,0,0,0
"Select 2 3 1250",0,0,0,0,0,1
"DOCSTART Med",0,0,0,0,0,1
"EuroLeague",0,1,0,0,0,0
"F 16",0,0,0,0,0,1
"Net",0,0,0,0,0,1
"Shimer",0,1,0,0,0,0
"Green Bay Packers",0,1,0,0,0,0
"Jose Amavisca",0,1,0,0,0,0
"Notes",0,0,0,0,0,1
"Derbyshire",0,1,0,0,0,0
"Svetlana",0,1,0,0,0,0
"All Black",0,1,0,0,0,0
"BOJ",0,1,0,0,0,0
"Rashid",0,1,0,0,0,0
"Arbroath 16 2",0,0,0,0,0,1
"Kenda",0,1,0,0,0,0
"Return of the Legend",0,1,0,0,0,0
"Alexandra Meissnitzer Austria 27",0,0,0,0,0,1
"4 1",0,0,0,0,0,1
"ST LOUIS",0,1,0,0,0,0
"6",0,0,0,0,0,1
"0",0,0,0,0,0,1
"USDA CATTLE CALVES",0,0,0,0,0,1
"DOCSTART Honda RV",0,0,0,0,0,1
"8982",0,0,0,0,0,1
"Royal Clipper 77,000",0,0,0,0,0,1
"DOCSTART Car",0,0,0,0,0,1
"575",0,0,0,0,0,1
"SDA",0,1,0,0,0,0
"Fax +32 2",0,0,0,0,0,1
"SUMMARIES",0,0,0,0,0,1
"a C 1",0,0,0,0,0,1
"Lebed",0,1,0,0,0,0
"Yalcin",0,1,0,0,0,0
"Goldberger 160 4",0,0,0,0,0,1
"WICKETS",0,0,0,0,0,1
"F /",0,0,0,0,0,1
"57",0,0,0,0,0,1
"F 15",0,0,0,0,0,1
"Hennie Swart",0,1,0,0,0,0
"2 11",0,0,0,0,0,1
"841",0,0,0,0,0,1
"S. Doull c",0,0,0,0,0,1
"Shield",0,0,0,0,0,1
"UEFA Cups",0,1,0,0,0,0
"Schalke 2",0,0,0,0,0,1
"CBOT",0,1,0,0,0,0
"Mercedes",0,1,0,0,0,0
"QUALIFIER",0,0,0,0,0,1
"JCPenney Classic",0,1,0,0,0,0
"2 0",0,0,0,0,0,1
"Puchon 2",0,0,0,0,0,1
"Town 1",0,0,0,0,0,1
"AZ Alkmaar",0,1,0,0,0,0
"SAN FRANCISCO MINNESOTA",0,0,0,0,0,1
"Colts",0,1,0,0,0,0
"ST",0,0,0,0,0,1
"Alexandra Meissnitzer Austria",0,0,0,0,0,1
"4 2",0,0,0,0,0,1
"Berwick",0,1,0,0,0,0
"S MX",0,0,0,0,0,1
"Revs 476",0,0,0,0,0,1
"LG 2 OB 0 Lotte 6",0,0,0,0,0,1
"Crusaders",0,1,0,0,0,0
"Oval",0,1,0,0,0,0
"A P Puchon",0,0,0,0,0,1
"Newcastle 15 9",0,0,0,0,0,1
"Vicenza",0,1,0,0,0,0
"Lara",0,1,0,0,0,0
"Davor Suker",0,1,0,0,0,0
"2",0,0,0,0,0,1
"Lancashire 218",0,0,0,0,0,1
"RBI",0,1,0,0,0,0
"DOCSTART",0,0,0,0,0,1
"Flight 150",0,1,0,0,0,0
"389",0,0,0,0,0,1
"Walsh 9",0,0,0,0,0,1
"http://www",0,0,0,0,0,1
"W D",0,0,0,0,0,1
*TOTAL*,0,31,0,0,0,56
