Entity,COR,INC,PAR,SPU,MIS,IGN
"PMI",0,0,0,1,0,0
"Kansas City",1,0,0,0,0,0
"Mariners",1,0,0,0,0,0
"Nantes",1,0,0,0,0,0
"VICTORIA",0,0,0,0,1,0
"OPECNA",1,0,0,0,0,0
"Darlington",1,0,0,0,0,0
"LM Ericsson AB",1,0,0,0,0,0
"Tolunay Kafkas",0,1,0,0,0,0
"Mobil",1,0,0,0,0,0
"Lech",0,0,0,0,1,0
"GPTA",0,0,0,0,1,0
"Scots",0,1,0,0,0,0
"Herri Batasuna",0,0,0,0,1,0
"KPD",1,0,0,0,0,0
"Juventus",1,0,0,0,0,0
"Baltimore",1,0,0,0,0,0
"Pirelli",1,0,0,0,0,0
"NYMEX",1,0,0,0,0,0
"Cincinnati",1,0,0,0,0,0
"Tychy",0,0,0,0,1,0
"OIC",1,0,0,0,0,0
"Boreham Wood",1,0,0,0,0,0
"Reuters in Jakarta. Reuters",0,0,1,0,0,0
"Gazzetta dello Sport",1,0,0,0,0,0
"PAP",0,0,0,0,1,0
"Ottawa",1,0,0,0,0,0
"Olympic Airways",0,0,0,0,1,0
"Proleter ( Z )",0,0,0,0,1,0
"UNITED STATES Prices of U. S. Treasury",0,0,1,0,0,0
"Fortuna Sittard",1,0,0,0,0,0
"Jaegal Sung Yeol South Korea",0,0,1,0,0,0
"Dinamo",1,0,0,0,0,0
"Carlsberg",1,0,0,0,0,0
"RIO DE JANEIRO",0,1,0,0,0,0
"Florida Supreme Court",0,0,0,0,1,0
"Interrosimpex",1,0,0,0,0,0
"Enfield",1,0,0,0,0,0
"ILO",1,0,0,0,0,0
"U. S. Treasury Department",0,0,1,0,0,0
"NYC Jan",0,0,0,1,0,0
"BellSouth",0,0,0,1,0,0
"Chester",1,0,0,0,0,0
"USA I",0,0,0,0,1,0
"National and NZ First",0,0,1,0,0,0
"Alania",1,0,0,0,0,0
"Kansas City Royals",1,0,0,0,0,0
"PF PA X DENVER",0,0,1,0,0,0
"DOCSTART RUGBY UNION CAMPESE",0,0,1,0,0,0
"Orioles",1,0,0,0,0,0
"Gremio",1,0,0,0,0,0
"Czech Civic Democratic Party ODS",0,0,1,0,0,0
"Cofinec",1,0,0,0,0,0
"Motorsport Traditions Ltd",1,0,0,0,0,0
"Split Croatia",0,0,1,0,0,0
"Hoon",0,0,0,1,0,0
"Red Star",1,0,0,0,0,0
"New South Wales Supreme Court",1,0,0,0,0,0
"UWP-Hachette",0,0,0,0,1,0
"New York Mercantile Exchange",1,0,0,0,0,0
"LE TEMPS",0,0,0,0,1,0
"U. S. Agriculture Department",0,0,1,0,0,0
"Durham",1,0,0,0,0,0
"Wallabies",1,0,0,0,0,0
"Air France",1,0,0,0,0,0
"PF PA NEW ENGLAND",0,0,1,0,0,0
"Maccabi Haifa",1,0,0,0,0,0
"Wednesday",0,0,0,0,1,0
"PKK",1,0,0,0,0,0
"May. London Newsroom",0,0,1,0,0,0
"Cairns",0,1,0,0,0,0
"International Finance Bureau",1,0,0,0,0,0
"GF GA PTS FLORIDA",0,0,1,0,0,0
"RKC Waalwijk",1,0,0,0,0,0
"percent. Bucharest Newsroom",0,0,1,0,0,0
"Kia",1,0,0,0,0,0
"OPEC",1,0,0,0,0,0
"Indonesian Mines and Energy Ministry",1,0,0,0,0,0
"U. S. Senate Banking Committee",0,0,1,0,0,0
"VANCOUVER",1,0,0,0,0,0
"NY ISLANDERS CHICAGO",0,0,1,0,0,0
"Homegate Hospitality Inc. WASHINGTON",0,0,1,0,0,0
"Federal Reserve",1,0,0,0,0,0
"SLORC",1,0,0,0,0,0
"Bristol Rovers",1,0,0,0,0,0
"Paolo Di Canio Celtic",0,0,1,0,0,0
"Phillies",1,0,0,0,0,0
"First Bank System Inc.",1,0,0,0,0,0
"Kia Motor Corp",1,0,0,0,0,0
"USDA DOCSTART Wall St",0,0,1,0,0,0
"Bay Co Building Authority",1,0,0,0,0,0
"NSW Treasury",1,0,0,0,0,0
"Chonbuk",1,0,0,0,0,0
"Benetton",1,0,0,0,0,0
"Marines",0,1,0,0,0,0
"Mansfield",1,0,0,0,0,0
"DOCSTART Estonian Tallinna Pank",0,0,1,0,0,0
"EAGLES",1,0,0,0,0,0
"Reuters. GRONINGEN",0,0,1,0,0,0
"Sjeng Schalken Netherlands",0,0,1,0,0,0
"Northern and Northeastern",0,0,0,1,0,0
"Robbie Fowler Liverpool",0,0,1,0,0,0
"Marshall",0,1,0,0,0,0
"Gong Zhichao China",0,0,0,1,0,0
"PF PA",0,0,1,0,0,0
"Reform Party",1,0,0,0,0,0
"Forfar",1,0,0,0,0,0
"UAE",0,1,0,0,0,0
"AK",0,0,1,0,0,0
"International Monetary Fund",1,0,0,0,0,0
"BALTIMORE",1,0,0,0,0,0
"Atlalanta",1,0,0,0,0,0
"SACRAMENTO",1,0,0,0,0,0
"Exeter",1,0,0,0,0,0
"All Blacks",1,0,0,0,0,0
"BOJ",1,0,0,0,0,0
"Petra Behle Germany 24:15.",0,0,0,1,0,0
"LA CLIPPERS",1,0,0,0,0,0
"Multico",1,0,0,0,0,0
"Calgary",1,0,0,0,0,0
"FC Hansa Rostock",1,0,0,0,0,0
"ST LOUIS",1,0,0,0,0,0
"Moody",0,1,0,0,0,0
"DOCSTART RUGBY UNION SOUTH AFRICA",0,0,1,0,0,0
"Lyon",1,0,0,0,0,0
"East Stirling",1,0,0,0,0,0
"Northern Ireland. World",0,0,0,1,0,0
"DOCSTART Hindu",0,0,0,1,0,0
"Clyde",1,0,0,0,0,0
"BILO",0,1,0,0,0,0
"Atalanta",1,0,0,0,0,0
"Egidio Community",0,0,1,0,0,0
"ADS",0,0,0,1,0,0
"FOMC",1,0,0,0,0,0
"Borussia Neunkirchen",1,0,0,0,0,0
"Dundee",1,0,0,0,0,0
