Entity,COR,INC,PAR,SPU,MIS,IGN
"UKRAINE",1,0,0,0,0,0
"Copenhagen",1,0,0,0,0,0
"Nantes",0,1,0,0,0,0
"Warsaw",1,0,0,0,0,0
"Berlin",1,0,0,0,0,0
"Kansas City",1,0,0,0,0,0
"ORLANDO",0,1,0,0,0,0
"Mahala",1,0,0,0,0,0
"PARIS 1996 08 31 Euro 96",0,0,1,0,0,0
"The Oval",0,0,0,0,1,0
"Burkina",0,0,1,0,0,0
"PHILADELPHIA SAN DIEGO",0,0,1,0,0,0
"Lotte 46 6 54",0,0,0,1,0,0
"Greece Thursday",0,0,1,0,0,0
"Surcin",0,0,0,0,1,0
"Martina Hingis Switzerland",0,0,1,0,0,0
"Ivory Coast",0,0,0,0,1,0
"Blida",0,0,0,0,1,0
"Las Vegas",0,0,0,0,1,0
"Birmingham June 11 13",0,0,1,0,0,0
"Yangon",1,0,0,0,0,0
"Landgraaf",0,0,0,0,1,0
"Israel",1,0,0,0,0,0
"Masisi",0,0,0,1,0,0
"Venezuela",1,0,0,0,0,0
"Pernilla Wiberg Sweden",0,0,1,0,0,0
"NEW YORK 1996 12 07 Results of National Hockey League",0,0,1,0,0,0
"Durham May 22",0,0,0,1,0,0
"Edgbaston",1,0,0,0,0,0
"Harlequins",1,0,0,0,0,0
"EDMONTON",1,0,0,0,0,0
"Hangzhou",1,0,0,0,0,0
"MONTE CARLO",0,0,0,0,1,0
"Sunderland",0,1,0,0,0,0
"Munich",0,0,0,1,0,0
"Burj al-Laqlaq Society",0,0,0,0,1,0
"Paris",1,0,0,0,0,0
"Germany. BONN 1996 08 30",0,0,1,0,0,0
"Urus-Martan",0,0,0,0,1,0
"Puerto Rico",1,0,0,0,0,0
"Germany. Azerbaijan",0,0,1,0,0,0
"SANTIAGO 1996 12 05",0,0,0,1,0,0
"MOSCOW 1996 08 30",0,0,1,0,0,0
"Osmond Ezinwa Nigeria",0,0,1,0,0,0
"PARIS 1996 08 31",0,0,1,0,0,0
"Central Asia",1,0,0,0,0,0
"BAGHDAD",0,0,0,0,1,0
"Colorado 1996 12 07 Women",0,0,1,0,0,0
"Hobart",1,0,0,0,0,0
"Alloa",0,1,0,0,0,0
"East Timor",1,0,0,0,0,0
"Kumara Dharmasena",0,1,0,0,0,0
"HOUSTON UTAH",0,0,1,0,0,0
"PARIS 1996 12 06",0,0,1,0,0,0
"Casa de Narino",0,0,0,0,1,0
"Baltimore",0,1,0,0,0,0
"DALLAS PHILADELPHIA",0,0,1,0,0,0
"London International Financial Futures and Options Exchange",0,1,0,0,0,0
"Kosevo",0,0,0,0,1,0
"Central Africa",0,0,0,0,1,0
"Cincinnati",1,0,0,0,0,0
"Hwang Sun Hong",0,1,0,0,0,0
"Baltimore Orioles",0,1,0,0,0,0
"Baia Barcelona",0,0,1,0,0,0
"Iowa",0,0,1,0,0,0
"LOS ANGELES",1,0,0,0,0,0
"MILWAUKEE",1,0,0,0,0,0
"Prestwick",1,0,0,0,0,0
"Pittsburgh",1,0,0,0,0,0
"BELFAST",0,0,0,0,1,0
"Uzbekistan",1,0,0,0,0,0
"Melbourne",1,0,0,0,0,0
"Rwanda last week",0,0,1,0,0,0
"IRELAND",0,0,0,0,1,0
"BUDAPEST 1996 12 06",0,0,1,0,0,0
"The United States",0,0,1,0,0,0
"Dharmasena",0,1,0,0,0,0
"Somerset",0,1,0,0,0,0
"Iraqi",0,1,0,0,0,0
"Moengo",0,0,0,0,1,0
