Entity,COR,INC,PAR,SPU,MIS,IGN
"81 3",0,0,0,0,0,1
"nearly 1,000",0,0,0,0,0,1
"75,810",0,0,0,0,0,1
"+48 22",0,0,0,0,0,1
"19,672",0,0,0,0,0,1
"481",0,0,0,0,0,1
"hundreds of thousands",0,0,0,0,0,1
"34",0,0,0,0,0,1
"818 million",0,0,0,0,0,1
"11,589",0,0,0,0,0,1
"6 1",0,0,0,0,0,1
"72",0,0,0,0,0,1
"127",0,0,0,0,0,1
"over 7",0,0,0,0,0,1
"5 10",0,0,0,0,0,1
"42,442",0,0,0,0,0,1
"185",0,0,0,0,0,1
"1:24",0,0,0,0,0,1
"8 2 3",0,0,0,0,0,1
"19,306",0,0,0,0,0,1
"6 4",0,0,0,0,0,1
"387",0,0,0,0,0,1
"More than 960",0,0,0,0,0,1
"70,000",0,0,0,0,0,1
"214",0,0,0,0,0,1
"651",0,0,0,0,0,1
"467",0,0,0,0,0,1
"685,000 31,000",0,0,0,0,0,1
"275 million",0,0,0,0,0,1
"16",0,0,0,0,0,1
"156",0,0,0,0,0,1
"941.",0,0,0,0,0,1
"23:58.",0,0,0,0,0,1
"20 5",0,0,0,0,0,1
"650 million",0,0,0,0,0,1
"133",0,0,0,0,0,1
"18,661",0,0,0,0,0,1
"Thousands",0,0,0,0,0,1
"3:54",0,0,0,0,0,1
"38",0,0,0,0,0,1
"289",0,0,0,0,0,1
"69,100",0,0,0,0,0,1
"23 4",0,0,0,0,0,1
"only one",0,0,0,0,0,1
"15",0,0,0,0,0,1
"1220.",0,0,0,0,0,1
"115",0,0,0,0,0,1
"about 80",0,0,0,0,0,1
"8 1/2",0,0,0,0,0,1
"629",0,0,0,0,0,1
"1,967",0,0,0,0,0,1
"6 million",0,0,0,0,0,1
"37",0,0,0,0,0,1
"two",0,0,0,0,0,1
"224 million",0,0,0,0,0,1
"12 20",0,0,0,0,0,1
"zero",0,0,0,0,0,1
"471",0,0,0,0,0,1
"93. 25",0,0,0,0,0,1
"6 3",0,0,0,0,0,1
"At least four",0,0,0,0,0,1
"182nd",0,0,0,0,0,1
"50 13",0,0,0,0,0,1
"16 2",0,0,0,0,0,1
"250,000",0,0,0,0,0,1
"25,000",0,0,0,0,0,1
"321 million",0,0,0,0,0,1
"1:33",0,0,0,0,0,1
"32",0,0,0,0,0,1
"31 million",0,0,0,0,0,1
"about 120",0,0,0,0,0,1
"158",0,0,0,0,0,1
"06",0,0,0,0,0,1
"Half",0,0,0,0,0,1
"50 5",0,0,0,0,0,1
"3,885",0,0,0,0,0,1
"6",0,0,0,0,0,1
"121",0,0,0,0,0,1
"20 6",0,0,0,0,0,1
"About 112",0,0,0,0,0,1
"1:17",0,0,0,0,0,1
"90 / 53",0,0,0,0,0,1
"137",0,0,0,0,0,1
"8 0",0,0,0,0,0,1
"33,000",0,0,0,0,0,1
"3",0,0,0,0,0,1
"1 million",0,0,0,0,0,1
"73 million",0,0,0,0,0,1
"1 1 2",0,0,0,0,0,1
"204",0,0,0,0,0,1
"4 million",0,0,0,0,0,1
"Two",0,0,0,0,0,1
"30 5/8",0,0,0,0,0,1
"20",0,0,0,0,0,1
"11 3",0,0,0,0,0,1
"at least one trillion",0,0,0,0,0,1
"5 12",0,0,0,0,0,1
"506.",0,0,0,0,0,1
"5,778",0,0,0,0,0,1
"22.",0,0,0,0,0,1
"4 / second",0,0,0,0,0,1
"8 629.",0,0,0,0,0,1
"678 billion",0,0,0,0,0,1
"205",0,0,0,0,0,1
"Seventy seven",0,0,0,0,0,1
"60 5",0,0,0,0,0,1
"3,333",0,0,0,0,0,1
"125",0,0,0,0,0,1
"15 18",0,0,0,0,0,1
"42",0,0,0,0,0,1
"80 5",0,0,0,0,0,1
"30/32",0,0,0,0,0,1
"211",0,0,0,0,0,1
"one",0,0,0,0,0,1
"1:50",0,0,0,0,0,1
"2 3",0,0,0,0,0,1
"25 1000",0,0,0,0,0,1
"30,000",0,0,0,0,0,1
"260",0,0,0,0,0,1
"183",0,0,0,0,0,1
"2 11979",0,0,0,0,0,1
"220 million",0,0,0,0,0,1
"391.",0,0,0,0,0,1
"6,425",0,0,0,0,0,1
"181,005",0,0,0,0,0,1
"9 billion",0,0,0,0,0,1
"17",0,0,0,0,0,1
"67",0,0,0,0,0,1
"0 1",0,0,0,0,0,1
"95 4",0,0,0,0,0,1
"235.",0,0,0,0,0,1
"145",0,0,0,0,0,1
"859",0,0,0,0,0,1
"1,445",0,0,0,0,0,1
"about 40",0,0,0,0,0,1
"03",0,0,0,0,0,1
"39",0,0,0,0,0,1
"24.",0,0,0,0,0,1
"561 million",0,0,0,0,0,1
"1:19",0,0,0,0,0,1
"40 1",0,0,0,0,0,1
"6 54",0,0,0,0,0,1
"350",0,0,0,0,0,1
"80",0,0,0,0,0,1
"about 20",0,0,0,0,0,1
"4 1897",0,0,0,0,0,1
"up to a million",0,0,0,0,0,1
"958",0,0,0,0,0,1
"128.",0,0,0,0,0,1
"203",0,0,0,0,0,1
"1 1",0,0,0,0,0,1
"48",0,0,0,0,0,1
"2147",0,0,0,0,0,1
"40,000 35,000 / 28,000",0,0,0,0,0,1
"395",0,0,0,0,0,1
"143",0,0,0,0,0,1
"130,000 6,000 346,000",0,0,0,0,0,1
"8 6",0,0,0,0,0,1
"61",0,0,0,0,0,1
"13 17",0,0,0,0,0,1
"12 under 130",0,0,0,0,0,1
"072261",0,0,0,0,0,1
"218",0,0,0,0,0,1
"0 0",0,0,0,0,0,1
"3,550",0,0,0,0,0,1
"300 11",0,0,0,0,0,1
"9,000",0,0,0,0,0,1
"1734",0,0,0,0,0,1
"9 231.",0,0,0,0,0,1
"20 million",0,0,0,0,0,1
"109",0,0,0,0,0,1
"15 5",0,0,0,0,0,1
"28,418",0,0,0,0,0,1
"1135",0,0,0,0,0,1
"more than 3,000",0,0,0,0,0,1
"45 billion",0,0,0,0,0,1
"727,000",0,0,0,0,0,1
"211,420",0,0,0,0,0,1
"487",0,0,0,0,0,1
"about 100",0,0,0,0,0,1
"52",0,0,0,0,0,1
"98",0,0,0,0,0,1
"9.",0,0,0,0,0,1
"15,150",0,0,0,0,0,1
"at least 61",0,0,0,0,0,1
"18",0,0,0,0,0,1
"1812",0,0,0,0,0,1
"10",0,0,0,0,0,1
"1,250",0,0,0,0,0,1
"660",0,0,0,0,0,1
"870",0,0,0,0,0,1
"55 639",0,0,0,0,0,1
"784,000",0,0,0,0,0,1
"6221 384 6364",0,0,0,0,0,1
"55",0,0,0,0,0,1
"855",0,0,0,0,0,1
"0 4",0,0,0,0,0,1
"7 5",0,0,0,0,0,1
"43,955",0,0,0,0,0,1
"297,157",0,0,0,0,0,1
"about 165,000",0,0,0,0,0,1
"23:13",0,0,0,0,0,1
"1:49",0,0,0,0,0,1
"up to 75",0,0,0,0,0,1
"110.",0,0,0,0,0,1
"4 28",0,0,0,0,0,1
"372",0,0,0,0,0,1
"95",0,0,0,0,0,1
"5647",0,0,0,0,0,1
"At least 17",0,0,0,0,0,1
"5",0,0,0,0,0,1
"33969650",0,0,0,0,0,1
"190",0,0,0,0,0,1
"1 4",0,0,0,0,0,1
"13:08",0,0,0,0,0,1
"16 8",0,0,0,0,0,1
"12 06",0,0,0,0,0,1
"1,071",0,0,0,0,0,1
"24,602",0,0,0,0,0,1
"15 1 3",0,0,0,0,0,1
"186",0,0,0,0,0,1
"8 178. 0 2531",0,0,0,0,0,1
"9 2 4",0,0,0,0,0,1
"1 59",0,0,0,0,0,1
"14,000",0,0,0,0,0,1
"123",0,0,0,0,0,1
"10 3",0,0,0,0,0,1
"Five",0,0,0,0,0,1
"1875",0,0,0,0,0,1
"08 30",0,0,0,0,0,1
"63 12",0,0,0,0,0,1
"7 7",0,0,0,0,0,1
"Glenavon",0,1,0,0,0,0
"107 11/32",0,0,0,0,0,1
"5,647",0,0,0,0,0,1
"277",0,0,0,0,0,1
"3 1",0,0,0,0,0,1
"More than 300",0,0,0,0,0,1
"5 0",0,0,0,0,0,1
"only 10",0,0,0,0,0,1
"255",0,0,0,0,0,1
"1.",0,0,0,0,0,1
"2,000",0,0,0,0,0,1
"180,000",0,0,0,0,0,1
