Entity,COR,INC,PAR,SPU,MIS,IGN
"Last month",0,0,0,0,0,1
"2002",0,0,0,0,0,1
"+48 22",0,0,0,0,0,1
"18 year old",0,0,0,0,0,1
"three decades",0,0,0,0,0,1
"September 27 28",0,0,0,0,0,1
"the second day",0,0,0,0,0,1
"1930",0,0,0,0,0,1
"Yesterday",0,0,0,0,0,1
"BRUSSELS 1996 08 31",0,0,0,0,0,1
"May August",0,0,0,0,0,1
"Today",0,0,0,0,0,1
"first half 19996/97",0,0,0,0,0,1
"12 07",0,0,0,0,0,1
"MADRID 1996 12 07",0,0,0,0,0,1
"N. M. 1996",0,0,0,0,0,1
"September",0,0,0,0,0,1
"MADRID 1996 12 07 Summary",0,0,0,0,0,1
"16",0,0,0,0,0,1
"NEW YORK 1996 12 06",0,0,0,0,0,1
"AMSTERDAM 1996 08 31",0,0,0,0,0,1
"57th",0,0,0,0,0,1
"57th , 11",0,0,0,0,0,1
"8 1/2 years",0,0,0,0,0,1
"the next year",0,0,0,0,0,1
"38",0,0,0,0,0,1
"1:49. 41",0,0,0,0,0,1
"last October 's",0,0,0,0,0,1
"all months",0,0,0,0,0,1
"15",0,0,0,0,0,1
"9,300 Week Ago",0,0,0,0,0,1
"26 year old",0,0,0,0,0,1
"1:16. 31",0,0,0,0,0,1
"62. 06",0,0,0,0,0,1
"August 16",0,0,0,0,0,1
"4,000 September 93. 30 to 93",0,0,0,0,0,1
"next week 's",0,0,0,0,0,1
"25 , Oct. 9",0,0,0,0,0,1
"1990",0,0,0,0,0,1
"a week",0,0,0,0,0,1
"Last Year",0,0,0,0,0,1
"DUBLIN 1996 08",0,0,0,0,0,1
"67 73",0,0,0,0,0,1
"Thursday",0,0,0,0,0,1
"37",0,0,0,0,0,1
"BELFAST 1996 08 31",0,0,0,0,0,1
"BUCHAREST 1996",0,0,0,0,0,1
"four month",0,0,0,0,0,1
"November 5",0,0,0,0,0,1
"Labour Day",0,1,0,0,0,0
"seven years",0,0,0,0,0,1
"29 10",0,0,0,0,0,1
"between now and the year 2003",0,0,0,0,0,1
"earlier this season",0,0,0,0,0,1
"Earlier this month",0,0,0,0,0,1
"August 21",0,0,0,0,0,1
"the second half",0,0,0,0,0,1
"July 1994",0,0,0,0,0,1
"BAGHDAD 1996 08 31",0,0,0,0,0,1
"1996 08",0,0,0,0,0,1
"six weeks",0,0,0,0,0,1
"This month",0,0,0,0,0,1
"1922",0,0,0,0,0,1
"43 12",0,0,0,0,0,1
"November 27",0,0,0,0,0,1
"between July and September",0,0,0,0,0,1
"20 6",0,0,0,0,0,1
"Next week",0,0,0,0,0,1
"early 1992",0,0,0,0,0,1
"tomorrow",0,0,0,0,0,1
"six years",0,0,0,0,0,1
"81st , 10",0,0,0,0,0,1
"last year 's",0,0,0,0,0,1
"a second straight day",0,0,0,0,0,1
"This week",0,0,0,0,0,1
"HARARE 1996 12 06",0,0,0,0,0,1
"three aged three",0,0,0,0,0,1
"BUCHAREST 1996 08 30",0,0,0,0,0,1
"12 month",0,0,0,0,0,1
"next year 's",0,0,0,0,0,1
"1975",0,0,0,0,0,1
"41 26",0,0,0,0,0,1
"51. 98",0,0,0,0,0,1
"December 16",0,0,0,0,0,1
"the coming five to ten years",0,0,0,0,0,1
"17 days",0,0,0,0,0,1
"71,000 year ago",0,0,0,0,0,1
"BUCHAREST 1996 08 31",0,0,0,0,0,1
"1996 08 30",0,0,0,0,0,1
"DAMASCUS 1996 08 30",0,0,0,0,0,1
"1919",0,0,0,0,0,1
"15 10",0,0,0,0,0,1
"20",0,0,0,0,0,1
"3. 40s",0,0,0,0,0,1
"the first six months of 1995/96",0,0,0,0,0,1
"14 Khaled Zaher ; 16",0,0,0,0,0,1
"11 1",0,0,0,0,0,1
"42 2",0,0,0,0,0,1
"MOSCOW 1996 12 06",0,0,0,0,0,1
"85,000 2007",0,0,0,0,0,1
"BUCHAREST 1996 12 06",0,0,0,0,0,1
"BELGRADE 1996 08 31",0,0,0,0,0,1
"13th",0,0,0,0,0,1
"the spring",0,0,0,0,0,1
"DECEMBER",0,0,0,0,0,1
"five days",0,0,0,0,0,1
"AUGUST 30",0,0,0,0,0,1
"34 year old",0,0,0,0,0,1
"the last quarter",0,0,0,0,0,1
"42",0,0,0,0,0,1
"months",0,0,0,0,0,1
"1991",0,0,0,0,0,1
"December 1993",0,0,0,0,0,1
"the end of the year",0,0,0,0,0,1
"the third quarter",0,0,0,0,0,1
"1999",0,0,0,0,0,1
"14 years",0,0,0,0,0,1
"une this year",0,0,0,0,0,1
"30 year",0,0,0,0,0,1
"the same period last year",0,0,0,0,0,1
"June 2 v Derbyshire",0,0,0,0,0,1
"ANKARA 1996 12 06",0,0,0,0,0,1
"17",0,0,0,0,0,1
"5 1 / 2 year old",0,0,0,0,0,1
"89 20",0,0,0,0,0,1
"1976 77",0,0,0,0,0,1
"the end of July",0,0,0,0,0,1
"1996 09 01",0,0,0,0,0,1
"the mid to low 140s",0,0,0,0,0,1
"Four years later",0,0,0,0,0,1
"a couple of years",0,0,0,0,0,1
"a second day",0,0,0,0,0,1
"43 month",0,0,0,0,0,1
"39",0,0,0,0,0,1
"1996/97",0,0,0,0,0,1
"monthly",0,0,0,0,0,1
"1995 1996",0,0,0,0,0,1
"40 1",0,0,0,0,0,1
"MADRID 1996 12 06",0,0,0,0,0,1
"mid September",0,0,0,0,0,1
"almost 25 years",0,0,0,0,0,1
"four day",0,0,0,0,0,1
"decades",0,0,0,0,0,1
"daily",0,0,0,0,0,1
"48",0,0,0,0,0,1
"July 19 21",0,0,0,0,0,1
"five to six years",0,0,0,0,0,1
"WARSAW 1996 12 06",0,0,0,0,0,1
"Mar 97",0,0,0,0,0,1
"December 4",0,0,0,0,0,1
"a week of a year",0,0,0,0,0,1
"1909",0,0,0,0,0,1
"May 24",0,0,0,0,0,1
"January 1 , 1996",0,0,0,0,0,1
"12. LONDON 1996 12 07",0,0,0,0,0,1
"61",0,0,0,0,0,1
"the past two years",0,0,0,0,0,1
"COPENHAGEN 1996 12 06",0,0,0,0,0,1
"1996 12 05 U",0,0,0,0,0,1
"40 months",0,0,0,0,0,1
"68th",0,0,0,0,0,1
"July 9",0,0,0,0,0,1
"1994",0,0,0,0,0,1
"less than two years",0,0,0,0,0,1
"Nov. 19",0,0,0,0,0,1
"ninth",0,0,0,0,0,1
"Wednesday , August 28",0,0,0,0,0,1
"1972",0,0,0,0,0,1
"Dec 4 87",0,0,0,0,0,1
"August last year",0,0,0,0,0,1
"six months",0,0,0,0,0,1
"88 year old",0,0,0,0,0,1
"18. 55",0,0,0,0,0,1
"76 / 53",0,0,0,0,0,1
"HAVANA 1996 08 31",0,0,0,0,0,1
"the start of the year",0,0,0,0,0,1
"48 mins 12",0,0,0,0,0,1
"two months ago",0,0,0,0,0,1
"52",0,0,0,0,0,1
"18",0,0,0,0,0,1
"August 1 4 v Somerset",0,0,0,0,0,1
"10",0,0,0,0,0,1
"1994 95",0,0,0,0,0,1
"nearly half a century",0,0,0,0,0,1
"more than a year ago",0,0,0,0,0,1
"Aug 31",0,0,0,0,0,1
"the next nine months",0,0,0,0,0,1
"a few days",0,0,0,0,0,1
"Labour Day weekend",0,0,0,0,0,1
"1996 12 06",0,0,0,0,0,1
"109 J. Benjamin 4 17",0,0,0,0,0,1
"Jul 97 74. 45 74. 01 69. 95 71. 39 76. 12 Aug 97 72. 41 72. 07 68. 45 74. 18 Sep 97 69. 18 69. 24 65. 17 66. 61 71. 34 Oct 97 68. 00 68. 05 63. 43 70. 16 Nov 97",0,0,0,0,0,1
"1940",0,0,0,0,0,1
"Wednesday 1",0,0,0,0,0,1
"29 18",0,0,0,0,0,1
"last Wednesday",0,0,0,0,0,1
"GENEVA 1996 12 06",0,0,0,0,0,1
"VIENNA 1996 12 06",0,0,0,0,0,1
"the year",0,0,0,0,0,1
"September 28 29",0,0,0,0,0,1
"1:18. 32 10",0,0,0,0,0,1
"1982",0,0,0,0,0,1
"1:18. 19 6. 21 7",0,0,0,0,0,1
"three day",0,0,0,0,0,1
"10 year old",0,0,0,0,0,1
"week of January 5",0,0,0,0,0,1
"two months",0,0,0,0,0,1
"05 5. 05",0,0,0,0,0,1
"September 2 to 4",0,0,0,0,0,1
"the past 18 months",0,0,0,0,0,1
"May 14 , 1991",0,0,0,0,0,1
"1996 12 06 A Santa",0,0,0,0,0,1
"20 years",0,0,0,0,0,1
"the fiscal year",0,0,0,0,0,1
"1:25. 89",0,0,0,0,0,1
"last February",0,0,0,0,0,1
"5",0,0,0,0,0,1
"1:19. 21 24",0,0,0,0,0,1
"1996 12",0,0,0,0,0,1
"62nd",0,0,0,0,0,1
"12 06",0,0,0,0,0,1
"10 day",0,0,0,0,0,1
"last January",0,0,0,0,0,1
"OTTAWA 1996 08 30",0,0,0,0,0,1
"37. 46",0,0,0,0,0,1
"Year on year",0,0,0,0,0,1
"08 30",0,0,0,0,0,1
"6 Reynald Pedros 13",0,0,0,0,0,1
"71 75",0,0,0,0,0,1
"2006",0,0,0,0,0,1
"the same month in 1995",0,0,0,0,0,1
"Sept 21 26",0,0,0,0,0,1
"up to two years",0,0,0,0,0,1
"week",0,0,0,0,0,1
"17 Florian Maurice 64th",0,0,0,0,0,1
"Cuauhtemoc Blanco 65th",0,0,0,0,0,1
"65. 00 6",0,0,0,0,0,1
"1948",0,0,0,0,0,1
"this season",0,0,0,0,0,1
"September 9",0,0,0,0,0,1
"29 Sept",0,0,0,0,0,1
"Oct. 16",0,0,0,0,0,1
"next March",0,0,0,0,0,1
"11 month 1996",0,0,0,0,0,1
"2. 03",0,0,0,0,0,1
"up to 10 years",0,0,0,0,0,1
"31 Euro 96",0,0,0,0,0,1
"1998",0,0,0,0,0,1
"September 7. LONDON 1996 08 31",0,0,0,0,0,1
"Jan. 10 , 1997",0,0,0,0,0,1
"MANAMA 1996 08 31",0,0,0,0,0,1
"December 9 to 13",0,0,0,0,0,1
"June 19",0,0,0,0,0,1
"late September",0,0,0,0,0,1
"October last year",0,0,0,0,0,1
"the first half",0,0,0,0,0,1
"14 v Atlalanta 15",0,0,0,0,0,1
"60 years",0,0,0,0,0,1
"7",0,0,0,0,0,1
"December",0,0,0,0,0,1
"Friday weekend",0,0,0,0,0,1
"September 1997",0,0,0,0,0,1
"the last week",0,0,0,0,0,1
"end October",0,0,0,0,0,1
"May 1994",0,0,0,0,0,1
"68",0,0,0,0,0,1
"1996 08 30 Six months to September 30 , 1996",0,0,0,0,0,1
"January June 1996",0,0,0,0,0,1
"the nearby month",0,0,0,0,0,1
"1966",0,0,0,0,0,1
"20 year old",0,0,0,0,0,1
"55,000 2000",0,0,0,0,0,1
"1970s",0,0,0,0,0,1
"1603",0,0,0,0,0,1
"MOSCOW 1996",0,0,0,0,0,1
"June",0,0,0,0,0,1
"five months",0,0,0,0,0,1
"1860",0,0,0,0,0,1
"2000/01",0,0,0,0,0,1
"Apr 97 74. 13 74. 69 70. 04 76. 81 May 97 76. 51 77. 07 72. 97 74. 42 79. 19 Jun 97",0,0,0,0,0,1
"61 2",0,0,0,0,0,1
"May 17",0,0,0,0,0,1
"15 6",0,0,0,0,0,1
"Week to date",0,0,0,0,0,1
"late 1994",0,0,0,0,0,1
"HELSINKI 1996 08 30 Six months to June 30 , million markka",0,0,0,0,0,1
"Thursdays",0,0,0,0,0,1
"1:49. 53",0,0,0,0,0,1
"recent years",0,0,0,0,0,1
"21. 77",0,0,0,0,0,1
"NAIROBI 1996 08 31",0,0,0,0,0,1
"the age of 30",0,0,0,0,0,1
"1996 12 05",0,0,0,0,0,1
"DUBLIN 1996 12 07",0,0,0,0,0,1
"May 13 next year",0,0,0,0,0,1
"early August",0,0,0,0,0,1
"December 24",0,0,0,0,0,1
"96/97",0,0,0,0,0,1
"SEOUL 1996 08 31",0,0,0,0,0,1
"the year ago period",0,0,0,0,0,1
"first half",0,0,0,0,0,1
"15 7",0,0,0,0,0,1
"the 18 weeks to November 30",0,0,0,0,0,1
"Wis. 1996",0,0,0,0,0,1
"COLOMBO 1996 08 30",0,0,0,0,0,1
"10 Oguz Cetin 13",0,0,0,0,0,1
"more than a decade ago",0,0,0,0,0,1
"69 year old",0,0,0,0,0,1
"January August",0,0,0,0,0,1
"Cuba 20",0,0,0,0,0,1
"Dec 6",0,0,0,0,0,1
"over a decade",0,0,0,0,0,1
"69 73",0,0,0,0,0,1
"the day",0,0,0,0,0,1
"the full year",0,0,0,0,0,1
"1:45. 03",0,0,0,0,0,1
"day",0,0,0,0,0,1
"SYDNEY 1996 12 06",0,0,0,0,0,1
"early next year",0,0,0,0,0,1
"18 years of age",0,0,0,0,0,1
"6 2",0,0,0,0,0,1
"BEIRUT 1996 12 06",0,0,0,0,0,1
"1852",0,0,0,0,0,1
"one day",0,0,0,0,0,1
"77th",0,0,0,0,0,1
"24",0,0,0,0,0,1
"July 31",0,0,0,0,0,1
"September 1993",0,0,0,0,0,1
"the week to November 30",0,0,0,0,0,1
"1:51. 07 29",0,0,0,0,0,1
"None Year",0,0,0,0,0,1
"last June",0,0,0,0,0,1
"6 Ammar Awad 9 Louay Taleb 69",0,0,0,0,0,1
"20. 54",0,0,0,0,0,1
"May next year",0,0,0,0,0,1
"WELLINGTON 1996 12 06",0,0,0,0,0,1
"55,000 1999",0,0,0,0,0,1
"two eight year old",0,0,0,0,0,1
"1836",0,0,0,0,0,1
"00 8",0,0,0,0,0,1
"this month",0,0,0,0,0,1
"23 19",0,0,0,0,0,1
"the winter",0,0,0,0,0,1
"July 1 , 1997",0,0,0,0,0,1
"20th century",0,0,0,0,0,1
"April 1997",0,0,0,0,0,1
"NEW YORK 1996 08 30",0,0,0,0,0,1
"17 Ha Seok Ju",0,0,0,0,0,1
"57",0,0,0,0,0,1
"15 8",0,0,0,0,0,1
"DALLAS 1996 08",0,0,0,0,0,1
"Fourteen years",0,0,0,0,0,1
"BELGRADE 1996 08",0,0,0,0,0,1
"January to June",0,0,0,0,0,1
"May 1997",0,0,0,0,0,1
"two week old",0,0,0,0,0,1
