Entity,COR,INC,PAR,SPU,MIS,IGN
"Thai Resource",0,0,0,0,1,0
"July July 3 7 Third",0,0,0,1,0,0
"Washington-based",0,0,0,0,1,0
"A$",0,0,0,0,1,0
"Seagramd",0,0,0,0,1,0
"Premier league",0,0,0,0,1,0
"Tia Juana",0,0,0,0,1,0
"Tong Shun",0,0,0,0,1,0
"Trades Disputes Act",0,0,0,0,1,0
"Yakomas",0,0,0,0,1,0
"HARARE 1996",0,0,0,1,0,0
"X-DENVER",0,0,0,0,1,0
"ARAB",0,0,0,0,1,0
"the Nortel Open",0,0,1,0,0,0
"African Nations Cup",1,0,0,0,0,0
"Permian",0,0,0,0,1,0
"S.AFRICA",0,0,0,0,1,0
"SWISS",0,0,0,0,1,0
"July 19 20",0,0,0,1,0,0
"the African Nations ' Cup",0,0,1,0,0,0
"WORLD GRAND PRIX",0,0,0,0,1,0
"Arabian Light",0,0,0,0,1,0
"Newmont-Santa Fe",0,0,0,0,1,0
"FRENCH",0,0,0,0,1,0
"War of Spanish Succession",1,0,0,0,0,0
"Mauritian",0,0,0,0,1,0
"French-owned",0,0,0,0,1,0
"Titanic",0,0,0,0,1,0
"Maritime Queen",0,0,0,0,1,0
"German shepherds",0,0,0,0,1,0
"BERLIN GRAND PRIX",0,0,0,0,1,0
"Minor Counties XI",0,1,0,0,0,0
"WESTERN DIVISION",0,0,0,0,1,0
"Eurodollar",0,0,0,0,1,0
"France-registered",0,0,0,0,1,0
"Kenda",0,0,0,0,1,0
"New Year",0,0,0,1,0,0
"Asian Cup quarter",0,0,1,0,0,0
"Name",0,0,0,0,1,0
"Vienna-based",0,0,0,0,1,0
"CAIRO 1996 12 06 Result",0,0,0,1,0,0
"September 27 28 World Group II",0,0,0,1,0,0
"Texas Open",1,0,0,0,0,0
"Moscow-backed",0,0,0,0,1,0
"Iraqi Kurdish",0,0,0,0,1,0
"the Venice Film Festival",0,0,1,0,0,0
"post-Games",0,0,0,0,1,0
"Arabic",0,0,0,0,1,0
"mid-Mississippi",0,0,0,0,1,0
"Asian Cup",1,0,0,0,0,0
"Intertoto",0,0,0,0,1,0
"ITALIAN",0,0,0,0,1,0
"World Boxing Council WBC",0,0,0,1,0,0
"MELBOURNE 1996 12 06 Play",0,0,0,1,0,0
"My Turn",0,0,0,0,1,0
"Hindu-Moslem",0,0,0,0,1,0
"1996 12 06 Standings",0,0,0,1,0,0
"Enterprise",0,0,0,0,1,0
