Entity,COR,INC,PAR,SPU,MIS,IGN
"Oval",0,1,0,0,0,0
"Headingley Leeds",0,0,0,0,0,1
"the Melbourne Cricket Ground",0,0,0,0,0,1
"The Oval",0,1,0,0,0,0
"Paris Saint Germain",0,0,0,0,0,1
"Tiananmen Square",0,1,0,0,0,0
"Tasmania 352",0,0,0,0,0,1
"Aerodrom Beograd",0,1,0,0,0,0
"Downing Street",0,1,0,0,0,0
"Tanjung Priok",0,1,0,0,0,0
"Hampshire 232",0,0,0,0,0,1
"Northamptonshire 190",0,0,0,0,0,1
"Somerset 83",0,0,0,0,0,1
"the National Tennis Centre",0,0,0,0,0,1
"Sale Grammar School",0,1,0,0,0,0
"Stadium",0,0,0,0,0,1
"Sussex 363",0,0,0,0,0,1
"Stansted airport",0,0,0,0,0,1
"Green Square",0,1,0,0,0,0
"Brown Deer Park Golf Course",0,1,0,0,0,0
"Duke of Orleans",0,0,0,0,0,1
"Queen 's Park",0,1,0,0,0,0
"The Batajnica airport",0,0,0,0,0,1
"Sri Lanka",0,1,0,0,0,0
"London Heathrow",0,1,0,0,0,0
"Yorkshire 290",0,0,0,0,0,1
"Insein Prison",0,1,0,0,0,0
"Santiago Bernabeu",0,0,0,0,0,1
"Interstate 95",0,1,0,0,0,0
"Glamorgan 259",0,0,0,0,0,1
"Interstate 5",0,1,0,0,0,0
"the Babri mosque",0,0,0,0,0,1
"Shwe Dagon pagoda",0,0,0,0,0,1
"Gloucestershire 183",0,0,0,0,0,1
"Chester le Street",0,0,0,0,0,1
"The Oval London",0,0,0,0,0,1
"Trent Bridge",0,1,0,0,0,0
"Nottinghamshire 214",0,0,0,0,0,1
"Charles de Gaulle",0,1,0,0,0,0
"Ellis Park",0,1,0,0,0,0
"al Ram",0,0,0,0,0,1
"Casa de Narino",0,1,0,0,0,0
"AFTER FRIDAY 'S GAMES",0,0,0,0,0,1
"Trofej Beograd 96",0,1,0,0,0,0
"the Dhaka Stock Exchange DSE",0,0,0,0,0,1
"Bellerive Oval",0,1,0,0,0,0
"Middlesex 199",0,0,0,0,0,1
"Grace Road",0,1,0,0,0,0
"Interstates 80",0,1,0,0,0,0
"the Lilac Falls Motel",0,0,0,0,0,1
"Kremlin",0,1,0,0,0,0
"Vatican",0,1,0,0,0,0
"the Brown Deer Park Golf Course",0,0,0,0,0,1
"the Ranyon Rangoon University",0,0,0,0,0,1
"Kosevo stadium",0,0,0,0,0,1
"Tunbridge Wells",0,1,0,0,0,0
"Cairns 86",0,0,0,0,0,1
"Worcestershire 238",0,0,0,0,0,1
"Changi Prison",0,1,0,0,0,0
"the Saint Bernard",0,0,0,0,0,1
"the Rose Bowl",0,0,0,0,0,1
"S. Rhodes 57",0,0,0,0,0,1
"the Innisbrook Hilton Resort",0,0,0,0,0,1
"the U. S. Up",0,0,0,0,0,1
"Old Trafford",0,1,0,0,0,0
"China Steel",0,1,0,0,0,0
"Wall Street",0,1,0,0,0,0
*TOTAL*,0,30,0,0,0,37
