Entity,COR,INC,PAR,SPU,MIS,IGN
"PMI",0,0,0,1,0,0
"Mariners",1,0,0,0,0,0
"N / A Shrs",0,0,0,1,0,0
"VICTORIA",0,0,0,0,1,0
"OPECNA",1,0,0,0,0,0
"Napoli",0,0,0,0,1,0
"LM Ericsson AB",1,0,0,0,0,0
"Mobil",1,0,0,0,0,0
"GPTA",0,0,0,0,1,0
"Zemun",0,0,0,0,1,0
"Herri Batasuna",0,0,0,0,1,0
"Wycombe",0,0,0,0,1,0
"Ponce",0,1,0,0,0,0
"Juventus",1,0,0,0,0,0
"Pirelli",1,0,0,0,0,0
"NYMEX",1,0,0,0,0,0
"Hansa Rostock",0,0,0,0,1,0
"Verona",0,0,0,0,1,0
"Estudiantes Madrid",0,0,0,0,1,0
"Haitham Haddadin",0,0,0,0,1,0
"ETA",1,0,0,0,0,0
"Glenavon",0,0,0,0,1,0
"OIC",1,0,0,0,0,0
"Denmark Rabobank",0,0,1,0,0,0
"Prague Newsroom",0,0,0,0,1,0
"Gazzetta dello Sport",1,0,0,0,0,0
"Dumbarton",0,0,0,0,1,0
"PAP",0,0,0,0,1,0
"Proleter ( Z )",0,0,0,0,1,0
"London Newsroom",0,0,0,0,1,0
"SK Rapid 's",0,0,1,0,0,0
"CONCACAF",1,0,0,0,0,0
"DOCSTART BASKETBALL INTERNATIONAL",0,0,1,0,0,0
"the New York Jets",0,0,1,0,0,0
"Austria 27 Nation 's Cup",0,0,0,1,0,0
"New Zealand First party",0,0,1,0,0,0
"the Rubber Board of India",0,0,1,0,0,0
"Stevenage",0,0,0,0,1,0
"Carlsberg",1,0,0,0,0,0
"RIO DE JANEIRO",0,1,0,0,0,0
"Florida Supreme Court",0,0,0,0,1,0
"NA",0,0,1,0,0,0
"Port Vale",0,0,0,0,1,0
"Interrosimpex",1,0,0,0,0,0
"Urus Martan",0,0,0,1,0,0
"the Federal Reserve",0,0,1,0,0,0
"Preston",0,0,0,0,1,0
"Ipswich",0,0,0,0,1,0
"ILO",1,0,0,0,0,0
"the General Administration of Customs",0,0,1,0,0,0
"DOCSTART ROMANIA",0,0,1,0,0,0
"DOCSTART SOCCER ISRAELI",0,0,0,1,0,0
"Intelligence",0,0,0,1,0,0
"the High Court",0,0,1,0,0,0
"Wolverhampton",0,0,0,0,1,0
"Nottingham Forest",0,0,0,0,1,0
"Wall Street",0,1,0,0,0,0
"the Budapest Stock Exchange BSE",0,0,1,0,0,0
"Air France 's",0,0,1,0,0,0
"Orioles",1,0,0,0,0,0
"Vicenza",0,0,0,0,1,0
"Braga",0,0,0,0,1,0
"Czech Civic Democratic Party ODS",0,0,1,0,0,0
"Movement for a Democratic Slovakia",1,0,0,0,0,0
"DOCSTART BOXING JOHNSON",0,0,0,1,0,0
"Cofinec",1,0,0,0,0,0
"Motorsport Traditions Ltd",1,0,0,0,0,0
"NEC Nijmegen",0,0,0,0,1,0
"DOCSTART Dow Chemical",0,0,1,0,0,0
"LEEDS",0,0,0,0,1,0
"ACCESS",0,1,0,0,0,0
"Plymouth",0,0,0,0,1,0
"Vancouver IndyCar",0,0,1,0,0,0
"the Burj al Laqlaq Society",0,0,0,1,0,0
"the National Highway Traffic Safety Administration",0,0,1,0,0,0
"Bre X",0,0,0,1,0,0
"LE TEMPS",0,0,0,0,1,0
"Pusan",0,0,0,0,1,0
"U. S. Agriculture Department",0,0,1,0,0,0
"Sloboda",0,0,0,0,1,0
"the Mines and Energy Ministry",0,0,1,0,0,0
"State Law and Order Restoration Council 's",0,0,1,0,0,0
"the South Lebanon Army SLA",0,0,1,0,0,0
"Wallabies",1,0,0,0,0,0
"Air France",1,0,0,0,0,0
"DOCSTART BASEBALL",0,0,1,0,0,0
"the Tokyo Stock Exchange",0,0,1,0,0,0
"St Mirren",0,0,0,0,1,0
"Cannes",0,0,0,0,1,0
"the National Hockey League",0,0,1,0,0,0
"PKK",1,0,0,0,0,0
"International Finance Bureau",1,0,0,0,0,0
"New York Commodities",0,0,0,0,1,0
"Kia",1,0,0,0,0,0
"OPEC",1,0,0,0,0,0
"Azeris",0,1,0,0,0,0
"Group C",0,0,0,1,0,0
"Warsaw Newsroom",0,0,0,0,1,0
"U. S. Senate Banking Committee",0,0,1,0,0,0
"Kurdistan Workers Party",1,0,0,0,0,0
"the Social Democratic Union",0,0,1,0,0,0
"Minsk Group of countries",0,0,1,0,0,0
"Fal",0,1,0,0,0,0
"SLORC",1,0,0,0,0,0
"Federal Reserve",1,0,0,0,0,0
"the Cleveland Indians",0,0,1,0,0,0
"Roosevelt Financial Group",0,0,1,0,0,0
"Phillies",1,0,0,0,0,0
"World Group",0,0,0,1,0,0
"First Bank System Inc.",1,0,0,0,0,0
"Athletic Bilbao",0,0,0,0,1,0
"Kia Motor Corp",1,0,0,0,0,0
"Cornwell",0,1,0,0,0,0
"Bay Co Building Authority",1,0,0,0,0,0
"Benetton",1,0,0,0,0,0
"Raith",0,0,0,0,1,0
"Israeli Guardians of the Cedars",0,0,1,0,0,0
"Boroughmuir",0,0,0,0,1,0
"South African Breweries Ltd SAB",0,0,1,0,0,0
"Doetinchem",1,0,0,0,0,0
"Reform Party",1,0,0,0,0,0
"Parliament",0,0,0,1,0,0
"Hansenne",0,0,0,1,0,0
"Minor Counties XI",0,0,0,0,1,0
"Reuters Ottawa Bureau",0,0,0,0,1,0
"Conservative Party 's",0,0,1,0,0,0
"Hamilton",0,0,0,0,1,0
"League",1,0,0,0,0,0
"BOJ",1,0,0,0,0,0
"World Trade Organisation",1,0,0,0,0,0
"Swansea",0,0,0,0,1,0
"Multico",1,0,0,0,0,0
"Lens",0,0,0,0,1,0
"Angels",0,0,0,0,1,0
"BILO",0,1,0,0,0,0
"Atalanta",1,0,0,0,0,0
"ADS",0,0,0,1,0,0
"U. Amateur",0,0,0,1,0,0
"FOMC",1,0,0,0,0,0
"BRE",1,0,0,0,0,0
"DOCSTART Honda RV",0,0,1,0,0,0
"the Palestinian Authority",0,0,1,0,0,0
"London Irish",0,0,0,0,1,0
"Commerce",1,0,0,0,0,0
"First Bank",1,0,0,0,0,0
"the United Nations",0,0,1,0,0,0
"Orlando",0,0,0,0,1,0
"Economic Planning Agency",1,0,0,0,0,0
"TOKYO 1996 12 06 Nippon Telegraph",0,0,0,1,0,0
"CNBC",1,0,0,0,0,0
"Champions ' League",0,1,0,0,0,0
"Crewe",0,0,0,0,1,0
"Pohang",0,0,0,0,1,0
"IRA",1,0,0,0,0,0
"National Automobile Occupant Protection Campaign",0,0,0,0,1,0
"Commerce Bancshares Inc.",1,0,0,0,0,0
"Socialist CFDT",0,0,1,0,0,0
"Canada I",0,0,0,0,1,0
"Agriculture",0,0,1,0,0,0
"Dhaka Newsroom",1,0,0,0,0,0
"Moscow Newsroom",1,0,0,0,0,0
"the International Labour Organisation ILO",0,0,1,0,0,0
"Bay Co Bldg Auth",1,0,0,0,0,0
"Genoa",0,0,0,0,1,0
"Bristol City",0,0,0,0,1,0
"SC Freiburg",0,0,0,0,1,0
"FC St. Pauli",0,0,0,0,1,0
"AL AIN",0,0,0,1,0,0
"the Blue Jays",0,0,1,0,0,0
"Brewers",1,0,0,0,0,0
"DSE",1,0,0,0,0,0
"Espanyol",0,0,0,0,1,0
"AZ Alkmaar",0,0,0,0,1,0
"Peterborough",0,0,0,0,1,0
"St Pauli",0,0,0,0,1,0
"The Canadian Wheat Board",0,0,1,0,0,0
"Department of Corrections",1,0,0,0,0,0
"Central Jakarta District Court",0,0,0,0,1,0
"Santander",0,1,0,0,0,0
"Chicago NAPM",0,0,1,0,0,0
"McDonald",0,0,1,0,0,0
"Hartlepool",0,0,0,0,1,0
"RANGERS",0,0,0,0,1,0
"Moody 5",0,0,0,1,0,0
"Congress",0,0,1,0,0,0
"New York Commodities Desk",0,0,0,0,1,0
"KANSAS CITY",0,0,0,0,1,0
"Anaheim",0,0,0,0,1,0
"the Boston Red Sox",0,0,1,0,0,0
"Krasnoyarsk",0,1,0,0,0,0
"Tanjug",1,0,0,0,0,0
"Cukaricki",0,0,0,0,1,0
"Interfax news agency",0,0,1,0,0,0
"the Communist Party 's",0,0,1,0,0,0
"the Baltimore Orioles",0,0,1,0,0,0
"Belo",0,1,0,0,0,0
"Mets",1,0,0,0,0,0
"European Union",1,0,0,0,0,0
"Huddersfield",0,0,0,0,1,0
"DOT",1,0,0,0,0,0
"Chonan",0,0,0,0,1,0
"Santa Fe",1,0,0,0,0,0
"Southend",0,0,0,0,1,0
"Llanelli",0,0,0,0,1,0
"Arminia Bielefeld",0,0,0,0,1,0
"NFL AMERICAN FOOTBALL STANDINGS AFTER THURSDAY 'S GAME",0,0,1,0,0,0
"Sumitomo Bank",1,0,0,0,0,0
"Scarborough",0,0,0,0,1,0
"Atletico Mineiro",1,0,0,0,0,0
"Khmer Nation Party",1,0,0,0,0,0
"Goldman , Sachs",1,0,0,0,0,0
"the Yangon Institute of Technology YIT",0,0,1,0,0,0
"MSV Duisburg",0,0,0,0,1,0
"BENETTON",0,0,0,0,1,0
"the Brazilian Plastic Surgery Society SBCP",0,0,1,0,0,0
"Goias",0,0,0,0,1,0
"Al Akhbar",0,0,0,1,0,0
"Leicester : Leicestershire",0,0,1,0,0,0
"EU",1,0,0,0,0,0
"Sidek",1,0,0,0,0,0
"A.G. Edwards & Sons",0,0,0,0,1,0
"the Lay Volunteers ' International Organisation",0,0,1,0,0,0
"NYMEX Alberta",0,0,1,0,0,0
"JCPenney Classic",0,1,0,0,0,0
"Stranraer",0,0,0,0,1,0
"Cowboys",0,0,1,0,0,0
"Frater",0,1,0,0,0,0
"Xinhua news agency",0,0,1,0,0,0
"Bharatiya Janata Party",1,0,0,0,0,0
"Wenchang",0,1,0,0,0,0
"British Universities",1,0,0,0,0,0
"Fulham",0,0,0,0,1,0
"Canadian West Coast Vessel Loadings CWB",0,0,0,1,0,0
