Entity,COR,INC,PAR,SPU,MIS,IGN
"359 yard",0,0,0,0,0,1
"578,000 tonnes",0,0,0,0,0,1
"several inches",0,0,0,0,0,1
"7 Extras",0,0,0,0,0,1
"570 km",0,0,0,0,0,1
"45 miles",0,0,0,0,0,1
"4,000 metres",0,0,0,0,0,1
"90 km",0,0,0,0,0,1
"1200 1300 lbs",0,0,0,0,0,1
"eight metres",0,0,0,0,0,1
"45 footer",0,0,0,0,0,1
"319,000 tonnes",0,0,0,0,0,1
"1200 lbs",0,0,0,0,0,1
"145,000 tonnes",0,0,0,0,0,1
"8 pounds",0,0,0,0,0,1
"about 25 km 12 miles",0,0,0,0,0,1
"89 metres",0,0,0,0,0,1
"44 yards",0,0,0,0,0,1
"547,000 tonnes",0,0,0,0,0,1
"75 km",0,0,0,0,0,1
"110 metres",0,0,0,0,0,1
"60 metres",0,0,0,0,0,1
"20,000 shinc",0,0,0,0,0,1
"some 100 km 60 miles",0,0,0,0,0,1
"between 65 and 80 litres",0,0,0,0,0,1
"hundred lbs",0,0,0,0,0,1
"50s",0,0,0,0,0,1
"12 bps",0,0,0,0,0,1
"4 0",0,0,0,0,0,1
"40 metre",0,0,0,0,0,1
"1 Extras",0,0,0,0,0,1
"3,000 metres",0,0,0,0,0,1
"80 litre",0,0,0,0,0,1
"about three km",0,0,0,0,0,1
"2,684 tonnes",0,0,0,0,0,1
"400,000 tonnes",0,0,0,0,0,1
"4,500 pounds",0,0,0,0,0,1
"695,000 tonnes",0,0,0,0,0,1
"10 to 15 knots 19 to 28 kilometers / 11 to 17 miles",0,0,0,0,0,1
"some 500 miles",0,0,0,0,0,1
"30 grams an ounce",0,0,0,0,0,1
"1150 lbs",0,0,0,0,0,1
"778 kph",0,0,0,0,0,1
"12 feet",0,0,0,0,0,1
"30 metre",0,0,0,0,0,1
"50 miles",0,0,0,0,0,1
"310 miles",0,0,0,0,0,1
"between 5. 15 an ounce",0,0,0,0,0,1
"25 kg 55 pounds",0,0,0,0,0,1
"44 lbs",0,0,0,0,0,1
"400 metres",0,0,0,0,0,1
"57 million ounces",0,0,0,0,0,1
"gallon",0,0,0,0,0,1
"50 stg",0,0,0,0,0,1
"dozens of kilos",0,0,0,0,0,1
"15 km",0,0,0,0,0,1
"eight km",0,0,0,0,0,1
"6,739 yard",0,0,0,0,0,1
"70 miles",0,0,0,0,0,1
"9w",0,0,0,0,0,1
"4,482 yards",0,0,0,0,0,1
"20 points",0,0,0,0,0,1
"around 40 litres",0,0,0,0,0,1
"746,000 tonnes",0,0,0,0,0,1
"5 kms",0,0,0,0,0,1
"576 mph",0,0,0,0,0,1
"about 914,000 tonnes",0,0,0,0,0,1
"175 pounds",0,0,0,0,0,1
"70,000 tonnes",0,0,0,0,0,1
"1 a. m.",0,0,0,0,0,1
"about six km",0,0,0,0,0,1
"five metres",0,0,0,0,0,1
"10 to 15 knots",0,0,0,0,0,1
"220,000 hectares",0,0,0,0,0,1
"10 metre",0,0,0,0,0,1
"5,000 deadweight tonne",0,0,0,0,0,1
"6 million ounces",0,0,0,0,0,1
"20 kg",0,0,0,0,0,1
"56 million tonnes",0,0,0,0,0,1
"20 yard",0,0,0,0,0,1
"215 stg",0,0,0,0,0,1
"35,000 shinc",0,0,0,0,0,1
"200 km",0,0,0,0,0,1
"40 km 25 miles",0,0,0,0,0,1
"9 lb",0,0,0,0,0,1
"nine mile",0,0,0,0,0,1
"500 grams 18 oz",0,0,0,0,0,1
"eight kg",0,0,0,0,0,1
"51,000 tonnes",0,0,0,0,0,1
"165,000 tonnes",0,0,0,0,0,1
"about 65 km 40 miles",0,0,0,0,0,1
"four miles",0,0,0,0,0,1
"39 yard",0,0,0,0,0,1
"as much as 500 meters yards",0,0,0,0,0,1
"40 knots",0,0,0,0,0,1
"13 kg",0,0,0,0,0,1
"three to five feet",0,0,0,0,0,1
"5,000 metres",0,0,0,0,0,1
"33 yards",0,0,0,0,0,1
"22,877 yards",0,0,0,0,0,1
"23 barrel",0,0,0,0,0,1
"3. 86",0,0,0,0,0,1
"800 km",0,0,0,0,0,1
"510,258 pounds",0,0,0,0,0,1
"4 DOCSTART",0,0,0,0,0,1
"77,000 tonnes",0,0,0,0,0,1
"144 yards",0,0,0,0,0,1
"120 miles",0,0,0,0,0,1
"56 miles",0,0,0,0,0,1
"40 metres",0,0,0,0,0,1
"500 metres",0,0,0,0,0,1
"42 kg",0,0,0,0,0,1
"233 million tonnes",0,0,0,0,0,1
"20 ton",0,0,0,0,0,1
