Dataset,Group,Model,Category,TNNT-Category,Possible,Actual,Wrong,Total,Error,Precision,Recall,Fm__PR,Fm_2PR,Fm_P2R,Undergeneration,Overgeneration,Substitution
"feng","gs18","deeppavlov_onto_model","PERSON","tnnt:Person",12936,6141,9234.50,13391,0.689605,0.676844,0.321313,0.435760,0.554200,0.359031,0.560451,0.074092,0.731006
"feng","gs18","deeppavlov_onto_bert_model","PERSON","tnnt:Person",6102,5769,2515.50,6479,0.388254,0.687034,0.649541,0.667762,0.679193,0.656709,0.116355,0.065349,0.735070
"feng","ss4","deeppavlov_conll2003_model","PER","tnnt:Person",11791,6350,8046.50,12350,0.651538,0.677717,0.364982,0.474450,0.578567,0.402091,0.508863,0.088031,0.743136
"feng","ss4","deeppavlov_conll2003_bert_model","PER","tnnt:Person",8133,5690,4440.50,8470,0.524262,0.708172,0.495451,0.583014,0.652170,0.527118,0.341817,0.059227,0.752755
"feng","gs18","deeppavlov_onto_bert_model","ORG","tnnt:Organisation",5669,3766,3591.00,5836,0.615319,0.596123,0.396013,0.475888,0.541407,0.424514,0.365144,0.044344,0.623784
"feng","ss4","deeppavlov_conll2003_model","ORG","tnnt:Organisation",14143,4281,11870.50,14521,0.817471,0.619131,0.187407,0.287723,0.423849,0.217779,0.724033,0.088297,0.679093
"feng","ss4","deeppavlov_conll2003_bert_model","ORG","tnnt:Organisation",6554,3243,4566.00,6743,0.677147,0.671292,0.332164,0.444422,0.557462,0.369497,0.534025,0.058279,0.712836
"feng","gs18","deeppavlov_onto_bert_model","GPE","tnnt:GPE",7605,5106,4436.00,7716,0.574909,0.642382,0.431295,0.516088,0.585108,0.461634,0.343195,0.021739,0.656657
"feng","gs18","deeppavlov_onto_model","ORG","tnnt:Organisation",14015,4389,11820.00,14329,0.824901,0.571656,0.179022,0.272658,0.397358,0.207530,0.709240,0.071542,0.615706
"feng","gs18","deeppavlov_onto_bert_model","PRODUCT","tnnt:Product",240,224,308.50,344,0.896802,0.158482,0.147917,0.153017,0.156250,0.149916,0.500000,0.464286,0.295833
"feng","ss4","deeppavlov_conll2003_bert_model","MISC","tnnt:NPLLE",2372,2523,1918.50,2863,0.670101,0.374356,0.398187,0.385904,0.378891,0.393181,0.143339,0.194610,0.464813
"feng","gs18","deeppavlov_onto_bert_model","NORP","tnnt:NORP",980,1080,666.50,1140,0.584649,0.438426,0.483163,0.459709,0.446698,0.473500,0.061224,0.148148,0.514674
"feng","gs18","deeppavlov_onto_model","PRODUCT","tnnt:Product",663,221,743.50,781,0.951985,0.169683,0.056561,0.084842,0.121202,0.065263,0.844646,0.533937,0.364078
"feng","ss4","deeppavlov_conll2003_model","MISC","tnnt:NPLLE",2707,2199,2396.50,3219,0.744486,0.374034,0.303842,0.335304,0.357515,0.315690,0.376801,0.232833,0.487552
"feng","ss4","deeppavlov_conll2003_bert_model","LOC","tnnt:FGL",8015,4374,5039.50,8134,0.619560,0.707476,0.386089,0.499556,0.606503,0.424672,0.469120,0.027206,0.727262
"feng","gs18","deeppavlov_onto_model","NORP","tnnt:NORP",1019,1120,791.50,1250,0.633200,0.409375,0.449951,0.428705,0.416894,0.441205,0.127576,0.206250,0.515748
"feng","gs18","deeppavlov_onto_model","GPE","tnnt:GPE",12317,3964,9818.50,12494,0.785857,0.674950,0.217220,0.328665,0.474834,0.251306,0.692539,0.044652,0.706496
"feng","gs18","deeppavlov_onto_model","EVENT","tnnt:Event",523,401,510.00,651,0.783410,0.351621,0.269598,0.305195,0.331453,0.282792,0.478011,0.319202,0.516484
"feng","gs18","deeppavlov_onto_model","FAC","tnnt:FAC",750,318,833.00,878,0.948747,0.141509,0.060000,0.084270,0.111276,0.067812,0.746667,0.402516,0.236842
"feng","ss4","deeppavlov_conll2003_model","LOC","tnnt:FGL",11621,3804,9225.50,11924,0.773692,0.709385,0.232209,0.349887,0.502757,0.268305,0.698735,0.079653,0.770780
"feng","gs18","deeppavlov_onto_model","WORK_OF_ART","tnnt:WorkOfArt",779,406,886.00,966,0.917184,0.197044,0.102696,0.135021,0.166459,0.113572,0.718870,0.460591,0.365297
"feng","gs18","deeppavlov_onto_bert_model","FAC","tnnt:FAC",335,355,420.00,475,0.884211,0.154930,0.164179,0.159420,0.156695,0.162242,0.358209,0.394366,0.255814
"feng","gs18","deeppavlov_onto_bert_model","LOC","tnnt:Location",231,231,231.00,231,1.000000,0.000000,0.000000,-1.000000,-1.000000,-1.000000,0.000000,0.000000,0.000000
"feng","gs18","deeppavlov_onto_model","LOC","tnnt:Location",290,290,290.00,290,1.000000,0.000000,0.000000,-1.000000,-1.000000,-1.000000,0.000000,0.000000,0.000000
"feng","gs18","deeppavlov_onto_model","DATE","tnnt:Date",9866,3894,7654.50,10044,0.762097,0.613636,0.242195,0.347311,0.469598,0.275555,0.623353,0.045711,0.643030
"feng","gs18","deeppavlov_onto_bert_model","EVENT","tnnt:Event",387,468,378.50,538,0.703532,0.340812,0.412145,0.373099,0.353032,0.395585,0.180879,0.322650,0.503155
"feng","gs18","deeppavlov_onto_bert_model","DATE","tnnt:Date",8246,4771,5695.50,8461,0.673147,0.579648,0.335375,0.424906,0.505946,0.366243,0.447490,0.045064,0.607002
"feng","gs18","deeppavlov_onto_model","CARDINAL","tnnt:Cardinal",159,159,159.00,159,1.000000,0.000000,0.000000,-1.000000,-1.000000,-1.000000,0.000000,0.000000,0.000000
"feng","gs18","deeppavlov_onto_bert_model","TIME","tnnt:Time",69,69,69.00,69,1.000000,0.000000,0.000000,-1.000000,-1.000000,-1.000000,0.000000,0.000000,0.000000
"feng","gs18","deeppavlov_onto_bert_model","WORK_OF_ART","tnnt:WorkOfArt",263,241,297.50,361,0.824100,0.263485,0.241445,0.251984,0.258761,0.245553,0.456274,0.406639,0.444056
"feng","gs18","deeppavlov_onto_bert_model","CARDINAL","tnnt:Cardinal",122,122,122.00,122,1.000000,0.000000,0.000000,-1.000000,-1.000000,-1.000000,0.000000,0.000000,0.000000
"feng","gs18","deeppavlov_onto_bert_model","LAW","tnnt:Law",215,143,225.50,263,0.857414,0.262238,0.174419,0.209497,0.238247,0.186939,0.558140,0.335664,0.394737
"feng","gs18","deeppavlov_onto_model","LANGUAGE","tnnt:Language",574,16,566.00,576,0.982639,0.625000,0.017422,0.033898,0.078370,0.021626,0.975610,0.125000,0.714286
"feng","gs18","deeppavlov_onto_bert_model","LANGUAGE","tnnt:Language",142,24,129.00,144,0.895833,0.625000,0.105634,0.180723,0.315126,0.126689,0.845070,0.083333,0.681818
"feng","gs18","deeppavlov_onto_model","LAW","tnnt:Law",637,122,651.50,682,0.955279,0.250000,0.047881,0.080369,0.135556,0.057116,0.879121,0.368852,0.396104
"feng","gs18","deeppavlov_onto_model","ORDINAL","tnnt:Ordinal",49,49,49.00,49,1.000000,0.000000,0.000000,-1.000000,-1.000000,-1.000000,0.000000,0.000000,0.000000
"feng","gs18","deeppavlov_onto_bert_model","MONEY","tnnt:Money",1,1,1.00,1,1.000000,0.000000,0.000000,-1.000000,-1.000000,-1.000000,0.000000,0.000000,0.000000
"feng","gs18","deeppavlov_onto_model","TIME","tnnt:Time",58,58,58.00,58,1.000000,0.000000,0.000000,-1.000000,-1.000000,-1.000000,0.000000,0.000000,0.000000
