Entity,COR,INC,PAR,SPU,MIS,IGN
"the September 11 , 2001",0,0,0,1,0,0
"Tropical Storm Ernesto",1,0,0,0,0,0
"the Cold War",0,0,1,0,0,0
"the Battle Of Thermopylae",0,0,1,0,0,0
"World War One",1,0,0,0,0,0
"the Civil War 1861 65",0,0,1,0,0,0
"the Chinese civil war",0,0,0,1,0,0
"Hurricane Dean",1,0,0,0,0,0
"Asia Pacific Economic Cooperation APEC",0,0,1,0,0,0
"Masters Cup",0,0,0,0,1,0
"Streptococcus suis",0,0,0,0,1,0
"the Asia Pacific Economic Cooperation",0,0,1,0,0,0
"the Cannes film festival",0,0,0,1,0,0
"the All Africa Games",0,0,1,0,0,0
"the Korean War 1950 53",0,0,1,0,0,0
"The December 26 tsunami",0,0,0,1,0,0
"FORTIS Championships",0,0,0,0,1,0
"Danielle",0,0,0,0,1,0
"Medusa",0,0,0,0,1,0
"the 1991 Gulf war",0,0,0,1,0,0
"the Paris Masters",0,0,1,0,0,0
"Jewish sabbath",0,0,0,0,1,0
"Hardcourt Championships",0,0,0,0,1,0
"the British Olympic",0,0,1,0,0,0
"the UEFA Cup",0,0,0,1,0,0
"Sydney International tournament",0,0,0,0,1,0
"Olympic games",0,0,0,0,1,0
"The Accra High Level Forum on Aid Effectiveness",0,0,0,1,0,0
"TB",0,0,0,0,1,0
"the United Nations World Summit Thursday",0,0,0,1,0,0
"Candlemas Day",0,0,0,0,1,0
"the Brazilian Grand Prix",0,0,0,1,0,0
"the Great Depression",0,0,0,1,0,0
"the G 8 summit",0,0,0,1,0,0
"Rolling Thunder",0,0,0,0,1,0
"Mardi Gras",0,0,0,0,1,0
"War of the Triple Alliance 1865 70",0,0,1,0,0,0
"the 1967 Arab Israeli War",0,0,1,0,0,0
"the Turin Winter Games",0,0,1,0,0,0
"Cold War",1,0,0,0,0,0
"the Winter Games",0,0,1,0,0,0
"National Reconciliation Conference",0,0,0,0,1,0
"Hurricane Ivan",0,0,1,0,0,0
"World AIDS Day",0,0,1,0,0,0
"iftaar",0,0,0,0,1,0
""" Velvet Revolution",0,0,0,1,0,0
"the 1950 1953 Korean War",0,0,1,0,0,0
"D. 1000",0,0,0,1,0,0
"the Fig Tree",0,0,0,1,0,0
"Katrina",1,0,0,0,0,0
"New Year 's Eve",0,1,0,0,0,0
"Ebola",0,0,0,0,1,0
"XDR TB",0,0,0,0,1,0
"New Year 's Day Mass",0,0,0,0,1,0
"Fed Cup",0,0,0,0,1,0
"Operation Mountain Thrust",0,1,0,0,0,0
"Davis Cup",0,1,0,0,0,0
"Operation River Blitz",0,1,0,0,0,0
"the United Nations World Summit",0,0,0,1,0,0
"the Summit of the Americas",0,0,0,1,0,0
"the Turin Games",0,0,1,0,0,0
"the Russo Japanese War",0,0,1,0,0,0
"Hurricane Otis",0,0,0,1,0,0
"Operation Lightning",0,0,1,0,0,0
"the Democratic National Convention",0,0,0,1,0,0
"Nottingham Open",0,0,0,0,1,0
"Tropical Storm Katrina",0,0,1,0,0,0
"Gold Coast",0,1,0,0,0,0
"the Atlantic hurricane season",0,0,0,1,0,0
"Earth Day",0,0,0,0,1,0
"September 11 , 2001",0,1,0,0,0,0
"World Baseball Classic",0,0,0,1,0,0
"the "" Anglo Leasing """,0,0,0,1,0,0
"the World Series Champion Boston Red Sox April 3",0,0,1,0,0,0
"Conson",0,0,0,0,1,0
"Typhoon Longwang",0,0,0,0,1,0
"the Ibero American Summit",0,0,1,0,0,0
"the Turin Winter Olympics",0,0,1,0,0,0
"Hopman Cup",1,0,0,0,0,0
"the 2008 9 global financial crisis",0,0,0,1,0,0
"the Paris III Donor Conference",0,0,1,0,0,0
"the Iraq war",0,0,1,0,0,0
"English Premier League",0,1,0,0,0,0
"the 2012 Olympics",0,0,1,0,0,0
"the Doha round of WTO talks",0,0,0,1,0,0
"the 1991 95 war",0,0,0,1,0,0
"Tropical Storm Ophelia",0,1,0,0,0,0
"Hurricane Ophelia",0,0,0,1,0,0
"the Confederations Cup",0,0,0,1,0,0
"the Volvo Women 's Open",0,0,1,0,0,0
"Hopman",0,0,0,0,1,0
""" Operation Lightning Freedom """,0,0,1,0,0,0
"World Day of Peace",0,0,0,0,1,0
"Nazi Germany 1940 45",0,0,0,1,0,0
"London Olympics",0,0,0,0,1,0
"the Legg Mason Tennis Classic",0,0,1,0,0,0
"the Iraqi National Dialogue",0,0,1,0,0,0
"Nordic Combined",0,1,0,0,0,0
"Homeless World Cup",0,0,0,0,1,0
"the 2003 Rose Revolution",0,0,0,1,0,0
"the 2006 Olympics Monday",0,0,1,0,0,0
"Typhoon Lekima",0,1,0,0,0,0
"the FIFA World Cup",0,0,1,0,0,0
"Peace Mission",0,0,0,0,1,0
"World War I",1,0,0,0,0,0
"Asia Pacific Economic Cooperation summit",0,0,1,0,0,0
"Marburg",0,0,0,0,1,0
"World Wars",0,0,1,0,0,0
"the Iraqi Peoples Gathering",0,0,1,0,0,0
"the Ordina Open",0,0,0,1,0,0
"World Wars I",1,0,0,0,0,0
"The World Without Zionism",0,0,0,0,1,0
"the Napoleonic wars",0,0,0,1,0,0
"the Boer War 1899 1902",0,0,1,0,0,0
"Ills",0,0,0,0,1,0
"the Summer Olympics",0,0,1,0,0,0
"the Australian Open",0,0,1,0,0,0
"Indian Republic Day",0,0,0,0,1,0
"Dakar Rally",0,1,0,0,0,0
"Asia Europe Meeting",0,0,1,0,0,0
"Hurricane Ike",0,0,1,0,0,0
"the Regional Economic Cooperation Conference",0,0,1,0,0,0
