Entity,COR,INC,PAR,SPU,MIS,IGN
"6 . 7 guilders",0,0,0,0,0,1
"nearly 2 million",0,0,0,0,0,1
"18 . 5 billion",0,0,0,0,0,1
"787 billion",0,0,0,0,0,1
"billion dollar",0,0,0,0,0,1
"hundreds of millions "" of dollars",0,0,0,0,0,1
"14 . 2 billion",0,0,0,0,0,1
"5 . 3 billion",0,0,0,0,0,1
"thousands of dollars",0,0,0,0,0,1
"3 million",0,0,0,0,0,1
"175 million to 180 million Canadian dollars US 148 . 9 million to 153 . 3 million",0,0,0,0,0,1
"126 . 2",0,0,0,0,0,1
"453 billion dollar",0,0,0,0,0,1
"more than 4 . 5 billion",0,0,0,0,0,1
"76 cents",0,0,0,0,0,1
"25 yen late Friday",0,0,0,0,0,1
"around 15 million guilders",0,0,0,0,0,1
"about 33 billion",0,0,0,0,0,1
"nearly 40 billion",0,0,0,0,0,1
"600 million",0,0,0,0,0,1
"up to 1 billion",0,0,0,0,0,1
"millions of dollars",0,0,0,0,0,1
"8 cents",0,0,0,0,0,1
"less than four cents",0,0,0,0,0,1
"1 . 125 cents",0,0,0,0,0,1
"nearly five billion dollars",0,0,0,0,0,1
"15 cents",0,0,0,0,0,1
"123 billion",0,0,0,0,0,1
"about 12 . 5 billion last year",0,0,0,0,0,1
"nearly 5 billion",0,0,0,0,0,1
"388 pence",0,0,0,0,0,1
"50 cents",0,0,0,0,0,1
"5 Canadian cents",0,0,0,0,0,1
"20 cents Wednesday",0,0,0,0,0,1
"71 million guilders",0,0,0,0,0,1
"212 mi llion",0,0,0,0,0,1
"Microsoft 650 million",0,0,0,0,0,1
"1,30,000",0,0,0,0,0,1
"an estimated 3 . 6 billion",0,0,0,0,0,1
"34 billion",0,0,0,0,0,1
"U. S. 1 billion",0,0,0,0,0,1
"more than 1 . 3",0,0,0,0,0,1
"76 . 4",0,0,0,0,0,1
"2 . 7 billion",0,0,0,0,0,1
"more than 900 million",0,0,0,0,0,1
"54 . 95",0,0,0,0,0,1
"the U. N. 4 million",0,0,0,0,0,1
"2 . 42 billion guilders",0,0,0,0,0,1
"52 cents",0,0,0,0,0,1
"67 cents",0,0,0,0,0,1
"15 cents to 20 cents",0,0,0,0,0,1
"over 1 billion",0,0,0,0,0,1
"three trillion dollars",0,0,0,0,0,1
"26 cents",0,0,0,0,0,1
"12 . 5 cents",0,0,0,0,0,1
"1 . 9 billion",0,0,0,0,0,1
"a record 10 billion",0,0,0,0,0,1
"as high as 57 dollars",0,0,0,0,0,1
"several billion dollars",0,0,0,0,0,1
"almost US 24 billion",0,0,0,0,0,1
"1 . 2 trillion this year",0,0,0,0,0,1
"88 cents",0,0,0,0,0,1
"25 cents",0,0,0,0,0,1
"50 billion",0,0,0,0,0,1
"10 . 7 billion",0,0,0,0,0,1
"around 4 billion",0,0,0,0,0,1
"more than 50 million",0,0,0,0,0,1
"1 billion REDD+",0,0,0,0,0,1
"20 billion",0,0,0,0,0,1
"eight million guilders",0,0,0,0,0,1
"more than USD 41 million",0,0,0,0,0,1
"65 cents",0,0,0,0,0,1
"45 . 2 million",0,0,0,0,0,1
"12 . 3 billion",0,0,0,0,0,1
"up to 1,07,000",0,0,0,0,0,1
"2 pence 1",0,0,0,0,0,1
"between 13 38",0,0,0,0,0,1
"125 Canadian dollars US 13",0,0,0,0,0,1
"up to 4,500",0,0,0,0,0,1
"6 billion to 12 billion",0,0,0,0,0,1
"2 Sudanese Pounds",0,0,0,0,0,1
"11 . 5 cents",0,0,0,0,0,1
"5 cents",0,0,0,0,0,1
"50 . 83 cents",0,0,0,0,0,1
"trillions of dollars",0,0,0,0,0,1
"50 . 05",0,0,0,0,0,1
"87 cents",0,0,0,0,0,1
"one billion dollars",0,0,0,0,0,1
"around 10 billion",0,0,0,0,0,1
"89 cents",0,0,0,0,0,1
"26 million dollars",0,0,0,0,0,1
"more than 140 Shi'ites",0,0,0,0,0,1
"73 cents",0,0,0,0,0,1
"7 billion",0,0,0,0,0,1
"less than US 900 million",0,0,0,0,0,1
"Cuba 26 Million",0,0,0,0,0,1
"500 billion",0,0,0,0,0,1
"83 cents",0,0,0,0,0,1
"nearly 140 1,000 rand",0,0,0,0,0,1
"57 . 25",0,0,0,0,0,1
"138 . 28",0,0,0,0,0,1
"1 billion",0,0,0,0,0,1
"3 . 4 billion",0,0,0,0,0,1
"4 billion to 6 billion",0,0,0,0,0,1
"37 billion",0,0,0,0,0,1
"about 60 cents",0,0,0,0,0,1
"6,00,000",0,0,0,0,0,1
"at least 40 billion",0,0,0,0,0,1
"more than 660 million",0,0,0,0,0,1
"more than 14 billion",0,0,0,0,0,1
"tens of millions of dollars",0,0,0,0,0,1
"180 billion",0,0,0,0,0,1
"nearly 1 billion",0,0,0,0,0,1
"300 million",0,0,0,0,0,1
"3,00,000 21 million taka",0,0,0,0,0,1
"more than seven million dollars",0,0,0,0,0,1
"more than two dollars",0,0,0,0,0,1
"4 . 5 billion",0,0,0,0,0,1
"about 1 . 2 trillion over 10 years",0,0,0,0,0,1
"hundreds of thousands of dollars",0,0,0,0,0,1
"as much as 1,50,000",0,0,0,0,0,1
"114 . 8 billion",0,0,0,0,0,1
"200 million",0,0,0,0,0,1
"31 cents",0,0,0,0,0,1
"two cents",0,0,0,0,0,1
"around 1 trillion",0,0,0,0,0,1
"multi million dollar",0,0,0,0,0,1
"one trillion dollars",0,0,0,0,0,1
"5,00,000",0,0,0,0,0,1
"Venezuela 1 billion",0,0,0,0,0,1
"as much as 2",0,0,0,0,0,1
"4 . 6 pence",0,0,0,0,0,1
"59 . 85 dollars last Thursday",0,0,0,0,0,1
"4 pence a year earlier",0,0,0,0,0,1
"235 million guilders 113 . 2 million",0,0,0,0,0,1
"30 billion",0,0,0,0,0,1
"as much as 60 billion",0,0,0,0,0,1
"26,956",0,0,0,0,0,1
"8,00,000",0,0,0,0,0,1
"51 cents",0,0,0,0,0,1
"260 pence 1",0,0,0,0,0,1
"more than 3 billion",0,0,0,0,0,1
"Microsoft 633 million",0,0,0,0,0,1
"1 . 27 billion",0,0,0,0,0,1
"2,00,000 euros about 2,60,000",0,0,0,0,0,1
"nearly 3 billion",0,0,0,0,0,1
"about 83 cents",0,0,0,0,0,1
"hundreds of millions of dollars",0,0,0,0,0,1
"15 . 5 billion",0,0,0,0,0,1
"some 20 billion",0,0,0,0,0,1
"3 billion",0,0,0,0,0,1
"about 10 billion",0,0,0,0,0,1
"less than 10 million",0,0,0,0,0,1
"2 . 46 billion guilders",0,0,0,0,0,1
"an additional 70 billion",0,0,0,0,0,1
"more than 6 billion",0,0,0,0,0,1
"6 . 8 billion",0,0,0,0,0,1
"29 cents",0,0,0,0,0,1
"more than 1,00,000",0,0,0,0,0,1
"approximately 5 . 4 billion",0,0,0,0,0,1
"roughly US 80 million",0,0,0,0,0,1
"billions of dollars",0,0,0,0,0,1
"up to 1 trillion",0,0,0,0,0,1
"68 cents",0,0,0,0,0,1
"56 dollars",0,0,0,0,0,1
"86 cents",0,0,0,0,0,1
"more than 3 trillion",0,0,0,0,0,1
"billion dollar Kibo",0,0,0,0,0,1
"one cent",0,0,0,0,0,1
"five million dollars",0,0,0,0,0,1
"3 . 55 billion",0,0,0,0,0,1
"an estimated 3 . 1 billion",0,0,0,0,0,1
"as much as 105",0,0,0,0,0,1
"65 billion",0,0,0,0,0,1
"3 . 2 billion",0,0,0,0,0,1
"65 . 25 cents",0,0,0,0,0,1
"77 . 95",0,0,0,0,0,1
"nearly US 32 million",0,0,0,0,0,1
"561 billion",0,0,0,0,0,1
"three cents",0,0,0,0,0,1
"Fifteen dollars",0,0,0,0,0,1
"4 . 1 guilders",0,0,0,0,0,1
"tens of billions of dollars",0,0,0,0,0,1
"as high as 26 cents",0,0,0,0,0,1
"1 . 3 billion",0,0,0,0,0,1
"more than 70 billion",0,0,0,0,0,1
"as much as one billion dollars",0,0,0,0,0,1
"more than 25 billion",0,0,0,0,0,1
"more than 26 billion",0,0,0,0,0,1
"more than 1 million",0,0,0,0,0,1
"at least 70 billion",0,0,0,0,0,1
"trillion dollar",0,0,0,0,0,1
"30 cents",0,0,0,0,0,1
"1 . 4 billion",0,0,0,0,0,1
"more than 1 billion",0,0,0,0,0,1
"three million dollar",0,0,0,0,0,1
"five cents",0,0,0,0,0,1
"144 million guilders",0,0,0,0,0,1
"more than 30 cents",0,0,0,0,0,1
"8 1,000 CFA francs",0,0,0,0,0,1
"300 million dollar",0,0,0,0,0,1
"48 cents",0,0,0,0,0,1
"nonrefundable 40 million",0,0,0,0,0,1
"1,00,000 AK 47s",0,0,0,0,0,1
"23 . 5 million",0,0,0,0,0,1
"slightly more than one dollar",0,0,0,0,0,1
"multi billion dollar",0,0,0,0,0,1
"about three million dollars",0,0,0,0,0,1
"just over 9,00,000",0,0,0,0,0,1
"10 cents",0,0,0,0,0,1
"69 cents",0,0,0,0,0,1
"18 billion",0,0,0,0,0,1
"250 billion",0,0,0,0,0,1
"400 billion",0,0,0,0,0,1
"more than 7 . 5 billion",0,0,0,0,0,1
"1 trillion EU",0,0,0,0,0,1
"3 . 29",0,0,0,0,0,1
"3 . 5 billion",0,0,0,0,0,1
"10 . 5 billion",0,0,0,0,0,1
"about 25 billion",0,0,0,0,0,1
"58 . 8 billion",0,0,0,0,0,1
"26 billion",0,0,0,0,0,1
"about 676 million",0,0,0,0,0,1
"up to 4 billion",0,0,0,0,0,1
"over 109 billion",0,0,0,0,0,1
"6 pence",0,0,0,0,0,1
"nearly 5 . 4 billion",0,0,0,0,0,1
*TOTAL*,0,0,0,0,0,238
