Entity,COR,INC,PAR,SPU,MIS,IGN
"Foreign Office",0,0,0,0,1,0
"the Wiesenthal Center",0,0,1,0,0,0
"Briston Myers '",0,0,0,1,0,0
"Elvis After Dark",0,0,1,0,0,0
"Free Tomorrow",0,0,0,0,1,0
"Louisiana Governor",0,0,0,0,1,0
"Peace Corps",1,0,0,0,0,0
"Radio Simba",0,0,0,0,1,0
"United Nations-coordinated",0,0,0,0,1,0
"Kyoto Protocol",1,0,0,0,0,0
"Venezuela 's Supreme Court",0,0,0,0,1,0
"Ekmeleddin Ihsanoglu",0,0,0,0,1,0
"Burma Students Democratic Front",0,0,0,0,1,0
"United Nations Stabilization Mission",0,0,0,0,1,0
"the National Rainbow Coalition NARC",0,0,1,0,0,0
"Tour de France",0,0,0,0,1,0
"the United Nations Human Rights Council",0,0,1,0,0,0
"S. Olympic Committee",0,0,1,0,0,0
"Supreme Defense Council",0,0,0,0,1,0
"Federal Deposit Insurance Corporation",0,0,0,0,1,0
"United People 's Democratic Front",0,0,0,0,1,0
"Green Movement",0,0,0,0,1,0
"European Union and Mediterranean",0,0,0,0,1,0
"Amnesty International 's",0,0,1,0,0,0
"the World Trade Organization . GOODY PRODUCTS Inc.",0,0,1,0,0,0
"Memin Pinguin",0,0,0,0,1,0
"The Loyalist Volunteer Force",0,0,0,0,1,0
"Revolutionary Guard",1,0,0,0,0,0
"Executive Force",1,0,0,0,0,0
"Sultan",0,0,0,0,1,0
"Central News Service",0,0,0,0,1,0
"Rally of the Togolese People RPT",0,0,1,0,0,0
"Khair Mohammad Shuja",0,0,0,0,1,0
"Mexico and Canada",0,0,0,0,1,0
"HKD",0,0,0,1,0,0
"Anheuser Busch",0,0,0,1,0,0
"the Federal Reserve",0,0,1,0,0,0
"Al Arabiya",0,0,0,1,0,0
"U. S. Treasury Department",0,0,1,0,0,0
"NATO Russia Council",0,0,1,0,0,0
"ILO",1,0,0,0,0,0
"Machinists",1,0,0,0,0,0
"the High Court",0,0,1,0,0,0
"Youssef Belhadj",0,0,0,0,1,0
"N. Security Council Monday",0,0,1,0,0,0
"U. S. N. Security Council",0,0,1,0,0,0
"Movement for Democratic Change ,",0,0,0,0,1,0
"International Affairs Committee",0,0,1,0,0,0
"The Star Magazine",0,0,1,0,0,0
"United Nations-run",0,0,0,0,1,0
"Serbia 's Kosovo",0,0,0,0,1,0
"the RSF Reporters Sans Frontieres",0,0,1,0,0,0
"Crum Forster",0,0,0,1,0,0
"the Association of Southeast Asian Nations ASEAN",0,0,1,0,0,0
"Kadima",0,1,0,0,0,0
"Bajram Kosumi",0,0,0,0,1,0
"Abu Sayyaf",1,0,0,0,0,0
"Iowa Governor Tom Vilsack",0,0,0,0,1,0
"Model Tax Convention",0,0,0,0,1,0
"Shlomo Mor-Yosef",0,0,0,0,1,0
"the Securities and Exchange Commission",0,0,1,0,0,0
"Mahendra Dhoni",0,0,0,0,1,0
"Ford",1,0,0,0,0,0
"Wafd Party",0,0,0,0,1,0
"Umurabyo",0,0,0,0,1,0
"PepsiCo",0,0,0,0,1,0
"Cannes",0,0,0,0,1,0
"WWF",1,0,0,0,0,0
"The Federal Security Service",0,0,1,0,0,0
"United Nations World Food Program",1,0,0,0,0,0
"Saudi Interior Ministry",0,0,0,0,1,0
"Defense Ministry",1,0,0,0,0,0
"Bank Hapoalim",1,0,0,0,0,0
"Ghazala Gardens",0,0,0,0,1,0
"House Democratic",0,0,1,0,0,0
"New Delhi ,",0,0,0,0,1,0
"People 's Liberation Front",0,0,0,0,1,0
"Radio France",0,0,0,0,1,0
"New Force",1,0,0,0,0,0
"Olmert 's centrist Kadima",0,0,0,0,1,0
"Strategic Research",0,0,0,0,1,0
"Western Hemisphere Affairs",0,0,1,0,0,0
"Sara Properties",0,0,1,0,0,0
"EC",1,0,0,0,0,0
"the Fatah Hawks",0,0,1,0,0,0
"Vital Voices Global Partnership",0,0,0,0,1,0
"the International Security Assistance Force",0,0,1,0,0,0
"British Broadcasting Corporation ,",0,0,0,0,1,0
"New Yorker",0,1,0,0,0,0
"the U. S. Gunmen",0,0,0,1,0,0
"the opposition National Council of Resistance of Iran",0,0,1,0,0,0
"Typhoon Talim",0,0,0,0,1,0
"The European Parliament",0,0,1,0,0,0
"Zanu PF",0,0,0,1,0,0
"Guys and Dolls",0,0,0,0,1,0
"NATO Airborne Early Warning and Control",0,0,1,0,0,0
"France 3",0,1,0,0,0,0
"Korean Central News Agency",0,0,1,0,0,0
"Rally of Turkey",0,0,0,0,1,0
"Verez-Bencomo",0,0,0,0,1,0
"NCRI",0,0,0,1,0,0
