Entity,COR,INC,PAR,SPU,MIS,IGN
"Nepal",1,0,0,0,0,0
"U. S. China",0,0,1,0,0,0
"eastern Iraq",0,0,0,0,1,0
"southern Ethiopia",0,0,0,0,1,0
"Glen Canyon Dam",0,1,0,0,0,0
"Chodo",0,0,0,0,1,0
"Karkh Prison",0,1,0,0,0,0
"Gibraltar",1,0,0,0,0,0
"Yadana",1,0,0,0,0,0
"Pluto",1,0,0,0,0,0
"Cavalese",1,0,0,0,0,0
"Fayoum",1,0,0,0,0,0
"Palestine",1,0,0,0,0,0
"Navarro",0,0,0,0,1,0
"Su-24",0,0,0,0,1,0
"downtown Beirut",0,0,0,0,1,0
"South East",0,0,0,0,1,0
"Parchin",1,0,0,0,0,0
"Borena",1,0,0,0,0,0
"OIC Secretary-General Ekmeleddin Ihsanoglu",0,0,0,0,1,0
"Tyre",0,0,0,0,1,0
"Hindu India",1,0,0,0,0,0
"Omaha",1,0,0,0,0,0
"Arctic",1,0,0,0,0,0
"Kenedy County",0,0,0,0,1,0
"Mosul",1,0,0,0,0,0
"Mazar e Sharif",0,0,0,1,0,0
"Bird 's Nest Stadium",0,1,0,0,0,0
"Bermel",1,0,0,0,0,0
"Washington , DC",0,0,1,0,0,0
"Taipei",1,0,0,0,0,0
"Pacific Ocean",1,0,0,0,0,0
"Millennium Retailing",0,0,0,0,1,0
"Canada",1,0,0,0,0,0
"Rashad",1,0,0,0,0,0
"Arctic Ocean",1,0,0,0,0,0
"Quang Nam",0,1,0,0,0,0
"Niamey",1,0,0,0,0,0
"Interahamwe",0,0,0,0,1,0
"Nobel Sanctuary",1,0,0,0,0,0
"Shurja",1,0,0,0,0,0
"Valparaiso",1,0,0,0,0,0
"Doda",0,0,0,0,1,0
"Mexicali",1,0,0,0,0,0
"Adelaide",1,0,0,0,0,0
"Jaffna",1,0,0,0,0,0
"Camp Salerno",0,0,0,0,1,0
"United Nations-run",0,0,0,0,1,0
"Bogra",1,0,0,0,0,0
"southern Kurdistan",0,0,0,0,1,0
"Bekaa",0,0,0,0,1,0
"Malegaon",0,0,0,0,1,0
"Raba",1,0,0,0,0,0
"Kamchatka Peninsula",1,0,0,0,0,0
"Sulawesi Sea",0,0,0,0,1,0
"Emmen",0,0,0,0,1,0
"Balata",1,0,0,0,0,0
"Charles De Gaulle",1,0,0,0,0,0
"Untied States",0,0,0,0,1,0
"Polska",0,0,0,0,1,0
"Palpa",1,0,0,0,0,0
"Central Highlands",1,0,0,0,0,0
"Republic of Iraq",0,0,1,0,0,0
"Guajira",1,0,0,0,0,0
"Dhahran",1,0,0,0,0,0
"PepsiCo",0,0,0,0,1,0
"eastern China",0,0,0,0,1,0
"Middle Belt",0,0,0,0,1,0
"Thua Thien Hue",0,1,0,0,0,0
"South Asia",1,0,0,0,0,0
"Mayon Volcano",0,1,0,0,0,0
"Bayfront Medical Center",0,1,0,0,0,0
"Corpus Christi",1,0,0,0,0,0
"Yugansk",0,0,0,0,1,0
"Pan Africa",0,0,1,0,0,0
"democratic Iraq",0,0,0,0,1,0
"Gulf of Guinea",1,0,0,0,0,0
"Kadhimiya",1,0,0,0,0,0
"Reims",0,1,0,0,0,0
"Stade de France",1,0,0,0,0,0
"Palnoo",1,0,0,0,0,0
"Ethiopia",1,0,0,0,0,0
"Western U. S.",0,0,1,0,0,0
"Yankee Stadium",0,1,0,0,0,0
"Port-au-Prince",0,0,0,0,1,0
"of Campo",0,0,0,0,1,0
"eastern Yemen",0,0,0,0,1,0
"Hollywood",1,0,0,0,0,0
"Arboleda",0,0,0,0,1,0
"Tula",1,0,0,0,0,0
"Maarib",0,0,1,0,0,0
"Lower Juba",1,0,0,0,0,0
"south Asian beach",0,0,0,0,1,0
"Southern Asia",1,0,0,0,0,0
"Foca",1,0,0,0,0,0
"St.",1,0,0,0,0,0
"al-Yousifi",0,0,0,0,1,0
"Manshiyet Nasr",1,0,0,0,0,0
"Varanasi",0,0,0,0,1,0
"North Sinai",0,0,0,0,1,0
"Irrawady River",0,0,0,0,1,0
"Antarctic Circle",1,0,0,0,0,0
"Bosporus Turkey",0,0,1,0,0,0
"Kearny",1,0,0,0,0,0
"Tachileik",1,0,0,0,0,0
"Pilgrim Baptist Church",0,1,0,0,0,0
"Frankfurt",1,0,0,0,0,0
"Singur",1,0,0,0,0,0
"Lyon",1,0,0,0,0,0
"eastern Baghdad",0,0,0,0,1,0
"Sevastopol",1,0,0,0,0,0
"Canterbury",1,0,0,0,0,0
"Promises",0,0,0,0,1,0
"Muscovy",0,0,1,0,0,0
"U. N. They",0,0,0,1,0,0
"Bijeljina",1,0,0,0,0,0
"hip-hop",0,0,0,0,1,0
"Yucatan peninsula",1,0,0,0,0,0
"Empire State Building New York City",0,0,1,0,0,0
"Al Aqsa",1,0,0,0,0,0
"Eritrea",1,0,0,0,0,0
"Menoufia",1,0,0,0,0,0
"Ohrid",1,0,0,0,0,0
"Lago Agrio",1,0,0,0,0,0
"Mexico City",1,0,0,0,0,0
"U. N. N.",0,0,0,1,0,0
"oil-rich Gulf of Guinea",0,0,0,0,1,0
"Bikaner",1,0,0,0,0,0
"Dodge",0,0,0,0,1,0
"The English Roses",0,0,0,0,1,0
"Beni Suef",1,0,0,0,0,0
"Prijedor",1,0,0,0,0,0
"Kiel",1,0,0,0,0,0
"Hafun",1,0,0,0,0,0
"New Delhi",1,0,0,0,0,0
"Hajan",0,0,0,0,1,0
"Sirte",1,0,0,0,0,0
"Palestinian Territories",0,0,1,0,0,0
"Manhattan District",0,0,0,0,1,0
"British Columbia",0,0,1,0,0,0
"Nyasaland",1,0,0,0,0,0
"Arabian",0,0,1,0,0,0
"Qalat",1,0,0,0,0,0
"South Ossetia",1,0,0,0,0,0
"Bakiyev",0,0,0,0,1,0
"U. S. Naval",0,0,0,1,0,0
"Iran enrich",0,0,0,0,1,0
"Liliput",0,0,0,0,1,0
"Lilongwe",1,0,0,0,0,0
"Baishiyao",0,0,0,0,1,0
"Hargeisa",1,0,0,0,0,0
"Sistan Baluchistan",0,0,1,0,0,0
"Shadi Kor",0,0,0,0,1,0
"Axum",0,0,0,0,1,0
"West Sumatra",1,0,0,0,0,0
"Sardinia",1,0,0,0,0,0
"Cheecha Watni",1,0,0,0,0,0
"Soviet-era",0,0,0,0,1,0
"Kanyutkwin",0,0,0,0,1,0
"Siphiwe Tshabalala",0,0,0,0,1,0
"Turin",1,0,0,0,0,0
"Addis",0,0,0,0,1,0
"Geneva",1,0,0,0,0,0
"06-Apr",0,0,0,0,1,0
"17th Street",0,1,0,0,0,0
"Nile",1,0,0,0,0,0
"Roman",0,0,0,0,1,0
"Atomstroyexport",0,0,0,0,1,0
"Sharm el Sheik",0,0,0,1,0,0
"US Virgin Islands",0,1,0,0,0,0
"Kuta",0,0,0,0,1,0
"Aristide",1,0,0,0,0,0
"Brunei",1,0,0,0,0,0
"Washington DC",0,0,1,0,0,0
"Nativity",0,0,0,0,1,0
"Khuzestan",1,0,0,0,0,0
"Mississippi River",1,0,0,0,0,0
"Yongbyong",0,0,0,0,1,0
"Mingora",0,0,0,0,1,0
"Badgesty",0,0,0,0,1,0
"Bengal",0,0,0,0,1,0
"Sea of Oman",1,0,0,0,0,0
"Bologna",1,0,0,0,0,0
"Herald Square",0,0,0,0,1,0
"Rice China",0,0,1,0,0,0
"Dili",0,1,0,0,0,0
"Sunda Strait",1,0,0,0,0,0
"Inguri",1,0,0,0,0,0
"Tangier",0,0,0,0,1,0
"eastern Bosnia-Herzegovina",0,0,0,0,1,0
"Indian Sikhs",0,0,0,0,1,0
"Samburu",1,0,0,0,0,0
"Sharm el-Sheik",0,0,0,0,1,0
"Great Wall of China",0,0,1,0,0,0
"Ghubaysh",0,0,0,0,1,0
"Mir Ali",1,0,0,0,0,0
"Uttarakhand",0,0,0,0,1,0
"Gulf of Thailand",1,0,0,0,0,0
"Louis Armstrong",0,1,0,0,0,0
"Cross River",0,0,0,0,1,0
