Entity,COR,INC,PAR,SPU,MIS,IGN
"S The Times",0,0,1,0,0,0
"Anhui",1,0,0,0,0,0
"Nepal",1,0,0,0,0,0
"Willis Islets",1,0,0,0,0,0
"Auschwitz",1,0,0,0,0,0
"Srebrenica",1,0,0,0,0,0
"Irrawaddy Delta",0,1,0,0,0,0
"eastern Iraq",0,0,0,0,1,0
"Midwestern",0,0,1,0,0,0
"Israel Hamas",0,0,1,0,0,0
"Elvis After Dark",0,0,1,0,0,0
"Kaliningrad",1,0,0,0,0,0
"Northwest Frontier",0,1,0,0,0,0
"Kansas City",1,0,0,0,0,0
"southern Ethiopia",0,0,0,0,1,0
"Glen Canyon Dam",0,1,0,0,0,0
"Jericho",1,0,0,0,0,0
"Iraq Indonesian",0,0,1,0,0,0
"Abkhazia Vuk Jeremic",0,0,1,0,0,0
"Najaf Ayatollah al Sistani",0,0,1,0,0,0
"Karkh Prison",0,1,0,0,0,0
"Sambadrome",1,0,0,0,0,0
"Sangju",1,0,0,0,0,0
"Gibraltar",1,0,0,0,0,0
"Yadana",1,0,0,0,0,0
"Oslo Vietnamese",0,0,1,0,0,0
"Kenya MOI",0,0,1,0,0,0
"Botswana",1,0,0,0,0,0
"Republic of Congo",1,0,0,0,0,0
"Hanyuan",0,0,0,0,1,0
"Israel Syria",0,0,1,0,0,0
"Sudan Roger Winter",0,0,1,0,0,0
"Benishangul Gumuz",1,0,0,0,0,0
"Pluto",1,0,0,0,0,0
"Cavalese",1,0,0,0,0,0
"Mekong",1,0,0,0,0,0
"Fayoum",1,0,0,0,0,0
"Palestine",1,0,0,0,0,0
"Aruba",1,0,0,0,0,0
"Ninevah",1,0,0,0,0,0
"Ahmadinejad Turkish",0,0,1,0,0,0
"Chechnya Australia",0,0,1,0,0,0
"Swat Valley",1,0,0,0,0,0
"Bingol",1,0,0,0,0,0
"Gaza Israeli",0,0,1,0,0,0
"Beslan",1,0,0,0,0,0
"Strait of Malacca Indonesia Malaysia",0,0,1,0,0,0
"Neuilly",1,0,0,0,0,0
"San Salvador",1,0,0,0,0,0
"Iran Hong Kong",0,0,1,0,0,0
"downtown Beirut",0,0,0,0,1,0
"Mian Nishin",0,0,0,1,0,0
"China Spain",0,0,1,0,0,0
"Palestine Hotel",1,0,0,0,0,0
"Democratic Republic of Congo Rwandan",0,0,1,0,0,0
"IMB",0,0,0,0,1,0
"Parchin",1,0,0,0,0,0
"Cincinnati",1,0,0,0,0,0
"Iraq Palestinian",0,0,1,0,0,0
"Borena",1,0,0,0,0,0
"S Freedom of Information Act Georgian",0,0,1,0,0,0
"Narthiwat",1,0,0,0,0,0
"ar Rutbah",0,0,0,1,0,0
"Iraq Hall",0,0,1,0,0,0
"Netherlands Colombia",0,0,1,0,0,0
"Pitcairn",1,0,0,0,0,0
"southern Kyrgyzstan",0,0,0,0,1,0
"South America Bush",0,0,1,0,0,0
"Omaha",1,0,0,0,0,0
"Arctic",1,0,0,0,0,0
"Philippine Islands",1,0,0,0,0,0
"Communist GDR",0,1,0,0,0,0
"Buhriz",1,0,0,0,0,0
"Yemen Al Shihri",0,0,1,0,0,0
"Minas al-Yousifi",0,0,0,0,1,0
"Golo",0,1,0,0,0,0
"Iraq Bush",0,0,1,0,0,0
"Turkey Israel",0,0,1,0,0,0
"Sago",1,0,0,0,0,0
"Mosul",1,0,0,0,0,0
"Fujian Province",1,0,0,0,0,0
"Macedonia",1,0,0,0,0,0
"Australia Dubai",0,0,1,0,0,0
"Lebanon Italy",0,0,1,0,0,0
"Mashonaland West",1,0,0,0,0,0
"Orinoco Basin",0,1,0,0,0,0
"Mazar e Sharif",0,0,0,1,0,0
"Russia Ukrainian",0,0,1,0,0,0
"Kunduz",1,0,0,0,0,0
"Ottawa",1,0,0,0,0,0
"Middle East",1,0,0,0,0,0
"Jowhar",1,0,0,0,0,0
"Pakistan Wimbledon",0,0,1,0,0,0
"Bird 's Nest Stadium",0,1,0,0,0,0
"Somalia South Korea",0,0,1,0,0,0
"Bermel",1,0,0,0,0,0
"India United Nations",0,0,1,0,0,0
"Ciudad Juarez",1,0,0,0,0,0
"Northwest Frontier Province",0,1,0,0,0,0
"Chaco",1,0,0,0,0,0
"Miltzow",0,0,0,0,1,0
"Qalqiliya",1,0,0,0,0,0
"Grand Cayman Island",1,0,0,0,0,0
"Miroslav Bralo",0,0,0,0,1,0
"Holy Land",1,0,0,0,0,0
"State Duma",1,0,0,0,0,0
"Taipei",1,0,0,0,0,0
"Maghazi",1,0,0,0,0,0
"Garmser",1,0,0,0,0,0
"Zambia Iran",0,0,1,0,0,0
"S Johanns",0,0,0,1,0,0
"Circle K",0,0,0,1,0,0
"Port Elizabeth Marlon Samuels",0,0,1,0,0,0
"Serbia Montenegro",0,0,1,0,0,0
"United States Taylor",0,0,1,0,0,0
"West Bank French",0,0,1,0,0,0
"Pacific Ocean",1,0,0,0,0,0
"Gulf Coast S",0,0,1,0,0,0
"Turkmen",1,0,0,0,0,0
"Great Hall",0,0,1,0,0,0
"Qatar Ramirez",0,0,1,0,0,0
"Tang Khata",1,0,0,0,0,0
"Canada",1,0,0,0,0,0
"Kennedy Space Center",0,1,0,0,0,0
"Carson",1,0,0,0,0,0
"Nicobari",1,0,0,0,0,0
"Washington Democrats",0,0,1,0,0,0
"Kolkata",1,0,0,0,0,0
"Palestinian West Bank",0,0,1,0,0,0
"Neiva",1,0,0,0,0,0
"Guinea South Korean",0,0,1,0,0,0
"S National Hurricane Center",0,0,1,0,0,0
"Bilge",1,0,0,0,0,0
"Sahel",1,0,0,0,0,0
"Hamdania",1,0,0,0,0,0
"Manta",1,0,0,0,0,0
"Pale",1,0,0,0,0,0
"Malda",1,0,0,0,0,0
"Rashad",1,0,0,0,0,0
"Arctic Ocean",1,0,0,0,0,0
"Asia Pacific",0,0,1,0,0,0
"Quang Nam",0,1,0,0,0,0
"Latin America Chavez",0,0,1,0,0,0
"S Supreme Court Alex Moradi",0,0,0,1,0,0
"Maoists",0,0,0,0,1,0
"Ramallah Uda",0,0,1,0,0,0
"Wall Street",0,1,0,0,0,0
"Kabul Kandahar",0,0,1,0,0,0
"China Students For a Free Tibet",0,0,1,0,0,0
"South Waziristan",1,0,0,0,0,0
"Tabriz",1,0,0,0,0,0
"Orissa",1,0,0,0,0,0
"Shibis",1,0,0,0,0,0
