Entity,COR,INC,PAR,SPU,MIS,IGN
"Tropical Storm Ernesto",1,0,0,0,0,0
"the October earthquake",0,0,0,1,0,0
"World War One",1,0,0,0,0,0
"Typhoon Tokage",0,1,0,0,0,0
"Hurricane Dean",1,0,0,0,0,0
"the Cannes film festival",0,0,0,1,0,0
"the October 8 earthquake",0,0,0,1,0,0
"the Great Depression",0,0,0,1,0,0
"a Super G",0,0,0,1,0,0
"War of the Triple Alliance 1865 70",0,0,1,0,0,0
"the Year of the Eucharist",0,0,0,1,0,0
""" Operation Colombo """,0,0,1,0,0,0
"the Turin Olympics",0,0,1,0,0,0
"Hurricane Ivan",0,0,1,0,0,0
"World War II Guernsey",0,0,1,0,0,0
"the United Nations Decade for Human Rights Education",0,0,0,1,0,0
"Hurricane Katrina The National Football League",0,0,1,0,0,0
"Rita Republican",0,0,1,0,0,0
"G 20",0,0,0,1,0,0
"the Big Bang",0,0,0,1,0,0
"Davis Cup",0,1,0,0,0,0
"Operation River Blitz",0,1,0,0,0,0
"Memorial Day",1,0,0,0,0,0
"the Summit of the Americas",0,0,0,1,0,0
"the Turin Games",0,0,1,0,0,0
"Hurricane Katrina Carnival",0,0,1,0,0,0
"Operation Lightning",0,0,1,0,0,0
"the Democratic National Convention",0,0,0,1,0,0
"the Winter Games Luca Badoer",0,0,1,0,0,0
"Tropical Storm Katrina",0,0,1,0,0,0
"the Atlantic hurricane season",0,0,0,1,0,0
""" Operation Mountain Lion """,0,0,0,1,0,0
"Bosnian war",0,0,0,1,0,0
"World Baseball Classic",0,0,0,1,0,0
"Women 's Day",0,0,0,1,0,0
"Christmas",1,0,0,0,0,0
"the Iraq war",0,0,1,0,0,0
"Hurricane Katrina last year",0,0,1,0,0,0
"the Paris III Donor Conference",0,0,1,0,0,0
"World War II Afghan",0,0,1,0,0,0
"the Sri Lankan civil war",0,0,0,1,0,0
"the Sydney International tournament",0,0,1,0,0,0
"Hurricane Ophelia",0,0,0,1,0,0
"Inauguration Day",0,1,0,0,0,0
""" Operation Lightning Freedom """,0,0,1,0,0,0
"London Olympics",0,0,0,0,1,0
"the Legg Mason Tennis Classic",0,0,1,0,0,0
"World Wars",0,0,1,0,0,0
""" Rolling Thunder",0,0,1,0,0,0
"World Wars I",1,0,0,0,0,0
"the Boer War 1899 1902",0,0,1,0,0,0
"Hurricane Katrina The Federal Emergency Management Agency",0,0,1,0,0,0
"National Arbor Day",1,0,0,0,0,0
"the Summer Olympics",0,0,1,0,0,0
"Typhoon Talim",0,1,0,0,0,0
"the Ski Flying World Championships",0,0,0,1,0,0
"Typhoon Damrey",0,1,0,0,0,0
"the Turin Winter Olympics Witty",0,0,1,0,0,0
"Olympics China",0,0,1,0,0,0
"Diwali",0,1,0,0,0,0
"Hurricane Stan 's",0,0,0,1,0,0
"the Revolution of 1905",0,0,0,1,0,0
"The Australian Gold Coast tournament",0,0,1,0,0,0
"Hurricane Stan",0,0,0,1,0,0
"Eid al Fitr Sudanese",0,0,0,1,0,0
"the Olympic Games",0,0,1,0,0,0
"Tropical Storm Beta",0,0,1,0,0,0
"the New Stone Age",0,0,0,1,0,0
"Hurricane Gustav",1,0,0,0,0,0
"Typhoon Sepat",0,1,0,0,0,0
"the Pacific War",0,0,1,0,0,0
"Hurricane Katrina Health and Human Services",0,0,1,0,0,0
