Entity,COR,INC,PAR,SPU,MIS,IGN
"the International Compact on Iraq",0,0,1,0,0,0
"Non Proliferation Treaty",0,0,1,0,0,0
"the Hague and Geneva Conventions",0,0,1,0,0,0
"the Nuclear Non Proliferation treaty",0,0,1,0,0,0
"the United Nations Convention Against Torture",0,0,1,0,0,0
"the Dayton Peace Accords a decade ago",0,0,1,0,0,0
"the Nuclear Non Proliferation Treaty India",0,0,1,0,0,0
"H 2A",0,0,0,1,0,0
"The Kyoto Protocol",0,0,0,1,0,0
"Millenium Challenge Account The United States",0,0,0,1,0,0
"British pound",0,0,0,0,1,0
"Qur'an",0,0,0,0,1,0
"the US Colombia Trade Promotion Agreement The Arctic Ocean",0,0,1,0,0,0
"a Millennium Challenge Corporation MCC Compact",0,0,1,0,0,0
"Chapter Seven",0,0,0,1,0,0
"the No Child Left Behind Act",0,0,1,0,0,0
"the Doha Accord",0,0,1,0,0,0
"Decree 101",0,0,0,1,0,0
"Kyoto Protocol",0,1,0,0,0,0
"Trade and Investment Framework Agreement TIFA",0,0,0,1,0,0
"the Africa Growth and Opportunity Act",0,0,1,0,0,0
"a Comprehensive Peace Agreement",0,0,0,1,0,0
"the Amended Compact of Free Association",0,0,1,0,0,0
"Lateran Treaties",0,1,0,0,0,0
"Islamic Sharia",0,1,0,0,0,0
"a Compact of Free Association with",0,0,1,0,0,0
"Buddhism",0,0,0,0,1,0
"Basic Law",0,0,0,1,0,0
"Compact of Free Association with",0,0,1,0,0,0
"The Closer Economic Partnership Agreement CEPA",0,0,1,0,0,0
"Taif agreement",0,0,0,1,0,0
"ACCORD",0,0,0,1,0,0
""" Operation Restore Order """,0,0,1,0,0,0
"a Mutual Legal Assistance Treaty",0,0,0,1,0,0
"the Central American Free Trade Agreement",0,0,1,0,0,0
"the Compact of Free Association",0,0,1,0,0,0
"the Andean Trade Promotion and Drug Eradication Act",0,0,1,0,0,0
"Security Council resolution 1559",0,0,1,0,0,0
"@dalailama",0,0,0,0,1,0
"the New Economic Policy",0,0,1,0,0,0
"the Geneva Conventions",0,0,1,0,0,0
"an Antarctic Treaty",0,0,0,1,0,0
"Tax Information Exchange Agreement",0,1,0,0,0,0
"the Endangered Species Act",0,0,1,0,0,0
"Chapter 7",0,0,0,1,0,0
"the Comprehensive Nuclear Test Ban Treaty",0,0,0,1,0,0
"The EU Treaty",0,0,0,1,0,0
"the National Security Law The Uri Party",0,0,1,0,0,0
"mbalax",0,0,0,0,1,0
"the Convention of the Conservation of Antarctic Marine Living Resources CCAMLR",0,0,1,0,0,0
"Kyoto protocol",0,0,0,1,0,0
"the Millennium Declaration Cuban National Assembly",0,0,1,0,0,0
"The Dayton Agreement",0,0,1,0,0,0
"the restrictive Emergency Law",0,0,1,0,0,0
"Chapter 11",0,0,0,1,0,0
"the New Strategic Arms Reduction Treaty",0,0,1,0,0,0
"European Union Constitution",0,1,0,0,0,0
"the Endangered Species Act Bush",0,0,1,0,0,0
"North / South Comprehensive Peace Agreement CPA",0,0,0,1,0,0
"the Dayton Peace Accord",0,0,1,0,0,0
"Maastricht Treaty",0,1,0,0,0,0
"Group-B",0,0,0,0,1,0
"the Nuclear Non Proliferation Treaty",0,0,1,0,0,0
"the Constitution",0,0,1,0,0,0
"hip-hop",0,0,0,0,1,0
"the Dayton Peace Accords",0,0,1,0,0,0
""" Comprehensive Peace in Sudan Act of 2004 """,0,0,0,1,0,0
"iTunes",0,0,0,0,1,0
"the Geneva Convention",0,0,1,0,0,0
"NIST",0,1,0,0,0,0
"Unlawful Gaming Act",0,1,0,0,0,0
"the Stabilization and Association Agreement EU",0,0,1,0,0,0
"Nuclear Non Proliferation Treaty Somaliland",0,0,1,0,0,0
"The South Asia Free Trade Agreement",0,0,1,0,0,0
"the National Defense Authorization Act",0,0,1,0,0,0
""" Media Bill """,0,0,0,1,0,0
"Trade Agreement FTA",0,0,0,1,0,0
"Model Tax Convention",0,1,0,0,0,0
"the Multi Fiber Agreement",0,0,0,1,0,0
"Free Trade Agreement",1,0,0,0,0,0
"FALSE",0,0,0,1,0,0
"the European Exchange Rate Mechanism ERM2",0,0,0,1,0,0
"the North American Free Trade Agreement",0,0,1,0,0,0
"Tax Information Exchange Agreements",0,1,0,0,0,0
"english",0,0,0,0,1,0
"FTA",0,1,0,0,0,0
"the Haitian Economic Lift Act HELP",0,0,1,0,0,0
"the Constitutional Charter of Serbia",0,0,1,0,0,0
"the Nuclear Non Proliferation Treaty The International Atomic Energy Agency",0,0,1,0,0,0
"a National Human Rights Plan",0,0,1,0,0,0
"Strategic Arms Reduction Treaty",1,0,0,0,0,0
"World Anti Doping Code",0,0,0,1,0,0
"a WTO Agreement on Textiles and Clothing",0,0,1,0,0,0
"the Treaty of Waitangi",0,1,0,0,0,0
"Constitution",0,1,0,0,0,0
