Entity,COR,INC,PAR,SPU,MIS,IGN
"40 minute",0,0,0,0,0,1
"Tuesday night about an hour",0,0,0,0,0,1
"the afternoon",0,0,0,0,0,1
"the 32nd minute Australia",0,0,0,0,0,1
"almost 15 hours",0,0,0,0,0,1
"about one hour",0,0,0,0,0,1
"Before dawn Tuesday",0,0,0,0,0,1
"72 hour",0,0,0,0,0,1
"the 19th minute",0,0,0,0,0,1
"every three minutes",0,0,0,0,0,1
"the night",0,1,0,0,0,0
"12 minutes and 15 seconds",0,0,0,0,0,1
"Late Friday",0,0,0,0,0,1
"early Sunday Last year",0,0,0,0,0,1
"the 27th minute",0,0,0,0,0,1
"Friday night French",0,0,0,0,0,1
"early morning Monday",0,1,0,0,0,0
"12 hours",0,0,0,0,0,1
"the morning rush hour",0,0,0,0,0,1
"early this morning Sunday",0,0,0,0,0,1
"the next 48 hours Last week",0,0,0,0,0,1
"Later in the day",0,0,0,0,0,1
"Late Wednesday",0,0,0,0,0,1
"one hour",0,0,0,0,0,1
"the first 100 kilowatt hours",0,0,0,0,0,1
"earlier in the day",0,0,0,0,0,1
"297 minutes",0,0,0,0,0,1
"24 hours",0,0,0,0,0,1
"Later Sunday",0,1,0,0,0,0
"hours The Court of Arbitration for Sport",0,0,0,0,0,1
"several seconds",0,0,0,0,0,1
"after hours",0,0,0,0,0,1
"midnight",0,1,0,0,0,0
"Late Saturday",0,0,0,0,0,1
"Tuesday evening local time",0,0,0,0,0,1
"more than an hour",0,0,0,0,0,1
"another hours",0,0,0,0,0,1
"early afternoon Saturday",0,0,0,0,0,1
"nine minutes later Uruguay",0,0,0,0,0,1
"a least an hour",0,0,0,0,0,1
"the 44th minute Tuesday",0,0,0,0,0,1
"mid afternoon",0,1,0,0,0,0
"morning",0,1,0,0,0,0
"about 90 minutes",0,0,0,0,0,1
"just moments",0,0,0,0,0,1
"this Wednesday morning",0,0,0,0,0,1
"the 59th minute",0,0,0,0,0,1
"An hour earlier",0,0,0,0,0,1
"earlier Thursday",0,0,0,0,0,1
"noon",0,1,0,0,0,0
"early Tuesday morning",0,0,0,0,0,1
"1900 UTC",0,1,0,0,0,0
"the 82nd minute",0,0,0,0,0,1
"before dawn on June 2",0,0,0,0,0,1
"just over six and a half hours Schlegel",0,0,0,0,0,1
"the past 24 hours",0,0,0,0,0,1
"8 20 am",0,0,0,0,0,1
"This morning",0,0,0,0,0,1
"daylight hours",0,0,0,0,0,1
"Earlier on Tuesday",0,0,0,0,0,1
"Wednesday night",0,1,0,0,0,0
"Later Friday",0,1,0,0,0,0
"just 88 minutes",0,0,0,0,0,1
"early this morning",0,1,0,0,0,0
"24 hour",0,0,0,0,0,1
"moments later",0,0,0,0,0,1
"the 52nd minute Argentina",0,0,0,0,0,1
