Entity,COR,INC,PAR,SPU,MIS,IGN
"6 . 7 guilders",0,0,0,0,0,1
"more than one dollar",0,0,0,0,0,1
"8,700 70,000 yuan",0,0,0,0,0,1
"billion dollar",0,0,0,0,0,1
"thousands of dollars",0,0,0,0,0,1
"35 cents",0,0,0,0,0,1
"half a million dollars",0,0,0,0,0,1
"less than one dollar",0,0,0,0,0,1
"hundreds of millions `` of dollars",0,0,0,0,0,1
"453 billion dollar",0,0,0,0,0,1
"76 cents",0,0,0,0,0,1
"millions of dollars",0,0,0,0,0,1
"another 4 billion",0,0,0,0,0,1
"less than four cents",0,0,0,0,0,1
"a multi million dollar",0,0,0,0,0,1
"one million dollars",0,0,0,0,0,1
"nearly five billion dollars",0,0,0,0,0,1
"15 cents",0,0,0,0,0,1
"about 12 . 5 billion last year",0,0,0,0,0,1
"nearly 5 billion",0,0,0,0,0,1
"388 pence",0,0,0,0,0,1
"50 cents",0,0,0,0,0,1
"about four point five billion dollars",0,0,0,0,0,1
"20 cents Wednesday",0,0,0,0,0,1
"71 million guilders",0,0,0,0,0,1
"175 million to 180 million Canadian dollars US 148",0,0,0,0,0,1
"about 250 million . 5 billion",0,0,0,0,0,1
"2 pence 1 . 26 cents",0,0,0,0,0,1
"U. S. dollars",0,0,0,0,0,1
"six billion dollars",0,0,0,0,0,1
"20 cents",0,0,0,0,0,1
"that billions of dollars",0,0,0,0,0,1
"2 . 42 billion guilders",0,0,0,0,0,1
"S. dollar",0,0,0,0,0,1
"67 cents",0,0,0,0,0,1
"52 cents",0,0,0,0,0,1
"three trillion dollars",0,0,0,0,0,1
"less than a dollar",0,0,0,0,0,1
"a record 10 billion",0,0,0,0,0,1
"several billion dollars",0,0,0,0,0,1
"approximately US 3 . 2 billion",0,0,0,0,0,1
"1 . 2 trillion this year",0,0,0,0,0,1
"almost US 24 billion",0,0,0,0,0,1
"25 cents",0,0,0,0,0,1
"88 cents",0,0,0,0,0,1
"18 billion dollars",0,0,0,0,0,1
"185 million dollars",0,0,0,0,0,1
"Three hundred million dollars",0,0,0,0,0,1
"more than USD 41 million",0,0,0,0,0,1
"eight million guilders",0,0,0,0,0,1
"65 cents",0,0,0,0,0,1
"1500 dollars",0,0,0,0,0,1
"a record 70 . 8 cents",0,0,0,0,0,1
"125 Canadian dollars US 13",0,0,0,0,0,1
"almost 200 million US",0,0,0,0,0,1
"11 . 5 cents",0,0,0,0,0,1
"5 cents",0,0,0,0,0,1
"50 . 83 cents",0,0,0,0,0,1
"trillions of dollars",0,0,0,0,0,1
"nearly 8 billion",0,0,0,0,0,1
"87 cents",0,0,0,0,0,1
"one billion dollars",0,0,0,0,0,1
"a multi billion dollar",0,0,0,0,0,1
"89 cents",0,0,0,0,0,1
"26 million dollars",0,0,0,0,0,1
"billions of dollars Saturday",0,0,0,0,0,1
"73 cents",0,0,0,0,0,1
"tens of thousands of dollars",0,0,0,0,0,1
"less than US 900 million",0,0,0,0,0,1
"June marks the beginning of the annual monsoon season",0,0,0,0,0,1
"more than 3,00,000 21 million taka",0,0,0,0,0,1
"million dollar",0,0,0,0,0,1
"83 cents",0,0,0,0,0,1
"just 1 . 125 cents",0,0,0,0,0,1
"as high as 57 dollars and 50 cents",0,0,0,0,0,1
"about 1,800 U.",0,0,0,0,0,1
"1 . 8 1,000 CFA francs",0,0,0,0,0,1
"more than one billion dollars",0,0,0,0,0,1
"about 60 cents",0,0,0,0,0,1
"tens of millions of dollars",0,0,0,0,0,1
"the billion dollar",0,0,0,0,0,1
"the multi million dollar",0,0,0,0,0,1
"more than one cent",0,0,0,0,0,1
"three million dollars",0,0,0,0,0,1
"more than seven million dollars",0,0,0,0,0,1
"more than two dollars",0,0,0,0,0,1
"a falling dollar",0,0,0,0,0,1
"hundreds of thousands of dollars",0,0,0,0,0,1
"50 billion dollar Madoff",0,0,0,0,0,1
"31 cents",0,0,0,0,0,1
"0 . 5 yen",0,0,0,0,0,1
"two cents",0,0,0,0,0,1
"multi million dollar",0,0,0,0,0,1
"90",0,1,0,0,0,0
"the Chinese yuan to the U. S. dollar",0,0,0,0,0,1
"one trillion dollars",0,0,0,0,0,1
"107 . 25 yen late Friday",0,0,0,0,0,1
"up to 1 . 4 billion dollars",0,0,0,0,0,1
"two major multimillion dollar",0,0,0,0,0,1
"4 . 6 pence",0,0,0,0,0,1
"4 pence a year earlier",0,0,0,0,0,1
"235 million guilders 113 . 2 million",0,0,0,0,0,1
"51 cents",0,0,0,0,0,1
"approximately USD 6 billion",0,0,0,0,0,1
"half to around 15 million guilders",0,0,0,0,0,1
