Entity,COR,INC,PAR,SPU,MIS,IGN
"Madagonians",1,0,0,0,0,0
"Palestinian Interior Ministry",0,1,0,0,0,0
"Saudis",1,0,0,0,0,0
"Afghan Christian Abdul Rahman",0,0,1,0,0,0
"The South African Nobel Peace Prize",0,0,1,0,0,0
"Srebrenica",0,1,0,0,0,0
"Aegean",0,1,0,0,0,0
"Albanians",1,0,0,0,0,0
"Fisherman",0,0,0,1,0,0
"Palestinian",1,0,0,0,0,0
"Korean Central News Service Tuesday",0,0,1,0,0,0
"Arab Khartoum",0,0,1,0,0,0
"Swahili",0,1,0,0,0,0
"Latina",0,1,0,0,0,0
"Reigning",0,0,0,1,0,0
"Radical Muslim",0,1,0,0,0,0
"New Americans",0,0,1,0,0,0
"Arawak Indians",0,0,1,0,0,0
"Turk",1,0,0,0,0,0
"Macedonian American",0,0,1,0,0,0
"an Iranian American",0,0,1,0,0,0
"Serbian Novak Djokovic",0,0,1,0,0,0
"Democratic Senate",0,0,0,1,0,0
"Scandinavian",0,0,0,1,0,0
"Croatians",1,0,0,0,0,0
"Germans Claudia Pechstein",0,0,1,0,0,0
"Turkic",0,0,1,0,0,0
"British Dutch Shell",0,0,1,0,0,0
"French Indochina",0,0,1,0,0,0
"Latvian",1,0,0,0,0,0
"Rescue",0,0,0,1,0,0
"Indo Aryan",0,0,0,1,0,0
"Popular American",0,0,1,0,0,0
"Beslan",0,1,0,0,0,0
"Tahitian",0,0,0,1,0,0
"Novakatkan",1,0,0,0,0,0
"French",1,0,0,0,0,0
"Australian",1,0,0,0,0,0
"Spaniard Rafael Nadal",0,0,1,0,0,0
"Belgian",1,0,0,0,0,0
"Bangladeshi",1,0,0,0,0,0
"Swiss Roger Federer",0,0,1,0,0,0
"Finnish",1,0,0,0,0,0
"Micronesians",0,0,0,1,0,0
"Sikhs",1,0,0,0,0,0
"Turks 90 years ago",0,0,1,0,0,0
"Papal",0,1,0,0,0,0
"Catholic",0,1,0,0,0,0
"Hutu",0,1,0,0,0,0
"Most Pakistanis",0,0,1,0,0,0
"Sunni Triangle",0,0,0,1,0,0
"Indonesians",1,0,0,0,0,0
"Somalis",1,0,0,0,0,0
"Ethiopians",1,0,0,0,0,0
"Taiwanese",1,0,0,0,0,0
"the Greek Cypriot",0,0,1,0,0,0
"Honduran",1,0,0,0,0,0
"Shi'ite",0,1,0,0,0,0
"Baathist",0,1,0,0,0,0
"Nepalese",1,0,0,0,0,0
"Africans under age 30",0,0,1,0,0,0
"European African",0,0,1,0,0,0
"Eritrean",1,0,0,0,0,0
"Mayan Indian",0,0,1,0,0,0
"Refugees",0,1,0,0,0,0
"Iraqi",1,0,0,0,0,0
"Saudi Arabian",0,1,0,0,0,0
"Lebanese Foreign Ministry",0,0,1,0,0,0
"Bahamian",1,0,0,0,0,0
"Krygyz",0,0,0,0,1,0
"Immigrants",0,0,0,1,0,0
"The African",0,0,1,0,0,0
"Western Serbian",0,0,1,0,0,0
"German Marshall Fund",0,1,0,0,0,0
"Moroccans",1,0,0,0,0,0
"Semitic",0,0,0,1,0,0
"Issas",0,1,0,0,0,0
"European",1,0,0,0,0,0
"German Baltic Sea",0,0,1,0,0,0
"N.",0,0,0,1,0,0
"Romanian",1,0,0,0,0,0
"Estonian",0,0,0,0,1,0
"North Caucasus",0,1,0,0,0,0
"Georgian Defense Ministry",0,0,1,0,0,0
"New Yorkers",0,1,0,0,0,0
"Native Americans",0,0,1,0,0,0
"Ukrainian Natalia Dobrynska last Saturday",0,0,1,0,0,0
"Fallujans",0,1,0,0,0,0
"Georgians",1,0,0,0,0,0
"Cubanization",0,0,1,0,0,0
"Russian Mikhail Tyurin",0,0,1,0,0,0
"Tymoshenko",0,1,0,0,0,0
"Dominican",1,0,0,0,0,0
"Ministry",0,1,0,0,0,0
"Thai Burmese",0,0,1,0,0,0
"Troops",0,0,0,1,0,0
"Ukrainians",0,1,0,0,0,0
"Fijians",1,0,0,0,0,0
"Iranian",1,0,0,0,0,0
"Russian Nadia Petrova",0,0,1,0,0,0
"Jhangvi",0,0,0,1,0,0
"Guere",0,1,0,0,0,0
"Americans this week",0,0,1,0,0,0
"Western Christians",0,1,0,0,0,0
"Polish",1,0,0,0,0,0
"Americans",1,0,0,0,0,0
"Pensioners",0,0,0,1,0,0
"Lao",1,0,0,0,0,0
"Turkmen",1,0,0,0,0,0
"Nazis",0,1,0,0,0,0
"Shi'ite Nahrawan",0,1,0,0,0,0
"Banned American",0,0,1,0,0,0
"American Vince Spadea",0,0,1,0,0,0
"Serbs",1,0,0,0,0,0
"Soviet",0,1,0,0,0,0
"Ethnic Ukrainians",0,0,1,0,0,0
"Spanish al Qaida",0,0,1,0,0,0
"Palestinian West Bank",0,0,1,0,0,0
"Moorish",0,0,0,1,0,0
"Nicobari",0,1,0,0,0,0
