Entity,COR,INC,PAR,SPU,MIS,IGN
"British Cabinet",0,0,1,0,0,0
"the Wiesenthal Center",0,0,1,0,0,0
"Pakistan People 's Party PPP",0,0,1,0,0,0
"Briston Myers '",0,0,0,1,0,0
"Delp",0,1,0,0,0,0
"the Ministry of State of National Security",0,0,1,0,0,0
"Louisiana Governor",0,0,0,0,1,0
"House of Lords Monday",0,0,1,0,0,0
"Peace Corps",1,0,0,0,0,0
"Cowell",0,1,0,0,0,0
"Radio Simba",0,0,0,0,1,0
"Venezuela 's Supreme Court",0,0,0,0,1,0
"Ekmeleddin Ihsanoglu",0,0,0,0,1,0
"the California National Guard",0,0,1,0,0,0
"A U. S. Energy Department",0,0,1,0,0,0
"the National Rainbow Coalition NARC",0,0,1,0,0,0
"Soros",0,1,0,0,0,0
"the United Nations Human Rights Council",0,0,1,0,0,0
"the Cabinet Tuesday",0,0,1,0,0,0
"S. Olympic Committee",0,0,1,0,0,0
"PA",1,0,0,0,0,0
"an Arab League",0,0,1,0,0,0
"Amnesty International 's",0,0,1,0,0,0
"the World Trade Organization . GOODY PRODUCTS Inc.",0,0,1,0,0,0
"Memin Pinguin",0,0,0,0,1,0
"Revolutionary Guard",1,0,0,0,0,0
"Executive Force",1,0,0,0,0,0
"Kadima party",0,0,0,1,0,0
"Rally of the Togolese People RPT",0,0,1,0,0,0
"Toyota Supra",1,0,0,0,0,0
"Khair Mohammad Shuja",0,0,0,0,1,0
"NPA",1,0,0,0,0,0
"Mexico and Canada",0,0,0,0,1,0
"the Florida Department of Health",0,0,1,0,0,0
"Metro TV",1,0,0,0,0,0
"Anheuser Busch",0,0,0,1,0,0
"the Federal Reserve",0,0,1,0,0,0
"Al Arabiya",0,0,0,1,0,0
"U. S. Treasury Department",0,0,1,0,0,0
"NATO Russia Council",0,0,1,0,0,0
"ILO",1,0,0,0,0,0
"Machinists",1,0,0,0,0,0
"the High Court",0,0,1,0,0,0
"The U. S. military",0,0,1,0,0,0
"U. S. N. Security Council",0,0,1,0,0,0
"General Motors Tuesday",0,0,1,0,0,0
"International Affairs Committee",0,0,1,0,0,0
"The Star Magazine",0,0,1,0,0,0
"VOA West Africa",0,0,1,0,0,0
"Serbia 's Kosovo",0,0,0,0,1,0
"Labor 's",0,0,1,0,0,0
"Crum Forster",0,0,0,1,0,0
"Toyota . In China",0,0,1,0,0,0
"the Association of Southeast Asian Nations ASEAN",0,0,1,0,0,0
"Kadima",0,1,0,0,0,0
"Abu Sayyaf",1,0,0,0,0,0
"the Fish and Wildlife Service",0,0,1,0,0,0
"the U. N. International Atomic Energy Agency",0,0,1,0,0,0
"KING",1,0,0,0,0,0
"Model Tax Convention",0,0,0,0,1,0
"Air Force T",0,0,1,0,0,0
"the Securities and Exchange Commission",0,0,1,0,0,0
"Shlomo Mor-Yosef",0,0,0,0,1,0
"Delta Airlines",1,0,0,0,0,0
"Mahendra Dhoni",0,0,0,0,1,0
"The Namibian Security Council",0,0,1,0,0,0
"The Vatican Friday",0,0,1,0,0,0
"Ford",1,0,0,0,0,0
"FALSE.",0,0,0,1,0,0
"the Central African Republic CAR",0,0,1,0,0,0
"SPENDTHRIFT",0,0,1,0,0,0
"Whitney 's 2008 Biennial",0,0,1,0,0,0
"WNBA",1,0,0,0,0,0
"WWF",1,0,0,0,0,0
"The Federal Security Service",0,0,1,0,0,0
"United Nations World Food Program",1,0,0,0,0,0
"the U. S. Government Accountability",0,0,1,0,0,0
"The al Qaida",0,0,1,0,0,0
"Saudi Interior Ministry",0,0,0,0,1,0
"Defense Ministry",1,0,0,0,0,0
"Bank Hapoalim",1,0,0,0,0,0
"The Lower House",0,0,1,0,0,0
"Ghazala Gardens",0,0,0,0,1,0
"House Democratic",0,0,1,0,0,0
"Interim",0,0,1,0,0,0
"New Delhi ,",0,0,0,0,1,0
"Adam",0,1,0,0,0,0
"Radio France",0,0,0,0,1,0
"Mahee",0,0,0,0,1,0
"New Force",1,0,0,0,0,0
"Olmert 's centrist Kadima",0,0,0,0,1,0
"EC",1,0,0,0,0,0
"Italian Olympic",0,0,1,0,0,0
"the Fatah Hawks",0,0,1,0,0,0
"Folha de Sao Paolo",1,0,0,0,0,0
"the United Nations Environmental Program",0,0,1,0,0,0
"the International Security Assistance Force",0,0,1,0,0,0
"British Broadcasting Corporation ,",0,0,0,0,1,0
"the U. S. Gunmen",0,0,0,1,0,0
"the Novin Energy company",0,0,1,0,0,0
"Shan State Army",1,0,0,0,0,0
"Typhoon Talim",0,0,0,0,1,0
"The European Parliament",0,0,1,0,0,0
"Zanu PF",0,0,0,1,0,0
"Guys and Dolls",0,0,0,0,1,0
"Tata Motors",1,0,0,0,0,0
"Airlines",0,0,1,0,0,0
"U. N. The U. N.",0,0,1,0,0,0
"Korean Central News Agency",0,0,1,0,0,0
"The Institution 's Board of Regents",0,0,1,0,0,0
"Rally of Turkey",0,0,0,0,1,0
