Entity,COR,INC,PAR,SPU,MIS,IGN
"National Wildlife Refuge",0,1,0,0,0,0
"the Baja Peninsula",0,0,0,0,0,1
"Guantanamo Bay",0,1,0,0,0,0
"Golo district",0,0,0,0,0,1
"the Amur River",0,1,0,0,0,0
"Artibonite",0,1,0,0,0,0
"Kurram",0,1,0,0,0,0
"Aegean",0,1,0,0,0,0
"Northern Sea Route Norway",0,0,0,0,0,1
"Atlantic",0,1,0,0,0,0
"Middle Belt",0,1,0,0,0,0
"Persian Gulf",0,1,0,0,0,0
"Spin Boldak",0,1,0,0,0,0
"Qeshm island",0,0,0,0,0,1
"The Phoenix Islands Protected Area",0,0,0,0,0,1
"Bay of Pigs",0,1,0,0,0,0
"the Islamic Maghreb",0,1,0,0,0,0
"Yadana",0,1,0,0,0,0
"the Sea of Azov",0,0,0,0,0,1
"Pluto",0,1,0,0,0,0
"East Asia '",0,0,0,0,0,1
"Swat Valley",0,1,0,0,0,0
"Mekong",0,1,0,0,0,0
"Hebrides",0,0,0,0,0,1
"Shebaa Farms",0,1,0,0,0,0
"Asia Oceania",0,0,0,0,0,1
"Central Asia",0,1,0,0,0,0
"Kani Wam",0,1,0,0,0,0
"Parchin",0,1,0,0,0,0
"the Western Sovereign Base Area",0,0,0,0,0,1
"the South Pacific",0,0,0,0,0,1
"Borena",0,1,0,0,0,0
"The UBT Ocean",0,0,0,0,0,1
"Far East Khabarovsk",0,1,0,0,0,0
"Pyrenees",0,1,0,0,0,0
"Prithvi",0,0,0,0,0,1
"Convergence",0,1,0,0,0,0
"the Western U",0,0,0,0,0,1
"Caspian Sea",0,1,0,0,0,0
"Shi'ite",0,1,0,0,0,0
"Gold Coast",0,1,0,0,0,0
"Arctic",0,1,0,0,0,0
"Western Hemispheres",0,0,0,0,0,1
"Shah Wali Kot",0,1,0,0,0,0
"the Himalayan region",0,0,0,0,0,1
"Alasay Valley",0,1,0,0,0,0
"Polynesia",0,0,0,0,0,1
"a National Wildlife Refuge",0,0,0,0,0,1
"the African Sahara",0,0,0,0,0,1
"Khakrez",0,0,0,0,0,1
"The Nicobar Islands",0,0,0,0,0,1
"Middle East",0,1,0,0,0,0
"the Coral Sea Islands",0,0,0,0,0,1
"Catanduanes",0,0,0,0,0,1
"a Middle East",0,0,0,0,0,1
"North Caucasus",0,1,0,0,0,0
"Chaco",0,1,0,0,0,0
"the Akrotiri Sovereign Base Area",0,0,0,0,0,1
"Channel Island",0,1,0,0,0,0
"Grand Cayman Island",0,1,0,0,0,0
"Holy Land",0,1,0,0,0,0
"the Ganges River",0,0,0,0,0,1
"Sohrab Goth",0,1,0,0,0,0
"the Yucatan Peninsula",0,0,0,0,0,1
"Pacific Ocean",0,1,0,0,0,0
"Kuril Islands",0,1,0,0,0,0
"Garmser",0,1,0,0,0,0
"Campbell Bay",0,0,0,0,0,1
"Borneo",0,0,0,0,0,1
"The Spratly Islands",0,0,0,0,0,1
"San Andres",0,1,0,0,0,0
"Shi'ite Nahrawan",0,1,0,0,0,0
"Tokage",0,1,0,0,0,0
"s Central Highlands",0,0,0,0,0,1
"The Gilbert Islands",0,0,0,0,0,1
"Kabardino Balkaria",0,0,0,0,0,1
"the Gulf of Guinea",0,1,0,0,0,0
"Dagestan",0,1,0,0,0,0
"Golan Heights",0,1,0,0,0,0
"Sahel",0,1,0,0,0,0
