Entity,COR,INC,PAR,SPU,MIS,IGN
"British Cabinet",0,0,1,0,0,0
"the Wiesenthal Center",0,0,1,0,0,0
"Briston Myers '",0,0,0,1,0,0
"Novin Energy",1,0,0,0,0,0
"the Ministry of State of National Security",0,0,1,0,0,0
"Louisiana Governor",0,0,0,0,1,0
"Peace Corps",1,0,0,0,0,0
"Cowell",0,1,0,0,0,0
"Radio Simba",0,0,0,0,1,0
"Kyoto Protocol",1,0,0,0,0,0
"Abbott",1,0,0,0,0,0
"the California National Guard",0,0,1,0,0,0
"Defense Intelligence Agency",0,0,1,0,0,0
"the National Rainbow Coalition NARC",0,0,1,0,0,0
"the Voice of America '",0,0,1,0,0,0
"the United Nations Human Rights Council",0,0,1,0,0,0
"Benigno Aquino",0,0,0,0,1,0
"S. Olympic Committee",0,0,1,0,0,0
"PA",1,0,0,0,0,0
"Caucasus and Central Asia",0,0,0,0,1,0
"another State Official",0,0,1,0,0,0
"Memin Pinguin",0,0,0,0,1,0
"Revolutionary Guard",1,0,0,0,0,0
"Executive Force",1,0,0,0,0,0
"Black Hawk",0,0,0,1,0,0
"Khair Mohammad Shuja",0,0,0,0,1,0
"NPA",1,0,0,0,0,0
"Mexico and Canada",0,0,0,0,1,0
"the Florida Department of Health",0,0,1,0,0,0
"Metro TV",1,0,0,0,0,0
"Anheuser Busch",0,0,0,1,0,0
"the Federal Reserve",0,0,1,0,0,0
"Al Arabiya",0,0,0,1,0,0
"ILO",1,0,0,0,0,0
"NATO Russia Council",0,0,1,0,0,0
"Armies",0,0,0,1,0,0
"the High Court",0,0,1,0,0,0
"Al Jazeera television",0,0,1,0,0,0
"International Affairs Committee",0,0,1,0,0,0
"The Star Magazine",0,0,1,0,0,0
"Serbia 's Kosovo",0,0,0,0,1,0
"Newseum",0,1,0,0,0,0
"the RSF Reporters Sans Frontieres",0,0,1,0,0,0
"VOA Persian Service '",0,0,1,0,0,0
"Crum Forster",0,0,0,1,0,0
"the Association of Southeast Asian Nations ASEAN",0,0,1,0,0,0
"Kadima",0,1,0,0,0,0
"Abu Sayyaf",1,0,0,0,0,0
"the Fish and Wildlife Service",0,0,1,0,0,0
"KING",1,0,0,0,0,0
"s Office",0,0,1,0,0,0
"Shlomo Mor-Yosef",0,0,0,0,1,0
"the Securities and Exchange Commission",0,0,1,0,0,0
"Delta Airlines",1,0,0,0,0,0
"The Namibian Security Council",0,0,1,0,0,0
"Ford",1,0,0,0,0,0
"WNBA",1,0,0,0,0,0
"WWF",1,0,0,0,0,0
"The Federal Security Service",0,0,1,0,0,0
"United Nations World Food Program",1,0,0,0,0,0
"Doctors without Borders",0,0,0,1,0,0
"The al Qaida",0,0,1,0,0,0
"Defense Ministry",1,0,0,0,0,0
"Bank Hapoalim",1,0,0,0,0,0
"s Commission on Growth and Development",0,0,1,0,0,0
"Nader Abu Shaban",0,0,0,0,1,0
"Interim",0,0,1,0,0,0
"Mahee",0,0,0,0,1,0
"McDonald ' s",0,0,1,0,0,0
"New Force",1,0,0,0,0,0
"Olmert 's centrist Kadima",0,0,0,0,1,0
"Western Hemisphere Affairs",0,0,1,0,0,0
"Sara Properties",0,0,1,0,0,0
"EC",1,0,0,0,0,0
"the Fatah Hawks",0,0,1,0,0,0
"Folha de Sao Paolo",1,0,0,0,0,0
"the United Nations Environmental Program",0,0,1,0,0,0
"the International Security Assistance Force",0,0,1,0,0,0
"New Yorker",0,1,0,0,0,0
"the People ' s Revolutionary Army",0,0,1,0,0,0
"Shan State Army",1,0,0,0,0,0
"Typhoon Talim",0,0,0,0,1,0
"The European Parliament",0,0,1,0,0,0
"Zanu PF",0,0,0,1,0,0
"Embraer",0,0,0,1,0,0
"Tata Motors",1,0,0,0,0,0
"the International Football Federation '",0,0,1,0,0,0
"NATO Airborne Early Warning and Control",0,0,1,0,0,0
"Korean Central News Agency",0,0,1,0,0,0
"Rally of Turkey",0,0,0,0,1,0
"NCRI",0,0,0,1,0,0
"Subaru",0,1,0,0,0,0
"Champions League",1,0,0,0,0,0
"N. World Health Organization",0,0,1,0,0,0
"Dawei University",1,0,0,0,0,0
"The Voice of Shariat",0,0,1,0,0,0
"the Palestinian Interior Ministry",0,0,1,0,0,0
"LCI",1,0,0,0,0,0
"Great Lakes",0,0,0,0,1,0
"Court of First Instance",0,0,1,0,0,0
"The Associated Press quotes",0,0,0,0,1,0
"Standard and Poor ' s",0,0,1,0,0,0
"Creole service",0,0,0,0,1,0
"Philippine army",0,0,0,0,1,0
"IRIN",0,0,0,1,0,0
"the Turkish Federation",0,0,1,0,0,0
"Israel Radio",0,1,0,0,0,0
"presidency",0,0,0,0,1,0
"KTM Motorcycle",1,0,0,0,0,0
"U. N. N.",0,0,0,1,0,0
"Greenpeace",1,0,0,0,0,0
"Kroung Pich",0,0,0,0,1,0
"the "" al Qaida Organization of Holy War in Iraq",0,0,1,0,0,0
