Entity,COR,INC,PAR,SPU,MIS,IGN
"BPA",0,0,0,0,1,0
"al-Jazeera",0,0,0,0,1,0
"British pound",0,0,0,0,1,0
"Qur'an",0,0,0,0,1,0
"NAACP Image Award",0,0,0,0,1,0
"Sonntags-Blick",0,0,0,0,1,0
"Deir al Balah",0,0,0,0,1,0
"Vietnamese",1,0,0,0,0,0
"Buddhism",0,0,0,0,1,0
"Topol-M",0,0,0,0,1,0
"French",1,0,0,0,0,0
"Hitch",0,0,0,0,1,0
"Amharic",0,0,0,1,0,0
"German",0,1,0,0,0,0
"Hadassah",0,0,0,0,1,0
"@dalailama",0,0,0,0,1,0
"Haitian Creole",0,0,0,0,1,0
"Bisphenol A",0,0,0,0,1,0
"Arabic",1,0,0,0,0,0
"French 's Mustard",0,0,0,0,1,0
"Urdu",0,1,0,0,0,0
"Sidnaya",0,0,0,0,1,0
"mbalax",0,0,0,0,1,0
"Creole",1,0,0,0,0,0
"Pul-e-Charkhi",0,0,0,0,1,0
"Dulles International Airport",0,0,0,0,1,0
"Culture Minister",0,0,0,0,1,0
"Haqooq-i-Zan",0,0,0,0,1,0
"Group-B",0,0,0,0,1,0
"Farsi language",0,0,0,1,0,0
"hip-hop",0,0,0,0,1,0
"Shaheen II",0,0,0,0,1,0
"iTunes",0,0,0,0,1,0
"Blueberry Hill",0,0,0,0,1,0
"Palme d'Or",0,0,0,0,1,0
"Secrets & Lies",0,0,0,0,1,0
"Azeri",1,0,0,0,0,0
"France 3",0,0,0,0,1,0
"NRC Handelsblad",0,0,0,0,1,0
"Iron Lady",0,0,0,0,1,0
"Farsi",0,1,0,0,0,0
"Chinese",1,0,0,0,0,0
"Arc de Triomphe",0,0,0,0,1,0
"Linas-Marcoussis Peace Accord",0,0,0,0,1,0
"english",0,0,0,0,1,0
"Kommersant",0,0,0,0,1,0
"Semana",0,0,0,0,1,0
"San Petronio",0,0,0,0,1,0
"Dodge",0,0,0,0,1,0
"English",1,0,0,0,0,0
"Pork Store",0,0,0,0,1,0
"The English Roses",0,0,0,0,1,0
"Arabic language",0,0,1,0,0,0
"Nuclear Non-Proliferation",0,0,0,0,1,0
"Stade Général Seyni Kountché",0,0,0,0,1,0
"Space Station Saturday",0,0,0,0,1,0
"Ukrainian",0,1,0,0,0,0
"Portuguese",1,0,0,0,0,0
"Red Notice",0,0,0,0,1,0
"Acholi",0,0,0,1,0,0
"Hindi",0,0,0,1,0,0
"AGOA",0,0,0,0,1,0
"Jeep",0,0,0,0,1,0
"Saltillo",0,0,0,0,1,0
"Russian",1,0,0,0,0,0
"Frankenstadion",0,0,0,0,1,0
"bisphenol A",0,0,0,0,1,0
"McCloud",0,0,0,0,1,0
"settlement",0,0,0,0,1,0
"Nobel-Prize",0,0,0,0,1,0
"Web",0,0,0,0,1,0
"CAFTA-DR",0,0,0,0,1,0
"Forbes Magazine",0,0,0,0,1,0
"Korean",1,0,0,0,0,0
"Spanish",1,0,0,0,0,0
"Dow Jones Industrial Average",0,0,0,0,1,0
"Ai n't That a Shame",0,0,0,0,1,0
"Maariv",0,0,0,0,1,0
"beatboxing",0,0,0,0,1,0
"Christopher Hotel",0,0,0,0,1,0
*TOTAL*,11,4,1,4,480,0
