Entity,COR,INC,PAR,SPU,MIS,IGN
"BPA",0,0,0,0,1,0
"Endeavor",1,0,0,0,0,0
"PSLAV",0,1,0,0,0,0
"Biscaglia",0,1,0,0,0,0
"MS 13",0,0,0,1,0,0
"Dreamliner",0,0,1,0,0,0
"Shadow",0,0,0,1,0,0
"F 5",0,0,0,1,0,0
"al-Jazeera",0,0,0,0,1,0
"Antonovs",0,0,1,0,0,0
"iPad",0,0,0,1,0,0
"737 800",0,0,0,1,0,0
"Ariane",1,0,0,0,0,0
"Citroen",0,1,0,0,0,0
"Odyssey",0,0,0,1,0,0
"Dog",0,1,0,0,0,0
"Traveler",0,0,0,1,0,0
"CRAB",0,1,0,0,0,0
"Lithium",0,0,0,1,0,0
"The CH 47",0,0,0,1,0,0
"A Whale",0,0,0,1,0,0
"Blue Star",0,1,0,0,0,0
"Destiny",1,0,0,0,0,0
"British pound",0,0,0,0,1,0
"Piano",0,0,0,1,0,0
"Torgelow",1,0,0,0,0,0
"the Deep Sea Tsunami Detection Equipment 2",0,0,1,0,0,0
"Challengerspace",0,1,0,0,0,0
"Air France Flight 447",0,0,0,1,0,0
"Qur'an",0,0,0,0,1,0
"Xsara",0,0,0,1,0,0
"NAACP Image Award",0,0,0,0,1,0
"Pramoni",0,1,0,0,0,0
"Endeavour",1,0,0,0,0,0
"Amur",0,1,0,0,0,0
"Su 24",0,0,0,1,0,0
"Sonntags-Blick",0,0,0,0,1,0
"Air Force One",0,0,0,1,0,0
"787 Dreamliner",0,0,0,1,0,0
"Deir al Balah",0,0,0,0,1,0
"Endeavourhas",0,1,0,0,0,0
"ASS",0,0,0,1,0,0
"Dextre",1,0,0,0,0,0
"Real D 3D",0,0,0,1,0,0
"The S 300",0,0,1,0,0,0
"Helios",0,0,1,0,0,0
"F15",0,0,0,1,0,0
"Kwajalein Atoll",0,0,0,1,0,0
"Tamiflu",1,0,0,0,0,0
"Buddhism",0,0,0,0,1,0
"Topol-M",0,0,0,0,1,0
"Axum",1,0,0,0,0,0
"Eagle",0,1,0,0,0,0
"Chandrayaan 1",0,0,0,1,0,0
"Columbiadisintegred",0,0,0,1,0,0
"Dolphin",0,0,0,1,0,0
"Soyuz",0,1,0,0,0,0
"New Horizons",0,1,0,0,0,0
"the Shinsei Maru No. 3",0,0,1,0,0,0
"Hitch",0,0,0,0,1,0
"Camel",0,1,0,0,0,0
"Scud",0,0,0,1,0,0
"AC 130",0,0,0,1,0,0
"DOLPHINS",0,0,0,1,0,0
"E2 K",0,0,0,1,0,0
"AK 47s",0,0,0,1,0,0
"Akash",1,0,0,0,0,0
"the Shuttle Columbia",0,0,0,1,0,0
"P 50",0,0,0,1,0,0
"Shenzhou Five",0,0,0,1,0,0
"Flight 655",0,0,0,1,0,0
"C 130",0,0,0,1,0,0
"TOR M1",0,0,0,1,0,0
"CARTOSAT",0,0,0,1,0,0
"Tornado",0,1,0,0,0,0
"V 6",0,0,0,1,0,0
"Discovery",0,1,0,0,0,0
"Endeavouris",0,1,0,0,0,0
"Hadassah",0,0,0,0,1,0
"@dalailama",0,0,0,0,1,0
"Sustiva",0,1,0,0,0,0
"Housedog",0,0,0,1,0,0
"Mi 8",0,0,0,1,0,0
"Absalon",0,1,0,0,0,0
"Haitian Creole",0,0,0,0,1,0
"Wrestler",0,0,0,1,0,0
"The MV Semlow",0,0,1,0,0,0
"Baleno",0,0,0,1,0,0
"Lightning Joint Strike Fighter",0,0,0,1,0,0
"Bisphenol A",0,0,0,0,1,0
"737s",0,0,0,1,0,0
"French 's Mustard",0,0,0,0,1,0
"Sidnaya",0,0,0,0,1,0
"the USS Ashland",0,0,0,1,0,0
"CRJ 200",0,0,0,1,0,0
"Huygens",1,0,0,0,0,0
"F 35",0,0,0,1,0,0
"Aero Commander",0,1,0,0,0,0
"mbalax",0,0,0,0,1,0
"ExoMars",0,0,0,1,0,0
"Horse",0,0,0,1,0,0
"AWACS",0,0,0,1,0,0
"Agent Orange",0,1,0,0,0,0
"Phoenix Mars probe",0,0,1,0,0,0
"747 8",0,0,0,1,0,0
"F 16s",0,0,0,1,0,0
"the Shenzhou Five",0,0,0,1,0,0
"Dulles International Airport",0,0,0,0,1,0
"Pul-e-Charkhi",0,0,0,0,1,0
"Patriot",0,1,0,0,0,0
"Culture Minister",0,0,0,0,1,0
"The Soprano",0,0,1,0,0,0
"Haqooq-i-Zan",0,0,0,0,1,0
"Ox",0,1,0,0,0,0
"Challenger",0,1,0,0,0,0
"Group-B",0,0,0,0,1,0
"EAGLE",0,1,0,0,0,0
"Topol M",0,0,1,0,0,0
"hip-hop",0,0,0,0,1,0
"Long March",0,0,1,0,0,0
"the Mars Lander Phoenix",0,0,1,0,0,0
"Traveller",0,0,0,1,0,0
"Shaheen II",0,0,0,0,1,0
"F 16",0,0,0,1,0,0
"Topol",1,0,0,0,0,0
"Keck One",0,0,0,1,0,0
"636",0,0,0,1,0,0
"iTunes",0,0,0,0,1,0
"Peugeot",0,1,0,0,0,0
"Blueberry Hill",0,0,0,0,1,0
"Palme d'Or",0,0,0,0,1,0
"The P 3 Orion",0,0,1,0,0,0
"Herceptin",1,0,0,0,0,0
"Flight 93",0,0,0,1,0,0
"Dhanush",0,1,0,0,0,0
"Colt Cobra",0,1,0,0,0,0
"Windows",0,1,0,0,0,0
"787s",0,0,1,0,0,0
"Secrets & Lies",0,0,0,0,1,0
"Kibo",0,1,0,0,0,0
"France 3",0,0,0,0,1,0
"The Hubble Space Telescope",0,0,1,0,0,0
"an AK 47",0,0,0,1,0,0
"NRC Handelsblad",0,0,0,0,1,0
"Tortoise",0,0,0,1,0,0
"Taepodong 2",0,0,1,0,0,0
"Explorer",0,0,0,1,0,0
"Iron Lady",0,0,0,0,1,0
"the USS Winston S. Churchill",0,0,1,0,0,0
"F 4 Phantom",0,0,0,1,0,0
"the MV Rim",0,0,0,1,0,0
"Apache",0,0,0,1,0,0
"Arc de Triomphe",0,0,0,0,1,0
"the Navy P 3 Orion",0,0,1,0,0,0
"CH 47",0,0,0,1,0,0
"Walleye",0,1,0,0,0,0
"Air Force T",0,0,0,1,0,0
"the TF 121",0,0,0,1,0,0
"Beechcraft",0,0,0,1,0,0
"Prithvi II",0,0,0,1,0,0
"Linas-Marcoussis Peace Accord",0,0,0,0,1,0
"Interlagos",0,1,0,0,0,0
"Ice Cube '",0,0,0,1,0,0
"english",0,0,0,0,1,0
"Viper",0,1,0,0,0,0
"Subhadra",0,1,0,0,0,0
"Shahab 3",0,0,0,1,0,0
"Kommersant",0,0,0,0,1,0
"Nano",0,0,0,1,0,0
"the Hubble Space Telescope",0,0,1,0,0,0
"Miltzow",1,0,0,0,0,0
"Semana",0,0,0,0,1,0
"Kaletra",0,1,0,0,0,0
"San Petronio",0,0,0,0,1,0
"Trident Eight """,0,1,0,0,0,0
"Epsilon",0,1,0,0,0,0
"Gardasil",0,1,0,0,0,0
"A380s",1,0,0,0,0,0
"Dodge",0,0,0,0,1,0
"Titan",0,1,0,0,0,0
"Pork Store",0,0,0,0,1,0
