Entity,COR,INC,PAR,SPU,MIS,IGN
"World War One",1,0,0,0,0,0
"Ai n't That Dandy",1,0,0,0,0,0
"Ernesto",0,1,0,0,0,0
"The Passion of the Christ",0,0,1,0,0,0
"CAC 40",0,0,0,1,0,0
"Boeing Dreamliner",1,0,0,0,0,0
"Nikkei 225",0,0,0,1,0,0
"EPO",0,1,0,0,0,0
"International Human Rights Day",1,0,0,0,0,0
"Macedonian American",0,0,1,0,0,0
"Iskander",0,0,1,0,0,0
"Scandinavian",0,0,0,1,0,0
"Comprehensive Peace in Sudan Act",0,0,1,0,0,0
"Croatians",1,0,0,0,0,0
"Decree 101",0,0,0,1,0,0
"Raccoon",0,0,1,0,0,0
"Christmas Day",0,1,0,0,0,0
"Su-24",0,0,0,0,1,0
"Latvian",1,0,0,0,0,0
"Bangladeshi",1,0,0,0,0,0
"Finnish",1,0,0,0,0,0
"S. Olympic Committee",0,0,1,0,0,0
"Papal",0,1,0,0,0,0
"Catholic",0,1,0,0,0,0
"PIGEON",0,0,1,0,0,0
"Quagga Zebra",0,1,0,0,0,0
"Transformers",0,0,0,1,0,0
"Honduran",1,0,0,0,0,0
"Operation Lightning",0,0,1,0,0,0
"My Night at Maud",0,0,0,1,0,0
"Baathist",0,1,0,0,0,0
"Nepalese",1,0,0,0,0,0
"Tropical Storm Katrina",0,0,1,0,0,0
"Marine",0,1,0,0,0,0
"Saudi Arabian",0,1,0,0,0,0
"Bahamian",1,0,0,0,0,0
"Hajj",0,0,0,1,0,0
"Ronaldinho",0,1,0,0,0,0
"Goodwill",0,0,0,1,0,0
"European",1,0,0,0,0,0
"Lightning Joint Strike Fighter",0,0,0,1,0,0
"Native Americans",0,0,1,0,0,0
"FORTIS Championships",1,0,0,0,0,0
"Fallujans",0,1,0,0,0,0
"London Olympics",0,0,0,0,1,0
"S. Independence Day",0,0,1,0,0,0
"Mientes",1,0,0,0,0,0
"British Olympics",0,0,1,0,0,0
"Ukrainians",0,1,0,0,0,0
"Guere",0,1,0,0,0,0
"S. Chinook",0,0,1,0,0,0
"Nobel Prize in Chemistry",0,0,1,0,0,0
"Forum for the Future",0,0,0,1,0,0
"Marburg",0,0,0,0,1,0
"Americans",1,0,0,0,0,0
"Dulles International Airport",0,0,0,0,1,0
"Lao",1,0,0,0,0,0
"Maastricht Treaty",0,1,0,0,0,0
"Turkmen",1,0,0,0,0,0
"Moorish",0,0,0,1,0,0
"Monkeys",0,0,1,0,0,0
"Iraqi Syrian",0,0,1,0,0,0
"Viceroyalty of",0,0,0,1,0,0
"Operation Enduring Freedom",0,0,1,0,0,0
"A Celebration of Freedom",0,0,1,0,0,0
"Colt Cobra",0,1,0,0,0,0
"Nationalist",0,0,1,0,0,0
"Kibo",0,1,0,0,0,0
"Kite",0,0,1,0,0,0
"Treaty of Paris",0,0,0,1,0,0
"Thais",1,0,0,0,0,0
"Falun Gong",0,1,0,0,0,0
"Moor Arab Berber",0,0,1,0,0,0
"Hatf Six",0,1,0,0,0,0
"Human Papillovirus",0,0,0,1,0,0
"Medicare",0,1,0,0,0,0
"Typhoon Sepat",0,1,0,0,0,0
"Hindus",0,1,0,0,0,0
"Mozambican",0,1,0,0,0,0
"St. Andrews Agreement",0,1,0,0,0,0
"World Forum",0,0,0,1,0,0
"leukemia",0,0,0,0,1,0
"Brazilians",1,0,0,0,0,0
"Russian Baltic",0,0,1,0,0,0
"Index of Leading Indicators",0,0,1,0,0,0
"Artemisia",0,1,0,0,0,0
"N. Afghan",0,0,1,0,0,0
"U. S. Open",0,0,0,1,0,0
"American Idol",0,1,0,0,0,0
"F 4",0,0,0,1,0,0
"Millenium Challenge Account",0,1,0,0,0,0
"Pentastar V 6",0,0,0,1,0,0
"My Life",0,0,0,1,0,0
"Burundian",1,0,0,0,0,0
"Bavarian",0,0,0,1,0,0
"Thanksgiving Day",0,1,0,0,0,0
"Framework Agreement",0,1,0,0,0,0
"Afghanis",0,0,1,0,0,0
"Gross Fuge",1,0,0,0,0,0
"Christian",0,1,0,0,0,0
"Make Roads Safe",0,1,0,0,0,0
"Peace Prize",0,1,0,0,0,0
"Black September",0,0,0,1,0,0
"Tu 160",0,0,0,1,0,0
"Parasol",0,1,0,0,0,0
"Russians",1,0,0,0,0,0
"Shi'ite Arabs",0,0,1,0,0,0
"Russian",1,0,0,0,0,0
"Islam",1,0,0,0,0,0
"H5N2",1,0,0,0,0,0
"Sikh",0,1,0,0,0,0
"Save The Music",0,1,0,0,0,0
"Ugandans",1,0,0,0,0,0
"Republic Day",0,0,1,0,0,0
"GDP",0,0,0,0,1,0
"Ivorian",1,0,0,0,0,0
"Imperial",0,0,1,0,0,0
"Armistice Day",1,0,0,0,0,0
"Tropical Storm Alpha",0,0,0,1,0,0
"International Conference on Alzheimer",0,0,1,0,0,0
"Group of Eight",0,1,0,0,0,0
"Scenes from a Marriage",0,0,0,1,0,0
"West Indian",0,0,1,0,0,0
"System of Preferences",0,0,0,1,0,0
"Semlow",1,0,0,0,0,0
"Christopher Hotel",0,0,0,0,1,0
"S. Liberian",0,0,1,0,0,0
"Italian Olympic",0,0,1,0,0,0
"Antarctic",1,0,0,0,0,0
"Treaty of Kanagawa",0,1,0,0,0,0
"Krygyz",1,0,0,0,0,0
"Plan C",0,0,1,0,0,0
"Puerto Ricans",0,0,1,0,0,0
"Peace Mission 2005",0,0,1,0,0,0
"Marines",0,1,0,0,0,0
"Cannes Film Festival",0,1,0,0,0,0
"Streptococcus suis",0,0,0,0,1,0
"2003 World Series",0,0,1,0,0,0
"Cosmonauts Day",0,1,0,0,0,0
"Polynesian Maori",0,0,0,1,0,0
"Croats",1,0,0,0,0,0
"Japanese",1,0,0,0,0,0
"Social Democrats",0,1,0,0,0,0
"Keeping the Promise",0,0,0,1,0,0
"Topol-M",0,0,0,0,1,0
"Zetas",0,1,0,0,0,0
"Women ' s Day",0,0,1,0,0,0
"Swedes",1,0,0,0,0,0
"AK",0,0,1,0,0,0
"Dolphin",0,0,0,1,0,0
"Saudi",0,1,0,0,0,0
"BC",0,1,0,0,0,0
"Irishman",0,0,1,0,0,0
"Harmony",0,0,1,0,0,0
"Scud",0,0,0,1,0,0
"Montagnards",0,0,1,0,0,0
"Stan",0,1,0,0,0,0
"Tuareg",0,1,0,0,0,0
"World Press Freedom Day",0,0,0,1,0,0
"Stalinist",0,0,0,1,0,0
"Pashtuns",0,0,0,1,0,0
"Ibero American Summit",0,0,1,0,0,0
"Millennium Challenge Account",0,1,0,0,0,0
"Tropical Storm Ophelia",0,1,0,0,0,0
"Andean",0,0,0,1,0,0
"Bolivian",1,0,0,0,0,0
"Bisphenol A",0,0,0,0,1,0
"Kazakh",1,0,0,0,0,0
"mbalax",0,0,0,0,1,0
"Danish Muslims",0,0,1,0,0,0
"Kashmiri",1,0,0,0,0,0
"Gibraltarians",0,1,0,0,0,0
"Norwegian Olympic",0,0,1,0,0,0
"hip-hop",0,0,0,0,1,0
"S. Afghan",0,0,1,0,0,0
"Zapatista",0,1,0,0,0,0
"Syrian",1,0,0,0,0,0
"Siberian",0,0,0,1,0,0
"Bosnian",1,0,0,0,0,0
"Entertainer Of The Year",0,0,0,1,0,0
"West African",1,0,0,0,0,0
"The Godfather of Soul",0,0,1,0,0,0
"The Fat Man",0,0,0,1,0,0
"Iron Curtain",0,1,0,0,0,0
"PEPFAR",0,0,0,1,0,0
"Libyan",1,0,0,0,0,0
"Operation Lightning Freedom",1,0,0,0,0,0
"Mongolians",1,0,0,0,0,0
"Typhoon Longwang",1,0,0,0,0,0
"Western Gunsmoke",0,0,1,0,0,0
"Gulf Arab",0,1,0,0,0,0
"Colombian",1,0,0,0,0,0
"Iraqis",1,0,0,0,0,0
"International",0,1,0,0,0,0
"Latin American",1,0,0,0,0,0
"influenza",0,0,0,0,1,0
"Papa 's Got a Brand New Bag",0,0,0,0,1,0
"Malaysians",0,0,1,0,0,0
"Semana",0,0,0,0,1,0
"Jamaican",1,0,0,0,0,0
"Dodge",0,0,0,0,1,0
"Kenyans",1,0,0,0,0,0
"The English Roses",0,0,0,0,1,0
"New Year",1,0,0,0,0,0
"Ferrari F 430",0,0,0,1,0,0
"Olive",0,0,0,1,0,0
"S. Chinooks",0,0,1,0,0,0
"Tropical Storm Fay",0,0,0,1,0,0
"Serie A",0,1,0,0,0,0
"Israeli War",0,0,1,0,0,0
"Mars Lander Phoenix",0,0,0,0,1,0
"FIFA Women ' s World Rankings",0,0,1,0,0,0
"S. American",0,0,1,0,0,0
"flu",0,0,0,0,1,0
"Vertigo",0,0,0,1,0,0
"Arab League",0,1,0,0,0,0
"Alpine",0,1,0,0,0,0
"Arabian",0,0,1,0,0,0
"Yugoslavian",0,0,1,0,0,0
"Space Station Saturday",0,0,0,0,1,0
"Wild Goats",0,0,0,1,0,0
"Live like you Were Dying",0,0,0,1,0,0
"Super G",0,1,0,0,0,0
"Melanesian",1,0,0,0,0,0
"S. Marines",0,0,0,1,0,0
"Typhoon Muifa",0,1,0,0,0,0
"Israeli",1,0,0,0,0,0
"Sino Japanese",0,0,1,0,0,0
"Christmas Mass",0,1,0,0,0,0
"Chechen",1,0,0,0,0,0
"Passover",1,0,0,0,0,0
"Agrarian",0,0,0,1,0,0
"Amerindian",0,0,0,1,0,0
"Slovenian",0,0,1,0,0,0
"Midwestern",0,0,0,1,0,0
"Ambitious Person",0,0,1,0,0,0
"E2",0,0,0,1,0,0
"Good Morning America",1,0,0,0,0,0
"Twilight Tattoo",1,0,0,0,0,0
"French Muslims",0,0,1,0,0,0
"Answering Machine Broadcast System",0,0,0,1,0,0
"Wall of Sound",0,0,0,1,0,0
"The Feminine Mystique",0,1,0,0,0,0
"Temporary Security Zone TSZ",0,0,1,0,0,0
"Bedfordshire",0,0,0,0,1,0
"Deuce Bigalow",0,1,0,0,0,0
"Sex Pistols",0,0,0,1,0,0
"20/20",0,0,0,0,1,0
"American Sikhs",1,0,0,0,0,0
"Boeing 787s",0,0,0,0,1,0
"I Feel Good",0,0,1,0,0,0
"Geneva Conventions",0,1,0,0,0,0
"Algerians",1,0,0,0,0,0
"Bibles",0,0,0,1,0,0
"Winter Olympic Games",0,0,1,0,0,0
"Tropical Storm Bilis",0,1,0,0,0,0
"Dreamliner",0,0,1,0,0,0
"Dayton Peace Agreement",0,0,1,0,0,0
"Islamist",0,1,0,0,0,0
"Palestinian Islamist",0,0,1,0,0,0
"Haitian Economic Lift Act",0,0,1,0,0,0
"Cuban",1,0,0,0,0,0
"Russian Georgian",0,0,1,0,0,0
"Shi'ite Muslim",0,1,0,0,0,0
"Afghan Muslim",0,0,1,0,0,0
"The Great Escape",0,1,0,0,0,0
"Tropical Storm Debby",0,1,0,0,0,0
"Tamiflu",1,0,0,0,0,0
"Indian Republic Day",1,0,0,0,0,0
"African Americans",0,0,1,0,0,0
"Thai Buddhist",0,0,1,0,0,0
"Tropical Storm Epsilon",0,0,1,0,0,0
"Canadian",1,0,0,0,0,0
"Roman Catholics",0,1,0,0,0,0
"Hitch",0,0,0,0,1,0
"New Year ' s Eve",0,0,1,0,0,0
"Georgia Rules",0,1,0,0,0,0
"Semi",0,0,0,1,0,0
"Nigerians",1,0,0,0,0,0
"Communism",0,1,0,0,0,0
"Afghan Communist",0,0,1,0,0,0
"Major League Soccer",0,0,0,1,0,0
"Disturbiaunseated Blades Of Glory",0,0,1,0,0,0
"The Sopranos",0,0,1,0,0,0
"Champions ' League",0,0,1,0,0,0
"Grand Prix",0,1,0,0,0,0
"Holy See",0,1,0,0,0,0
"Kashmiris",1,0,0,0,0,0
"Tiger",0,1,0,0,0,0
"Laotian",0,0,1,0,0,0
"Zambian",1,0,0,0,0,0
"IDPs",0,1,0,0,0,0
"Turin Winter Games",0,0,1,0,0,0
"Sea Breeze",0,0,0,1,0,0
"May Day",1,0,0,0,0,0
"British Grand Prix",0,0,1,0,0,0
"F 16s",0,0,0,1,0,0
"Nigerian",1,0,0,0,0,0
"Zimbabweans",1,0,0,0,0,0
"Protestant",0,1,0,0,0,0
"Best Male Singer",1,0,0,0,0,0
"Group of Eight Summit",0,1,0,0,0,0
"Kazakhstani",0,1,0,0,0,0
"Eid al Adha Muslim",0,0,0,1,0,0
"Super Bowl",0,1,0,0,0,0
"Liberians",1,0,0,0,0,0
"Epiphany the",0,0,0,1,0,0
"Uzbeks",1,0,0,0,0,0
"Chaos",1,0,0,0,0,0
"Easter",1,0,0,0,0,0
"Gazan",0,1,0,0,0,0
"Ecuadorian",1,0,0,0,0,0
"Tropical Storm Tammy",0,1,0,0,0,0
"East Asian",0,1,0,0,0,0
"Taiwan Relations Act",0,1,0,0,0,0
"Western Christian",0,1,0,0,0,0
"GMT",0,0,0,1,0,0
"Iranians",1,0,0,0,0,0
"Yazidi",0,1,0,0,0,0
"WTO Agreement on Textiles and Clothing",0,0,1,0,0,0
"Bachata en Fukuoko",1,0,0,0,0,0
"Nobel Prizes",0,1,0,0,0,0
"Patagonian",0,0,1,0,0,0
"Big Three",0,0,0,1,0,0
"Eid al Fitr",0,0,0,1,0,0
"Football for Hope",0,0,0,1,0,0
"AIDS",1,0,0,0,0,0
"Korans",0,0,0,1,0,0
"Buddhist",0,1,0,0,0,0
"Avian",0,0,1,0,0,0
"Notes On A Scandal",0,0,0,1,0,0
"Somalians",0,1,0,0,0,0
"Soviets",1,0,0,0,0,0
"British Antarctic",0,0,1,0,0,0
"Afro Mauritanians",0,0,1,0,0,0
"Napoleonic Wars",0,1,0,0,0,0
"Resolution 1559",0,0,1,0,0,0
"Dane",0,0,0,0,1,0
"Israeli Hizballah",0,0,1,0,0,0
"Baby 81",0,0,0,1,0,0
"Welsh",1,0,0,0,0,0
"Category Four",0,0,0,1,0,0
"Egyptian",1,0,0,0,0,0
"Persians",1,0,0,0,0,0
"Olympic Flame",0,0,1,0,0,0
"Qing Dynasty",0,0,0,1,0,0
"Chennai Open",0,1,0,0,0,0
"Meet the Press",0,0,0,1,0,0
"Triangle of Death",0,0,0,1,0,0
"Type Two",0,0,1,0,0,0
"Saddam Iraqi",0,0,1,0,0,0
"Lithuanian",1,0,0,0,0,0
"Korean",1,0,0,0,0,0
"Olympic Winter Games",1,0,0,0,0,0
"Green New Deal Plan",0,0,0,1,0,0
"Melanesians",1,0,0,0,0,0
"Dominicans",1,0,0,0,0,0
"Catholicism",0,1,0,0,0,0
"Slovaks",1,0,0,0,0,0
"Chinese Heathens",0,0,1,0,0,0
"Ecuadoreans",0,0,1,0,0,0
"Qatari",0,1,0,0,0,0
"Dreamgirls",0,0,0,1,0,0
"Eastern European",0,1,0,0,0,0
"Sardinian",0,0,0,1,0,0
"State of the Masses",0,0,1,0,0,0
"Male",0,0,1,0,0,0
"Tony Award",0,0,1,0,0,0
"World Summit",0,0,0,1,0,0
"S-300",0,0,0,0,1,0
"Style Icon of the Year",0,0,1,0,0,0
"Open Net Initiative",0,1,0,0,0,0
"Uruguayan",1,0,0,0,0,0
"Iraqi Kurdish",0,0,1,0,0,0
"Basic Law",0,0,0,1,0,0
"Cy Young",0,0,0,0,1,0
"Soyuz",0,1,0,0,0,0
"Mutual Legal Assistance Treaty",0,1,0,0,0,0
"Amharic",0,0,0,1,0,0
"Velvet Revolution",0,0,1,0,0,0
"Thailand Open",1,0,0,0,0,0
"Roman Catholic Church",0,1,0,0,0,0
"Bosnia-Herzegovina",0,0,0,0,1,0
