Entity,COR,INC,PAR,SPU,MIS,IGN
"Anhui",1,0,0,0,0,0
"Nepal",1,0,0,0,0,0
"Auschwitz",1,0,0,0,0,0
"Srebrenica",1,0,0,0,0,0
"Abercrombie",0,1,0,0,0,0
"eastern Iraq",0,0,0,0,1,0
"Fort Wayne",0,0,0,0,1,0
"Kaliningrad",1,0,0,0,0,0
"southern Ethiopia",0,0,0,0,1,0
"Shariat",0,0,1,0,0,0
"Jericho",1,0,0,0,0,0
"Ill.",0,0,0,0,1,0
"Cairo airport",0,0,0,0,1,0
"Sangju",1,0,0,0,0,0
"Yadana",1,0,0,0,0,0
"Sundance",0,0,0,0,1,0
"Taraba",0,0,0,0,1,0
"Sumatra Island",0,0,0,0,1,0
"Botswana",1,0,0,0,0,0
"Petroecuador",0,1,0,0,0,0
"Israel Syria",0,0,1,0,0,0
"Pluto",1,0,0,0,0,0
"Croatians",1,0,0,0,0,0
"Norsemen",0,0,0,1,0,0
"Mekong",1,0,0,0,0,0
"Cavalese",1,0,0,0,0,0
"New York Post",0,1,0,0,0,0
"Gumushane",0,0,0,0,1,0
"Fayoum",1,0,0,0,0,0
"Palestine",1,0,0,0,0,0
"Ninevah",1,0,0,0,0,0
"Kifaya",0,0,0,0,1,0
"Jaroslaw",0,0,0,0,1,0
"Mongols",0,0,0,0,1,0
"Swat Valley",1,0,0,0,0,0
"Latvian",1,0,0,0,0,0
"Bingol",1,0,0,0,0,0
"Beslan",1,0,0,0,0,0
"Jabaliya",0,0,0,0,1,0
"Nova",0,0,1,0,0,0
"Yar'Adua",0,0,0,0,1,0
"Muifa",0,1,0,0,0,0
"Baltimore",1,0,0,0,0,0
"Neuilly",1,0,0,0,0,0
"Long",0,0,1,0,0,0
"Thalia",1,0,0,0,0,0
"Andhra",0,0,1,0,0,0
"IMB",0,0,0,0,1,0
"Parchin",1,0,0,0,0,0
"Cincinnati",1,0,0,0,0,0
"Bangladeshi",1,0,0,0,0,0
"Finnish",1,0,0,0,0,0
"Borena",1,0,0,0,0,0
"Bashar",0,0,1,0,0,0
"OIC Secretary-General Ekmeleddin Ihsanoglu",0,0,0,0,1,0
"Papal",0,1,0,0,0,0
"Ates",0,0,0,0,1,0
"ISNA",0,0,0,0,1,0
"Pitcairn",1,0,0,0,0,0
"southern Kyrgyzstan",0,0,0,0,1,0
"Omaha",1,0,0,0,0,0
"Honduran",1,0,0,0,0,0
"Buhriz",1,0,0,0,0,0
"Ayman al-Zawahiri",0,0,0,0,1,0
"Baathist",0,1,0,0,0,0
"Nepalese",1,0,0,0,0,0
"Ancient Olympia",0,0,0,0,1,0
"Kenedy County",0,0,0,0,1,0
"Mosul",1,0,0,0,0,0
"Return",0,0,0,1,0,0
"Glory",0,0,0,1,0,0
"Bahamian",1,0,0,0,0,0
"Macedonia",1,0,0,0,0,0
"Ethiopia Ishac Diwan",0,0,0,0,1,0
"Mashonaland West",1,0,0,0,0,0
"Kafr",0,0,1,0,0,0
"Los",1,0,0,0,0,0
"Gulfport",0,0,0,0,1,0
"Hajj",0,0,0,1,0,0
"Ein Shams",0,0,0,0,1,0
"Kunduz",1,0,0,0,0,0
"Ottawa",1,0,0,0,0,0
"European",1,0,0,0,0,0
"Middle East",1,0,0,0,0,0
"Jowhar",1,0,0,0,0,0
"Bermel",1,0,0,0,0,0
"Ciudad Juarez",1,0,0,0,0,0
"Sharm",0,0,1,0,0,0
"Central Java",0,0,0,0,1,0
"Miroslav Bralo",0,0,0,0,1,0
"Taipei",1,0,0,0,0,0
"Garmser",1,0,0,0,0,0
"Garissa",0,0,0,0,1,0
"Americans",1,0,0,0,0,0
"Montserrat",0,0,0,0,1,0
"Turkmen",1,0,0,0,0,0
"Canada",1,0,0,0,0,0
"Tolo",0,0,0,1,0,0
"Azov",0,0,0,1,0,0
"Kolkata",1,0,0,0,0,0
"Iraqi Syrian",0,0,1,0,0,0
"Morag",0,0,0,0,1,0
"Sahel",1,0,0,0,0,0
"Hamdania",1,0,0,0,0,0
"Manta",1,0,0,0,0,0
"Pale",1,0,0,0,0,0
"Malda",1,0,0,0,0,0
"Dunham",0,1,0,0,0,0
"Massouda Jalal",0,0,0,0,1,0
"Rashad",1,0,0,0,0,0
"Cape Canaveral",0,0,0,0,1,0
"Delhi",0,0,0,0,1,0
"Asia Pacific",0,0,1,0,0,0
"Ile Amsterdam",0,0,0,0,1,0
"Midway Atoll NWR",0,0,0,0,1,0
"South Waziristan",1,0,0,0,0,0
"Tabriz",1,0,0,0,0,0
"Leah",0,1,0,0,0,0
"Orissa",1,0,0,0,0,0
"Spanta",0,1,0,0,0,0
"Interahamwe",0,0,0,0,1,0
"Shurja",1,0,0,0,0,0
"Himalayas",0,0,0,0,1,0
"Fort Hood",0,0,0,0,1,0
"Bechuanaland",1,0,0,0,0,0
"the Bay of Bengal",0,0,0,0,1,0
"Mae Hong Son",0,0,0,0,1,0
"Artemisian",0,0,1,0,0,0
"Mexicali",1,0,0,0,0,0
"Facebook",0,1,0,0,0,0
"Kurdish",1,0,0,0,0,0
"Adelaide",1,0,0,0,0,0
"Jaffna",1,0,0,0,0,0
"Bamako",1,0,0,0,0,0
"Vlore",1,0,0,0,0,0
"-",0,0,0,0,1,0
"southern Kurdistan",0,0,0,0,1,0
"Danube River",0,0,0,0,1,0
"Bekaa",0,0,0,0,1,0
"Raba",1,0,0,0,0,0
"stronghold",0,0,0,0,1,0
"Sumatra island",0,0,0,0,1,0
"Sound",0,0,0,1,0,0
"Makhachkala",1,0,0,0,0,0
"Matabeleland",0,0,0,1,0,0
"Wagah",1,0,0,0,0,0
"Burundian",1,0,0,0,0,0
"Rockford",0,0,0,0,1,0
"Israel Gaza",0,0,1,0,0,0
"Lovato",0,1,0,0,0,0
"Juba",1,0,0,0,0,0
"Tegucigalpa",1,0,0,0,0,0
"Buraydah",1,0,0,0,0,0
"Western Balkans",0,0,0,0,1,0
"Maksim",0,1,0,0,0,0
"Balata",1,0,0,0,0,0
"Emmen",0,0,0,0,1,0
"Rabat",1,0,0,0,0,0
"Mahabad",1,0,0,0,0,0
"Kwanzaa",0,0,0,0,1,0
"Port Elizabeth",1,0,0,0,0,0
"Heidelberg",0,0,0,0,1,0
"Sean",0,1,0,0,0,0
"Holy",0,0,1,0,0,0
"Niger Delta",0,0,0,0,1,0
"Moscow City Court",0,0,1,0,0,0
"Palpa",1,0,0,0,0,0
"Shabab",0,1,0,0,0,0
"Memphis",1,0,0,0,0,0
"Huthi",0,1,0,0,0,0
"Maoist",1,0,0,0,0,0
"Batumi",1,0,0,0,0,0
"Madagonians",0,0,0,0,1,0
"Tarawa",0,0,0,0,1,0
"London subway",0,0,0,0,1,0
"Russians",1,0,0,0,0,0
"Nimroz",1,0,0,0,0,0
"Bhairahawa",1,0,0,0,0,0
"Seu",0,0,1,0,0,0
"03-Jun",0,0,0,0,1,0
"Limon",1,0,0,0,0,0
"Dhahran",1,0,0,0,0,0
"Medan",1,0,0,0,0,0
"eastern China",0,0,0,0,1,0
"Russian",1,0,0,0,0,0
"Islam",1,0,0,0,0,0
"Las Vegas",1,0,0,0,0,0
"Wasit",1,0,0,0,0,0
"Swahili",0,0,0,0,1,0
"Light",0,0,1,0,0,0
"Bad Mitterndorf",1,0,0,0,0,0
"Salvadorans",0,0,0,0,1,0
"Globovision",0,1,0,0,0,0
"Warri",1,0,0,0,0,0
"Sapporo",1,0,0,0,0,0
"Catarrh",0,0,0,1,0,0
"Ugandans",1,0,0,0,0,0
"Tottenham Hotspur",0,0,0,0,1,0
"al-Qaim",0,0,0,0,1,0
"Beit Lahiya",1,0,0,0,0,0
"Serb Republic",0,0,1,0,0,0
"Cesme",0,0,0,0,1,0
"Mulford",0,1,0,0,0,0
"Pretoria",1,0,0,0,0,0
"Pekanbara",1,0,0,0,0,0
"Nad",0,0,1,0,0,0
"Ivorian",1,0,0,0,0,0
"Gaza-Egypt",0,0,0,0,1,0
"OPEC",1,0,0,0,0,0
"Mikhail Dmitrivev",0,0,0,0,1,0
"Split",0,0,0,1,0,0
"Zhejiang",1,0,0,0,0,0
"Sinak",1,0,0,0,0,0
"Kani Wam",0,0,0,0,1,0
"Mahmoud",0,0,1,0,0,0
"Verdasco",0,0,0,0,1,0
"Yichang City",0,0,0,0,1,0
"Rosoboronexport",0,1,0,0,0,0
"Avian",0,0,0,1,0,0
"Bucharest",1,0,0,0,0,0
"South Asia",1,0,0,0,0,0
"Hainan",1,0,0,0,0,0
"Quezon City",0,0,0,0,1,0
"Emirates",0,0,1,0,0,0
"Corpus Christi",1,0,0,0,0,0
"Dublin",1,0,0,0,0,0
"Indonesia",1,0,0,0,0,0
"August",0,1,0,0,0,0
"Kiribati",1,0,0,0,0,0
"Boss",0,0,1,0,0,0
"Eight",0,1,0,0,0,0
"Muttur",0,1,0,0,0,0
"Jaji",1,0,0,0,0,0
"Rhode Island",0,0,0,0,1,0
"Turki",1,0,0,0,0,0
"Ontario",1,0,0,0,0,0
"of Venezuela",0,0,0,0,1,0
"Matara",0,0,0,0,1,0
"democratic Iraq",0,0,0,0,1,0
"Antarctic",1,0,0,0,0,0
"Shakespeare",0,0,1,0,0,0
"Krajina",1,0,0,0,0,0
"Timor Leste",0,0,1,0,0,0
"Kadhimiya",1,0,0,0,0,0
"Christmas holiday",0,0,0,0,1,0
"Moroccans",0,0,0,0,1,0
"Taba",1,0,0,0,0,0
"Reims",0,1,0,0,0,0
"Libya",1,0,0,0,0,0
"Hudur",0,1,0,0,0,0
"Kisangani",0,0,0,0,1,0
"Pacific",1,0,0,0,0,0
"Fort",0,0,0,0,1,0
"Avon",0,0,0,0,1,0
"Tokyo",1,0,0,0,0,0
"Adana",1,0,0,0,0,0
"Sofia",1,0,0,0,0,0
"Arghandab",1,0,0,0,0,0
"Smigun",0,0,0,0,1,0
"Palnoo",1,0,0,0,0,0
"Ethiopia",1,0,0,0,0,0
"Nsanje",1,0,0,0,0,0
"Amur River",0,0,0,0,1,0
"eastern Yemen",0,0,0,0,1,0
"Hollywood",1,0,0,0,0,0
"Perth",1,0,0,0,0,0
"Croats",1,0,0,0,0,0
"Japanese",1,0,0,0,0,0
"Asia Africa",0,0,1,0,0,0
"Zhongwei",1,0,0,0,0,0
"Doetinchem",1,0,0,0,0,0
"Maarib",0,0,1,0,0,0
"Carmona",0,1,0,0,0,0
"Switzerland",1,0,0,0,0,0
"Mindoro",1,0,0,0,0,0
"Kajaki",1,0,0,0,0,0
"south Asian beach",0,0,0,0,1,0
"Tenaris",0,1,0,0,0,0
"Swedes",1,0,0,0,0,0
"Maysoon",0,0,0,1,0,0
"Khanty-Mansiisk",0,0,0,0,1,0
"Foca",1,0,0,0,0,0
"Emerli",1,0,0,0,0,0
"St.",1,0,0,0,0,0
"Stan",0,1,0,0,0,0
"Netherlands",1,0,0,0,0,0
"Gutierrez",0,1,0,0,0,0
"Mina",1,0,0,0,0,0
"Lahore",1,0,0,0,0,0
"western Georgia",0,0,0,0,1,0
"Arlington",0,0,0,1,0,0
"Dunkin",1,0,0,0,0,0
"Sardinian",0,0,1,0,0,0
"New Hampshire",1,0,0,0,0,0
"Kampala",1,0,0,0,0,0
"Windhoek",0,1,0,0,0,0
"western Mexico",0,0,0,0,1,0
"Nouakchott",1,0,0,0,0,0
"Iran Broadcasting",0,0,1,0,0,0
"Hkamti",0,0,0,0,1,0
"Irrawady River",0,0,0,0,1,0
"Tirin Kot",0,0,0,0,1,0
"West Village",0,0,0,0,1,0
"Bosporus Turkey",0,0,1,0,0,0
"Spain",1,0,0,0,0,0
"Kearny",1,0,0,0,0,0
"the Gleneagles",0,0,0,0,1,0
"Tachileik",1,0,0,0,0,0
"Gungoren",1,0,0,0,0,0
"Gazprom",1,0,0,0,0,0
"Andean",0,0,0,1,0,0
"New York City",1,0,0,0,0,0
"Frankfurt",1,0,0,0,0,0
"Bolivian",1,0,0,0,0,0
"mid-June",0,0,0,0,1,0
"eastern Java",0,0,0,0,1,0
"Kazakh",1,0,0,0,0,0
"Lyon",1,0,0,0,0,0
"Finns",0,0,0,0,1,0
"Sadah",1,0,0,0,0,0
"Madagascar",1,0,0,0,0,0
