Entity,COR,INC,PAR,SPU,MIS,IGN
"Peru",0,1,0,0,0,0
"Eastern European",0,1,0,0,0,0
"Northwest Frontier",0,1,0,0,0,0
"Western Europe",0,1,0,0,0,0
"Aegean",0,1,0,0,0,0
"West Village",0,1,0,0,0,0
"Eastern",0,1,0,0,0,0
"Western Hemisphere",0,1,0,0,0,0
"Persian Gulf",0,1,0,0,0,0
"Tiananmen Square",0,1,0,0,0,0
"Afghanistan",0,1,0,0,0,0
"Quand Ninh",0,1,0,0,0,0
"Westerners",0,1,0,0,0,0
"West Pakistan",0,1,0,0,0,0
"West Africa",0,1,0,0,0,0
"South Dakota",0,1,0,0,0,0
"Rajasthan",0,1,0,0,0,0
"South Africa",0,1,0,0,0,0
"South Bank Arts",0,0,0,0,0,1
"East Jerusalem",0,1,0,0,0,0
"West Java",0,1,0,0,0,0
"Perth",0,1,0,0,0,0
"South Asian",0,1,0,0,0,0
"Sudanese",0,1,0,0,0,0
"Midwestern",0,0,0,0,0,1
"Northern Command",0,1,0,0,0,0
"Ernest Gulbis",0,1,0,0,0,0
"Kyrgyzstan",0,1,0,0,0,0
"North",0,1,0,0,0,0
"Eastern Province",0,1,0,0,0,0
"Louisiana",0,1,0,0,0,0
"Mediterranean Sea",0,1,0,0,0,0
"North Wazirstan",0,1,0,0,0,0
"Southeast Europe",0,0,0,0,0,1
"Lebanon",0,1,0,0,0,0
"Western Serbian",0,0,0,0,0,1
"Aceh",0,1,0,0,0,0
"Sean Preston",0,1,0,0,0,0
"Caribbean Sea",0,1,0,0,0,0
"Tahhar",0,1,0,0,0,0
"Far East Khabarovsk",0,1,0,0,0,0
"Sinai",0,1,0,0,0,0
"Western Australia",0,1,0,0,0,0
"Badakshan",0,1,0,0,0,0
"Southern California",0,1,0,0,0,0
"Italy",0,1,0,0,0,0
"North Kivu",0,1,0,0,0,0
"Korean Refugees",0,0,0,0,0,1
"Mediterranean",0,1,0,0,0,0
"South China",0,0,0,0,0,1
"Western Hemispheres",0,0,0,0,0,1
"Korean Vice",0,0,0,0,0,1
"Chest",0,0,0,0,0,1
"Southern Metropolitan",0,0,0,0,0,1
"West Frontier",0,0,0,0,0,1
"Atlantic Ocean",0,1,0,0,0,0
"South Sandwich Islands",0,1,0,0,0,0
"Western Wall",0,1,0,0,0,0
"East China Sea",0,1,0,0,0,0
"Gaza Egypt",0,1,0,0,0,0
"Spain",0,1,0,0,0,0
"North Caucasus",0,1,0,0,0,0
"Korean War",0,1,0,0,0,0
"South African",0,1,0,0,0,0
"South Korean",0,1,0,0,0,0
"Veracruz",0,1,0,0,0,0
"Southern",0,1,0,0,0,0
"Gaza Netzarim",0,0,0,0,0,1
"Caribbean Coast",0,1,0,0,0,0
"Southeast",0,0,0,0,0,1
"Far East",0,1,0,0,0,0
"Georgia",0,1,0,0,0,0
"South East",0,1,0,0,0,0
"Soul Train",0,0,0,0,0,1
"Kurdistan",0,1,0,0,0,0
"West Kordofan",0,1,0,0,0,0
"Mediterranean Union",0,1,0,0,0,0
"Western Samoa",0,1,0,0,0,0
"Sudan",0,1,0,0,0,0
"Western Equatoria",0,1,0,0,0,0
"Korean Ambassador",0,0,0,0,0,1
"Southern Africa",0,0,0,0,0,1
"Belize",0,1,0,0,0,0
"Eastern Sovereign Base Area",0,1,0,0,0,0
"West African",0,1,0,0,0,0
"Korean Embassy",0,0,0,0,0,1
"West Bengal",0,1,0,0,0,0
"North Atlantic",0,1,0,0,0,0
"Southeast Asia",0,1,0,0,0,0
"South Waziristan",0,1,0,0,0,0
"South Pacific",0,1,0,0,0,0
"Black Sea",0,1,0,0,0,0
"Korean Broadcaster",0,0,0,0,0,1
"Southern Hemisphere",0,1,0,0,0,0
"North West",0,1,0,0,0,0
"North Carolina",0,1,0,0,0,0
"West Beirut",0,1,0,0,0,0
"East Asian",0,1,0,0,0,0
"South Pacific Ocean",0,1,0,0,0,0
"Aegean Sea",0,1,0,0,0,0
"West",0,1,0,0,0,0
"Baja",0,1,0,0,0,0
"Western Christian",0,1,0,0,0,0
"West Bank",0,1,0,0,0,0
"Ecuadorean",0,0,0,0,0,1
"Western Bahr",0,0,0,0,0,1
"West Island",0,1,0,0,0,0
"East Coast",0,1,0,0,0,0
"South",0,1,0,0,0,0
"Western Gunsmoke",0,0,0,0,0,1
"Philippine",0,1,0,0,0,0
"Africa",0,1,0,0,0,0
"Western Sovereign Base Area",0,1,0,0,0,0
"Southeast Asian",0,1,0,0,0,0
"Karnataka",0,1,0,0,0,0
"Caribbean",0,1,0,0,0,0
"Gaza Strips",0,1,0,0,0,0
"Texas",0,1,0,0,0,0
"Kenya",0,1,0,0,0,0
"South Asia Free",0,0,0,0,0,1
"South American",0,1,0,0,0,0
"Northern Alliance",0,1,0,0,0,0
"Gaza Strip",0,1,0,0,0,0
"South Island",0,1,0,0,0,0
"North Waziristan",0,1,0,0,0,0
"Nawzad",0,1,0,0,0,0
"Southern African",0,0,0,0,0,1
"Mogadishu",0,1,0,0,0,0
"Ocean",0,1,0,0,0,0
"Southern Sudan",0,1,0,0,0,0
"North African",0,0,0,0,0,1
"Southern Afghanistan",0,1,0,0,0,0
"South China Sea",0,1,0,0,0,0
"Western",0,1,0,0,0,0
"Earth",0,1,0,0,0,0
"southern Russia",0,1,0,0,0,0
"Eastern Caribbean",0,1,0,0,0,0
"North Korea",0,1,0,0,0,0
"Francesca",0,0,0,0,0,1
"North Ossetia",0,1,0,0,0,0
"Soufriere Hills",0,0,0,0,0,1
"Strasbourg",0,1,0,0,0,0
"Caucasus",0,1,0,0,0,0
"Northwest Passage US",0,0,0,0,0,1
"Korean Christian",0,0,0,0,0,1
"West Sumatra",0,1,0,0,0,0
"Northern Hemisphere",0,1,0,0,0,0
"Cypriots",0,0,0,0,0,1
"Southern Ocean",0,1,0,0,0,0
"South Asia",0,1,0,0,0,0
"West Indies",0,1,0,0,0,0
"Korean",0,1,0,0,0,0
"Niger",0,1,0,0,0,0
"Upper East",0,1,0,0,0,0
"Iran",0,1,0,0,0,0
"Gaza",0,1,0,0,0,0
"Western Sahara",0,1,0,0,0,0
"Northern",0,1,0,0,0,0
"Bogota",0,1,0,0,0,0
"North Sea",0,1,0,0,0,0
"Korean Yonhap",0,0,0,0,0,1
"North Korean",0,1,0,0,0,0
"Korean Central",0,0,0,0,0,1
"South Lawn",0,1,0,0,0,0
"South Darfur",0,1,0,0,0,0
"North Sinai",0,1,0,0,0,0
"Nepal",0,1,0,0,0,0
"Gaza City",0,1,0,0,0,0
*TOTAL*,0,137,0,0,0,31
