Entity,COR,INC,PAR,SPU,MIS,IGN
"Al Majid",0,0,1,0,0,0
"Injured",0,0,0,1,0,0
"Amanullah Khan Jadoon",0,1,0,0,0,0
"Ghazni",0,1,0,0,0,0
"Thabo MBEKI",0,0,0,1,0,0
"Taha Yassin Ramadan",0,1,0,0,0,0
"Omar Karameh",1,0,0,0,0,0
"Karkh Prison",0,1,0,0,0,0
"Praise",0,0,0,1,0,0
"Mr. Cauvin",1,0,0,0,0,0
"McGrady",0,0,0,0,1,0
"Ehud Olmert",1,0,0,0,0,0
"Golborne",1,0,0,0,0,0
"Li Ting",1,0,0,0,0,0
"Vadym Chuprun",0,1,0,0,0,0
"John Lipsky",1,0,0,0,0,0
"Turk",0,1,0,0,0,0
"Celsius",1,0,0,0,0,0
"Mr. Lukashenko",1,0,0,0,0,0
"Mr. Tandja",1,0,0,0,0,0
"Mustapha Osman Ismail",0,0,1,0,0,0
"Musab al-Zarqawi",0,0,0,0,1,0
"Steinmeier",0,1,0,0,0,0
"Pierre NKURUNZIZA",0,0,1,0,0,0
"European Union Health Commissioner Markos Kypriano",0,0,1,0,0,0
"Sweilam",1,0,0,0,0,0
"Elliott Abrams",0,0,0,0,1,0
"Khan Yunis",0,1,0,0,0,0
"Zhang Hua",1,0,0,0,0,0
"John Walter",0,0,1,0,0,0
"Gaston Gaudio",1,0,0,0,0,0
"Patrick Murray",1,0,0,0,0,0
"Hasib Hussain",0,1,0,0,0,0
"Timothy Kopra",0,0,0,0,1,0
"Francois Grignon",1,0,0,0,0,0
"Chuck Hamel",1,0,0,0,0,0
"Operation Lightning",0,0,1,0,0,0
"Austro Hungarian Empire",0,0,0,1,0,0
"Ruthenia",0,1,0,0,0,0
"Marine",0,1,0,0,0,0
"Refugees",0,1,0,0,0,0
"Saudi Arabian",0,1,0,0,0,0
"Mitchell",1,0,0,0,0,0
"Boko",0,0,1,0,0,0
"Martinique",0,1,0,0,0,0
"Akhmed Zakayev",0,0,0,1,0,0
"Liu Shaowu",1,0,0,0,0,0
"Strike Fighter",0,0,0,1,0,0
"John Ashcroft",1,0,0,0,0,0
"John Iqbal",1,0,0,0,0,0
"John Shalikashvili",1,0,0,0,0,0
"Kathleen Blanco",1,0,0,0,0,0
"Veronique De Keyser",0,1,0,0,0,0
"Modell",1,0,0,0,0,0
"Tendai Matambanadzo",0,1,0,0,0,0
"Jamaat",0,0,0,1,0,0
"Razzano",0,0,0,0,1,0
"Anheuser Busch",0,0,0,1,0,0
"Al Arabiya",0,0,0,1,0,0
"Jokhang Temple",0,0,0,0,1,0
"Eyewitnesses",0,0,0,1,0,0
"Louis Rams",0,0,0,1,0,0
"Ayatollah Khamenei",1,0,0,0,0,0
"Desi Bouterse",1,0,0,0,0,0
"Kibo",0,1,0,0,0,0
"Yi Jianlian",0,0,0,0,1,0
"Laxman",0,1,0,0,0,0
"Ronald Allen Schultz",1,0,0,0,0,0
"Hatf Six",0,1,0,0,0,0
"Sulaiman Shah",1,0,0,0,0,0
"Mr. Duggal",1,0,0,0,0,0
"Mr. Petersen",1,0,0,0,0,0
"Human Papillovirus",0,0,0,1,0,0
"Space",0,0,0,1,0,0
"Sahaba",0,0,0,1,0,0
"Fiorina",0,0,1,0,0,0
"Britain",0,1,0,0,0,0
"Jacques Diouf",0,0,0,1,0,0
"Hurricane Gustav",0,1,0,0,0,0
"Simon BOLIVAR",1,0,0,0,0,0
"Kurdish",1,0,0,0,0,0
"Robert Gates",1,0,0,0,0,0
"Taj Mohammed Qari Baba",0,1,0,0,0,0
"Search",0,0,0,1,0,0
"Erasmus Moyo",0,0,0,0,1,0
"Robert Kocharian",0,0,1,0,0,0
"Madhavan Nair",0,0,1,0,0,0
"Rioters",0,0,0,1,0,0
"Musa Qala",0,1,0,0,0,0
"Mike Krzyzewski",0,0,0,0,1,0
"Mr. Arias",1,0,0,0,0,0
"Charles Konan Banny",1,0,0,0,0,0
"SANTOS",0,1,0,0,0,0
"Gas",0,0,1,0,0,0
"Tripoli",0,1,0,0,0,0
"Wolfgang Thierse",1,0,0,0,0,0
"Steve Mort",1,0,0,0,0,0
"Crum Forster",0,0,0,1,0,0
"Mr. Kidnappings",0,0,1,0,0,0
"Michelle Obama",0,0,0,0,1,0
"Abu Sayyaf",1,0,0,0,0,0
"Yao",1,0,0,0,0,0
"Narayan Pokhrel",1,0,0,0,0,0
"Kruif",0,0,1,0,0,0
"Uzbek Foreign Ministry",0,0,0,1,0,0
"Masood Bastani",1,0,0,0,0,0
"Saint Laurent",0,0,0,1,0,0
"Swiss DNA",0,0,0,1,0,0
"Keifer Sutherland",0,0,0,0,1,0
"Chambers",1,0,0,0,0,0
"Against",0,0,0,1,0,0
"Ford",1,0,0,0,0,0
"Mr. Tsang",1,0,0,0,0,0
"Lanka",0,1,0,0,0,0
"Lyons",0,0,0,0,1,0
"Cate Blanchett",0,0,0,0,1,0
"Whittington",1,0,0,0,0,0
"Chun Yung",0,0,1,0,0,0
"Iowa",0,1,0,0,0,0
"Miller",1,0,0,0,0,0
"Twelve",0,0,0,1,0,0
"Danforth",0,0,1,0,0,0
"Rami al-Tayyah",0,0,0,0,1,0
"Thua Thien Hue",0,1,0,0,0,0
"Julio Cobos",0,0,1,0,0,0
"Prudential",0,1,0,0,0,0
"Mohammad Saeedi",1,0,0,0,0,0
"Carlos Alberto Logarda",1,0,0,0,0,0
"Chookiat Ophaswongse",0,1,0,0,0,0
"Valley Federal",0,1,0,0,0,0
"Hoop Scheffer",1,0,0,0,0,0
"Vinh Long",0,1,0,0,0,0
"Pattle Island",0,1,0,0,0,0
"Mayon Volcano",0,1,0,0,0,0
"Bayfront Medical Center",0,1,0,0,0,0
"Chaka Fattah",0,1,0,0,0,0
"Pinochet",1,0,0,0,0,0
"Hamm",1,0,0,0,0,0
"Holder",1,0,0,0,0,0
"Taba Hilton",0,1,0,0,0,0
"Eight",0,1,0,0,0,0
"Clementina Cantoni",1,0,0,0,0,0
"Dominik Hrbaty",1,0,0,0,0,0
"Free Life",0,0,1,0,0,0
"David Mwiraria",1,0,0,0,0,0
"Yaalon",0,0,1,0,0,0
"Janez Jansa",0,0,1,0,0,0
"Karlovic",0,1,0,0,0,0
"Marxist Leninist",0,0,1,0,0,0
"Agriculture",0,1,0,0,0,0
"Western Europe",0,1,0,0,0,0
"Saxby Chambliss",0,0,0,0,1,0
"Mr. Edelman",1,0,0,0,0,0
"William Rehnquist",0,0,1,0,0,0
"Dhaka",0,1,0,0,0,0
"Joyce Mujuru",1,0,0,0,0,0
"Antonio Monteiro",1,0,0,0,0,0
"Nicholas Sarkozy",1,0,0,0,0,0
"Staff",0,0,1,0,0,0
"Japanese Defense",0,0,0,1,0,0
"Suriname",0,1,0,0,0,0
"Andrei Melnichenko",1,0,0,0,0,0
"Minister Kamal Obeid",0,0,0,0,1,0
"Stephen Harper",1,0,0,0,0,0
"Mount Everest",0,1,0,0,0,0
"Hollywood",1,0,0,0,0,0
"Slovak",0,1,0,0,0,0
"Peter Smerdon",1,0,0,0,0,0
"Ghalib Abdul Hussein Kubba",0,1,0,0,0,0
"Mr. Gadhafi",1,0,0,0,0,0
"Jon Hanssen-Bauer",0,0,0,0,1,0
"Sebastian Pinera",1,0,0,0,0,0
"Mr. Kabungulu",0,0,1,0,0,0
"Mohamed NASHEED",0,1,0,0,0,0
"Zanu PF",0,0,0,1,0,0
"Morales",1,0,0,0,0,0
"John Holmes",1,0,0,0,0,0
"Mr. Schwarzenegger",0,0,1,0,0,0
"Embraer",0,0,0,1,0,0
"Mohamud",1,0,0,0,0,0
"Nikolai Ryzhkov",0,0,1,0,0,0
"Mr. Moyo",1,0,0,0,0,0
"Rihab Taha",0,0,0,0,1,0
"Wessels",0,0,0,0,1,0
"Moor Arab",0,0,0,1,0,0
"Guenther Beckstein",0,0,1,0,0,0
"Mr. Daschle",1,0,0,0,0,0
"Zinedine Zidane",1,0,0,0,0,0
"Jorge Rodriguez",1,0,0,0,0,0
"Subaru",0,1,0,0,0,0
"Pilgrim Baptist Church",0,1,0,0,0,0
"Jeb",1,0,0,0,0,0
"Sixto",1,0,0,0,0,0
"Serbian",0,1,0,0,0,0
"Lyon",1,0,0,0,0,0
"Benjamin Ben-Eliezer",0,0,0,0,1,0
"Veracruz",0,1,0,0,0,0
"Mohamed Khouna Ould Haidallah",0,0,1,0,0,0
"Brazilian",0,1,0,0,0,0
"Lahi Brahimaj",1,0,0,0,0,0
"Andy Roddick",1,0,0,0,0,0
"Daniel Cabeza",0,0,1,0,0,0
"Danish Muslims",0,0,1,0,0,0
"Kandahar City",0,1,0,0,0,0
"George Hawi",1,0,0,0,0,0
"Lower Dir",0,1,0,0,0,0
"Ebola",0,1,0,0,0,0
"Acute Respiratory Syndrome",0,0,0,1,0,0
"Guest House",0,0,0,1,0,0
"Soulja Boy",1,0,0,0,0,0
"Mongolian People",0,0,0,1,0,0
"Joseph Wilson",1,0,0,0,0,0
"Aktham Naisse",1,0,0,0,0,0
"Mary Comerio",1,0,0,0,0,0
"Mobutu",0,1,0,0,0,0
"Mr. Johnson",1,0,0,0,0,0
"Edel Jose Garcia",1,0,0,0,0,0
"Kazakhs",0,1,0,0,0,0
"Steven L. Jordan",0,0,1,0,0,0
"Shinzo Abe",1,0,0,0,0,0
"Andrey Denisov",0,0,0,1,0,0
"Boys",0,0,0,1,0,0
"Governor Schwarzenegger",0,0,0,0,1,0
"Israel Radio",0,1,0,0,0,0
"Mr. Sivaram",1,0,0,0,0,0
"Segun Odegbami",1,0,0,0,0,0
"Brian Q",0,0,1,0,0,0
"Ohio",0,1,0,0,0,0
"Min Ko Naing",1,0,0,0,0,0
"Michael Kostiw",1,0,0,0,0,0
"Military Chief",0,0,1,0,0,0
"Moreno Ocampo",0,0,1,0,0,0
"Dizzy Gillespie",1,0,0,0,0,0
"Marshall Billingslea",1,0,0,0,0,0
"Iraqna",0,0,0,0,1,0
"Duncan Hunter",1,0,0,0,0,0
"Beatle",0,0,1,0,0,0
"Tarin Kot",0,1,0,0,0,0
"Eimiller",1,0,0,0,0,0
"Janeiro",0,0,1,0,0,0
"Hai Duong",0,1,0,0,0,0
"Hassan Rowhani",1,0,0,0,0,0
"Douri",0,0,1,0,0,0
"Hafun",1,0,0,0,0,0
"Shurpayev",0,1,0,0,0,0
"Festus Okonkwo",0,0,1,0,0,0
"Senior Bush",1,0,0,0,0,0
"Peyton Manning",1,0,0,0,0,0
"Peter Goldsmith",1,0,0,0,0,0
"Lilienfeld",0,0,0,0,1,0
"Rasul",0,0,0,1,0,0
"Attorney Robert",0,0,0,0,1,0
"Secretary Michael Chertoff",0,0,0,0,1,0
"Rouen",0,1,0,0,0,0
"Cock",0,0,0,1,0,0
"Courtney Love",0,0,0,0,1,0
"Arabian",0,0,1,0,0,0
"Mr. Abbas",1,0,0,0,0,0
"Lome",1,0,0,0,0,0
"Cargo",0,0,0,1,0,0
"Typhoon Muifa",0,1,0,0,0,0
"KARZAI",1,0,0,0,0,0
"Mr. S.",0,0,1,0,0,0
"Christmas Mass",0,1,0,0,0,0
"Bruhin",1,0,0,0,0,0
"Najaf",0,1,0,0,0,0
"Nickelodeon",0,1,0,0,0,0
"El Coca",0,0,0,1,0,0
"Infrared",0,0,0,1,0,0
"Asef Shawkat",0,0,0,0,1,0
"Major General Shaukat Sultan",0,1,0,0,0,0
"Manuel QUEZON",1,0,0,0,0,0
"Arab Contractors",0,1,0,0,0,0
"Secretary General Kofi Annan",0,0,0,0,1,0
"Fahim Kohdamani",1,0,0,0,0,0
"Kurmanbek BAKIEV",1,0,0,0,0,0
"Johanns",0,0,1,0,0,0
"Mercury",1,0,0,0,0,0
"Iveta Benesova",1,0,0,0,0,0
"Murungaru",1,0,0,0,0,0
"Harith",0,0,1,0,0,0
"Mr. Syed Hamid",1,0,0,0,0,0
"Jean Baptiste Mattei",0,0,1,0,0,0
"Rene Preval",1,0,0,0,0,0
"Shah Mahmood Qureshi",0,0,0,0,1,0
"Zahi Hawass",1,0,0,0,0,0
"Mathew Stewart",1,0,0,0,0,0
"Southern Ocean",0,1,0,0,0,0
"Rouge",1,0,0,0,0,0
"Faro Island",0,1,0,0,0,0
"John J.",0,0,1,0,0,0
"Prince Saud",1,0,0,0,0,0
"Ould Hamma",1,0,0,0,0,0
"Rudolf Scharping",1,0,0,0,0,0
"Colin Smith",1,0,0,0,0,0
"Wheeler",0,1,0,0,0,0
"Goalkeeper Essam",0,0,0,1,0,0
"Abdullah",1,0,0,0,0,0
"Kalameh Sabz",1,0,0,0,0,0
"Copei",0,1,0,0,0,0
"Mr. Kiir",0,0,1,0,0,0
"Donald Booth",1,0,0,0,0,0
