Entity,COR,INC,PAR,SPU,MIS,IGN
"the 10 billion",0,0,0,0,0,1
"more than one dollar",0,0,0,0,0,1
"billion dollar",0,0,0,0,0,1
"around 25 billion",0,0,0,0,0,1
"hundreds of millions "" of dollars",0,0,0,0,0,1
"60 million mark",0,0,0,0,0,1
"thousands of dollars",0,0,0,0,0,1
"35 cents",0,0,0,0,0,1
"half a million dollars",0,0,0,0,0,1
"more than 18 billion",0,0,0,0,0,1
"less than one dollar",0,0,0,0,0,1
"453 billion dollar",0,0,0,0,0,1
"76 cents",0,0,0,0,0,1
"2 pence",0,0,0,0,0,1
"about 33 billion",0,0,0,0,0,1
"726 billion",0,0,0,0,0,1
"8 cents",0,0,0,0,0,1
"millions of dollars",0,0,0,0,0,1
"another 4 billion",0,0,0,0,0,1
"less than four cents",0,0,0,0,0,1
"one million dollars",0,0,0,0,0,1
"25 billion",0,0,0,0,0,1
"nearly five billion dollars",0,0,0,0,0,1
"more than 130 thousand",0,0,0,0,0,1
"about 4 billion",0,0,0,0,0,1
"a multi million dollar",0,0,0,0,0,1
"15 cents",0,0,0,0,0,1
"the 481 billion",0,0,0,0,0,1
"388 pence",0,0,0,0,0,1
"50 cents",0,0,0,0,0,1
"More than 1 billion",0,0,0,0,0,1
"7 guilders",0,0,0,0,0,1
"5 Canadian cents",0,0,0,0,0,1
"71 million guilders",0,0,0,0,0,1
"multimillion dollar",0,0,0,0,0,1
"U. S. dollars",0,0,0,0,0,1
"more than 130 million",0,0,0,0,0,1
"more than 40 billion",0,0,0,0,0,1
"six billion dollars",0,0,0,0,0,1
"the hundreds of millions",0,0,0,0,0,1
"Several U. S.",0,0,0,0,0,1
"20 cents",0,0,0,0,0,1
"50 billion dollar",0,0,0,0,0,1
"52 cents",0,0,0,0,0,1
"46 billion guilders",0,0,0,0,0,1
"67 cents",0,0,0,0,0,1
"15 cents to 20 cents",0,0,0,0,0,1
"S. dollar",0,0,0,0,0,1
"over 1 billion",0,0,0,0,0,1
"below 50 dollars",0,0,0,0,0,1
"three trillion dollars",0,0,0,0,0,1
"143 million pounds",0,0,0,0,0,1
"100 billion",0,0,0,0,0,1
"26 cents",0,0,0,0,0,1
"one billion Roman Catholics",0,0,0,0,0,1
"1 trillion",0,0,0,0,0,1
"less than a dollar",0,0,0,0,0,1
"nearly 202 billion",0,0,0,0,0,1
"49 billion",0,0,0,0,0,1
"several billion dollars",0,0,0,0,0,1
"88 cents",0,0,0,0,0,1
"25 cents",0,0,0,0,0,1
"50 billion",0,0,0,0,0,1
"8 million dollars",0,0,0,0,0,1
"around 4 billion",0,0,0,0,0,1
"nearly 10 billion",0,0,0,0,0,1
"over 67 billion",0,0,0,0,0,1
"18 billion dollars",0,0,0,0,0,1
"185 million dollars",0,0,0,0,0,1
"more than 50 million",0,0,0,0,0,1
"Three hundred million dollars",0,0,0,0,0,1
"more than 104 yen",0,0,0,0,0,1
"eight million guilders",0,0,0,0,0,1
"65 cents",0,0,0,0,0,1
"more than USD 41 million",0,0,0,0,0,1
"Million Dollar",0,0,0,0,0,1
"1500 dollars",0,0,0,0,0,1
"almost 10 billion",0,0,0,0,0,1
"almost 200 million US",0,0,0,0,0,1
"6 billion to 12 billion",0,0,0,0,0,1
"5 cents",0,0,0,0,0,1
"trillions of dollars",0,0,0,0,0,1
"nearly 8 billion",0,0,0,0,0,1
"tens of thousands of dollars",0,0,0,0,0,1
"87 cents",0,0,0,0,0,1
"one billion dollars",0,0,0,0,0,1
"73 cents",0,0,0,0,0,1
"89 cents",0,0,0,0,0,1
"26 million dollars",0,0,0,0,0,1
"around 10 billion",0,0,0,0,0,1
"a multi billion dollar",0,0,0,0,0,1
"about 16 billion",0,0,0,0,0,1
"more than 3,00,000 21 million taka",0,0,0,0,0,1
"83 cents",0,0,0,0,0,1
"nearly 140 1,000 rand",0,0,0,0,0,1
"more than 2 billion",0,0,0,0,0,1
"1 billion",0,0,0,0,0,1
"more than one billion dollars",0,0,0,0,0,1
"4 billion to 6 billion",0,0,0,0,0,1
"about 2 billion",0,0,0,0,0,1
"at least 40 billion",0,0,0,0,0,1
"more than 660 million",0,0,0,0,0,1
"more than 14 billion",0,0,0,0,0,1
"tens of millions of dollars",0,0,0,0,0,1
"nearly 1 billion",0,0,0,0,0,1
"the billion dollar",0,0,0,0,0,1
"the multi million dollar",0,0,0,0,0,1
"more than one cent",0,0,0,0,0,1
"three million dollars",0,0,0,0,0,1
"more than seven million dollars",0,0,0,0,0,1
"more than two dollars",0,0,0,0,0,1
"just over 9,00,000 per carat",0,0,0,0,0,1
"hundreds of thousands of dollars",0,0,0,0,0,1
"stole one million dollars",0,0,0,0,0,1
"31 cents",0,0,0,0,0,1
"some 3 billion",0,0,0,0,0,1
"two cents",0,0,0,0,0,1
"50 Cent",0,1,0,0,0,0
"more than 500 million",0,0,0,0,0,1
"42 billion guilders",0,0,0,0,0,1
"nearly 500 billion",0,0,0,0,0,1
"multi million dollar",0,0,0,0,0,1
"nearly 618 billion",0,0,0,0,0,1
"one trillion dollars",0,0,0,0,0,1
"Venezuela 1 billion",0,0,0,0,0,1
"more than 90 billion",0,0,0,0,0,1
"the 180 billion",0,0,0,0,0,1
"more than 240 billion",0,0,0,0,0,1
"1 guilders",0,0,0,0,0,1
"around 300 billion",0,0,0,0,0,1
"51 cents",0,0,0,0,0,1
"approximately USD 6 billion",0,0,0,0,0,1
"more than 3 billion",0,0,0,0,0,1
"260 pence 1",0,0,0,0,0,1
"about 83 cents",0,0,0,0,0,1
"hundreds of millions of dollars",0,0,0,0,0,1
"at least 5,000",0,0,0,0,0,1
"tens of millions",0,0,0,0,0,1
"at least 21 billion",0,0,0,0,0,1
"about 10 billion",0,0,0,0,0,1
"less than 10 million",0,0,0,0,0,1
"more than 6 billion",0,0,0,0,0,1
"an additional 8,00,000 earmarked",0,0,0,0,0,1
"29 cents",0,0,0,0,0,1
"billions of dollars",0,0,0,0,0,1
"between 10 million to 20 million",0,0,0,0,0,1
"up to 1 trillion",0,0,0,0,0,1
"68 cents",0,0,0,0,0,1
"56 dollars",0,0,0,0,0,1
"85 dollars",0,0,0,0,0,1
"373 billion",0,0,0,0,0,1
"86 cents",0,0,0,0,0,1
"billions of so",0,0,0,0,0,1
"156 billion",0,0,0,0,0,1
"one cent",0,0,0,0,0,1
"several million dollars",0,0,0,0,0,1
"five million dollars",0,0,0,0,0,1
"148 million",0,0,0,0,0,1
"at least 10 billion",0,0,0,0,0,1
"1 trillion dollars",0,0,0,0,0,1
"10,000 100 million rupiah",0,0,0,0,0,1
"4 billion dollars",0,0,0,0,0,1
"several thousand dollars",0,0,0,0,0,1
"three cents",0,0,0,0,0,1
"Fifteen dollars",0,0,0,0,0,1
"tens of billions of dollars",0,0,0,0,0,1
"half a billion dollars",0,0,0,0,0,1
"as high as 26 cents",0,0,0,0,0,1
"more than 70 billion",0,0,0,0,0,1
"125 cents",0,0,0,0,0,1
"as much as one billion dollars",0,0,0,0,0,1
"57 dollars",0,0,0,0,0,1
"more than 25 billion",0,0,0,0,0,1
"more than 26 billion",0,0,0,0,0,1
"more than 10 billion",0,0,0,0,0,1
"more than 200 billion",0,0,0,0,0,1
"trillion dollar",0,0,0,0,0,1
"at least 70 billion",0,0,0,0,0,1
"30 cents",0,0,0,0,0,1
"more than 1 billion",0,0,0,0,0,1
"the tens of thousands",0,0,0,0,0,1
"41 yen",0,0,0,0,0,1
"five cents",0,0,0,0,0,1
"16 pence",0,0,0,0,0,1
"144 million guilders",0,0,0,0,0,1
"more than 30 cents",0,0,0,0,0,1
"8 1,000 CFA francs",0,0,0,0,0,1
"the one million dollars",0,0,0,0,0,1
"48 cents",0,0,0,0,0,1
"About one thousand U. S. Residents",0,0,0,0,0,1
"more than 340 million",0,0,0,0,0,1
"165 billion",0,0,0,0,0,1
"56 billion",0,0,0,0,0,1
"five billion dollars",0,0,0,0,0,1
"720 billion",0,0,0,0,0,1
"nearly 13 billion",0,0,0,0,0,1
"5 yen",0,0,0,0,0,1
"multi billion dollar",0,0,0,0,0,1
"4 pence",0,0,0,0,0,1
"around 520 million",0,0,0,0,0,1
"300 billion",0,0,0,0,0,1
"about three million dollars",0,0,0,0,0,1
"1,00,000 one billion rupiah",0,0,0,0,0,1
"10 cents",0,0,0,0,0,1
"69 cents",0,0,0,0,0,1
"60 cents",0,0,0,0,0,1
"250 billion",0,0,0,0,0,1
"8 to 12 billion",0,0,0,0,0,1
"25 yen",0,0,0,0,0,1
"as much as 4 billion",0,0,0,0,0,1
"a 300 million dollar",0,0,0,0,0,1
"more than five billion dollars",0,0,0,0,0,1
"more than 40 million",0,0,0,0,0,1
"3 pence",0,0,0,0,0,1
"125 Canadian dollars",0,0,0,0,0,1
"more than 96 million dollars",0,0,0,0,0,1
"235 million guilders",0,0,0,0,0,1
"over 109 billion",0,0,0,0,0,1
"6 pence",0,0,0,0,0,1
*TOTAL*,0,1,0,0,0,218
