Entity,COR,INC,PAR,SPU,MIS,IGN
"nearly 8,900 meters",0,0,0,0,0,1
"300 kilometer",0,0,0,0,0,1
"at least 200 nautical miles 370 kilometers",0,0,0,0,0,1
"some 350 kilometers",0,0,0,0,0,1
"two million barrels",0,0,0,0,0,1
"581 kph",0,0,0,0,0,1
"nearly 140 kilometers per hour",0,0,0,0,0,1
"3,000 tons",0,0,0,0,0,1
"about 220 kilometers",0,0,0,0,0,1
"some 30 kilometers",0,0,0,0,0,1
"628 kilometers",0,0,0,0,0,1
"approximately 25 kilometers",0,0,0,0,0,1
"46 degrees Celsius",0,0,0,0,0,1
"6,000 tons",0,0,0,0,0,1
"75 kilometers per hour",0,0,0,0,0,1
"400 meter",0,0,0,0,0,1
"about 400 kilometers",0,0,0,0,0,1
"24 meter",0,0,0,0,0,1
"yards",0,0,0,0,0,1
"1 million barrels",0,0,0,0,0,1
"some 925 kilometers",0,0,0,0,0,1
"212 mi",0,0,0,0,0,1
"800 meter",0,0,0,0,0,1
"about one million tons",0,0,0,0,0,1
"12,396 tons",0,0,0,0,0,1
"about 370 kilometers",0,0,0,0,0,1
"two tons",0,0,0,0,0,1
"500 meter",0,0,0,0,0,1
"32 degrees Celsius",0,0,0,0,0,1
"up to 80 million liters",0,0,0,0,0,1
"some 800 kilometers",0,0,0,0,0,1
"almost 200 kilometers",0,0,0,0,0,1
"93,000 square meter",0,0,0,0,0,1
"several kilometers",0,0,0,0,0,1
"six kilometers",0,0,0,0,0,1
"more than 400 hectares",0,0,0,0,0,1
"404 tons",0,0,0,0,0,1
"150 tons",0,0,0,0,0,1
"thousands of kilometers",0,0,0,0,0,1
"1,400 kilometer",0,0,0,0,0,1
"a few kilometers",0,0,0,0,0,1
"as much as 20 centimeters",0,0,0,0,0,1
"around 20 kilometers per hour",0,0,0,0,0,1
"at least 5,00,000 barrels",0,0,0,0,0,1
"about 45 kilometers",0,0,0,0,0,1
"up to 19 kilometers an hour",0,0,0,0,0,1
"2,700 kilometer",0,0,0,0,0,1
"nearly 550 kilometers",0,0,0,0,0,1
"gallon",0,0,0,0,0,1
"16 meters",0,0,0,0,0,1
"11,300 kilometers",0,0,0,0,0,1
"21 million barrels",0,0,0,0,0,1
"162 7",0,0,0,0,0,1
"3600",0,0,0,0,0,1
"more than eight kilograms",0,0,0,0,0,1
"14 U. S. Marines and",0,0,0,0,0,1
"407 kilometers",0,0,0,0,0,1
"105 tons",0,0,0,0,0,1
"8 a.",0,0,0,0,0,1
"some 400 kilometers",0,0,0,0,0,1
"4,600 meters",0,0,0,0,0,1
"nearly 9,50,000 liters",0,0,0,0,0,1
"as much as another two million barrels",0,0,0,0,0,1
"5,00,000 barrels",0,0,0,0,0,1
"about 3,30,000 hectares",0,0,0,0,0,1
"about 100 kilometers",0,0,0,0,0,1
"160 kilometers",0,0,0,0,0,1
"50 pound",0,0,0,0,0,1
"up to 20 centimeters",0,0,0,0,0,1
"one meter",0,0,0,0,0,1
"about 145 kilometers",0,0,0,0,0,1
"some 220 kilometers",0,0,0,0,0,1
"50 kilometers",0,0,0,0,0,1
"about 300 kilometers",0,0,0,0,0,1
"18 million barrels",0,0,0,0,0,1
"around 1 trillion",0,0,0,0,0,1
"about 150 meters",0,0,0,0,0,1
"at least 40 centimeters",0,0,0,0,0,1
"several hundred liters to 15 million liters",0,0,0,0,0,1
"61 centimeters",0,0,0,0,0,1
"120 kilometers per hour",0,0,0,0,0,1
"45 kilograms",0,0,0,0,0,1
"20,000 ton",0,0,0,0,0,1
"up to 13 centimeters",0,0,0,0,0,1
"nearly 400 billion liters",0,0,0,0,0,1
"another 5,00,000 barrels",0,0,0,0,0,1
"about 130 kilometers",0,0,0,0,0,1
"480 B. C.",0,0,0,0,0,1
"some 3,00,000 barrels",0,0,0,0,0,1
"up to 50 kilograms",0,0,0,0,0,1
"about 760 kilograms",0,0,0,0,0,1
"350 million tons",0,0,0,0,0,1
"100 tons",0,0,0,0,0,1
"about 40 per barrel",0,0,0,0,0,1
"13 kilometers per hour",0,0,0,0,0,1
"about 350 kilometers",0,0,0,0,0,1
"about 75 kilometers",0,0,0,0,0,1
"nearly 170 kilometers",0,0,0,0,0,1
"3,00,000 cubic meters",0,0,0,0,0,1
"97 kilometers",0,0,0,0,0,1
"nine",0,1,0,0,0,0
"at least 250 kilometers",0,0,0,0,0,1
"3,000 meters",0,0,0,0,0,1
"200 mile",0,0,0,0,0,1
"530",0,0,0,0,0,1
"minus 15 degrees Celsius",0,0,0,0,0,1
"15 a. m.",0,0,0,0,0,1
"345 kilometers",0,0,0,0,0,1
"13,000 hectare",0,0,0,0,0,1
"up to 225 kilometers an hour",0,0,0,0,0,1
"about 98,000 barrels",0,0,0,0,0,1
"120 kilometers an hour",0,0,0,0,0,1
"50 meter",0,0,0,0,0,1
"some 25 million tons",0,0,0,0,0,1
"30 tons",0,0,0,0,0,1
"2,400 km",0,0,0,0,0,1
"65 kilometers",0,0,0,0,0,1
"11 a. m.",0,0,0,0,0,1
"11705",0,0,0,0,0,1
"3 billion barrels",0,0,0,0,0,1
"1,050 calories",0,0,0,0,0,1
"65 kilometers per hour",0,0,0,0,0,1
"15 centimeters",0,0,0,0,0,1
"405 157",0,0,0,0,0,1
"28",0,1,0,0,0,0
