Entity,COR,INC,PAR,SPU,MIS,IGN
"al-Jazeera",0,0,0,0,1,0
"Notting Hill",0,0,0,0,1,0
"the Nobel Sanctuary",0,0,1,0,0,0
"Ghazni",0,1,0,0,0,0
"Urbi et Orbi",0,0,0,0,1,0
"the Smithsonian Castle",0,0,1,0,0,0
"Kabul Declaration",0,0,0,0,1,0
"Latin Jazz Album",0,0,0,1,0,0
"No Child Left Behind "" Act",0,0,0,1,0,0
""" Happy Birthday",0,0,0,1,0,0
"No Child Left Behind",0,0,1,0,0,0
"a Life of Soul",0,0,1,0,0,0
"Ecolog",0,1,0,0,0,0
"the Manger of an Ox",0,0,0,1,0,0
""" Die Welt",0,0,0,1,0,0
"Category Five",0,0,0,1,0,0
"Road Map",0,0,0,1,0,0
"Memorial Day",0,1,0,0,0,0
"Save the Children",0,1,0,0,0,0
"Claire 's Knee",0,1,0,0,0,0
"White House Rose Garden",0,0,0,0,1,0
"the "" Special Majlis",0,0,0,1,0,0
"the Nobel Peace",0,0,1,0,0,0
"Not Ready To Make Nice",0,0,0,1,0,0
"Mientes",1,0,0,0,0,0
"the Highly Indebted Poor Countries HIPC",0,0,0,1,0,0
"Miltzow",0,0,0,0,1,0
"Nobel Prize in Chemistry",0,0,1,0,0,0
"MoveOn.org",0,0,0,0,1,0
"Emmy",0,0,0,0,1,0
"Culture Minister",0,0,0,0,1,0
"the Nobel Prize",0,0,1,0,0,0
"Atoms for Peace",0,0,0,1,0,0
"Soyuzcapsule",0,0,0,0,1,0
"iTunes",0,0,0,0,1,0
"The P 3 Orion",0,0,1,0,0,0
"the Nobel Peace Prize",0,0,1,0,0,0
"A Celebration of Freedom",0,0,1,0,0,0
"Crank That",0,0,0,0,1,0
"Poppy Flowers",0,0,0,0,1,0
"France 3",0,0,0,0,1,0
"Hard Hands",0,0,0,1,0,0
"World Wars I and II",0,0,0,1,0,0
"Operation Spear",0,1,0,0,0,0
"Didadgah",1,0,0,0,0,0
"Nobel Prize in Economics",0,0,1,0,0,0
"the Wild Goats",0,0,0,1,0,0
"Shinsei Maru No. 3",0,0,0,0,1,0
"The Monte Carlo Rally",0,0,1,0,0,0
"The World Without Zionism",0,1,0,0,0,0
"Manx Gaelic",0,0,0,0,1,0
"Frontrunner",0,0,1,0,0,0
"The Queen",1,0,0,0,0,0
"The Inheritance of Loss",1,0,0,0,0,0
""" Wild Strawberries",0,0,0,1,0,0
"The Best Damn Thing",1,0,0,0,0,0
"A FAMISHING Wolf",0,0,1,0,0,0
"Sunday Times",0,1,0,0,0,0
"Dreaming Out Loud",0,0,0,1,0,0
"Dump Bush",0,0,0,1,0,0
"Gross Fuge",1,0,0,0,0,0
"Operation Medusa",0,1,0,0,0,0
"Reporters Without Borders",0,1,0,0,0,0
"Peace Prize",0,1,0,0,0,0
"my Sovereign Liege",0,0,0,1,0,0
"the nobel prize",0,0,0,1,0,0
"Islam in a Pluralistic World",0,0,1,0,0,0
"The World Without Zionism """,0,0,1,0,0,0
"Trafficking in Persons Report",0,0,1,0,0,0
"Nature",0,0,1,0,0,0
"A DRUNKEN Man",0,0,0,1,0,0
"Groundhog Day",1,0,0,0,0,0
"Save The Music",0,1,0,0,0,0
"Development Gateway Award",0,1,0,0,0,0
""" The Passion of the Christ",0,0,1,0,0,0
"GDP",0,0,0,0,1,0
"When We Left Earth : The NASA Missions",0,0,1,0,0,0
"Improvised Explosive Devices",0,0,0,1,0,0
"Dancing With The Stars",0,0,0,1,0,0
