Entity,COR,INC,PAR,SPU,MIS,IGN
"Auschwitz",0,1,0,0,0,0
"World War One",1,0,0,0,0,0
"Typhoon Tokage",0,1,0,0,0,0
"the Korean War 1950",0,0,1,0,0,0
"the Cannes film festival",0,0,0,1,0,0
"the world championship",0,0,0,1,0,0
"Operation Dagger",0,0,0,1,0,0
"International Human Rights Day",1,0,0,0,0,0
"the Gaza conflict",0,0,0,1,0,0
"Constitution Day",0,1,0,0,0,0
"the Great Depression",0,0,0,1,0,0
"lifetime Olympic",0,0,1,0,0,0
"the 1967 Arab Israeli War",0,0,1,0,0,0
"later Cold War",0,0,1,0,0,0
"the Turin Olympics",0,0,1,0,0,0
"Hurricane Ivan",0,0,1,0,0,0
"the 2010 Winter Olympics",0,0,1,0,0,0
"post war Iraq",0,0,1,0,0,0
"US 6",0,0,0,1,0,0
"Beijing Games",1,0,0,0,0,0
"Davis Cup",0,1,0,0,0,0
"the Turin Games",0,0,1,0,0,0
"the Persian Gulf War of 1991",0,0,1,0,0,0
"the U. S. Olympic swimming",0,0,1,0,0,0
"the Paris III Donor Conference",0,0,1,0,0,0
"the Iraq war",0,0,1,0,0,0
"Mi 8",0,0,0,1,0,0
"the January 13",0,0,0,1,0,0
"the Muslim festival",0,0,0,1,0,0
"Korean War",1,0,0,0,0,0
"Hurricane Ophelia",0,0,0,1,0,0
"National Day",0,0,0,1,0,0
"Napoleonic",0,1,0,0,0,0
"London Olympics",0,0,0,0,1,0
"Forum for the Future",0,0,0,1,0,0
"HIV",0,0,0,0,1,0
"the Boer War 1899 1902",0,0,1,0,0,0
"the September 11 terrorist",0,0,0,1,0,0
"the Summer Olympics",0,0,1,0,0,0
"the Ski Flying World Championships",0,0,0,1,0,0
"World War I.",0,0,1,0,0,0
"the Revolution of 1905",0,0,0,1,0,0
"the FIFA Women 's World Rankings",0,0,1,0,0,0
"Today Show Monday",0,0,0,1,0,0
"Nagasaki",0,1,0,0,0,0
"the All Burma Students Democratic Front",0,0,0,1,0,0
"the Olympic Torch",0,0,1,0,0,0
"Hurricane Stan",0,0,0,1,0,0
"the Olympic Games",0,0,1,0,0,0
"the Civil War 1861",0,0,1,0,0,0
"Hurricane Gustav",1,0,0,0,0,0
"Nagano Games",0,0,1,0,0,0
"the Pacific War",0,0,1,0,0,0
"Eid al Fitr Islamic holiday",0,0,1,0,0,0
"World Forum",0,0,0,1,0,0
"leukemia",0,0,0,0,1,0
"the New Year 's",0,0,1,0,0,0
"Asian Cup",0,1,0,0,0,0
"forecast 1",0,0,0,1,0,0
"Utor",0,0,0,0,1,0
"Hurricane Alex",0,0,0,1,0,0
