Entity,COR,INC,PAR,SPU,MIS,IGN
"the Wiesenthal Center",0,0,1,0,0,0
"Briston Myers '",0,0,0,1,0,0
"Novin Energy",1,0,0,0,0,0
"Free Tomorrow",0,0,0,0,1,0
"the Ministry of State of National Security",0,0,1,0,0,0
"Louisiana Governor",0,0,0,0,1,0
"Conoco",0,0,0,0,1,0
"Peace Corps",1,0,0,0,0,0
"Radio Simba",0,0,0,0,1,0
"United Nations-coordinated",0,0,0,0,1,0
"Kyoto Protocol",1,0,0,0,0,0
"Venezuela 's Supreme Court",0,0,0,0,1,0
"Ekmeleddin Ihsanoglu",0,0,0,0,1,0
"Abbott",1,0,0,0,0,0
"the California National Guard",0,0,1,0,0,0
"Defense Intelligence Agency",0,0,1,0,0,0
"A U. S. Energy Department",0,0,1,0,0,0
"Tour de France",0,0,0,0,1,0
"the United Nations Human Rights Council",0,0,1,0,0,0
"S. Olympic Committee",0,0,1,0,0,0
"PA",1,0,0,0,0,0
"Amnesty International , Human Rights Watch",0,0,1,0,0,0
"Greenland",0,1,0,0,0,0
"European Union and Mediterranean",0,0,0,0,1,0
"Amnesty International 's",0,0,1,0,0,0
"another State Official",0,0,1,0,0,0
"Revolutionary Guard",1,0,0,0,0,0
"Executive Force",1,0,0,0,0,0
"the U. General Assembly",0,0,1,0,0,0
"Black Hawk",0,0,0,1,0,0
"Kadima party",0,0,0,1,0,0
"Khair Mohammad Shuja",0,0,0,0,1,0
"NPA",1,0,0,0,0,0
"Mexico and Canada",0,0,0,0,1,0
"the Florida Department of Health",0,0,1,0,0,0
"Metro TV",1,0,0,0,0,0
"Anheuser Busch",0,0,0,1,0,0
"the Federal Reserve",0,0,1,0,0,0
"Al Arabiya",0,0,0,1,0,0
"U. S. Treasury Department",0,0,1,0,0,0
"ILO",1,0,0,0,0,0
"Armies",0,0,0,1,0,0
"U. S. newspaper",0,0,0,1,0,0
"the High Court",0,0,1,0,0,0
"Youssef Belhadj",0,0,0,0,1,0
"Niamey",1,0,0,0,0,0
"parliament",1,0,0,0,0,0
"U. S. N. Security Council",0,0,1,0,0,0
"International Affairs Committee",0,0,1,0,0,0
"The Star Magazine",0,0,1,0,0,0
"VOA West Africa",0,0,1,0,0,0
"United Nations-run",0,0,0,0,1,0
"Serbia 's Kosovo",0,0,0,0,1,0
"the UN Trust Territory of",0,0,1,0,0,0
"Newseum",0,1,0,0,0,0
"Crum Forster",0,0,0,1,0,0
"Lovato",0,1,0,0,0,0
"the Association of Southeast Asian Nations ASEAN",0,0,1,0,0,0
"Kadima",0,1,0,0,0,0
"Abu Sayyaf",1,0,0,0,0,0
"the U. N. International Atomic Energy Agency",0,0,1,0,0,0
"Model Tax Convention",0,0,0,0,1,0
"Shlomo Mor-Yosef",0,0,0,0,1,0
"the Securities and Exchange Commission",0,0,1,0,0,0
"Delta Airlines",1,0,0,0,0,0
"Mahendra Dhoni",0,0,0,0,1,0
"The Namibian Security Council",0,0,1,0,0,0
"People 's Party",1,0,0,0,0,0
"Ford",1,0,0,0,0,0
"Liberation Tigers",0,0,1,0,0,0
"WNBA",1,0,0,0,0,0
"The Federal Security Service",0,0,1,0,0,0
"United Nations World Food Program",1,0,0,0,0,0
"the Association of Southeast Asian Nation 's",0,0,1,0,0,0
"the U. S. Government Accountability",0,0,1,0,0,0
"Stanislaw Wielgus",0,1,0,0,0,0
"The al Qaida",0,0,1,0,0,0
"Saudi Interior Ministry",0,0,0,0,1,0
"Defense Ministry",1,0,0,0,0,0
"Bank Hapoalim",1,0,0,0,0,0
"Quinn",0,1,0,0,0,0
"The Lower House",0,0,1,0,0,0
"Ghazala Gardens",0,0,0,0,1,0
"Interim",0,0,1,0,0,0
"New Delhi ,",0,0,0,0,1,0
"U. S. Admiral",0,0,1,0,0,0
"Taba Hilton",0,1,0,0,0,0
"New Force",1,0,0,0,0,0
"Olmert 's centrist Kadima",0,0,0,0,1,0
"EC",1,0,0,0,0,0
"Italian Olympic",0,0,1,0,0,0
"the Fatah Hawks",0,0,1,0,0,0
"Folha de Sao Paolo",1,0,0,0,0,0
"the United Nations Environmental Program",0,0,1,0,0,0
"the International Security Assistance Force",0,0,1,0,0,0
"British Broadcasting Corporation ,",0,0,0,0,1,0
"the U. S. Gunmen",0,0,0,1,0,0
"Center for Health Protection",1,0,0,0,0,0
"Shan State Army",1,0,0,0,0,0
"The National Prayer Breakfast",0,0,1,0,0,0
"The Beijing Daily",0,0,1,0,0,0
"The European Parliament",0,0,1,0,0,0
"Guys and Dolls",0,0,0,0,1,0
"Embraer",0,0,0,1,0,0
"Sierra Leone",0,1,0,0,0,0
"Tata Motors",1,0,0,0,0,0
"NATO Airborne Early Warning and Control",0,0,1,0,0,0
"an International Atomic Energy Agency",0,0,1,0,0,0
"Korean Central News Agency",0,0,1,0,0,0
"The Institution 's Board of Regents",0,0,1,0,0,0
"Rally of Turkey",0,0,0,0,1,0
"Verez-Bencomo",0,0,0,0,1,0
"NCRI",0,0,0,1,0,0
"U. S. militaries",0,0,0,1,0,0
"Subaru",0,1,0,0,0,0
"Dawei University",1,0,0,0,0,0
"The Marxist People 's Liberation Front",0,0,1,0,0,0
"The Voice of Shariat",0,0,1,0,0,0
"Mirnyi",0,1,0,0,0,0
"The public services ministry",0,0,1,0,0,0
"the Palestinian Interior Ministry",0,0,1,0,0,0
"LCI",1,0,0,0,0,0
"the Plains Zebra",0,0,1,0,0,0
"Farewell Spit",0,0,0,0,1,0
"Court of First Instance",0,0,1,0,0,0
"The U. N. Resident Coordinator",0,0,1,0,0,0
"Creole service",0,0,0,0,1,0
"IRIN",0,0,0,1,0,0
"Maritime",0,0,1,0,0,0
"Israel Radio",0,1,0,0,0,0
"presidency",0,0,0,0,1,0
"U. N. N.",0,0,0,1,0,0
"Greenpeace",1,0,0,0,0,0
"The Vedomosti business daily",0,0,1,0,0,0
"the "" al Qaida Organization of Holy War in Iraq",0,0,1,0,0,0
"Pittsburgh Steelers",1,0,0,0,0,0
"U. S. South Korea 's",0,0,1,0,0,0
"UNITA",1,0,0,0,0,0
"Dovish Labor",0,0,0,0,1,0
"DD Acquisition Corp.",1,0,0,0,0,0
"the provincial health department",0,0,1,0,0,0
"Challenger",0,0,0,0,1,0
"Pacific First Financial Corp.",1,0,0,0,0,0
"The World Organization for Animal Health",0,0,1,0,0,0
"State for Public Diplomacy and Public Affairs",1,0,0,0,0,0
"Nightline",1,0,0,0,0,0
"the Khmer Rouge",0,0,1,0,0,0
"National Council of Resistance of Iran",0,0,1,0,0,0
"Intelogic Trace Inc.",0,0,0,0,1,0
"Venevision TV",1,0,0,0,0,0
"the Chasseurs Volontaires de Saint Domingue",0,0,1,0,0,0
"the Health Ministry",0,0,1,0,0,0
"El Coca",0,0,0,1,0,0
"Bakiyev",0,0,0,0,1,0
"eChoupal",1,0,0,0,0,0
"Noguchi",0,1,0,0,0,0
"U. S. Protection and Investigations",0,0,1,0,0,0
"International Football Federation FIFA",0,0,1,0,0,0
"Industry Thein Thun",1,0,0,0,0,0
"Italy 's La Repubblica",0,0,0,0,1,0
"Aena",1,0,0,0,0,0
"Compaq",1,0,0,0,0,0
"Gilead Sciences",1,0,0,0,0,0
"the U. N. World Food Program WFP",0,0,1,0,0,0
"KIBAKI",1,0,0,0,0,0
"the Naval Criminal Investigative Service",0,0,1,0,0,0
"National Liberation Forces",0,0,1,0,0,0
"the Santiago Court of Appeals",0,0,1,0,0,0
"The Macedonian News Agency",0,0,1,0,0,0
"Afghanistan International Security Assistance Force",0,0,1,0,0,0
"Hotmail",1,0,0,0,0,0
"Ancic",0,1,0,0,0,0
"Mainland Affairs Council",1,0,0,0,0,0
"the International Weightlifting Federation 's",0,0,1,0,0,0
"Straw",0,1,0,0,0,0
"CPP",1,0,0,0,0,0
"Mujaddedi",0,1,0,0,0,0
"The Independent Election Commission",0,0,1,0,0,0
"Logar and Nangarhar",0,0,0,0,1,0
"the Communist Party 's",0,0,1,0,0,0
"Yediot Aharonot",1,0,0,0,0,0
"Combs",1,0,0,0,0,0
"Norton",0,1,0,0,0,0
"Cite Soleil",1,0,0,0,0,0
"Al Shabab",1,0,0,0,0,0
"Babaker Zibari",0,0,0,0,1,0
"the State Department 's",0,0,1,0,0,0
"the Foreign Ministry",0,0,1,0,0,0
"European Union ,",0,0,0,0,1,0
"Castro",0,1,0,0,0,0
"Gazprom and Rosneft",0,0,0,0,1,0
"The Egyptian Health Ministry",0,0,1,0,0,0
"The U. N. 's",0,0,1,0,0,0
"Royal",1,0,0,0,0,0
"Council of Economic Advisors",1,0,0,0,0,0
"Sperling",0,1,0,0,0,0
"the National Rainbow Coalition",0,0,1,0,0,0
"King Juan Carlos",0,0,0,0,1,0
"Zhou Guocong",0,0,0,0,1,0
"Eritrea and Equatorial Guinea",0,0,0,0,1,0
"Frogs",0,0,0,1,0,0
"Paracha",0,1,0,0,0,0
"Spyglass Entertainment",1,0,0,0,0,0
"the Consumer Financial Protection Agency",0,0,1,0,0,0
"Gulag -",0,0,0,0,1,0
"The European Union Naval Force",0,0,1,0,0,0
"the U. N. Security Council 's Sanctions Committee",0,0,1,0,0,0
"The U. S. Treasury",0,0,1,0,0,0
"Dushanbe",0,1,0,0,0,0
"Financial Times",1,0,0,0,0,0
"the Unblotted Escutcheon",0,0,0,1,0,0
"Ferrari",1,0,0,0,0,0
"the Islamic Courts Union",0,0,1,0,0,0
"Association of Southeast Nations ASEAN",0,0,1,0,0,0
"the Task Force on Corruption",0,0,1,0,0,0
"U. N. agency",0,0,0,1,0,0
"La Stampa",0,0,0,0,1,0
"Charkhi",0,0,0,1,0,0
"Anatoly Chubais",0,1,0,0,0,0
"the National League Championship Series",0,0,1,0,0,0
"the All Parties Hurriyat Conference",0,0,1,0,0,0
"The Africa Partnership Initiative",0,0,1,0,0,0
"Sunday Telegraph",1,0,0,0,0,0
"International Security Assistance Force",1,0,0,0,0,0
"China Central Television",1,0,0,0,0,0
"the World Trade Center",0,0,1,0,0,0
"The United States Supreme Court",0,0,1,0,0,0
"Champion Genius",1,0,0,0,0,0
"Labor Department",1,0,0,0,0,0
"The Revolutionary Guards",0,0,1,0,0,0
"EU",1,0,0,0,0,0
"el-Mallahi",0,0,0,0,1,0
"Romanov Dynasty",0,0,0,0,1,0
"Government House",1,0,0,0,0,0
"U. S. embassy",0,0,0,1,0,0
"Baikal",0,0,0,0,1,0
"Livni",0,1,0,0,0,0
"RADICOVA",1,0,0,0,0,0
"Aftenposten",0,0,0,1,0,0
"El Fasher",0,1,0,0,0,0
"World Buddhist Summit",0,0,0,0,1,0
"Sony Columbia Acquisition Corp.",1,0,0,0,0,0
"Nizar Trabelsi",0,0,0,0,1,0
"The Islamic Militant Group",0,0,1,0,0,0
"Lynndie England",0,1,0,0,0,0
"Gamsakhurdia",0,0,0,0,1,0
"Camila",0,0,0,0,1,0
"F.B.I",0,0,0,0,1,0
"Freedom House",1,0,0,0,0,0
"Constitution Drafting Council",1,0,0,0,0,0
"Vigilant Eagle",1,0,0,0,0,0
"BPA",0,1,0,0,0,0
"EEC",1,0,0,0,0,0
"The U. S. Energy Department",0,0,1,0,0,0
"Federal Bureau of Investigation",1,0,0,0,0,0
"The West Indies '",0,0,1,0,0,0
"Council on American Islamic Relations",0,0,1,0,0,0
"Yasukuni",0,0,0,0,1,0
"Kujundzic",0,0,0,0,1,0
"the Brazilian congress",0,0,1,0,0,0
"Baghdad University",0,0,0,0,1,0
"The Department of Health",1,0,0,0,0,0
"The West Indies",0,0,1,0,0,0
"the Salafist Group for Call and Combat",0,0,1,0,0,0
"the Christian Social Union",0,0,1,0,0,0
"The Organization of the Islamic Conference",0,0,1,0,0,0
"India Aurobindo Pharma",0,0,1,0,0,0
"Coalition Forces",1,0,0,0,0,0
"the Bolivarian Alternative for the Americas",0,0,1,0,0,0
"the Jammu Kashmir Liberation Front",0,0,1,0,0,0
"British General",0,0,0,0,1,0
"Stratfor",0,1,0,0,0,0
"Natsios",0,1,0,0,0,0
"the United Nations Convention Against Torture",0,0,1,0,0,0
"National Security Service",1,0,0,0,0,0
"the American Association for the Advancement of Science",0,0,1,0,0,0
"Elco",0,0,0,0,1,0
"the International Football Federation FIFA",0,0,1,0,0,0
"U. N. Human Rights Commission",0,0,1,0,0,0
"the Roman Catholic Church 's",0,0,1,0,0,0
