Entity,COR,INC,PAR,SPU,MIS,IGN
"Iron Lady",0,0,0,0,1,0
"Endeavor",0,0,0,0,1,0
"Farsi",0,1,0,0,0,0
"al-Jazeera",0,0,0,0,1,0
"Chinese",1,0,0,0,0,0
"Notting Hill",0,0,0,0,1,0
"Hadassah",0,0,0,0,1,0
"@dalailama",0,0,0,0,1,0
"Haitian Creole",0,0,0,0,1,0
"Date Doctor",0,0,0,0,1,0
"Endless Wire",0,0,0,0,1,0
"Urbi et Orbi",0,0,0,0,1,0
"Literature",0,0,0,0,1,0
"Jeep",0,0,0,0,1,0
"Kabul Declaration",0,0,0,0,1,0
"Russian",1,0,0,0,0,0
"Destiny",0,0,0,0,1,0
"British pound",0,0,0,0,1,0
"english",1,0,0,0,0,0
"Qur'an",0,0,0,0,1,0
"Arabic",1,0,0,0,0,0
"Torgelow",0,0,0,0,1,0
"Pangandaran",0,1,0,0,0,0
"Redline",0,0,0,0,1,0
"Kommersant",0,0,0,0,1,0
"Malawi",0,1,0,0,0,0
"McCloud",0,0,0,0,1,0
"settlement",0,0,0,0,1,0
"Miltzow",0,0,0,0,1,0
"mbalax",0,0,0,0,1,0
"Nobel-Prize",0,0,0,0,1,0
"Deir al Balah",0,0,0,0,1,0
"Dodge",0,0,0,0,1,0
"English",1,0,0,0,0,0
"Da Vinci Code",0,0,0,0,1,0
"El~Commercio",0,0,0,0,1,0
"Emmy",0,0,0,0,1,0
"GDP",0,0,0,0,1,0
"The English Roses",0,0,0,0,1,0
"Danish",0,1,0,0,0,0
"Ills",0,0,0,0,1,0
"Culture Minister",0,0,0,0,1,0
"Haqooq-i-Zan",0,0,0,0,1,0
"Eindhoven",0,1,0,0,0,0
"Buddhism",0,0,0,0,1,0
"Topol-M",0,0,0,0,1,0
"Group-B",0,0,0,0,1,0
"Crittercam",0,0,0,0,1,0
"Nuclear Non-Proliferation",0,0,0,0,1,0
"Dignity on",0,0,0,0,1,0
"French",1,0,0,0,0,0
"Spanish",1,0,0,0,0,0
"hip-hop",0,0,0,0,1,0
"Filipino",0,1,0,0,0,0
"iTunes",0,0,0,0,1,0
"Cassini",0,0,0,0,1,0
"Blueberry Hill",0,0,0,0,1,0
"Latest News",0,0,0,0,1,0
"Than Him",0,0,0,0,1,0
"beatboxing",0,0,0,0,1,0
"When We Left Earth :",0,0,0,0,1,0
"Portuguese",1,0,0,0,0,0
"NRC Handelsblad",0,0,0,0,1,0
"Enzos",0,0,0,0,1,0
*TOTAL*,8,6,0,0,300,0
