Entity,COR,INC,PAR,SPU,MIS,IGN
"the International Compact on Iraq",0,0,1,0,0,0
"Non Proliferation Treaty",0,0,1,0,0,0
"al-Jazeera",0,0,0,0,1,0
"Notting Hill",0,0,0,0,1,0
"the Nuclear Non Proliferation treaty",0,0,1,0,0,0
"the United Nations Convention Against Torture",0,0,1,0,0,0
"Dayton Peace Agreement",0,0,1,0,0,0
"Date Doctor",0,0,0,0,1,0
"Urbi et Orbi",0,0,0,0,1,0
"Kabul Declaration",0,0,0,0,1,0
"The Kyoto Protocol",0,0,0,1,0,0
"The Amended Compact of Free Association",0,0,1,0,0,0
"Roe",0,1,0,0,0,0
"British pound",0,0,0,0,1,0
"Qur'an",0,0,0,0,1,0
"Chapter Seven",0,0,0,1,0,0
"Decree 101",0,0,0,1,0,0
"Deir al Balah",0,0,0,0,1,0
"Kyoto Protocol",0,1,0,0,0,0
"a Comprehensive Peace Agreement",0,0,0,1,0,0
"the Amended Compact of Free Association",0,0,1,0,0,0
"The "" Rolling Thunder """,0,0,0,1,0,0
"an Interim Poverty Reduction and Growth Facility",0,0,1,0,0,0
"Buddhism",0,0,0,0,1,0
"Topol-M",0,0,0,0,1,0
"Basic Law",0,0,0,1,0,0
"Crittercam",0,0,0,0,1,0
"the new constitution",0,0,1,0,0,0
"Dignity on",0,0,0,0,1,0
"Opportunity Act",0,1,0,0,0,0
"the Maastricht Treaty",0,0,0,1,0,0
"P 50",0,0,0,1,0,0
"ACCORD",0,0,0,1,0,0
"the Euro 2008",0,0,0,1,0,0
"Endeavor",0,0,0,0,1,0
"Formula 1",0,0,0,1,0,0
"the Compact of Free Association",0,0,1,0,0,0
"Hadassah",0,0,0,0,1,0
"@dalailama",0,0,0,0,1,0
"the Geneva Conventions",0,0,1,0,0,0
"Haitian Creole",0,0,0,0,1,0
"Literature",0,0,0,0,1,0
"the Endangered Species Act",0,0,1,0,0,0
"The EU Treaty",0,0,0,1,0,0
"Redline",0,0,0,0,1,0
"Miltzow",0,0,0,0,1,0
"mbalax",0,0,0,0,1,0
"The "" Roe versus Wade "" Supreme Court",0,0,0,1,0,0
"a Poverty Reduction and Growth Facility",0,0,1,0,0,0
"Chapter 11",0,0,0,1,0,0
"El~Commercio",0,0,0,0,1,0
"Emmy",0,0,0,0,1,0
"Ills",0,0,0,0,1,0
"Culture Minister",0,0,0,0,1,0
"Haqooq-i-Zan",0,0,0,0,1,0
"Group-B",0,0,0,0,1,0
"the Nuclear Non Proliferation Treaty",0,0,1,0,0,0
"the Constitution",0,0,1,0,0,0
"hip-hop",0,0,0,0,1,0
"the Dayton Peace Accords",0,0,1,0,0,0
"iTunes",0,0,0,0,1,0
"the Geneva Convention",0,0,1,0,0,0
"Unlawful Gaming Act",0,1,0,0,0,0
"Blueberry Hill",0,0,0,0,1,0
"Than Him",0,0,0,0,1,0
"NRC Handelsblad",0,0,0,0,1,0
"Iron Lady",0,0,0,0,1,0
"the Heavily Indebted Poor Countries HIPC",0,0,0,1,0,0
"Bastion 2004",0,1,0,0,0,0
"Mongol domination 13th 15th centuries",0,0,1,0,0,0
"A State Treaty",0,0,0,1,0,0
"the U. S. Constitution",0,0,1,0,0,0
"Kommersant",0,0,0,0,1,0
"the Constitutional Charter of Serbia",0,0,1,0,0,0
"The CAC 40",0,0,0,1,0,0
"International Law",0,1,0,0,0,0
"Blades Of Glory",1,0,0,0,0,0
"Strategic Arms Reduction Treaty",1,0,0,0,0,0
"a WTO Agreement on Textiles and Clothing",0,0,1,0,0,0
"Dodge",0,0,0,0,1,0
"the Treaty of Waitangi",0,1,0,0,0,0
"The English Roses",0,0,0,0,1,0
"Nuclear Non-Proliferation",0,0,0,0,1,0
"Article 17",0,0,0,1,0,0
"The Patriot Act",0,0,1,0,0,0
"the Treaty of Kanagawa",0,0,0,1,0,0
"Cassini",0,0,0,0,1,0
"the Antarctic Treaty",0,0,0,1,0,0
"the Marshall Plan",0,0,0,1,0,0
"the Grand Flashing Inaccessible",0,0,0,1,0,0
"Millennium Challenge Compact",0,1,0,0,0,0
"Moor Arab Berber",0,0,0,1,0,0
"the Kyoto Protocol",0,0,0,1,0,0
"Enzos",0,0,0,0,1,0
"Sharia",0,1,0,0,0,0
"the Law of Return",0,0,0,1,0,0
"Green New Job Creation Plan",0,0,1,0,0,0
"the National Security Law",0,0,1,0,0,0
"Endless Wire",0,0,0,0,1,0
"A Compact of Free Association",0,0,1,0,0,0
"the 111th Fighter Wing",0,0,0,1,0,0
"SA 18",0,0,0,1,0,0
"Jeep",0,0,0,0,1,0
"the African Growth and Opportunity Act",0,0,1,0,0,0
"Destiny",0,0,0,0,1,0
"the Olympic Cauldron",0,0,1,0,0,0
"Torgelow",0,0,0,0,1,0
"the Patriot Act",0,0,1,0,0,0
"the EU Treaty",0,0,0,1,0,0
