Entity,COR,INC,PAR,SPU,MIS,IGN
"al-Jazeera",0,0,0,0,1,0
"Notting Hill",0,0,0,0,1,0
"Dejarte de Amar",1,0,0,0,0,0
"Plan C",0,0,1,0,0,0
"Nobel Peace Prize laureate Aung San Suu Kyi",0,0,1,0,0,0
"Peace Mission 2005",0,0,1,0,0,0
"Nobel peace prize",0,0,1,0,0,0
"King Victor EMMANUEL II",0,1,0,0,0,0
"2007 WD5",0,1,0,0,0,0
"Godfather of Soul",0,1,0,0,0,0
"the Queen of Birds",0,0,0,1,0,0
"Date Doctor",0,0,0,0,1,0
"the "" Goddess of Democracy",0,0,0,1,0,0
"Urbi et Orbi",0,0,0,0,1,0
"Kabul Declaration",0,0,0,0,1,0
"Rodina , Pensioners and Life Union of Trust",0,0,1,0,0,0
"H5N1",0,1,0,0,0,0
"No Child Left Behind "" Act",0,0,0,1,0,0
"British pound",0,0,0,0,1,0
"Qur'an",0,0,0,0,1,0
"Operation Mountain Lion",0,0,1,0,0,0
"Open Net Initiative",0,1,0,0,0,0
"Way Forward",0,1,0,0,0,0
"Yasukuni",0,1,0,0,0,0
"the No Child Left Behind Act",0,0,1,0,0,0
"Vultures",0,0,0,1,0,0
"Champion of Champions",0,0,1,0,0,0
"Deir al Balah",0,0,0,0,1,0
"Feeling Good",0,0,0,1,0,0
"a Nobel Peace",0,0,1,0,0,0
"Our Lady of Salvation",0,0,1,0,0,0
"Keeping the Promise",0,0,0,1,0,0
"Chemical Ali",0,1,0,0,0,0
"For Your Eyes Only",1,0,0,0,0,0
"The Hare",0,0,0,1,0,0
"Orange Revolution",0,1,0,0,0,0
"Buddhism",0,0,0,0,1,0
"Topol-M",0,0,0,0,1,0
"' A MAN to Whom Time Was Money",0,0,1,0,0,0
"Crittercam",0,0,0,0,1,0
"Dignity on",0,0,0,0,1,0
"the Fig Tree",0,0,0,1,0,0
"YouTube",1,0,0,0,0,0
"Road Map",0,0,0,1,0,0
"Spring Awakening",0,0,0,1,0,0
"Bible",0,1,0,0,0,0
"A Son de Guerraas",1,0,0,0,0,0
"Smells Like Teen Spirit",1,0,0,0,0,0
"Out Loud",0,0,0,1,0,0
"Save the Children",0,1,0,0,0,0
"Akash",1,0,0,0,0,0
"The Rape of Nanking",0,0,0,1,0,0
"Today is March 12",0,0,0,1,0,0
"Single of the Year awards",0,0,0,1,0,0
"Tigers",0,1,0,0,0,0
"Media Bill",0,0,0,1,0,0
""" The Wizard of Oz """,0,0,0,1,0,0
"A U. S.",0,0,0,1,0,0
"Nobel",1,0,0,0,0,0
"The Whole Truth , Nothing But The Truth",0,0,0,1,0,0
"Endeavor",0,0,0,0,1,0
"The King Of Cool",0,0,0,1,0,0
"Nobel Peace Prize",0,1,0,0,0,0
"the Ministries of Agriculture , Defense , Energy and Information",0,0,1,0,0,0
"Grammy Award",1,0,0,0,0,0
"Hadassah",0,0,0,0,1,0
"@dalailama",0,0,0,0,1,0
"the Horizon Award",0,0,1,0,0,0
"Haitian Creole",0,0,0,0,1,0
"Yankee",0,0,0,1,0,0
"Literature",0,0,0,0,1,0
"the Nobel Peace",0,0,1,0,0,0
"Not Ready To Make Nice",0,0,0,1,0,0
"Spider Man 3",0,0,0,1,0,0
"Christmas Eve in the Holy Land",0,0,0,1,0,0
"The Secret Organization of al Qaida in Europe",0,0,1,0,0,0
"A PUBLIC Treasury",0,0,0,1,0,0
"Napoleonic",0,1,0,0,0,0
"Redline",0,0,0,0,1,0
