Entity,COR,INC,PAR,SPU,MIS,IGN
"Nepal",1,0,0,0,0,0
"U. S. China",0,0,1,0,0,0
"eastern Iraq",0,0,0,0,1,0
"southern Ethiopia",0,0,0,0,1,0
"Glen Canyon Dam",0,1,0,0,0,0
"06-Feb",0,0,0,0,1,0
"Karkh Prison",0,1,0,0,0,0
"Gibraltar",1,0,0,0,0,0
"Pluto",1,0,0,0,0,0
"Fayoum",1,0,0,0,0,0
"Palestine",1,0,0,0,0,0
"Su-24",0,0,0,0,1,0
"Baltimore",1,0,0,0,0,0
"downtown Beirut",0,0,0,0,1,0
"Buenos Aires. Argentina",0,0,1,0,0,0
"Parchin",1,0,0,0,0,0
"Borena",1,0,0,0,0,0
"Mumbai.",0,0,1,0,0,0
"OIC Secretary-General Ekmeleddin Ihsanoglu",0,0,0,0,1,0
"Ates",0,0,0,0,1,0
"Tyre",0,0,0,0,1,0
"Maarib province",0,0,0,1,0,0
"Omaha",1,0,0,0,0,0
"Red Cross. Bangladesh",0,0,1,0,0,0
"Hu Jintao. Germany",0,0,1,0,0,0
"Mosul",1,0,0,0,0,0
"Mazar e Sharif",0,0,0,1,0,0
"Kabul. U. S.",0,0,1,0,0,0
"Bird 's Nest Stadium",0,1,0,0,0,0
"Luxembourg. EU",0,0,1,0,0,0
"Bermel",1,0,0,0,0,0
"Washington , DC",0,0,1,0,0,0
"Adaado. The U. S.",0,0,1,0,0,0
"St. Kitts and Nevis",0,0,1,0,0,0
"Miltzow",0,0,0,0,1,0
"Taipei",1,0,0,0,0,0
"Pacific Ocean",1,0,0,0,0,0
"Millennium Retailing",0,0,0,0,1,0
"Canada",1,0,0,0,0,0
"Asia. Authorities",0,0,1,0,0,0
"Rashad",1,0,0,0,0,0
"Arctic Ocean",1,0,0,0,0,0
"Prince Saud. Israel",0,0,1,0,0,0
"Baghdad. The United States",0,0,1,0,0,0
"Russia.",0,0,1,0,0,0
"Niamey",1,0,0,0,0,0
"Interahamwe",0,0,0,0,1,0
"Shurja",1,0,0,0,0,0
"Valparaiso",1,0,0,0,0,0
"Syria. Israel",0,0,1,0,0,0
"Netanya.",0,0,1,0,0,0
"Adelaide",1,0,0,0,0,0
"Jaffna",1,0,0,0,0,0
"United Nations-run",0,0,0,0,1,0
"Bogra",1,0,0,0,0,0
"Britain. Slovakia",0,0,1,0,0,0
"Egypt. Egypt",0,0,1,0,0,0
"southern Kurdistan",0,0,0,0,1,0
"Raba",1,0,0,0,0,0
"Kamchatka Peninsula",1,0,0,0,0,0
"Sulawesi Sea",0,0,0,0,1,0
"Emmen",0,0,0,0,1,0
"Polska",0,0,0,0,1,0
"Palpa",1,0,0,0,0,0
"Central Highlands",1,0,0,0,0,0
"Republic of Iraq",0,0,1,0,0,0
"Diyala province. Several U. S.",0,0,1,0,0,0
"Taiwan. North Korea",0,0,1,0,0,0
"Dhahran",1,0,0,0,0,0
"UBT Ocean",1,0,0,0,0,0
"Dengfeng",0,0,0,0,1,0
"eastern China",0,0,0,0,1,0
"Salvadorans",0,0,0,0,1,0
"Aqsa Martyrs Brigades.",0,0,1,0,0,0
"Dow Jones Industrial Average",0,0,0,0,1,0
"South Asia",1,0,0,0,0,0
"Corpus Christi",1,0,0,0,0,0
"North Korea. China",0,0,1,0,0,0
"democratic Iraq",0,0,0,0,1,0
"Gulf of Guinea",1,0,0,0,0,0
"Kadhimiya",1,0,0,0,0,0
"START I",0,0,0,0,1,0
"Stade de France",1,0,0,0,0,0
"February. USA",0,0,1,0,0,0
"Palnoo",1,0,0,0,0,0
"Ethiopia",1,0,0,0,0,0
"Western U. S.",0,0,1,0,0,0
"Port-au-Prince",0,0,0,0,1,0
"of Campo",0,0,0,0,1,0
"Tokyo. Japan",0,0,1,0,0,0
"eastern Yemen",0,0,0,0,1,0
"Hollywood",1,0,0,0,0,0
"Arboleda",0,0,0,0,1,0
"Tula",1,0,0,0,0,0
"Serbs",0,0,0,0,1,0
"Lower Juba",1,0,0,0,0,0
"Canada. Afghanistan",0,0,1,0,0,0
"south Asian beach",0,0,0,0,1,0
"West Bank. Hospital",0,0,1,0,0,0
"Foca",1,0,0,0,0,0
"Manshiyet Nasr",1,0,0,0,0,0
"Bosporus Turkey",0,0,1,0,0,0
"Kearny",1,0,0,0,0,0
"Tachileik",1,0,0,0,0,0
"Isfahan. The United States",0,0,1,0,0,0
"Hassan. Britain",0,0,1,0,0,0
"Frankfurt",1,0,0,0,0,0
"Singur",1,0,0,0,0,0
"Lyon",1,0,0,0,0,0
"Finns",0,0,0,0,1,0
"Britain. North Korea",0,0,1,0,0,0
"eastern Baghdad",0,0,0,0,1,0
"Khost province",0,0,1,0,0,0
"Sevastopol",1,0,0,0,0,0
"Promises",0,0,0,0,1,0
"Bijeljina",1,0,0,0,0,0
"Balkans. Court",0,0,1,0,0,0
"hip-hop",0,0,0,0,1,0
"South Waziristan.",0,0,1,0,0,0
"Yucatan peninsula",1,0,0,0,0,0
"Palestinian territory. Turkey",0,0,1,0,0,0
"Empire State Building New York City",0,0,1,0,0,0
"Eritrea",1,0,0,0,0,0
"Ohrid",1,0,0,0,0,0
"Lago Agrio",1,0,0,0,0,0
"Mexico City",1,0,0,0,0,0
"Torun. Allies of Iran",0,0,1,0,0,0
"Turkey. Afghanistan",0,0,1,0,0,0
"December. China",0,0,1,0,0,0
"oil-rich Gulf of Guinea",0,0,0,0,1,0
"Dodge",0,0,0,0,1,0
"Pakistan. Nigeria",0,0,1,0,0,0
"Syria. U. S.",0,0,1,0,0,0
"Pointe Noire",0,0,0,0,1,0
"The English Roses",0,0,0,0,1,0
"Beni Suef",1,0,0,0,0,0
"Prijedor",1,0,0,0,0,0
"Hafun",1,0,0,0,0,0
"New Delhi",1,0,0,0,0,0
"Sirte",1,0,0,0,0,0
"Abu Ghraib. That Abu Ghraib",0,0,1,0,0,0
"British Columbia",0,0,1,0,0,0
"Manhattan District",0,0,0,0,1,0
"Nyasaland",1,0,0,0,0,0
"Bujumbura.",0,0,1,0,0,0
"New Zealand. China",0,0,1,0,0,0
"Qalat",1,0,0,0,0,0
"Israeli Israeli",0,0,0,0,1,0
"South Ossetia",1,0,0,0,0,0
"Iran enrich",0,0,0,0,1,0
"Liliput",0,0,0,0,1,0
"Lilongwe",1,0,0,0,0,0
"Hargeisa",1,0,0,0,0,0
"Sistan Baluchistan",0,0,1,0,0,0
"Shadi Kor",0,0,0,0,1,0
"West Sumatra",1,0,0,0,0,0
"Pacific Ocean.",0,0,1,0,0,0
"Sardinia",1,0,0,0,0,0
"Cheecha Watni",1,0,0,0,0,0
"Venezuela. Venezuela",0,0,1,0,0,0
"Soviet-era",0,0,0,0,1,0
"Baghdad. Jeffrey",0,0,1,0,0,0
"Taiwan.",0,0,1,0,0,0
"Turin",1,0,0,0,0,0
"Yushu",1,0,0,0,0,0
"U. Naval",0,0,0,1,0,0
"West Bank. Putin",0,0,1,0,0,0
"Tokugawa shogunate",0,0,0,0,1,0
"Geneva",1,0,0,0,0,0
"06-Apr",0,0,0,0,1,0
"ROK",1,0,0,0,0,0
"Atomstroyexport",0,0,0,0,1,0
"Dhaka.",0,0,1,0,0,0
"Merajudeen Patan",0,1,0,0,0,0
"Sharm el Sheik",0,0,0,1,0,0
"US Virgin Islands",0,1,0,0,0,0
"Liberian",0,0,0,0,1,0
"Kuta",0,0,0,0,1,0
"Brunei",1,0,0,0,0,0
"Washington DC",0,0,1,0,0,0
"Khuzestan",1,0,0,0,0,0
"Mississippi River",1,0,0,0,0,0
"Hanifa",0,0,1,0,0,0
"Sperling",0,1,0,0,0,0
"Norway. New Zealand",0,0,1,0,0,0
"Badgesty",0,0,0,0,1,0
"Dili",0,1,0,0,0,0
"the Newseum",0,0,0,0,1,0
"Sunda Strait",1,0,0,0,0,0
"United States. Pakistan",0,0,1,0,0,0
"Inguri",1,0,0,0,0,0
"Islamabad. Pakistan",0,0,1,0,0,0
