Entity,COR,INC,PAR,SPU,MIS,IGN
"45 %",0,0,0,0,0,1
"14 %",0,0,0,0,0,1
"two percent Tuesday. S. Federal Reserve",0,0,0,0,0,1
"50 %",0,0,0,0,0,1
"90 percent",0,0,0,0,0,1
"58 percent",0,0,0,0,0,1
"8 %",0,0,0,0,0,1
"56 percent",0,0,0,0,0,1
"91 %",0,0,0,0,0,1
"42 percent",0,0,0,0,0,1
"63 percent",0,0,0,0,0,1
"one percent",0,0,0,0,0,1
"20 %",0,0,0,0,0,1
"98 %",0,0,0,0,0,1
"6 percent",0,0,0,0,0,1
"5 %",0,0,0,0,0,1
"47 %",0,0,0,0,0,1
"five percent margin of possible error. Forty three percent",0,0,0,0,0,1
"120 %",0,0,0,0,0,1
"27 percent",0,0,0,0,0,1
"98 percent",0,0,0,0,0,1
"44 percent",0,0,0,0,0,1
"64 percent",0,0,0,0,0,1
"55 %",0,0,0,0,0,1
"31 percent",0,0,0,0,0,1
"7 percent",0,0,0,0,0,1
"seven percent",0,0,0,0,0,1
"73 percent",0,0,0,0,0,1
"52 percent",0,0,0,0,0,1
"51 %",0,0,0,0,0,1
"28 %",0,0,0,0,0,1
"21 percentage point",0,0,0,0,0,1
"40 %",0,0,0,0,0,1
"75 percent",0,0,0,0,0,1
"82 %",0,0,0,0,0,1
"36 percent",0,0,0,0,0,1
"45 percent",0,0,0,0,0,1
"95 percent",0,0,0,0,0,1
"11 percent",0,0,0,0,0,1
"5 percentage points",0,0,0,0,0,1
"77 %",0,0,0,0,0,1
"90 %",0,0,0,0,0,1
"72 %",0,0,0,0,0,1
"two percent",0,0,0,0,0,1
"16 %",0,0,0,0,0,1
"08 percent",0,0,0,0,0,1
"37 percent",0,0,0,0,0,1
"75 %",0,0,0,0,0,1
"33 percent",0,0,0,0,0,1
"16. 8 percent last year.",0,0,0,0,0,1
"9 %",0,0,0,0,0,1
"80 percent",0,0,0,0,0,1
"35 percent",0,0,0,0,0,1
"54 percent",0,0,0,0,0,1
"50 percent",0,0,0,0,0,1
"83 percent",0,0,0,0,0,1
"97 percent",0,0,0,0,0,1
"70 %",0,0,0,0,0,1
"47 percent",0,0,0,0,0,1
"34 percent",0,0,0,0,0,1
"49 percent",0,0,0,0,0,1
"2 %",0,0,0,0,0,1
"60 %",0,0,0,0,0,1
"10 percent",0,0,0,0,0,1
"12 percent",0,0,0,0,0,1
"17 percent",0,0,0,0,0,1
"58 %",0,0,0,0,0,1
"24 percent",0,0,0,0,0,1
"9 percent",0,0,0,0,0,1
"5 percent",0,0,0,0,0,1
"16 percent",0,0,0,0,0,1
"10 %",0,0,0,0,0,1
"22 percent",0,0,0,0,0,1
"100 percent",0,0,0,0,0,1
"1 %",0,0,0,0,0,1
"71 percent",0,0,0,0,0,1
"92 percent",0,0,0,0,0,1
"8 percent",0,0,0,0,0,1
"30 percent",0,0,0,0,0,1
"84 percent",0,0,0,0,0,1
"39 percent",0,0,0,0,0,1
"19 %",0,0,0,0,0,1
"about three percent",0,0,0,0,0,1
"7 %",0,0,0,0,0,1
"65 percent",0,0,0,0,0,1
"40 percent",0,0,0,0,0,1
"32 percent",0,0,0,0,0,1
"95 %",0,0,0,0,0,1
"89 percent",0,0,0,0,0,1
"25 percent",0,0,0,0,0,1
"41 percent",0,0,0,0,0,1
"81 %",0,0,0,0,0,1
"62 percent",0,0,0,0,0,1
"15 %",0,0,0,0,0,1
"93 percent",0,0,0,0,0,1
"21 percent",0,0,0,0,0,1
"32 %",0,0,0,0,0,1
"five percent",0,0,0,0,0,1
"eighty percent",0,0,0,0,0,1
"20 percent",0,0,0,0,0,1
"1. 5 percent",0,0,0,0,0,1
"7. 8 percent",0,0,0,0,0,1
"18 percent",0,0,0,0,0,1
"13 percent",0,0,0,0,0,1
"six percent",0,0,0,0,0,1
"19 percent",0,0,0,0,0,1
"1 percent",0,0,0,0,0,1
"4 percent",0,0,0,0,0,1
"100 %",0,0,0,0,0,1
"53 %",0,0,0,0,0,1
"55 percent",0,0,0,0,0,1
"30 %",0,0,0,0,0,1
"15 percent",0,0,0,0,0,1
"one percentage point",0,0,0,0,0,1
"26 percent",0,0,0,0,0,1
"0 %",0,0,0,0,0,1
"48 percent",0,0,0,0,0,1
"85 %",0,0,0,0,0,1
"80 %",0,0,0,0,0,1
"two percent Wednesday",0,0,0,0,0,1
"Fifteen percent",0,0,0,0,0,1
"60 percent",0,0,0,0,0,1
"29 percent",0,0,0,0,0,1
"130 %",0,0,0,0,0,1
"4 %",0,0,0,0,0,1
"51 percent",0,0,0,0,0,1
"four percent",0,0,0,0,0,1
"2 percent",0,0,0,0,0,1
"53 percent",0,0,0,0,0,1
"1. 9 percent",0,0,0,0,0,1
"185 %",0,0,0,0,0,1
"2. 3 percent",0,0,0,0,0,1
"12 %",0,0,0,0,0,1
"eight percent",0,0,0,0,0,1
"3 %",0,0,0,0,0,1
"70 percent",0,0,0,0,0,1
"28 percent",0,0,0,0,0,1
"3 percentage points",0,0,0,0,0,1
"Apr %",0,0,0,0,0,1
"500 percent",0,0,0,0,0,1
"36 %",0,0,0,0,0,1
"25 %",0,0,0,0,0,1
"325 %",0,0,0,0,0,1
"8 percent. 5 percent",0,0,0,0,0,1
"23 %",0,0,0,0,0,1
"18 %",0,0,0,0,0,1
"6 %",0,0,0,0,0,1
"17 %",0,0,0,0,0,1
"115 %",0,0,0,0,0,1
"5 percent last year",0,0,0,0,0,1
"65 %",0,0,0,0,0,1
"46 percent",0,0,0,0,0,1
"88 percent",0,0,0,0,0,1
"43 percent during the first 11 months of this year.",0,0,0,0,0,1
"61 percent",0,0,0,0,0,1
"35 %",0,0,0,0,0,1
"54 %",0,0,0,0,0,1
"50 percent earlier this month",0,0,0,0,0,1
"23 percent",0,0,0,0,0,1
"13 %",0,0,0,0,0,1
"1,500 percent",0,0,0,0,0,1
"68 %",0,0,0,0,0,1
"38 percent",0,0,0,0,0,1
"63 %",0,0,0,0,0,1
"Ninety percent",0,0,0,0,0,1
"14 percent",0,0,0,0,0,1
"3 percent",0,0,0,0,0,1
"57 percent",0,0,0,0,0,1
"85 percent",0,0,0,0,0,1
"81 percent",0,0,0,0,0,1
"30 percent last year. Ninety percent",0,0,0,0,0,1
"76 percent",0,0,0,0,0,1
"78 percent",0,0,0,0,0,1
"68 percent",0,0,0,0,0,1
"three percent",0,0,0,0,0,1
"59 percent",0,0,0,0,0,1
"11 %",0,0,0,0,0,1
"99 percent",0,0,0,0,0,1
"33 %",0,0,0,0,0,1
*TOTAL*,0,0,0,0,0,179
