Entity,COR,INC,PAR,SPU,MIS,IGN
"Auschwitz",0,1,0,0,0,0
"al-Jazeera",0,0,0,0,1,0
"the Nobel Sanctuary",0,0,1,0,0,0
"Guantanamo Bay",0,1,0,0,0,0
"the Smithsonian Castle",0,0,1,0,0,0
"the Traders Hotel",0,0,0,1,0,0
"Karkh Prison",0,1,0,0,0,0
"Saint Patrick 's Cathedral",0,0,1,0,0,0
"Nevsky Prospekt",0,1,0,0,0,0
"Haifa Street",0,1,0,0,0,0
"Mall",0,1,0,0,0,0
"the Baghdad Convention Center",0,0,1,0,0,0
"the South Korean Embassy",0,0,1,0,0,0
"Norsemen",0,0,0,1,0,0
"the Australian Embassy",0,0,0,1,0,0
"the Park Avenue Armory",0,0,0,1,0,0
"Tel As Sultan",0,0,0,1,0,0
"Paya Lebar Air Base",0,0,0,1,0,0
"Ghazala Gardens",0,1,0,0,0,0
"the Japanese Embassy",0,0,1,0,0,0
"the Aquatics Center",0,0,0,1,0,0
"A9 motorway",0,0,0,1,0,0
"the U. S. Consulate",0,0,1,0,0,0
"Stadium of Light",1,0,0,0,0,0
"Palestine Hotel",0,1,0,0,0,0
"Papal",0,1,0,0,0,0
"the Prudential Building",0,0,0,1,0,0
"the Sigou Coal Mine",0,0,0,1,0,0
"Nahr el Bared camp",0,0,0,1,0,0
"the Princess Juliana International Airport",0,0,1,0,0,0
"Nanhai Park",0,1,0,0,0,0
"Great Hall of the People",0,0,0,1,0,0
"the World Trade Center",0,0,0,1,0,0
"Bird 's Nest Stadium",0,1,0,0,0,0
"the Dome of the Capitol",0,0,1,0,0,0
"The Volganeft 139",0,0,0,1,0,0
"the Western Wall",0,0,1,0,0,0
"the Great Wall of China",0,0,0,1,0,0
"the South Bank Arts Center",0,0,0,1,0,0
"Beijing International Airport",0,1,0,0,0,0
"the Myitsone Dam",0,0,1,0,0,0
"MoveOn.org",0,0,0,0,1,0
"the Queensland Museum",0,0,0,1,0,0
"the Shenzhou Five",0,0,0,1,0,0
"the Abdel Qadir Gilani Mosque",0,0,0,1,0,0
"a Refuge Complex",0,0,0,1,0,0
"St",0,0,1,0,0,0
"the New Orleans Arena",0,0,0,1,0,0
"the Line of Control",0,0,1,0,0,0
"The Kandill Observatory",0,0,0,1,0,0
"Central Secretariat",0,1,0,0,0,0
"the Via Baltica",0,0,0,1,0,0
"the Ler Per Her",0,0,0,1,0,0
"iTunes",0,0,0,0,1,0
""" Jama Masjid """,0,0,0,1,0,0
"Wall Street",0,1,0,0,0,0
"May Day Stadium",0,1,0,0,0,0
"La Maddalena",0,1,0,0,0,0
"San Petronio basilica",0,0,1,0,0,0
"Mecca Mashjid",0,0,0,1,0,0
"the Thai Union 3",0,0,1,0,0,0
"Typhoon Sepat",0,1,0,0,0,0
"405 157",0,0,0,1,0,0
"the John F. Kennedy Hospital",0,0,0,1,0,0
"Real Madrid 's",0,0,0,1,0,0
"Ronald Reagan National airport",0,0,1,0,0,0
"the Hanoi Botanical Garden",0,0,0,1,0,0
"the Beijing Zoo",0,0,1,0,0,0
"the White House",0,0,0,1,0,0
"Olympic Stadium",1,0,0,0,0,0
"Guantanamo Bay US Naval Base",0,1,0,0,0,0
"Iles Eparses",0,1,0,0,0,0
"Main Street",0,1,0,0,0,0
"Newseum",1,0,0,0,0,0
"Hadassah Hospital",0,1,0,0,0,0
"the Russian Embassy",0,0,1,0,0,0
"Fort Sam Houston",0,1,0,0,0,0
"O'Hare International Airport",0,1,0,0,0,0
"the Lincoln Memorial",0,0,0,1,0,0
"Kremlin",0,1,0,0,0,0
"Birds",0,0,0,1,0,0
"the Adi Abeto",0,0,0,1,0,0
"Arak",0,1,0,0,0,0
"the Chinese Embassy",0,0,1,0,0,0
"Shadi Kor dam",0,0,0,1,0,0
"the Great Pyramids",0,0,0,1,0,0
"Zhulyany airport",0,1,0,0,0,0
"Alamodome",0,1,0,0,0,0
"Ile Saint Paul",0,0,0,1,0,0
"bisphenol A",0,0,0,0,1,0
"the Al Nida Mosque",0,0,0,1,0,0
"the U. S. National Hurricane Center",0,0,1,0,0,0
"the Berlin Wall",0,0,0,1,0,0
"Washington D. C. Memorial",0,0,1,0,0,0
"the Abu Ghraib",0,0,1,0,0,0
"Khao Lak beach",0,1,0,0,0,0
"Ai n't That a Shame",0,0,0,0,1,0
"beatboxing",0,0,0,0,1,0
"al Azhar Mosque",0,0,0,1,0,0
"Al Kibar",0,1,0,0,0,0
"the Kennedy Space Center",0,0,0,1,0,0
"Eden Gardens",0,1,0,0,0,0
"the Great Smoky Mountains National Park",0,0,1,0,0,0
"Tiananmen Square",0,1,0,0,0,0
"START I",0,0,0,0,1,0
"H5N1",0,1,0,0,0,0
"Kaman Post",0,1,0,0,0,0
"Yankee Stadium",0,1,0,0,0,0
"Graceland mansion",0,0,1,0,0,0
"the Great Hall",0,0,0,1,0,0
"Sonntags-Blick",0,0,0,0,1,0
"Acropolis",0,1,0,0,0,0
"Madison Square Garden",0,1,0,0,0,0
"Topol-M",0,0,0,0,1,0
"the Basilica of the Annunciation",0,0,1,0,0,0
"Khan Younis",0,1,0,0,0,0
"the Battle Of Thermopylae",0,0,0,1,0,0
"Camp David",1,0,0,0,0,0
"Cape Canaveral",0,1,0,0,0,0
"Edgware Road Tube Station",0,1,0,0,0,0
"National Wildlife Refuge NWR Complex",0,0,1,0,0,0
"Midway Atoll NWR",0,1,0,0,0,0
"the Khurul Monastery",0,0,1,0,0,0
"Abu Shoaib madrassa",0,0,0,1,0,0
"Endeavor",0,0,0,0,1,0
"Askar camp",0,0,0,1,0,0
"Fort Hood",0,1,0,0,0,0
"the Domodedovo airport",0,0,0,1,0,0
"mbalax",0,0,0,0,1,0
"El~Commercio",0,0,0,0,1,0
"Baghdad International Airport",1,0,0,0,0,0
"World Trade Center",0,0,0,1,0,0
"Neverland",0,1,0,0,0,0
"Our Lady of Perpetual Help Basilica",0,0,1,0,0,0
"Red Fort",0,1,0,0,0,0
"Tamiflu",0,0,0,0,1,0
"Angor Wat temple",0,0,0,1,0,0
"hip-hop",0,0,0,0,1,0
"Iles Crozet",0,0,0,1,0,0
"al Nahda",0,0,0,1,0,0
"the Panama Canal",0,0,1,0,0,0
"a Marriott Hotel",0,0,0,1,0,0
"the DN Galan",0,0,0,1,0,0
"Saint Kitts",0,1,0,0,0,0
"the United Nations",0,0,1,0,0,0
"Arc de Triomphe",0,0,0,0,1,0
"the Israel Embassy",0,0,0,1,0,0
"Policharki Prison",0,1,0,0,0,0
"Santa Maria di Collemaggio basilica",0,1,0,0,0,0
"Herald Square",0,1,0,0,0,0
"Semana",0,0,0,0,1,0
"the Piazza Massaua",0,0,0,1,0,0
"Charles De Gaulle airport",0,0,1,0,0,0
"Pearl Harbor",0,1,0,0,0,0
"Hampton Court Palace",0,1,0,0,0,0
"The English Roses",0,0,0,0,1,0
"Lincoln Center",0,1,0,0,0,0
"Drapchi Prison",0,1,0,0,0,0
"Taksim square",0,0,0,1,0,0
"Vertigo",0,0,0,1,0,0
"Camp Sara",0,1,0,0,0,0
"Balad Air Base",1,0,0,0,0,0
"Karshi Khanabad airbase",0,0,0,1,0,0
"Sayidat al Nejat",0,0,0,1,0,0
"the Khyber Pass",0,0,0,1,0,0
"the Chasseurs Volontaires de Saint Domingue",0,0,1,0,0,0
"the Olympic Stadium",0,0,1,0,0,0
"U. S. Naval",0,0,0,1,0,0
"the San Diego Zoo",0,0,1,0,0,0
"Frankenstadion",0,0,0,0,1,0
"Elvis After Dark",0,0,0,1,0,0
"Nobel-Prize",0,0,0,0,1,0
"Baptist",0,0,0,1,0,0
"the Palace of the Revolution",0,0,1,0,0,0
"Heathrow Airport",1,0,0,0,0,0
"Al Aqsa Mosque",0,0,1,0,0,0
"Jubilee",0,0,0,1,0,0
"Forbes Magazine",0,0,0,0,1,0
"Maale Adumim",0,1,0,0,0,0
"the National Botanical Gardens",0,0,1,0,0,0
"Camp Cropper",0,1,0,0,0,0
"Jameson Camp",0,1,0,0,0,0
"Colosseum",0,1,0,0,0,0
"Revolution Square",0,1,0,0,0,0
"Port au Prince",0,0,0,1,0,0
"BPA",0,0,0,0,1,0
"Al Dhafra Air Base",0,1,0,0,0,0
"MacArthur Park",0,1,0,0,0,0
"Adi Abeto",0,1,0,0,0,0
"the Diaoyu State Guest House",0,0,1,0,0,0
"Piazza Palazzo di Citta",0,1,0,0,0,0
"17th Street",0,1,0,0,0,0
"Qur'an",0,0,0,0,1,0
"Franz Klammer slope",0,0,0,1,0,0
"the Radisson Hotel",0,0,1,0,0,0
"International Space Station",1,0,0,0,0,0
"Panama Canal",1,0,0,0,0,0
"Virunga National Park",0,1,0,0,0,0
"the Fig Tree",0,0,0,1,0,0
"Cite Soleil",0,1,0,0,0,0
"Pakistan 537",0,0,0,1,0,0
"Hitch",0,0,0,0,1,0
"Savigny sur Orge",0,0,0,1,0,0
"The Western Wall",0,0,1,0,0,0
"Old Bailey",0,1,0,0,0,0
"the Spin Boldak highway",0,0,0,1,0,0
"Saint Pierre",0,1,0,0,0,0
"Eagle Base",0,1,0,0,0,0
"Bonny",0,1,0,0,0,0
"Hadassah",0,0,0,0,1,0
"Grand Canyon National Park",0,1,0,0,0,0
"Pul i Charki",0,0,0,1,0,0
"Cirque Lodge",0,1,0,0,0,0
"the U. S. Capitol",0,0,1,0,0,0
"Irwindale Speedway",1,0,0,0,0,0
"Sidnaya",0,0,0,0,1,0
"the Brazilian Embassy",0,0,0,1,0,0
"the Solar Dynamics Observatory",0,0,0,1,0,0
"Flanders",0,0,0,0,1,0
"the Imperial War Museum",0,0,1,0,0,0
"Reggio Emilia",0,1,0,0,0,0
"Group-B",0,0,0,0,1,0
"Pul e Charkhi prison",0,0,1,0,0,0
"the Gomoa Buduburam Refugee Camp",0,0,0,1,0,0
"Srinagar Life",0,1,0,0,0,0
"Keesler Air Base",0,1,0,0,0,0
"Blueberry Hill",0,0,0,0,1,0
"Palme d'Or",0,0,0,0,1,0
"La Peineta stadium",0,0,0,1,0,0
"Samawa Investigators",0,0,0,1,0,0
"the Baku Tbilisi Ceyhan Pipeline",0,0,0,1,0,0
"the Macy 's Thanksgiving Parade",0,0,0,1,0,0
"Secrets & Lies",0,0,0,0,1,0
"the Delray Beach Tennis Center",0,0,0,1,0,0
"the Afghan Red Crescent",0,0,0,1,0,0
"Ramstein Air Base",0,1,0,0,0,0
"Dodger Stadium",0,1,0,0,0,0
"the U. S. Bells",0,0,0,1,0,0
"Superdome",0,0,0,1,0,0
"Mar del Plata",0,1,0,0,0,0
"Government House",0,1,0,0,0,0
"english",0,0,0,0,1,0
"Camp al Tahreer",0,0,0,1,0,0
"Karshi Khanabad",0,0,0,1,0,0
"Val De Grace",0,0,0,1,0,0
"Abu Ghraib",1,0,0,0,0,0
"Bagram Air Base",0,1,0,0,0,0
"Sahafi Hotel",0,1,0,0,0,0
"Capitol",1,0,0,0,0,0
"the White House Rose Garden",0,0,1,0,0,0
"Beitar Illit",0,1,0,0,0,0
"Saint Peter 's Basilica",0,0,1,0,0,0
"Pul e Charkhi",0,0,0,1,0,0
"Pentagon",0,1,0,0,0,0
"Lambeth Palace",0,1,0,0,0,0
"Bunia airport",0,1,0,0,0,0
"John F. Kennedy airport",0,1,0,0,0,0
"Bratislava Trnava highway",0,0,0,1,0,0
"Save Al Aqsa Mosque",0,1,0,0,0,0
"Firebase Ripley",0,1,0,0,0,0
"La Repubblica",0,1,0,0,0,0
"Three Mile Island",0,1,0,0,0,0
"Red Notice",0,0,0,0,1,0
"Louis Armstrong International Airport",0,1,0,0,0,0
"St. Peter 's Square",0,0,0,1,0,0
"Central Cemetery",0,1,0,0,0,0
"AGOA",0,0,0,0,1,0
"the Washington Monument",0,0,1,0,0,0
"U. S. Capitol",0,0,1,0,0,0
"the Antwerp World Diamond Center",0,0,1,0,0,0
"State Guest House",1,0,0,0,0,0
"the South Lawn",0,0,0,1,0,0
"the Perito Moreno Glacier",0,0,0,1,0,0
"Wat Tham Krabok",0,1,0,0,0,0
"Cape Coral",0,1,0,0,0,0
"Holocaust",0,1,0,0,0,0
"Roosevelt Hotel",0,0,0,1,0,0
"Rose Garden",0,1,0,0,0,0
"La Cruz",0,1,0,0,0,0
"al Rasul al Aadham",0,0,0,1,0,0
"Vatican",0,1,0,0,0,0
"Olympic",0,1,0,0,0,0
"the Water Cube",0,0,0,1,0,0
"Citicorp Building",0,0,0,1,0,0
"New England Aquarium",0,0,0,1,0,0
"Pudong International Airport",0,1,0,0,0,0
"Havana 's Convention Palace",0,0,1,0,0,0
"Camp Buehring",0,1,0,0,0,0
"the Kabul International Airport",0,0,1,0,0,0
"the National Mall",0,0,1,0,0,0
"British pound",0,0,0,0,1,0
"U. N.",0,0,0,1,0,0
"Finsbury Park",0,1,0,0,0,0
"NAACP Image Award",0,0,0,0,1,0
"Camp Pendleton",0,1,0,0,0,0
"Guantanamo",0,1,0,0,0,0
"Happy Together",0,0,0,0,1,0
"The Lower House",0,0,0,1,0,0
"the Notre Dame Cathedral",0,0,1,0,0,0
"Arlington National Cemetery",0,1,0,0,0,0
"Camp Butmir",0,0,0,1,0,0
"Joseph 's Tomb",0,1,0,0,0,0
"Imam Hussein shrine",0,0,0,1,0,0
"the Peace Memorial Park",0,0,0,1,0,0
"Camp X Ray",0,0,0,1,0,0
"Washington Monument",1,0,0,0,0,0
"National Mall",0,1,0,0,0,0
"St. George 's Park",0,0,0,1,0,0
"the U. S. Embassy",0,0,0,1,0,0
"@dalailama",0,0,0,0,1,0
"Haitian Creole",0,0,0,0,1,0
"Saint Peter 's Square",0,0,0,1,0,0
