Entity,COR,INC,PAR,SPU,MIS,IGN
"the Baja Peninsula",0,0,0,0,0,1
"Guantanamo Bay",0,1,0,0,0,0
"the Amur River",0,1,0,0,0,0
"Artibonite",0,1,0,0,0,0
"Aegean",0,1,0,0,0,0
"the Falkland Islands",0,0,0,0,0,1
"Atlantic",0,1,0,0,0,0
"Spin Boldak",0,1,0,0,0,0
"Persian Gulf",0,1,0,0,0,0
"Middle Belt",0,1,0,0,0,0
"The Phoenix Islands Protected Area",0,0,0,0,0,1
"Nevsky Prospekt",0,1,0,0,0,0
"the Sea of Azov",0,0,0,0,0,1
"Pluto",0,1,0,0,0,0
"Swat Valley",0,1,0,0,0,0
"Mekong",0,1,0,0,0,0
"Hebrides",0,0,0,0,0,1
"Shebaa Farms",0,1,0,0,0,0
"Asia Oceania",0,0,0,0,0,1
"the Tokelau Islands",0,0,0,0,0,1
"Ramechhap",0,0,0,0,0,1
"Central Asia",0,1,0,0,0,0
"the Western Sovereign Base Area",0,0,0,0,0,1
"the South Pacific",0,0,0,0,0,1
"Borena",0,1,0,0,0,0
"Gulf coast",0,0,0,0,0,1
"The UBT Ocean",0,0,0,0,0,1
"the U. S. Midwest",0,0,0,0,0,1
"Far East Khabarovsk",0,1,0,0,0,0
"Pyrenees",0,1,0,0,0,0
"Quagga Zebra",0,1,0,0,0,0
"Convergence",0,1,0,0,0,0
"Hindu India",0,1,0,0,0,0
"the U. S. Gulf",0,0,0,0,0,1
"Caspian Sea",0,1,0,0,0,0
"Shi'ite",0,1,0,0,0,0
"Gold Coast",0,1,0,0,0,0
"Arctic",0,1,0,0,0,0
"Mojave desert",0,0,0,0,0,1
"the Cook Islands",0,0,0,0,0,1
"Western Hemispheres",0,0,0,0,0,1
"Golo",0,1,0,0,0,0
"Shah Wali Kot",0,1,0,0,0,0
"the Himalayan region",0,0,0,0,0,1
"Alasay Valley",0,1,0,0,0,0
"Polynesia",0,0,0,0,0,1
"the United Provinces of Central America",0,0,0,0,0,1
"the African Sahara",0,0,0,0,0,1
"Hit",0,1,0,0,0,0
"The Nicobar Islands",0,0,0,0,0,1
"Middle East",0,1,0,0,0,0
"the Coral Sea Islands",0,0,0,0,0,1
"Catanduanes",0,0,0,0,0,1
"a Middle East",0,0,0,0,0,1
"North Caucasus",0,1,0,0,0,0
"Chaco",0,1,0,0,0,0
"Pacific island",0,0,0,0,0,1
"the U. S. Atlantic",0,0,0,0,0,1
"the Akrotiri Sovereign Base Area",0,0,0,0,0,1
"Channel Island",0,1,0,0,0,0
"Grand Cayman Island",0,1,0,0,0,0
"the Ganges River",0,0,0,0,0,1
"Sohrab Goth",0,1,0,0,0,0
"Red Solidaria",0,1,0,0,0,0
"the Yucatan Peninsula",0,0,0,0,0,1
"Pacific Ocean",0,1,0,0,0,0
"Kuril Islands",0,1,0,0,0,0
"Garmser",0,1,0,0,0,0
"The Spratly Islands",0,0,0,0,0,1
"Borneo",0,0,0,0,0,1
"San Andres",0,1,0,0,0,0
"Shi'ite Nahrawan",0,1,0,0,0,0
"Birds",0,0,0,0,0,1
"Kish Island",0,1,0,0,0,0
"The Gilbert Islands",0,0,0,0,0,1
"Kabardino Balkaria",0,0,0,0,0,1
"the Gulf of Guinea",0,1,0,0,0,0
"Golan Heights",0,1,0,0,0,0
"Sahel",0,1,0,0,0,0
"Dera Bugti",0,1,0,0,0,0
"Swat",0,1,0,0,0,0
"Gulf of Aden",0,1,0,0,0,0
"Gilbert",0,0,0,0,0,1
"the Northern Hemisphere",0,0,0,0,0,1
"the Gulf of Thailand",0,0,0,0,0,1
"Mian Neshin",0,1,0,0,0,0
"Kashmir",0,1,0,0,0,0
"Arctic Ocean",0,1,0,0,0,0
"Baltic Sea",0,1,0,0,0,0
"Ayala Alabang",0,1,0,0,0,0
"the Persian Gulf",0,0,0,0,0,1
"Irrawady River",0,1,0,0,0,0
"the U. Gulf Coast",0,0,0,0,0,1
"South Waziristan",0,1,0,0,0,0
"Khabarovsk",0,1,0,0,0,0
"a Fan Belt",0,0,0,0,0,1
"South Pacific",0,1,0,0,0,0
"Austro Hungarian Empire",0,0,0,0,0,1
"Bara district",0,0,0,0,0,1
"the Andaman Nicobar Islands",0,0,0,0,0,1
"Scandinavia",0,1,0,0,0,0
"the Florida Panhandle",0,0,0,0,0,1
"Jolo island",0,0,0,0,0,1
"Euphrates River",0,1,0,0,0,0
"The Hubble Space Telescope",0,0,0,0,0,1
"the central Rift Valley",0,0,0,0,0,1
"Western Sahara 's",0,0,0,0,0,1
"U. S. Gulf Coast",0,0,0,0,0,1
"Plains",0,0,0,0,0,1
"Antarctic islands",0,0,0,0,0,1
"Bogra",0,1,0,0,0,0
"South",0,1,0,0,0,0
"Dora district",0,0,0,0,0,1
"the Mekong river",0,0,0,0,0,1
"East Atlantic",0,1,0,0,0,0
"the Bheri River",0,0,0,0,0,1
"Giro District",0,1,0,0,0,0
"Jabel Marra",0,1,0,0,0,0
"Machakos",0,1,0,0,0,0
"Mount Merapi",0,1,0,0,0,0
"Kamchatka Peninsula",0,1,0,0,0,0
"S. Gulf Coast",0,0,0,0,0,1
"East Asia 's",0,0,0,0,0,1
"South America",0,1,0,0,0,0
"Balkan",0,1,0,0,0,0
"the Golan Heights",0,1,0,0,0,0
"Irrawaddy River",0,1,0,0,0,0
"Dong Anh district",0,0,0,0,0,1
"the the Songhua River",0,0,0,0,0,1
"Canaries",0,1,0,0,0,0
"Everest",0,1,0,0,0,0
"Horn of Africa",0,1,0,0,0,0
"sub Saharan Africa",0,0,0,0,0,1
"Prudhoe Bay",0,1,0,0,0,0
"Kamchatka",0,0,0,0,0,1
"Niger Delta",0,1,0,0,0,0
"the Helmand River",0,0,0,0,0,1
"Central Highlands",0,1,0,0,0,0
"Horn Afrik",0,0,0,0,0,1
"the Horn of Africa",0,1,0,0,0,0
"Earth",0,1,0,0,0,0
"Vermilion Parish",0,1,0,0,0,0
"the Cocos Islands",0,0,0,0,0,1
"Ivory Coast",0,1,0,0,0,0
"North Ossetia",0,1,0,0,0,0
"the Colorado River",0,0,0,0,0,1
"the Southern Hemisphere",0,0,0,0,0,1
"the Asia Pacific",0,0,0,0,0,1
"Surkh Rod",0,1,0,0,0,0
"Naad Ali",0,1,0,0,0,0
"Middle Eastern",0,1,0,0,0,0
"the Phoenix Mars Lander",0,0,0,0,0,1
"eastern Gulf Coast",0,0,0,0,0,1
"the Solomon Islands",0,0,0,0,0,1
"the Baja California Peninsula",0,0,0,0,0,1
"The Niger Delta",0,0,0,0,0,1
"Mideast",0,1,0,0,0,0
"the Far Eastern",0,0,0,0,0,1
"South Asia",0,1,0,0,0,0
"Adraskan",0,1,0,0,0,0
"Pattle Island",0,1,0,0,0,0
"Mayon Volcano",0,1,0,0,0,0
"Brong Ahafo",0,1,0,0,0,0
"Upper West",0,1,0,0,0,0
"Rabdhure",0,1,0,0,0,0
"North Sea",0,1,0,0,0,0
"the Bei River",0,0,0,0,0,1
"the U. S. Gulf coast",0,0,0,0,0,1
"Pitcairn Island",0,1,0,0,0,0
"the Caroline Islands",0,0,0,0,0,1
"Antarctic",0,1,0,0,0,0
"the East China Sea",0,1,0,0,0,0
"San Andres Island",0,1,0,0,0,0
"The Cayman Islands",0,0,0,0,0,1
"Western Europe",0,1,0,0,0,0
"Gulf of Guinea",0,1,0,0,0,0
"Pacific",0,1,0,0,0,0
"Western Hemisphere",0,1,0,0,0,0
"the Arabian Peninsula",0,1,0,0,0,0
"Trincomalee",0,1,0,0,0,0
"Arghandab",0,1,0,0,0,0
"Bakassi Peninsula",0,1,0,0,0,0
"al Haiman",0,0,0,0,0,1
"Channel Islands",0,1,0,0,0,0
"the Eastern Caribbean",0,0,0,0,0,1
"Garden District",0,0,0,0,0,1
"trans Atlantic",0,0,0,0,0,1
"the Florida Keys",0,0,0,0,0,1
"Mars",0,1,0,0,0,0
"earth",0,1,0,0,0,0
"Bakwa",0,1,0,0,0,0
"the Arabian Sea.",0,0,0,0,0,1
"the Glen Canyon Dam",0,0,0,0,0,1
"Antarctica",0,1,0,0,0,0
"Mount Everest",0,1,0,0,0,0
"the Litani River",0,0,0,0,0,1
"Tula",0,1,0,0,0,0
"Luzon",0,1,0,0,0,0
"Mount Gabla",0,1,0,0,0,0
"the Swat valley",0,0,0,0,0,1
"Helmand River",0,1,0,0,0,0
"Kajaki",0,1,0,0,0,0
"Foca",0,1,0,0,0,0
"Southern Asia",0,1,0,0,0,0
"the Danube Delta",0,0,0,0,0,1
"the Temple Mount",0,0,0,0,0,1
"Midway Atoll",0,1,0,0,0,0
"Manshiyet Nasr",0,1,0,0,0,0
"The Southern Lands",0,0,0,0,0,1
"African",0,1,0,0,0,0
"the Gulf of Aden",0,1,0,0,0,0
"Jihad",0,1,0,0,0,0
"the Songhua River",0,0,0,0,0,1
"Siberia",0,1,0,0,0,0
"Valle del Cauca",0,1,0,0,0,0
"Whales",0,0,0,0,0,1
"the Greek Cypriot south",0,0,0,0,0,1
"Shi'ite Baladiyat",0,1,0,0,0,0
"Hachijo Island",0,1,0,0,0,0
"Himalayas",0,1,0,0,0,0
"Tomini Bay",0,1,0,0,0,0
"the Bay of Bengal",0,1,0,0,0,0
"The Pacific coast",0,0,0,0,0,1
"Nias",0,1,0,0,0,0
"Sumatra",0,1,0,0,0,0
"the New Hebrides",0,0,0,0,0,1
"U. S. Gulf coast",0,0,0,0,0,1
"the Sunda Strait",0,0,0,0,0,1
"the Rasht Valley",0,0,0,0,0,1
"the Bekaa Valley",0,0,0,0,0,1
"Cachet Lake",0,1,0,0,0,0
"the Soufriere Hills Volcano",0,0,0,0,0,1
"The Philippine Islands",0,0,0,0,0,1
"Lower Dir",0,1,0,0,0,0
"East Africa",0,1,0,0,0,0
"the Khyber Pass",0,0,0,0,0,1
"Jebel Marra mountains",0,0,0,0,0,1
"Yucatan peninsula",0,1,0,0,0,0
"Al Aqsa",0,1,0,0,0,0
"the Arafura Sea",0,0,0,0,0,1
"Tenerife",0,1,0,0,0,0
"the Gulf of Mexico",0,1,0,0,0,0
"the Southern Ocean",0,0,0,0,0,1
"Svalbard",0,1,0,0,0,0
"the Kerch Strait",0,0,0,0,0,1
"the Solomon Islands RAMSI",0,0,0,0,0,1
"the Dniester River",0,0,0,0,0,1
"Cameron Parish",0,1,0,0,0,0
"the Ural mountains",0,0,0,0,0,1
"French Quarter",0,0,0,0,0,1
"Jupiter",0,1,0,0,0,0
"Lago Agrio",0,1,0,0,0,0
"Southeast Asia",0,1,0,0,0,0
"the Gulf of Finland",0,0,0,0,0,1
"Central America",0,1,0,0,0,0
"the Cawthorne Channel",0,0,0,0,0,1
"Clipperton Island",0,1,0,0,0,0
"the Caribbean Coast",0,0,0,0,0,1
"Black Sea",0,1,0,0,0,0
"the Ellice Islands",0,0,0,0,0,1
"Souray",0,1,0,0,0,0
"West",0,1,0,0,0,0
"Howlwadaag District",0,1,0,0,0,0
"Inca Empire",0,1,0,0,0,0
"West Island",0,1,0,0,0,0
"the Antarctic continent",0,0,0,0,0,1
"Adelie Land",0,1,0,0,0,0
"Sagaing",0,0,0,0,0,1
"French Polynesia",0,1,0,0,0,0
"Andaman Islands",0,1,0,0,0,0
"The Kerch Strait",0,0,0,0,0,1
"Mount Ararat",0,0,0,0,0,1
"Himalayan",0,1,0,0,0,0
"East Asia",0,1,0,0,0,0
"Central America 's",0,0,0,0,0,1
"Somme",0,1,0,0,0,0
"Northwest",0,1,0,0,0,0
"The Horn of Africa",0,0,0,0,0,1
"Americas",0,1,0,0,0,0
"the Yunnan Guizhou",0,0,0,0,0,1
"Garmser district",0,0,0,0,0,1
"Alpine",0,1,0,0,0,0
"Cross River",0,1,0,0,0,0
"Hindu Kush",0,1,0,0,0,0
"the Rospuda Valley",0,0,0,0,0,1
"Pago Pago",0,1,0,0,0,0
"South Island",0,1,0,0,0,0
"the Willis Islets",0,0,0,0,0,1
"Deshu",0,1,0,0,0,0
"the Hanjiang River",0,0,0,0,0,1
"the Canary Islands",0,0,0,0,0,1
"the Middle East",0,1,0,0,0,0
"Outer Banks",0,0,0,0,0,1
"Libertador O'Higgins",0,1,0,0,0,0
"the Sancha River",0,0,0,0,0,1
"Gran Canaria",0,1,0,0,0,0
"Umm",0,0,0,0,0,1
"the Great Plains",0,0,0,0,0,1
"East Pakistan",0,1,0,0,0,0
"the Far East",0,0,0,0,0,1
"the Eastern Front",0,0,0,0,0,1
"the South Pacific Ocean",0,0,0,0,0,1
"Timor Leste 's",0,0,0,0,0,1
"Rift Valley",0,1,0,0,0,0
"Southern Ocean",0,1,0,0,0,0
"Yucatan",0,1,0,0,0,0
"the Caspian Sea",0,0,0,0,0,1
"Khyber",0,1,0,0,0,0
"Upper East",0,1,0,0,0,0
"The Arctic Ocean",0,0,0,0,0,1
"Western Sahara",0,1,0,0,0,0
"Abiya",0,1,0,0,0,0
"the Kuiper Belt",0,0,0,0,0,1
"Nicobar",0,0,0,0,0,1
"Straits",0,0,0,0,0,1
"the Mississippi River",0,0,0,0,0,1
"Java Island",0,1,0,0,0,0
"North Sinai",0,1,0,0,0,0
"The Gulf of Guinea",0,0,0,0,0,1
"the New World",0,0,0,0,0,1
"French Indochina",0,0,0,0,0,1
"Makin",0,1,0,0,0,0
"the Lake of Excellence",0,0,0,0,0,1
"Southeast Asia 's",0,0,0,0,0,1
"Sea Breeze",0,0,0,0,0,1
"Nile",0,1,0,0,0,0
"the Saint Lawrence Seaway",0,0,0,0,0,1
"the Swat Valley",0,0,0,0,0,1
"Negar",0,0,0,0,0,1
"Mount Merapi 's",0,0,0,0,0,1
"Chakul",0,1,0,0,0,0
"Rivers",0,0,0,0,0,1
"West Java",0,1,0,0,0,0
"Keck One telescope",0,0,0,0,0,1
"Everglades",0,1,0,0,0,0
"the Western Balkans",0,0,0,0,0,1
"Kos",0,1,0,0,0,0
"North Wazirstan",0,1,0,0,0,0
"the Hawaiian Islands NWR",0,0,0,0,0,1
"Great Lakes",0,1,0,0,0,0
"Caribbean Sea",0,1,0,0,0,0
"Northern California 's",0,0,0,0,0,1
"Gulf of Mexico",0,1,0,0,0,0
"the Black Sea",0,0,0,0,0,1
"Farewell Spit",0,1,0,0,0,0
"the Western Hemisphere",0,0,0,0,0,1
"the Aral Sea",0,0,0,0,0,1
"Western Australia",0,1,0,0,0,0
"Datta Khel",0,1,0,0,0,0
"Spanish Sahara",0,0,0,0,0,1
"Red Sea",0,1,0,0,0,0
"the East Coast",0,0,0,0,0,1
"Mississippi River",0,1,0,0,0,0
"Beyazit",0,1,0,0,0,0
"Northern Europe",0,1,0,0,0,0
"Poonch",0,1,0,0,0,0
"Saffir Simpson",0,0,0,0,0,1
"the Irrawaddy Delta",0,0,0,0,0,1
"Robben Island",0,1,0,0,0,0
"The Pacific Ocean",0,0,0,0,0,1
"Canary Islands",0,1,0,0,0,0
"the Heilongjiang River",0,0,0,0,0,1
"Keys",0,1,0,0,0,0
"the Cayman Islands",0,0,0,0,0,1
"the Paracel Islands",0,0,0,0,0,1
"Caspian",0,0,0,0,0,1
"Kroung Pich",0,1,0,0,0,0
"Anatolia",0,1,0,0,0,0
