Entity,COR,INC,PAR,SPU,MIS,IGN
"3. 4 billion",0,0,0,0,0,1
"the 10 billion",0,0,0,0,0,1
"more than one dollar",0,0,0,0,0,1
"8,700 70,000 yuan",0,0,0,0,0,1
"4. 5 billion",0,0,0,0,0,1
"787 billion",0,0,0,0,0,1
"billion dollar",0,0,0,0,0,1
"700 billion",0,0,0,0,0,1
"around 25 billion",0,0,0,0,0,1
"60 million mark",0,0,0,0,0,1
"6 billion",0,0,0,0,0,1
"2 pence 1. 26 cents",0,0,0,0,0,1
"thousands of dollars",0,0,0,0,0,1
"35 cents",0,0,0,0,0,1
"approximately US 3",0,0,0,0,0,1
"half a million dollars",0,0,0,0,0,1
"more than 18 billion",0,0,0,0,0,1
"less than one dollar",0,0,0,0,0,1
"453 billion dollar",0,0,0,0,0,1
"76 cents",0,0,0,0,0,1
"1. 5 billion",0,0,0,0,0,1
"nearly 2 billion",0,0,0,0,0,1
"about 33 billion",0,0,0,0,0,1
""" hundreds of millions "" of dollars",0,0,0,0,0,1
"26 Million",0,0,0,0,0,1
"some 95 billion",0,0,0,0,0,1
"millions of dollars",0,0,0,0,0,1
"8 cents",0,0,0,0,0,1
"less than four cents",0,0,0,0,0,1
"650 million",0,0,0,0,0,1
"one million dollars",0,0,0,0,0,1
"nearly five billion dollars",0,0,0,0,0,1
"1. 27 billion",0,0,0,0,0,1
"about 4 billion",0,0,0,0,0,1
"15 cents",0,0,0,0,0,1
"388 pence",0,0,0,0,0,1
"50 cents",0,0,0,0,0,1
"about four point five billion dollars",0,0,0,0,0,1
"5 Canadian cents",0,0,0,0,0,1
"multimillion dollar",0,0,0,0,0,1
"approximately 5. 4 billion",0,0,0,0,0,1
"as much as 4 billion worth",0,0,0,0,0,1
"U. S. 1 billion",0,0,0,0,0,1
"175 million to 180 million Canadian dollars US 148",0,0,0,0,0,1
"an estimated 3. 6 billion",0,0,0,0,0,1
"a euro",0,0,0,0,0,1
"about 1,00,000 in euros",0,0,0,0,0,1
"U. S. dollars",0,0,0,0,0,1
"six billion dollars",0,0,0,0,0,1
"40 million deposit",0,0,0,0,0,1
"20 cents",0,0,0,0,0,1
"50 billion dollar",0,0,0,0,0,1
"almost 5 billion",0,0,0,0,0,1
"52 cents",0,0,0,0,0,1
"67 cents",0,0,0,0,0,1
"15 cents to 20 cents",0,0,0,0,0,1
"over 1 billion",0,0,0,0,0,1
"an estimated 3. 1 billion",0,0,0,0,0,1
"three trillion dollars",0,0,0,0,0,1
"less than a dollar",0,0,0,0,0,1
"25,000",0,0,0,0,0,1
"up to 8 billion",0,0,0,0,0,1
"nearly 500 billion worth",0,0,0,0,0,1
"nearly 1. 08",0,0,0,0,0,1
"nearly 202 billion",0,0,0,0,0,1
"more than 4. 5 billion",0,0,0,0,0,1
"several billion dollars",0,0,0,0,0,1
"almost US 24 billion",0,0,0,0,0,1
"88 cents",0,0,0,0,0,1
"25 cents",0,0,0,0,0,1
"2 billion",0,0,0,0,0,1
"8 million dollars",0,0,0,0,0,1
"nearly 726 billion",0,0,0,0,0,1
"2. 6 billion IMF",0,0,0,0,0,1
"around 4 billion",0,0,0,0,0,1
"18 billion dollars",0,0,0,0,0,1
"185 million dollars",0,0,0,0,0,1
"5 billion worth",0,0,0,0,0,1
"Three hundred million dollars",0,0,0,0,0,1
"20 billion",0,0,0,0,0,1
"more than USD 41 million",0,0,0,0,0,1
"more than 104 yen",0,0,0,0,0,1
"65 cents",0,0,0,0,0,1
"5 billion",0,0,0,0,0,1
"1500 dollars",0,0,0,0,0,1
"almost 10 billion",0,0,0,0,0,1
"12 trillion",0,0,0,0,0,1
"at least 1 billion",0,0,0,0,0,1
"2 Sudanese Pounds",0,0,0,0,0,1
"5 cents",0,0,0,0,0,1
"trillions of dollars",0,0,0,0,0,1
"tens of thousands of dollars",0,0,0,0,0,1
"one billion dollars",0,0,0,0,0,1
"87 cents",0,0,0,0,0,1
"around 10 billion",0,0,0,0,0,1
"89 cents",0,0,0,0,0,1
"26 million dollars",0,0,0,0,0,1
"73 cents",0,0,0,0,0,1
"516 billion",0,0,0,0,0,1
"less than US 900 million",0,0,0,0,0,1
"83 cents",0,0,0,0,0,1
"nearly 140 1,000 rand",0,0,0,0,0,1
"about 1. 2 trillion",0,0,0,0,0,1
"1 billion",0,0,0,0,0,1
"about 12. 5 billion",0,0,0,0,0,1
"more than one billion dollars",0,0,0,0,0,1
"4 billion to 6 billion",0,0,0,0,0,1
"1. 3 billion",0,0,0,0,0,1
"about 2 billion",0,0,0,0,0,1
"more than 13 billion",0,0,0,0,0,1
"about 60 cents",0,0,0,0,0,1
"at least 40 billion",0,0,0,0,0,1
"more than 81 billion",0,0,0,0,0,1
"more than 14 billion",0,0,0,0,0,1
"tens of millions of dollars",0,0,0,0,0,1
"nearly 1 billion",0,0,0,0,0,1
"some 1. 5 billion",0,0,0,0,0,1
"more than one cent",0,0,0,0,0,1
"three million dollars",0,0,0,0,0,1
"3. 55 billion",0,0,0,0,0,1
"more than seven million dollars",0,0,0,0,0,1
"more than two dollars",0,0,0,0,0,1
"1. 55 billion",0,0,0,0,0,1
"FSM millions of dollars",0,0,0,0,0,1
"nearly 9 billion",0,0,0,0,0,1
"hundreds of thousands of dollars",0,0,0,0,0,1
"10. 5 billion",0,0,0,0,0,1
"3. 7 billion",0,0,0,0,0,1
"almost 200 million",0,0,0,0,0,1
"31 cents",0,0,0,0,0,1
"two cents",0,0,0,0,0,1
"some 320 billion",0,0,0,0,0,1
"around 1 trillion",0,0,0,0,0,1
"multi million dollar",0,0,0,0,0,1
"6. 4 billion",0,0,0,0,0,1
"nearly 618 billion",0,0,0,0,0,1
"one trillion dollars",0,0,0,0,0,1
"3 billion worth",0,0,0,0,0,1
"1. 4 billion",0,0,0,0,0,1
"the 180 billion",0,0,0,0,0,1
"more than 240 billion",0,0,0,0,0,1
"2. 3 billion",0,0,0,0,0,1
"as much as 60 billion",0,0,0,0,0,1
"around 300 billion",0,0,0,0,0,1
"approximately USD 6 billion",0,0,0,0,0,1
"51 cents",0,0,0,0,0,1
"more than 3 billion",0,0,0,0,0,1
"nearly 3 billion",0,0,0,0,0,1
"about 83 cents",0,0,0,0,0,1
"hundreds of millions of dollars",0,0,0,0,0,1
