Dataset,Group,Model,Category,TNNT-Category,Possible,Actual,Wrong,Total,Error,Precision,Recall,Fm__PR,Fm_2PR,Fm_P2R,Undergeneration,Overgeneration,Substitution
"GUM","gs18","deeppavlov_onto_model","PERSON","tnnt:Person",7899,394,7682.50,7924,0.969523,0.612944,0.030573,0.058242,0.127441,0.037746,0.953285,0.063452,0.654472
"GUM","ss4","deeppavlov_conll2003_model","PER","tnnt:Person",7916,568,7686.00,7993,0.961591,0.540493,0.038782,0.072372,0.150667,0.047623,0.937974,0.135563,0.625255
"GUM","gs18","deeppavlov_onto_bert_model","PERSON","tnnt:Person",7933,340,7726.00,7948,0.972068,0.652941,0.027984,0.053669,0.119445,0.034610,0.959032,0.044118,0.683077
"GUM","gs18","deeppavlov_onto_bert_model","ORG","tnnt:Organisation",3559,348,3490.00,3648,0.956689,0.454023,0.044394,0.080880,0.159564,0.054169,0.927227,0.255747,0.610039
"GUM","gs18","deeppavlov_onto_bert_model","PRODUCT","tnnt:Product",11957,69,11922.00,11967,0.996240,0.652174,0.003763,0.007484,0.018393,0.004698,0.995066,0.144928,0.762712
"GUM","ss4","deeppavlov_conll2003_bert_model","PER","tnnt:Person",8120,360,7901.00,8139,0.970758,0.661111,0.029310,0.056132,0.124477,0.036236,0.958005,0.052778,0.697947
"GUM","ss4","deeppavlov_conll2003_bert_model","LOC","tnnt:FGL",5297,561,5052.50,5382,0.938777,0.587344,0.062205,0.112496,0.218472,0.075751,0.910138,0.151515,0.692227
"GUM","ss4","deeppavlov_conll2003_bert_model","ORG","tnnt:Organisation",3557,366,3505.50,3663,0.957002,0.430328,0.044279,0.080296,0.156841,0.053961,0.926905,0.289617,0.605769
"GUM","ss4","deeppavlov_conll2003_bert_model","MISC","tnnt:NPLLE",14752,384,14588.00,14790,0.986342,0.526042,0.013693,0.026691,0.062009,0.017006,0.976546,0.098958,0.583815
"GUM","gs18","deeppavlov_onto_bert_model","GPE","tnnt:GPE",5139,321,4998.50,5184,0.964217,0.577882,0.036097,0.067949,0.144403,0.044427,0.946293,0.140187,0.672101
"GUM","gs18","deeppavlov_onto_model","ORG","tnnt:Organisation",3536,370,3490.50,3643,0.958139,0.412162,0.043128,0.078085,0.152014,0.052535,0.925622,0.289189,0.579848
"GUM","ss4","deeppavlov_conll2003_model","LOC","tnnt:FGL",5144,594,4932.00,5253,0.938892,0.540404,0.062403,0.111886,0.213431,0.075815,0.905715,0.183502,0.661856
"GUM","ss4","deeppavlov_conll2003_model","ORG","tnnt:Organisation",3458,531,3466.00,3645,0.950892,0.337100,0.051764,0.089747,0.160337,0.062313,0.900521,0.352166,0.520349
"GUM","gs18","deeppavlov_onto_model","NORP","tnnt:NORP",6315,116,6295.00,6341,0.992746,0.396552,0.007284,0.014306,0.033928,0.009064,0.985748,0.224138,0.511111
"GUM","gs18","deeppavlov_onto_model","PRODUCT","tnnt:Product",11857,65,11833.00,11867,0.997135,0.523077,0.002868,0.005704,0.014030,0.003579,0.995361,0.153846,0.618182
"GUM","gs18","deeppavlov_onto_bert_model","WORK_OF_ART","tnnt:WorkOfArt",8544,58,8533.50,8557,0.997254,0.405172,0.002750,0.005464,0.013389,0.003432,0.994733,0.224138,0.522222
"GUM","gs18","deeppavlov_onto_bert_model","EVENT","tnnt:Event",7528,43,7510.50,7534,0.996881,0.546512,0.003122,0.006208,0.015260,0.003897,0.995085,0.139535,0.635135
"GUM","ss4","deeppavlov_conll2003_model","MISC","tnnt:NPLLE",14091,334,13962.00,14128,0.988250,0.497006,0.011781,0.023016,0.053802,0.014639,0.978923,0.110778,0.558923
"GUM","gs18","deeppavlov_onto_bert_model","FAC","tnnt:FAC",5005,166,4930.00,5029,0.980314,0.596386,0.019780,0.038290,0.087317,0.024522,0.971628,0.144578,0.697183
"GUM","gs18","deeppavlov_onto_model","GPE","tnnt:GPE",5097,355,4942.50,5152,0.959336,0.590141,0.041103,0.076853,0.160733,0.050499,0.941142,0.154930,0.698333
"GUM","gs18","deeppavlov_onto_model","LOC","tnnt:Location",2136,102,2104.00,2154,0.976787,0.490196,0.023408,0.044683,0.098270,0.028915,0.960674,0.176471,0.595238
"GUM","gs18","deeppavlov_onto_model","WORK_OF_ART","tnnt:WorkOfArt",8550,141,8533.00,8583,0.994175,0.354610,0.005848,0.011506,0.027430,0.007280,0.987368,0.234043,0.462963
"GUM","gs18","deeppavlov_onto_model","EVENT","tnnt:Event",7475,38,7466.50,7484,0.997662,0.460526,0.002341,0.004659,0.011472,0.002923,0.996120,0.236842,0.603448
"GUM","gs18","deeppavlov_onto_bert_model","LOC","tnnt:Location",2170,109,2125.50,2188,0.971435,0.573394,0.028802,0.054849,0.119916,0.035556,0.958065,0.165138,0.686813
