Entity,COR,INC,PAR,SPU,MIS,IGN
"7 one hour",0,0,0,1,0,0
"the moment",0,0,0,0,1,0
"a day",0,0,0,0,1,0
"22:30",1,0,0,0,0,0
"a month",0,0,0,0,1,0
"yesterday afternoon",1,0,0,0,0,0
"a good long time",0,0,0,0,1,0
"a certain amount of time",0,0,0,0,1,0
"15:11 GMT",1,0,0,0,0,0
"the evening",1,0,0,0,0,0
"roughly 20 minutes",1,0,0,0,0,0
"the end of your planned return",0,0,0,0,1,0
"the course of the project",0,0,0,0,1,0
"one minute",0,0,0,1,0,0
"many hours",0,0,1,0,0,0
"the future",0,0,0,0,1,0
"the middle of the night",0,0,1,0,0,0
"73 seconds",0,0,0,1,0,0
"a do-or-die moment",0,0,0,0,1,0
"about 5 minutes",1,0,0,0,0,0
"one hour of windsurf",0,0,0,0,1,0
"an additional 5 minutes",1,0,0,0,0,0
"prosperous boom times",0,0,0,0,1,0
"5 minutes",1,0,0,0,0,0
"35 minutes",0,0,1,0,0,0
"in January",0,0,0,0,1,0
"the time",0,0,0,0,1,0
"significant time",0,0,0,0,1,0
"first half hour",0,0,0,1,0,0
"the next 120 seconds",1,0,0,0,0,0
"fifteen minutes",0,0,0,1,0,0
"sunset",0,0,0,0,1,0
"one night",1,0,0,0,0,0
"many times",0,0,0,0,1,0
"evening",1,0,0,0,0,0
"a Monday",0,0,0,0,1,0
"your day",0,0,0,0,1,0
"multiple lifetimes",0,0,0,0,1,0
"no longer than 30 seconds",0,0,1,0,0,0
"your entire day",0,0,0,0,1,0
"your frenzy time",0,0,0,0,1,0
"Classical Greece",0,0,0,0,1,0
"a couple of seconds",1,0,0,0,0,0
"the nation 's past",0,0,0,0,1,0
"their time",0,0,0,0,1,0
"this day",0,0,0,0,1,0
"two minute",0,0,1,0,0,0
"the hottest part of the day",0,0,0,0,1,0
"nearly half an hour",1,0,0,0,0,0
"hours or days",0,0,1,0,0,0
"just over 24 hours ago",1,0,0,0,0,0
"24 hours",0,0,1,0,0,0
"this time",0,0,0,0,1,0
"the industrial era",0,0,0,0,1,0
"ten minutes",1,0,0,0,0,0
"that specific moment",0,0,0,0,1,0
"the mornings",0,0,0,0,1,0
"8 pm",0,0,1,0,0,0
"season",0,0,0,0,1,0
"the weekends",0,0,0,0,1,0
"45 minutes",1,0,0,0,0,0
"those times",0,0,0,0,1,0
"two hours",0,0,0,0,1,0
"the morning",1,0,0,0,0,0
"the late afternoon",1,0,0,0,0,0
